time,Sacramento,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. R. Hibbert (D. Cousins gains possession),,,,Jump ball: W. Cauley-Stein vs. R. Hibbert (D. Cousins gains possession)
11:47.0,Turnover by D. Cousins (lost ball; steal by D. Russell),,0-0,,
11:30.0,,,0-0,,R. Hibbert misses 2-pt shot from 16 ft
11:29.0,Defensive rebound by R. Rondo,,0-0,,
11:17.0,R. Gay misses 3-pt shot from 26 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by D. Russell
11:05.0,,,0-0,,Turnover by D. Russell (lost ball; steal by R. Gay)
11:00.0,D. Collison makes 2-pt shot at rim (assist by R. Rondo),2,2-0,,
10:49.0,,,2-0,,Shooting foul by D. Collison (drawn by D. Russell)
10:49.0,,,2-0,,D. Russell misses free throw 1 of 2
10:49.0,,,2-0,,Offensive rebound by Team
10:49.0,,,2-0,,D. Russell misses free throw 2 of 2
10:47.0,Defensive rebound by D. Cousins,,2-0,,
10:36.0,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Gay),2,4-0,,
10:14.0,,,4-0,,M. World Peace misses 3-pt shot from 25 ft
10:13.0,Defensive rebound by R. Rondo,,4-0,,
10:08.0,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo),2,6-0,,
9:49.0,,,6-0,,R. Hibbert misses 2-pt shot from 10 ft
9:45.0,Defensive rebound by R. Gay,,6-0,,
9:41.0,Shooting foul by R. Hibbert (drawn by D. Cousins),,6-0,,
9:41.0,D. Cousins misses free throw 1 of 2,,6-0,,
9:41.0,Offensive rebound by Team,,6-0,,
9:41.0,D. Cousins makes free throw 2 of 2,1,7-0,,
9:20.0,,,7-2,2,M. World Peace makes 2-pt shot at rim
9:16.0,Shooting foul by R. Hibbert (drawn by R. Rondo),,7-2,,
9:16.0,R. Rondo makes free throw 1 of 2,1,8-2,,
9:16.0,R. Rondo makes free throw 2 of 2,1,9-2,,
8:50.0,,,9-2,,J. Clarkson misses 2-pt shot from 5 ft
8:45.0,Defensive rebound by D. Cousins,,9-2,,
8:39.0,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo),2,11-2,,
8:25.0,,,11-2,,D. Russell misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by R. Gay,,11-2,,
8:16.0,R. Gay misses 2-pt shot from 18 ft,,11-2,,
8:13.0,,,11-2,,Defensive rebound by R. Hibbert
8:08.0,,,11-2,,Shooting foul by R. Gay (drawn by D. Russell)
8:08.0,,,11-3,1,D. Russell makes free throw 1 of 2
8:08.0,,,11-3,,T. Black enters the game for R. Hibbert
8:08.0,,,11-4,1,D. Russell makes free throw 2 of 2
7:50.0,D. Cousins misses 2-pt shot from 4 ft (block by T. Black),,11-4,,
7:48.0,,,11-4,,Defensive rebound by J. Randle
7:42.0,,,11-4,,D. Russell misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by D. Cousins,,11-4,,
7:30.0,R. Gay misses 2-pt shot at rim,,11-4,,
7:28.0,Offensive rebound by R. Gay,,11-4,,
7:28.0,R. Gay makes 2-pt shot at rim,2,13-4,,
7:07.0,,,13-4,,J. Randle misses 2-pt shot from 16 ft
7:03.0,Defensive rebound by D. Cousins,,13-4,,
7:00.0,Shooting foul by J. Clarkson (drawn by D. Collison),,13-4,,
7:00.0,D. Collison makes free throw 1 of 2,1,14-4,,
7:00.0,D. Collison misses free throw 2 of 2,,14-4,,
6:59.0,,,14-4,,Defensive rebound by J. Randle
6:52.0,,,14-4,,Turnover by J. Clarkson (lost ball; steal by D. Collison)
6:48.0,D. Collison makes 2-pt shot at rim,2,16-4,,
6:38.0,,,16-4,,J. Clarkson misses 3-pt shot from 26 ft
6:36.0,Defensive rebound by R. Gay,,16-4,,
6:35.0,,,16-4,,Personal foul by T. Black
6:35.0,,,16-4,,M. Huertas enters the game for J. Clarkson
6:22.0,R. Rondo misses 3-pt shot from 24 ft,,16-4,,
6:21.0,,,16-4,,Defensive rebound by T. Black
6:12.0,,,16-4,,Turnover by D. Russell (lost ball; steal by D. Cousins)
6:03.0,D. Collison makes 2-pt shot from 1 ft (assist by D. Cousins),2,18-4,,
5:57.0,,,18-4,,LA Lakers full timeout
5:50.0,,,18-6,2,T. Black makes 2-pt shot at rim (assist by M. Huertas)
5:36.0,Offensive foul by R. Rondo,,18-6,,
5:36.0,Turnover by R. Rondo (offensive foul),,18-6,,
5:23.0,,,18-6,,Turnover by M. Huertas (lost ball; steal by R. Gay)
5:18.0,R. Gay makes 2-pt shot at rim (assist by D. Collison),2,20-6,,
4:56.0,,,20-6,,M. World Peace misses 2-pt shot from 2 ft (block by D. Cousins)
4:54.0,,,20-6,,Offensive rebound by M. World Peace
4:47.0,,,20-6,,M. World Peace misses 2-pt shot at rim
4:46.0,Defensive rebound by D. Cousins,,20-6,,
4:42.0,Turnover by D. Collison (lost ball; steal by D. Russell),,20-6,,
4:34.0,,,20-8,2,T. Black makes 2-pt shot from 3 ft (assist by M. Huertas)
4:22.0,,,20-8,,Personal foul by T. Black
4:22.0,D. Cousins makes free throw 1 of 2,1,21-8,,
4:22.0,O. Casspi enters the game for R. Gay,,21-8,,
4:22.0,,,21-8,,L. Williams enters the game for D. Russell
4:22.0,D. Cousins makes free throw 2 of 2,1,22-8,,
4:11.0,,,22-8,,Turnover by M. World Peace (lost ball; steal by O. Casspi)
4:07.0,D. Collison makes 2-pt shot at rim (assist by O. Casspi),2,24-8,,
3:52.0,,,24-8,,M. Huertas misses 2-pt shot from 17 ft
3:50.0,Defensive rebound by W. Cauley-Stein,,24-8,,
3:44.0,D. Collison misses 3-pt shot from 25 ft,,24-8,,
3:42.0,,,24-8,,Defensive rebound by J. Randle
3:38.0,,,24-8,,Turnover by M. Huertas (lost ball; steal by D. Cousins)
3:34.0,D. Collison makes 2-pt shot from 1 ft (assist by R. Rondo),2,26-8,,
3:23.0,,,26-8,,Shooting foul by D. Cousins (drawn by L. Williams)
3:23.0,,,26-8,,L. Williams misses free throw 1 of 2
3:23.0,,,26-8,,Offensive rebound by Team
3:23.0,S. Curry enters the game for D. Collison,,26-8,,
3:23.0,,,26-8,,L. Nance enters the game for M. World Peace
3:23.0,,,26-8,,R. Kelly enters the game for J. Randle
3:23.0,,,26-9,1,L. Williams makes free throw 2 of 2
3:11.0,,,26-9,,Personal foul by T. Black
3:11.0,W. Cauley-Stein makes free throw 1 of 2,1,27-9,,
3:11.0,,,27-9,,R. Sacre enters the game for T. Black
3:11.0,W. Cauley-Stein makes free throw 2 of 2,1,28-9,,
2:57.0,,,28-11,2,L. Williams makes 2-pt shot from 8 ft
2:44.0,Sacramento full timeout,,28-11,,
2:44.0,Q. Acy enters the game for W. Cauley-Stein,,28-11,,
2:37.0,D. Cousins misses 2-pt shot from 1 ft,,28-11,,
2:36.0,,,28-11,,Defensive rebound by L. Nance
2:23.0,,,28-11,,L. Williams misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by R. Rondo,,28-11,,
2:12.0,O. Casspi makes 2-pt shot from 3 ft (assist by D. Cousins),2,30-11,,
2:04.0,,,30-11,,Shooting foul by S. Curry (drawn by L. Williams)
2:04.0,,,30-12,1,L. Williams makes free throw 1 of 3
2:04.0,,,30-13,1,L. Williams makes free throw 2 of 3
2:04.0,,,30-13,,L. Williams misses free throw 3 of 3
1:52.0,Defensive rebound by O. Casspi,,30-13,,
1:42.0,O. Casspi misses 3-pt shot from 25 ft,,30-13,,
1:41.0,,,30-13,,Defensive rebound by L. Williams
1:32.0,,,30-13,,R. Kelly misses 2-pt shot from 2 ft (block by O. Casspi)
1:29.0,,,30-13,,Offensive rebound by R. Sacre
1:28.0,,,30-15,2,R. Sacre makes 2-pt shot from 13 ft
1:14.0,O. Casspi makes 2-pt shot at rim (assist by R. Rondo),2,32-15,,
0:58.0,,,32-15,,Turnover by L. Williams (lost ball; steal by R. Rondo)
0:50.0,Offensive charge foul by D. Cousins,,32-15,,
0:50.0,Turnover by D. Cousins (offensive foul),,32-15,,
0:50.0,K. Koufos enters the game for D. Cousins,,32-15,,
0:33.0,,,32-15,,R. Kelly misses 2-pt shot from 8 ft
0:32.0,Defensive rebound by Q. Acy,,32-15,,
0:28.0,S. Curry misses 3-pt shot from 25 ft,,32-15,,
0:24.0,,,32-15,,Defensive rebound by R. Sacre
0:05.0,,,32-15,,L. Nance misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by R. Rondo,,32-15,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,32-15,,L. Williams misses 3-pt shot from 24 ft
11:46.0,Defensive rebound by K. Koufos,,32-15,,
11:33.0,S. Curry misses 3-pt shot from 25 ft,,32-15,,
11:31.0,,,32-15,,Defensive rebound by R. Kelly
11:13.0,,,32-15,,Turnover by L. Nance (bad pass)
10:55.0,Q. Acy misses 3-pt shot from 25 ft,,32-15,,
10:54.0,,,32-15,,Defensive rebound by R. Sacre
10:47.0,,,32-15,,M. Huertas misses 2-pt shot from 6 ft (block by S. Curry)
10:47.0,,,32-15,,Offensive rebound by Team
10:39.0,,,32-17,2,L. Nance makes 2-pt shot at rim (assist by M. Huertas)
10:22.0,Turnover by D. Collison (lost ball; steal by L. Nance),,32-17,,
10:17.0,,,32-19,2,L. Nance makes 2-pt shot from 1 ft
10:06.0,Shooting foul by R. Sacre (drawn by Q. Acy),,32-19,,
10:06.0,Q. Acy makes free throw 1 of 2,1,33-19,,
10:06.0,Q. Acy misses free throw 2 of 2,,33-19,,
10:04.0,Offensive rebound by K. Koufos,,33-19,,
9:58.0,K. Koufos makes 2-pt shot from 7 ft,2,35-19,,
9:41.0,,,35-21,2,R. Sacre makes 2-pt shot from 2 ft (assist by M. Huertas)
9:24.0,K. Koufos misses 2-pt shot from 5 ft,,35-21,,
9:21.0,,,35-21,,Defensive rebound by L. Williams
9:18.0,,,35-23,2,M. Huertas makes 2-pt shot from 2 ft (assist by L. Williams)
9:16.0,Sacramento full timeout,,35-23,,
9:16.0,M. Belinelli enters the game for S. Curry,,35-23,,
9:16.0,R. Gay enters the game for Q. Acy,,35-23,,
8:54.0,R. Gay makes 2-pt shot at rim,2,37-23,,
8:44.0,,,37-23,,Shooting foul by O. Casspi (drawn by L. Williams)
8:44.0,,,37-24,1,L. Williams makes free throw 1 of 2
8:44.0,,,37-25,1,L. Williams makes free throw 2 of 2
8:36.0,O. Casspi misses 2-pt shot from 7 ft,,37-25,,
8:35.0,Offensive rebound by K. Koufos,,37-25,,
8:35.0,K. Koufos makes 2-pt shot at rim,2,39-25,,
8:35.0,Shooting foul by R. Sacre (drawn by K. Koufos),,39-25,,
8:35.0,,,39-25,,J. Clarkson enters the game for M. Huertas
8:35.0,K. Koufos misses free throw 1 of 1,,39-25,,
8:35.0,,,39-25,,Defensive rebound by R. Kelly
8:10.0,,,39-25,,R. Kelly misses 3-pt shot from 23 ft
8:09.0,Defensive rebound by K. Koufos,,39-25,,
7:52.0,O. Casspi misses 3-pt shot from 24 ft,,39-25,,
7:49.0,,,39-25,,Defensive rebound by L. Nance
7:44.0,R. Rondo enters the game for O. Casspi,,39-25,,
7:44.0,,,39-25,,J. Randle enters the game for R. Kelly
7:27.0,,,39-27,2,J. Clarkson makes 2-pt shot from 1 ft
7:15.0,M. Belinelli misses 2-pt shot from 16 ft,,39-27,,
7:11.0,,,39-27,,Defensive rebound by R. Sacre
7:01.0,,,39-29,2,R. Sacre makes 2-pt shot from 17 ft (assist by J. Randle)
6:46.0,D. Collison misses 2-pt shot from 12 ft,,39-29,,
6:43.0,,,39-29,,Defensive rebound by L. Williams
6:29.0,,,39-29,,Turnover by L. Williams (lost ball; steal by R. Rondo)
6:17.0,,,39-29,,D. Russell enters the game for L. Williams
6:17.0,,,39-29,,R. Hibbert enters the game for R. Sacre
6:17.0,D. Cousins enters the game for K. Koufos,,39-29,,
6:07.0,Turnover by D. Collison (lost ball; steal by D. Russell),,39-29,,
6:03.0,,,39-29,,Turnover by J. Clarkson (bad pass)
5:49.0,M. Belinelli misses 3-pt shot from 25 ft,,39-29,,
5:47.0,Offensive rebound by R. Rondo,,39-29,,
5:44.0,Official timeout,,39-29,,
5:44.0,,,39-29,,M. World Peace enters the game for L. Nance
5:41.0,R. Gay misses 2-pt shot from 17 ft,,39-29,,
5:36.0,,,39-29,,Defensive rebound by M. World Peace
5:26.0,,,39-29,,J. Clarkson misses 2-pt shot from 1 ft (block by D. Cousins)
5:24.0,Defensive rebound by M. Belinelli,,39-29,,
5:14.0,M. Belinelli makes 3-pt shot from 25 ft (assist by R. Gay),3,42-29,,
4:56.0,,,42-32,3,D. Russell makes 3-pt shot from 24 ft
4:46.0,W. Cauley-Stein enters the game for M. Belinelli,,42-32,,
4:31.0,Turnover by Team (shot clock),,42-32,,
4:17.0,,,42-32,,J. Randle misses 2-pt shot from 2 ft
4:17.0,,,42-32,,Offensive rebound by R. Hibbert
4:17.0,,,42-32,,Shooting foul by W. Cauley-Stein (drawn by R. Hibbert)
4:17.0,,,42-33,1,R. Hibbert makes free throw 1 of 2
4:17.0,,,42-33,,R. Hibbert misses free throw 2 of 2
4:16.0,Defensive rebound by D. Cousins,,42-33,,
3:58.0,D. Cousins misses 2-pt shot from 3 ft (block by R. Hibbert),,42-33,,
3:56.0,,,42-33,,Defensive rebound by J. Randle
3:54.0,,,42-33,,Turnover by J. Randle (lost ball; steal by R. Rondo)
3:49.0,R. Gay makes 2-pt shot from 6 ft (assist by R. Rondo),2,44-33,,
3:35.0,,,44-33,,M. World Peace misses 3-pt shot from 25 ft
3:34.0,Defensive rebound by W. Cauley-Stein,,44-33,,
3:29.0,D. Collison makes 2-pt shot from 1 ft,2,46-33,,
3:12.0,,,46-33,,J. Clarkson misses 2-pt shot from 10 ft
3:09.0,Defensive rebound by W. Cauley-Stein,,46-33,,
3:06.0,R. Gay makes 2-pt shot at rim (assist by R. Rondo),2,48-33,,
3:06.0,,,48-33,,LA Lakers full timeout
2:57.0,,,48-33,,Turnover by D. Russell (lost ball; steal by R. Gay)
2:56.0,,,48-33,,Violation by D. Russell (def goaltending)
2:56.0,D. Collison makes 2-pt shot at rim (assist by R. Gay),2,50-33,,
2:45.0,,,50-33,,J. Clarkson misses 2-pt shot from 5 ft
2:44.0,Defensive rebound by R. Gay,,50-33,,
2:44.0,Turnover by R. Gay (lost ball; steal by J. Clarkson),,50-33,,
2:31.0,,,50-33,,J. Clarkson misses 3-pt shot from 25 ft
2:28.0,Defensive rebound by W. Cauley-Stein,,50-33,,
2:20.0,Turnover by R. Rondo (bad pass),,50-33,,
2:03.0,,,50-35,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
