time,Atlanta,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Horford (P. Millsap gains possession),,,,Jump ball: A. Drummond vs. A. Horford (P. Millsap gains possession)
11:40.0,A. Horford makes 2-pt shot from 17 ft (assist by J. Teague),2,2-0,,
11:18.0,,,2-0,,A. Drummond misses 2-pt shot from 5 ft
11:17.0,Defensive rebound by P. Millsap,,2-0,,
10:55.0,P. Millsap makes 2-pt shot from 6 ft,2,4-0,,
10:30.0,,,4-3,3,T. Harris makes 3-pt shot from 22 ft (assist by M. Morris)
10:20.0,P. Millsap makes 2-pt shot at rim (assist by J. Teague),2,6-3,,
10:08.0,,,6-3,,Turnover by A. Drummond (lost ball; steal by P. Millsap)
10:03.0,P. Millsap makes 2-pt shot at rim,2,8-3,,
9:43.0,,,8-5,2,M. Morris makes 2-pt shot from 11 ft (assist by T. Harris)
9:30.0,Turnover by P. Millsap (bad pass),,8-5,,
9:17.0,,,8-7,2,R. Jackson makes 2-pt shot at rim
9:00.0,P. Millsap makes 2-pt shot from 12 ft,2,10-7,,
8:47.0,,,10-7,,Turnover by R. Jackson (back court)
8:35.0,J. Teague misses 2-pt shot at rim,,10-7,,
8:34.0,,,10-7,,Defensive rebound by A. Drummond
8:29.0,,,10-7,,Turnover by R. Jackson (lost ball; steal by J. Teague)
8:24.0,K. Bazemore makes 2-pt shot at rim (assist by J. Teague),2,12-7,,
8:24.0,,,12-7,,Detroit full timeout
8:13.0,,,12-7,,T. Harris misses 2-pt shot from 18 ft
8:12.0,Defensive rebound by K. Bazemore,,12-7,,
8:03.0,Shooting foul by A. Drummond (drawn by K. Bazemore),,12-7,,
8:03.0,K. Bazemore makes free throw 1 of 2,1,13-7,,
8:03.0,K. Bazemore makes free throw 2 of 2,1,14-7,,
7:42.0,,,14-9,2,R. Jackson makes 2-pt shot from 7 ft
7:22.0,A. Horford misses 2-pt shot from 13 ft,,14-9,,
7:22.0,,,14-9,,Defensive rebound by M. Morris
7:14.0,,,14-12,3,T. Harris makes 3-pt shot from 27 ft (assist by R. Jackson)
6:59.0,K. Korver misses 2-pt shot from 2 ft (block by K. Caldwell-Pope),,14-12,,
6:58.0,,,14-12,,Defensive rebound by A. Drummond
6:57.0,,,14-12,,Turnover by K. Caldwell-Pope (lost ball)
6:40.0,A. Horford misses 2-pt shot from 9 ft,,14-12,,
6:39.0,,,14-12,,Defensive rebound by T. Harris
6:28.0,,,14-12,,A. Drummond misses 2-pt shot from 6 ft
6:28.0,Defensive rebound by P. Millsap,,14-12,,
6:19.0,A. Horford misses 3-pt shot from 25 ft,,14-12,,
6:19.0,,,14-12,,Defensive rebound by T. Harris
6:18.0,,,14-12,,Technical foul by A. Drummond
6:18.0,K. Korver makes technical free throw,1,15-12,,
6:18.0,K. Humphries enters the game for A. Horford,,15-12,,
6:18.0,T. Sefolosha enters the game for K. Bazemore,,15-12,,
6:07.0,,,15-12,,M. Morris misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by J. Teague,,15-12,,
5:55.0,J. Teague makes 3-pt shot from 27 ft,3,18-12,,
5:42.0,,,18-14,2,T. Harris makes 2-pt shot from 4 ft (assist by R. Jackson)
5:42.0,,,18-14,,Shooting foul by P. Millsap (drawn by T. Harris)
5:42.0,,,18-15,1,T. Harris makes free throw 1 of 1
5:22.0,K. Humphries makes 2-pt shot from 15 ft (assist by J. Teague),2,20-15,,
5:14.0,,,20-15,,Shooting foul by K. Humphries (drawn by R. Jackson)
5:14.0,,,20-16,1,R. Jackson makes free throw 1 of 2
5:14.0,,,20-16,,S. Johnson enters the game for M. Morris
5:14.0,T. Hardaway enters the game for K. Korver,,20-16,,
5:14.0,,,20-17,1,R. Jackson makes free throw 2 of 2
5:01.0,K. Humphries misses 2-pt shot from 12 ft,,20-17,,
5:00.0,,,20-17,,Defensive rebound by T. Harris
4:47.0,,,20-19,2,S. Johnson makes 2-pt shot from 13 ft
4:30.0,P. Millsap makes 2-pt shot from 7 ft,2,22-19,,
4:11.0,,,22-22,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by R. Jackson)
4:02.0,J. Teague misses 2-pt shot from 1 ft (block by R. Jackson),,22-22,,
4:01.0,,,22-22,,Defensive rebound by A. Drummond
3:56.0,,,22-24,2,T. Harris makes 2-pt shot from 5 ft (assist by R. Jackson)
3:56.0,Atlanta full timeout,,22-24,,
3:56.0,,,22-24,,S. Blake enters the game for R. Jackson
3:56.0,D. Schroder enters the game for J. Teague,,22-24,,
3:44.0,,,22-24,,Personal foul by T. Harris
3:32.0,P. Millsap misses 2-pt shot from 18 ft,,22-24,,
3:31.0,Offensive rebound by K. Humphries,,22-24,,
3:21.0,K. Humphries makes 3-pt shot from 27 ft (assist by D. Schroder),3,25-24,,
3:03.0,,,25-26,2,K. Caldwell-Pope makes 2-pt shot at rim
2:43.0,T. Hardaway makes 3-pt shot from 26 ft (assist by D. Schroder),3,28-26,,
2:21.0,,,28-28,2,S. Blake makes 2-pt shot from 18 ft (assist by T. Harris)
2:04.0,D. Schroder misses 3-pt shot from 26 ft,,28-28,,
2:04.0,Offensive rebound by K. Humphries,,28-28,,
1:53.0,Turnover by T. Sefolosha (traveling),,28-28,,
1:53.0,M. Scott enters the game for P. Millsap,,28-28,,
1:34.0,,,28-30,2,A. Drummond makes 2-pt shot from 6 ft (assist by S. Johnson)
1:26.0,K. Humphries misses 3-pt shot from 26 ft,,28-30,,
1:26.0,,,28-30,,Defensive rebound by S. Johnson
1:15.0,,,28-30,,A. Drummond misses 2-pt shot from 5 ft
1:13.0,Defensive rebound by M. Scott,,28-30,,
1:08.0,T. Hardaway misses 3-pt shot from 26 ft,,28-30,,
1:07.0,,,28-30,,Defensive rebound by A. Drummond
1:05.0,,,28-30,,Shooting foul by T. Hardaway (drawn by K. Caldwell-Pope)
1:05.0,,,28-31,1,K. Caldwell-Pope makes free throw 1 of 2
1:05.0,A. Horford enters the game for K. Humphries,,28-31,,
1:05.0,,,28-32,1,K. Caldwell-Pope makes free throw 2 of 2
0:41.0,D. Schroder makes 2-pt shot at rim,2,30-32,,
0:33.0,,,30-32,,S. Blake misses 3-pt shot from 27 ft
0:33.0,Defensive rebound by Team,,30-32,,
0:23.0,M. Scott misses 3-pt shot from 26 ft,,30-32,,
0:22.0,,,30-32,,Defensive rebound by T. Harris
0:02.0,,,30-32,,S. Blake misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by A. Horford,,30-32,,
0:01.0,T. Hardaway misses 3-pt shot from 61 ft,,30-32,,
0:00.0,Offensive rebound by Team,,30-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,30-34,2,M. Morris makes 2-pt shot from 12 ft
11:18.0,D. Schroder makes 2-pt shot from 1 ft,2,32-34,,
10:58.0,,,32-37,3,S. Johnson makes 3-pt shot from 23 ft (assist by S. Blake)
10:48.0,T. Sefolosha misses 3-pt shot from 26 ft,,32-37,,
10:47.0,,,32-37,,Defensive rebound by A. Baynes
10:35.0,Violation by A. Horford (kicked ball),,32-37,,
10:29.0,K. Korver enters the game for T. Hardaway,,32-37,,
10:24.0,,,32-37,,Turnover by M. Morris (lost ball; steal by D. Schroder)
10:15.0,M. Scott misses 3-pt shot from 24 ft,,32-37,,
10:14.0,,,32-37,,Defensive rebound by A. Baynes
9:59.0,,,32-39,2,M. Morris makes 2-pt shot from 18 ft
9:45.0,M. Scott makes 2-pt shot at rim,2,34-39,,
9:22.0,,,34-41,2,A. Baynes makes 2-pt shot from 9 ft (assist by M. Morris)
9:13.0,Shooting foul by S. Blake (drawn by D. Schroder),,34-41,,
9:13.0,D. Schroder makes free throw 1 of 2,1,35-41,,
9:13.0,D. Schroder makes free throw 2 of 2,1,36-41,,
8:58.0,,,36-41,,M. Morris misses 2-pt shot from 11 ft
8:57.0,,,36-41,,Offensive rebound by A. Baynes
8:57.0,,,36-41,,A. Baynes misses 2-pt shot from 7 ft (block by M. Scott)
8:54.0,,,36-41,,Offensive rebound by A. Baynes
8:50.0,,,36-44,3,A. Tolliver makes 3-pt shot from 25 ft (assist by A. Baynes)
8:25.0,T. Sefolosha misses 3-pt shot from 23 ft,,36-44,,
8:24.0,,,36-44,,Defensive rebound by S. Johnson
8:09.0,,,36-44,,S. Johnson misses 2-pt shot from 9 ft
8:09.0,Defensive rebound by M. Scott,,36-44,,
7:56.0,D. Schroder makes 3-pt shot from 26 ft (assist by M. Scott),3,39-44,,
7:33.0,,,39-44,,A. Baynes misses 2-pt shot from 6 ft
7:32.0,Defensive rebound by T. Sefolosha,,39-44,,
7:19.0,A. Horford makes 2-pt shot at rim (assist by M. Scott),2,41-44,,
7:12.0,,,41-44,,Detroit full timeout
7:12.0,,,41-44,,R. Jackson enters the game for S. Blake
7:12.0,J. Teague enters the game for K. Korver,,41-44,,
7:12.0,K. Bazemore enters the game for T. Sefolosha,,41-44,,
7:07.0,,,41-44,,Turnover by S. Johnson (lost ball; steal by K. Bazemore)
7:02.0,Offensive charge foul by K. Bazemore,,41-44,,
7:02.0,Turnover by K. Bazemore (offensive foul),,41-44,,
6:47.0,,,41-46,2,A. Baynes makes 2-pt shot at rim (assist by S. Johnson)
6:40.0,Turnover by J. Teague (lost ball; steal by A. Baynes),,41-46,,
6:29.0,,,41-48,2,R. Jackson makes 2-pt shot from 15 ft
6:06.0,M. Scott makes 2-pt shot at rim (assist by D. Schroder),2,43-48,,
5:53.0,,,43-48,,S. Johnson misses 2-pt shot from 20 ft
5:52.0,Defensive rebound by K. Bazemore,,43-48,,
5:40.0,K. Bazemore makes 3-pt shot from 25 ft (assist by J. Teague),3,46-48,,
5:22.0,,,46-50,2,A. Baynes makes 2-pt shot from 18 ft (assist by R. Jackson)
5:20.0,Atlanta full timeout,,46-50,,
5:20.0,,,46-50,,T. Harris enters the game for S. Johnson
5:20.0,,,46-50,,A. Drummond enters the game for A. Tolliver
5:20.0,,,46-50,,K. Caldwell-Pope enters the game for A. Baynes
5:20.0,K. Humphries enters the game for A. Horford,,46-50,,
5:20.0,K. Korver enters the game for D. Schroder,,46-50,,
5:20.0,P. Millsap enters the game for M. Scott,,46-50,,
5:04.0,Turnover by K. Humphries (traveling),,46-50,,
4:56.0,,,46-52,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
4:37.0,J. Teague makes 3-pt shot from 25 ft (assist by P. Millsap),3,49-52,,
4:10.0,,,49-52,,Turnover by Team (shot clock)
3:56.0,P. Millsap misses 2-pt shot from 4 ft,,49-52,,
3:56.0,,,49-52,,Defensive rebound by T. Harris
3:52.0,,,49-52,,Turnover by T. Harris (offensive foul)
3:52.0,,,49-52,,Offensive charge foul by T. Harris
3:42.0,J. Teague misses 2-pt shot from 6 ft,,49-52,,
3:41.0,,,49-52,,Defensive rebound by K. Caldwell-Pope
