time,Denver,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. N. Jokic (D. Arthur gains possession),,,,Jump ball: A. Horford vs. N. Jokic (D. Arthur gains possession)
11:43.0,E. Mudiay misses 2-pt shot from 16 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by P. Millsap
11:31.0,,,0-2,2,K. Korver makes 2-pt shot from 1 ft (assist by P. Millsap)
11:13.0,D. Arthur misses 2-pt shot from 16 ft,,0-2,,
11:12.0,,,0-2,,Defensive rebound by A. Horford
10:59.0,,,0-2,,Shooting foul by G. Harris (drawn by P. Millsap)
10:59.0,,,0-3,1,P. Millsap makes free throw 1 of 2
10:59.0,,,0-4,1,P. Millsap makes free throw 2 of 2
10:48.0,Turnover by J. Sampson (lost ball),,0-4,,
10:35.0,,,0-7,3,T. Hardaway makes 3-pt shot from 25 ft (assist by P. Millsap)
10:22.0,N. Jokic misses 3-pt shot from 23 ft,,0-7,,
10:20.0,,,0-7,,Defensive rebound by J. Teague
10:17.0,,,0-7,,Turnover by J. Teague (lost ball; steal by E. Mudiay)
10:09.0,G. Harris misses 2-pt shot from 5 ft,,0-7,,
10:08.0,Offensive rebound by D. Arthur,,0-7,,
10:08.0,D. Arthur makes 2-pt shot at rim,2,2-7,,
9:54.0,,,2-10,3,P. Millsap makes 3-pt shot from 24 ft (assist by T. Hardaway)
9:52.0,Denver full timeout,,2-10,,
9:36.0,G. Harris misses 2-pt shot from 2 ft,,2-10,,
9:35.0,,,2-10,,Defensive rebound by P. Millsap
9:18.0,,,2-10,,A. Horford misses 2-pt shot from 3 ft
9:16.0,Defensive rebound by J. Sampson,,2-10,,
8:55.0,G. Harris makes 3-pt shot from 25 ft (assist by E. Mudiay),3,5-10,,
8:42.0,,,5-12,2,A. Horford makes 2-pt shot from 20 ft (assist by J. Teague)
8:32.0,J. Sampson misses 2-pt shot from 18 ft,,5-12,,
8:29.0,,,5-12,,Defensive rebound by T. Hardaway
8:24.0,Personal foul by N. Jokic,,5-12,,
8:16.0,,,5-15,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
8:03.0,Shooting foul by A. Horford (drawn by J. Sampson),,5-15,,
8:03.0,J. Sampson makes free throw 1 of 2,1,6-15,,
8:03.0,J. Sampson makes free throw 2 of 2,1,7-15,,
7:55.0,,,7-15,,K. Korver misses 2-pt shot from 18 ft
7:50.0,Defensive rebound by G. Harris,,7-15,,
7:42.0,J. Sampson misses 2-pt shot from 2 ft,,7-15,,
7:42.0,,,7-15,,Defensive rebound by Team
7:29.0,,,7-15,,A. Horford misses 2-pt shot from 18 ft
7:28.0,Defensive rebound by J. Sampson,,7-15,,
7:21.0,E. Mudiay makes 2-pt shot from 1 ft,2,9-15,,
7:15.0,,,9-18,3,J. Teague makes 3-pt shot from 24 ft
7:04.0,Turnover by D. Arthur (lost ball; steal by J. Teague),,9-18,,
6:58.0,,,9-18,,J. Teague misses 3-pt shot from 25 ft
6:56.0,Defensive rebound by E. Mudiay,,9-18,,
6:48.0,D. Arthur misses 3-pt shot from 24 ft,,9-18,,
6:45.0,,,9-18,,Defensive rebound by P. Millsap
6:37.0,,,9-21,3,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague)
6:36.0,Denver full timeout,,9-21,,
6:36.0,,,9-21,,K. Humphries enters the game for A. Horford
6:18.0,D. Arthur makes 2-pt shot from 20 ft (assist by N. Jokic),2,11-21,,
6:05.0,,,11-21,,J. Teague misses 2-pt shot from 3 ft
6:04.0,Defensive rebound by N. Jokic,,11-21,,
5:58.0,E. Mudiay misses 2-pt shot at rim (block by P. Millsap),,11-21,,
5:56.0,,,11-21,,Defensive rebound by T. Hardaway
5:55.0,,,11-21,,Shooting foul by J. Sampson (drawn by T. Hardaway)
5:55.0,,,11-22,1,T. Hardaway makes free throw 1 of 2
5:55.0,,,11-22,,T. Sefolosha enters the game for K. Korver
5:55.0,W. Barton enters the game for J. Sampson,,11-22,,
5:55.0,,,11-22,,T. Hardaway misses free throw 2 of 2
5:52.0,Defensive rebound by N. Jokic,,11-22,,
5:44.0,Turnover by E. Mudiay (lost ball),,11-22,,
5:38.0,,,11-22,,Turnover by P. Millsap (traveling)
5:25.0,D. Arthur makes 2-pt shot from 1 ft (assist by N. Jokic),2,13-22,,
5:04.0,,,13-24,2,K. Humphries makes 2-pt shot from 4 ft (assist by P. Millsap)
4:48.0,E. Mudiay misses 2-pt shot from 2 ft,,13-24,,
4:46.0,Offensive rebound by N. Jokic,,13-24,,
4:46.0,N. Jokic makes 2-pt shot at rim,2,15-24,,
4:35.0,,,15-26,2,T. Hardaway makes 2-pt shot from 20 ft (assist by J. Teague)
4:23.0,D. Arthur misses 3-pt shot from 24 ft,,15-26,,
4:22.0,,,15-26,,Defensive rebound by P. Millsap
4:12.0,,,15-28,2,J. Teague makes 2-pt shot at rim
3:59.0,Turnover by W. Barton (bad pass),,15-28,,
3:59.0,,,15-28,,D. Schroder enters the game for J. Teague
3:59.0,,,15-28,,K. Hinrich enters the game for T. Hardaway
3:59.0,J. Nurkic enters the game for N. Jokic,,15-28,,
3:59.0,D. Augustin enters the game for E. Mudiay,,15-28,,
3:44.0,,,15-28,,P. Millsap misses 3-pt shot from 24 ft
3:42.0,,,15-28,,Offensive rebound by K. Humphries
3:38.0,,,15-31,3,D. Schroder makes 3-pt shot from 24 ft (assist by T. Sefolosha)
3:19.0,G. Harris makes 2-pt shot from 17 ft (assist by W. Barton),2,17-31,,
3:05.0,,,17-31,,Turnover by D. Schroder (lost ball; steal by W. Barton)
2:53.0,D. Arthur misses 3-pt shot from 24 ft,,17-31,,
2:53.0,Offensive rebound by Team,,17-31,,
2:53.0,,,17-31,,Loose ball foul by K. Humphries
2:53.0,,,17-31,,M. Scott enters the game for P. Millsap
2:53.0,J. Lauvergne enters the game for D. Arthur,,17-31,,
2:37.0,,,17-31,,Personal block foul by K. Humphries
2:27.0,J. Lauvergne makes 2-pt shot from 16 ft (assist by D. Augustin),2,19-31,,
2:06.0,,,19-31,,K. Humphries misses 2-pt shot from 7 ft
2:02.0,Defensive rebound by W. Barton,,19-31,,
1:59.0,Turnover by W. Barton (bad pass),,19-31,,
1:59.0,A. Toupane enters the game for G. Harris,,19-31,,
1:38.0,,,19-31,,K. Humphries misses 2-pt shot from 19 ft
1:37.0,Defensive rebound by J. Nurkic,,19-31,,
1:26.0,D. Augustin makes 2-pt shot from 1 ft,2,21-31,,
1:09.0,,,21-33,2,K. Humphries makes 2-pt shot at rim (assist by K. Hinrich)
