time,Houston,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Howard (D. Motiejunas gains possession),,,,Jump ball: S. Adams vs. D. Howard (D. Motiejunas gains possession)
11:40.0,D. Motiejunas misses 2-pt shot from 2 ft,,0-0,,
11:40.0,Offensive rebound by D. Motiejunas,,0-0,,
11:36.0,P. Beverley makes 3-pt shot from 24 ft (assist by D. Motiejunas),3,3-0,,
11:17.0,,,3-2,2,S. Ibaka makes 2-pt shot from 17 ft (assist by K. Durant)
10:53.0,D. Howard misses 2-pt shot from 3 ft,,3-2,,
10:53.0,,,3-2,,Defensive rebound by R. Westbrook
10:49.0,,,3-2,,Turnover by R. Westbrook (lost ball)
10:39.0,T. Ariza misses 3-pt shot from 24 ft,,3-2,,
10:38.0,,,3-2,,Defensive rebound by R. Westbrook
10:25.0,,,3-2,,S. Ibaka misses 2-pt shot from 11 ft
10:25.0,Defensive rebound by J. Harden,,3-2,,
10:13.0,T. Ariza misses 2-pt shot from 1 ft (block by S. Adams),,3-2,,
10:12.0,,,3-2,,Defensive rebound by A. Roberson
10:06.0,,,3-2,,K. Durant misses 2-pt shot from 3 ft
10:05.0,,,3-2,,Offensive rebound by K. Durant
10:02.0,,,3-4,2,K. Durant makes 2-pt shot from 4 ft
9:40.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,5-4,,
9:22.0,Personal foul by J. Harden,,5-4,,
9:05.0,,,5-4,,R. Westbrook misses 3-pt shot from 23 ft
9:05.0,Defensive rebound by J. Harden,,5-4,,
8:59.0,J. Harden misses 3-pt shot from 24 ft,,5-4,,
8:58.0,,,5-4,,Defensive rebound by R. Westbrook
8:46.0,,,5-6,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
8:31.0,D. Motiejunas makes 2-pt shot from 4 ft (assist by D. Howard),2,7-6,,
8:21.0,,,7-6,,Turnover by R. Westbrook (lost ball; steal by T. Ariza)
8:18.0,,,7-6,,Personal foul by R. Westbrook
8:09.0,J. Harden makes 2-pt shot from 14 ft (assist by T. Ariza),2,9-6,,
7:48.0,,,9-9,3,S. Ibaka makes 3-pt shot from 24 ft (assist by R. Westbrook)
7:28.0,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden),3,12-9,,
7:20.0,,,12-11,2,S. Ibaka makes 2-pt shot at rim
7:07.0,D. Motiejunas makes 2-pt shot from 1 ft (assist by J. Harden),2,14-11,,
6:56.0,,,14-11,,Turnover by K. Durant (lost ball; steal by T. Ariza)
6:52.0,Turnover by D. Motiejunas (lost ball),,14-11,,
6:52.0,M. Beasley enters the game for D. Motiejunas,,14-11,,
6:43.0,,,14-13,2,R. Westbrook makes 2-pt shot from 5 ft
6:43.0,,,14-13,,Shooting foul by P. Beverley (drawn by R. Westbrook)
6:43.0,,,14-14,1,R. Westbrook makes free throw 1 of 1
6:30.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,16-14,,
6:09.0,,,16-14,,Turnover by K. Durant (lost ball; steal by P. Beverley)
6:04.0,P. Beverley makes 2-pt shot at rim,2,18-14,,
5:53.0,Personal foul by P. Beverley,,18-14,,
5:53.0,,,18-14,,Oklahoma City full timeout
5:53.0,C. Capela enters the game for D. Howard,,18-14,,
5:53.0,C. Brewer enters the game for P. Beverley,,18-14,,
5:45.0,,,18-14,,R. Westbrook misses 3-pt shot from 24 ft
5:45.0,,,18-14,,Offensive rebound by Team
5:45.0,Loose ball foul by C. Capela,,18-14,,
5:45.0,,,18-14,,D. Waiters enters the game for K. Durant
5:38.0,,,18-14,,S. Ibaka misses 3-pt shot from 24 ft
5:37.0,Defensive rebound by J. Harden,,18-14,,
5:31.0,C. Capela misses 2-pt shot from 3 ft (block by S. Ibaka),,18-14,,
5:29.0,Offensive rebound by M. Beasley,,18-14,,
5:25.0,J. Harden misses 3-pt shot from 24 ft,,18-14,,
5:25.0,,,18-14,,Defensive rebound by D. Waiters
5:19.0,,,18-14,,S. Ibaka misses 2-pt shot at rim
5:18.0,Defensive rebound by J. Harden,,18-14,,
5:12.0,M. Beasley makes 2-pt shot from 7 ft (assist by J. Harden),2,20-14,,
4:56.0,,,20-16,2,D. Waiters makes 2-pt shot from 1 ft
4:44.0,M. Beasley makes 3-pt shot from 22 ft (assist by T. Ariza),3,23-16,,
4:29.0,,,23-18,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
4:16.0,C. Brewer misses 3-pt shot from 24 ft,,23-18,,
4:15.0,,,23-18,,Defensive rebound by D. Waiters
4:10.0,,,23-18,,Turnover by D. Waiters (lost ball; steal by C. Capela)
3:59.0,J. Harden misses 2-pt shot from 1 ft (block by A. Roberson),,23-18,,
3:59.0,,,23-18,,Defensive rebound by S. Ibaka
3:49.0,,,23-18,,A. Roberson misses 3-pt shot from 23 ft
3:48.0,,,23-18,,Offensive rebound by R. Westbrook
3:41.0,,,23-18,,S. Ibaka misses 2-pt shot from 19 ft
3:40.0,Defensive rebound by C. Brewer,,23-18,,
3:36.0,Shooting foul by A. Roberson (drawn by C. Brewer),,23-18,,
3:36.0,C. Brewer misses free throw 1 of 2,,23-18,,
3:36.0,Offensive rebound by Team,,23-18,,
