time,Philadelphia,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Grant vs. M. Plumlee (M. Harkless gains possession),,,,Jump ball: J. Grant vs. M. Plumlee (M. Harkless gains possession)
11:37.0,,,0-0,,C. McCollum misses 3-pt shot from 23 ft
11:37.0,Defensive rebound by H. Thompson,,0-0,,
11:32.0,,,0-0,,Personal foul by M. Plumlee
11:14.0,I. Canaan misses 2-pt shot from 18 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by D. Lillard
11:03.0,,,0-0,,A. Aminu misses 3-pt shot from 24 ft
11:03.0,Defensive rebound by I. Smith,,0-0,,
10:44.0,Shooting foul by A. Aminu (drawn by J. Grant),,0-0,,
10:44.0,J. Grant makes free throw 1 of 2,1,1-0,,
10:44.0,J. Grant misses free throw 2 of 2,,1-0,,
10:43.0,,,1-0,,Defensive rebound by M. Harkless
10:35.0,,,1-2,2,D. Lillard makes 2-pt shot from 19 ft
10:22.0,C. Landry makes 2-pt shot from 20 ft (assist by I. Smith),2,3-2,,
10:08.0,,,3-2,,C. McCollum misses 2-pt shot from 9 ft
10:05.0,,,3-2,,Offensive rebound by M. Plumlee
10:01.0,,,3-5,3,C. McCollum makes 3-pt shot from 23 ft (assist by D. Lillard)
9:52.0,I. Canaan misses 3-pt shot from 24 ft,,3-5,,
9:50.0,,,3-5,,Defensive rebound by M. Harkless
9:35.0,,,3-5,,Turnover by C. McCollum (lost ball; steal by H. Thompson)
9:26.0,H. Thompson makes 2-pt shot from 11 ft (assist by I. Smith),2,5-5,,
9:06.0,,,5-7,2,M. Harkless makes 2-pt shot at rim
8:55.0,C. Landry makes 2-pt shot from 17 ft (assist by I. Smith),2,7-7,,
8:32.0,,,7-9,2,M. Plumlee makes 2-pt shot from 6 ft (assist by C. McCollum)
8:17.0,I. Smith makes 3-pt shot from 23 ft (assist by C. Landry),3,10-9,,
7:59.0,,,10-9,,M. Harkless misses 3-pt shot from 22 ft
7:57.0,Defensive rebound by I. Canaan,,10-9,,
7:46.0,Turnover by J. Grant (lost ball; steal by C. McCollum),,10-9,,
7:40.0,,,10-11,2,C. McCollum makes 2-pt shot from 1 ft
7:24.0,Turnover by I. Smith (lost ball; steal by C. McCollum),,10-11,,
7:23.0,Personal foul by C. Landry,,10-11,,
7:06.0,,,10-14,3,A. Aminu makes 3-pt shot from 24 ft (assist by C. McCollum)
6:51.0,Turnover by J. Grant (step out of bounds),,10-14,,
6:42.0,,,10-14,,Shooting foul by C. Landry (drawn by M. Harkless)
6:42.0,,,10-15,1,M. Harkless makes free throw 1 of 2
6:42.0,R. Holmes enters the game for C. Landry,,10-15,,
6:42.0,R. Covington enters the game for H. Thompson,,10-15,,
6:42.0,,,10-16,1,M. Harkless makes free throw 2 of 2
6:32.0,I. Smith makes 2-pt shot from 7 ft,2,12-16,,
6:22.0,,,12-16,,D. Lillard misses 2-pt shot from 2 ft (block by R. Holmes)
6:21.0,Defensive rebound by R. Covington,,12-16,,
6:12.0,I. Canaan misses 2-pt shot from 18 ft,,12-16,,
