time,Brooklyn,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. A. Stoudemire (S. Karasev gains possession),,,,Jump ball: B. Lopez vs. A. Stoudemire (S. Karasev gains possession)
11:47.0,Jump ball: B. Lopez vs. A. Stoudemire (T. Young gains possession),,,,Jump ball: B. Lopez vs. A. Stoudemire (T. Young gains possession)
11:39.0,Shooting foul by J. Richardson (drawn by S. Larkin),,0-0,,
11:39.0,S. Larkin makes free throw 1 of 2,1,1-0,,
11:39.0,S. Larkin misses free throw 2 of 2,,1-0,,
11:38.0,,,1-0,,Defensive rebound by A. Stoudemire
11:26.0,,,1-2,2,A. Stoudemire makes 2-pt shot from 15 ft (assist by J. Johnson)
11:10.0,T. Young makes 2-pt shot from 1 ft,2,3-2,,
10:54.0,,,3-2,,D. Wade misses 2-pt shot from 8 ft
10:53.0,Defensive rebound by T. Young,,3-2,,
10:40.0,Turnover by B. Bogdanovic (lost ball; steal by A. Stoudemire),,3-2,,
10:30.0,,,3-2,,J. Johnson misses 2-pt shot at rim
10:29.0,Defensive rebound by S. Karasev,,3-2,,
10:23.0,B. Bogdanovic makes 2-pt shot from 6 ft (assist by S. Karasev),2,5-2,,
10:04.0,,,5-2,,L. Deng misses 3-pt shot from 24 ft
10:03.0,Defensive rebound by S. Karasev,,5-2,,
9:48.0,B. Lopez makes 2-pt shot from 1 ft (assist by S. Karasev),2,7-2,,
9:31.0,,,7-4,2,D. Wade makes 2-pt shot from 6 ft
9:20.0,Turnover by S. Larkin (lost ball; steal by J. Richardson),,7-4,,
9:16.0,,,7-4,,Turnover by J. Richardson (bad pass)
9:05.0,Offensive charge foul by B. Lopez,,7-4,,
9:05.0,Turnover by B. Lopez (offensive foul),,7-4,,
8:53.0,,,7-6,2,A. Stoudemire makes 2-pt shot at rim (assist by J. Johnson)
8:40.0,S. Larkin makes 2-pt shot from 20 ft,2,9-6,,
8:31.0,,,9-6,,Turnover by L. Deng (lost ball; steal by T. Young)
8:25.0,B. Bogdanovic makes 2-pt shot at rim (assist by T. Young),2,11-6,,
7:59.0,,,11-6,,Turnover by D. Wade (lost ball; steal by T. Young)
7:54.0,B. Bogdanovic misses 2-pt shot from 1 ft,,11-6,,
7:53.0,,,11-6,,Defensive rebound by J. Johnson
7:46.0,,,11-8,2,J. Richardson makes 2-pt shot from 17 ft (assist by J. Johnson)
7:22.0,B. Lopez misses 2-pt shot from 12 ft,,11-8,,
7:21.0,,,11-8,,Defensive rebound by D. Wade
7:16.0,Violation by B. Lopez (def goaltending),,11-8,,
7:16.0,,,11-10,2,D. Wade makes 2-pt shot from 2 ft
7:02.0,S. Karasev makes 2-pt shot from 17 ft,2,13-10,,
6:40.0,,,13-12,2,D. Wade makes 2-pt shot from 15 ft (assist by J. Johnson)
6:24.0,B. Lopez makes 2-pt shot from 1 ft (assist by S. Larkin),2,15-12,,
6:03.0,,,15-12,,L. Deng misses 2-pt shot from 5 ft
6:02.0,Defensive rebound by T. Young,,15-12,,
5:51.0,Turnover by S. Larkin (bad pass),,15-12,,
5:51.0,,,15-12,,Miami full timeout
5:51.0,,,15-12,,J. Winslow enters the game for J. Johnson
5:31.0,,,15-14,2,D. Wade makes 2-pt shot from 2 ft
5:07.0,B. Lopez misses 2-pt shot from 5 ft,,15-14,,
5:06.0,,,15-14,,Defensive rebound by J. Richardson
4:56.0,,,15-16,2,J. Richardson makes 2-pt shot from 15 ft
