time,Chicago,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. I. Mahinmi (T. Gibson gains possession),,,,Jump ball: P. Gasol vs. I. Mahinmi (T. Gibson gains possession)
11:46.0,M. Dunleavy makes 2-pt shot from 1 ft (assist by P. Gasol),2,2-0,,
11:30.0,,,2-0,,P. George misses 3-pt shot from 23 ft (block by P. Gasol)
11:29.0,Defensive rebound by J. Butler,,2-0,,
11:20.0,Turnover by P. Gasol (bad pass),,2-0,,
11:08.0,,,2-0,,M. Ellis misses 2-pt shot from 10 ft
11:07.0,Defensive rebound by P. Gasol,,2-0,,
10:48.0,P. Gasol makes 2-pt shot from 18 ft (assist by T. Gibson),2,4-0,,
10:34.0,,,4-2,2,I. Mahinmi makes 2-pt shot at rim
10:24.0,T. Gibson misses 2-pt shot at rim,,4-2,,
10:24.0,Offensive rebound by T. Gibson,,4-2,,
10:24.0,D. Rose misses 2-pt shot from 1 ft,,4-2,,
10:23.0,,,4-2,,Defensive rebound by M. Turner
10:08.0,,,4-4,2,I. Mahinmi makes 2-pt shot at rim (assist by M. Ellis)
9:47.0,T. Gibson misses 2-pt shot from 6 ft (block by I. Mahinmi),,4-4,,
9:47.0,Offensive rebound by P. Gasol,,4-4,,
9:44.0,P. Gasol makes 2-pt shot from 13 ft (assist by D. Rose),2,6-4,,
9:32.0,,,6-6,2,G. Hill makes 2-pt shot from 18 ft
9:16.0,P. Gasol misses 2-pt shot from 18 ft,,6-6,,
9:15.0,,,6-6,,Defensive rebound by M. Turner
9:10.0,Personal foul by D. Rose,,6-6,,
8:57.0,,,6-6,,M. Turner misses 2-pt shot from 3 ft
8:57.0,,,6-6,,Offensive rebound by Team
8:57.0,Loose ball foul by J. Butler,,6-6,,
8:49.0,,,6-6,,Turnover by I. Mahinmi (bad pass)
8:41.0,,,6-6,,Personal foul by M. Turner
8:32.0,J. Butler makes 2-pt shot at rim (assist by P. Gasol),2,8-6,,
8:21.0,,,8-6,,M. Ellis misses 2-pt shot at rim
8:20.0,Defensive rebound by P. Gasol,,8-6,,
8:01.0,Shooting foul by I. Mahinmi (drawn by P. Gasol),,8-6,,
8:01.0,P. Gasol makes free throw 1 of 3,1,9-6,,
8:01.0,P. Gasol misses free throw 2 of 3,,9-6,,
8:01.0,Offensive rebound by Team,,9-6,,
8:01.0,P. Gasol makes free throw 3 of 3,1,10-6,,
7:51.0,Personal foul by M. Dunleavy,,10-6,,
7:38.0,,,10-6,,I. Mahinmi misses 2-pt shot from 1 ft (block by P. Gasol)
7:37.0,Defensive rebound by T. Gibson,,10-6,,
7:24.0,D. Rose makes 2-pt shot from 15 ft,2,12-6,,
7:14.0,,,12-8,2,G. Hill makes 2-pt shot from 18 ft
6:56.0,D. Rose misses 2-pt shot at rim,,12-8,,
6:56.0,Offensive rebound by P. Gasol,,12-8,,
6:51.0,D. Rose makes 2-pt shot from 11 ft (assist by P. Gasol),2,14-8,,
6:32.0,,,14-8,,I. Mahinmi misses 2-pt shot from 6 ft
6:32.0,Defensive rebound by P. Gasol,,14-8,,
6:29.0,Turnover by P. Gasol (lost ball; steal by P. George),,14-8,,
6:28.0,,,14-10,2,I. Mahinmi makes 2-pt shot at rim (assist by P. George)
6:07.0,T. Gibson misses 2-pt shot from 11 ft,,14-10,,
6:05.0,,,14-10,,Defensive rebound by P. George
5:59.0,,,14-10,,M. Ellis misses 3-pt shot from 24 ft
5:57.0,Defensive rebound by J. Butler,,14-10,,
5:51.0,T. Gibson misses 2-pt shot from 1 ft (block by P. George),,14-10,,
5:51.0,Offensive rebound by Team,,14-10,,
5:51.0,,,14-10,,Indiana full timeout
5:46.0,,,14-10,,Personal foul by M. Turner
5:46.0,,,14-10,,L. Allen enters the game for M. Turner
5:41.0,Shooting foul by M. Ellis (drawn by M. Dunleavy),,14-10,,
5:41.0,M. Dunleavy misses free throw 1 of 2,,14-10,,
5:41.0,Offensive rebound by Team,,14-10,,
5:41.0,N. Mirotic enters the game for T. Gibson,,14-10,,
5:41.0,M. Dunleavy makes free throw 2 of 2,1,15-10,,
5:26.0,,,15-10,,Shooting foul by P. Gasol (drawn by P. George)
5:26.0,,,15-11,1,P. George makes free throw 1 of 2
5:26.0,,,15-12,1,P. George makes free throw 2 of 2
5:13.0,N. Mirotic misses 3-pt shot from 24 ft,,15-12,,
5:12.0,,,15-12,,Defensive rebound by I. Mahinmi
5:02.0,,,15-15,3,P. George makes 3-pt shot from 24 ft (assist by G. Hill)
4:42.0,P. Gasol misses 2-pt shot from 22 ft,,15-15,,
4:42.0,,,15-15,,Defensive rebound by L. Allen
4:27.0,,,15-17,2,I. Mahinmi makes 2-pt shot from 19 ft (assist by G. Hill)
4:24.0,Chicago full timeout,,15-17,,
4:24.0,A. Brooks enters the game for M. Dunleavy,,15-17,,
4:24.0,E. Moore enters the game for D. Rose,,15-17,,
4:11.0,J. Butler makes 2-pt shot from 19 ft,2,17-17,,
4:01.0,,,17-17,,G. Hill misses 3-pt shot from 25 ft
4:00.0,Defensive rebound by E. Moore,,17-17,,
3:36.0,Turnover by P. Gasol (lost ball; steal by P. George),,17-17,,
3:32.0,,,17-19,2,P. George makes 2-pt shot from 1 ft (assist by M. Ellis)
3:17.0,Shooting foul by L. Allen (drawn by N. Mirotic),,17-19,,
3:17.0,N. Mirotic makes free throw 1 of 2,1,18-19,,
3:17.0,,,18-19,,T. Lawson enters the game for M. Ellis
3:17.0,,,18-19,,R. Stuckey enters the game for G. Hill
3:17.0,N. Mirotic makes free throw 2 of 2,1,19-19,,
3:02.0,,,19-21,2,P. George makes 2-pt shot from 6 ft
2:42.0,N. Mirotic makes 3-pt shot from 25 ft (assist by P. Gasol),3,22-21,,
2:23.0,,,22-21,,L. Allen misses 2-pt shot from 4 ft
2:23.0,Defensive rebound by P. Gasol,,22-21,,
2:15.0,,,22-21,,Personal foul by P. George
2:15.0,J. Butler makes free throw 1 of 2,1,23-21,,
2:15.0,,,23-21,,S. Hill enters the game for I. Mahinmi
2:15.0,B. Portis enters the game for P. Gasol,,23-21,,
2:15.0,J. Butler makes free throw 2 of 2,1,24-21,,
1:56.0,,,24-23,2,T. Lawson makes 2-pt shot from 1 ft
1:43.0,N. Mirotic misses 3-pt shot from 25 ft,,24-23,,
1:43.0,,,24-23,,Defensive rebound by R. Stuckey
1:23.0,Personal foul by E. Moore,,24-23,,
1:23.0,,,24-24,1,R. Stuckey makes free throw 1 of 2
1:23.0,D. McDermott enters the game for J. Butler,,24-24,,
1:23.0,,,24-25,1,R. Stuckey makes free throw 2 of 2
1:04.0,A. Brooks makes 2-pt shot from 10 ft,2,26-25,,
0:45.0,,,26-25,,R. Stuckey misses 3-pt shot from 23 ft
0:44.0,Defensive rebound by D. McDermott,,26-25,,
0:39.0,,,26-25,,Personal foul by S. Hill
0:39.0,B. Portis makes free throw 1 of 2,1,27-25,,
0:39.0,B. Portis makes free throw 2 of 2,1,28-25,,
0:21.0,,,28-25,,P. George misses 2-pt shot from 21 ft
0:21.0,,,28-25,,Offensive rebound by L. Allen
0:20.0,,,28-27,2,L. Allen makes 2-pt shot at rim
0:04.0,Turnover by A. Brooks (bad pass),,28-27,,
0:00.0,,,28-27,,R. Stuckey misses 2-pt shot from 21 ft
0:00.0,,,28-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,28-29,2,J. Hill makes 2-pt shot from 1 ft (assist by R. Stuckey)
11:24.0,B. Portis makes 2-pt shot from 17 ft (assist by N. Mirotic),2,30-29,,
11:08.0,,,30-29,,S. Hill misses 3-pt shot from 23 ft
11:07.0,Defensive rebound by E. Moore,,30-29,,
11:03.0,Turnover by E. Moore (lost ball; steal by T. Lawson),,30-29,,
11:00.0,,,30-31,2,T. Lawson makes 2-pt shot at rim
10:47.0,B. Portis makes 2-pt shot at rim (assist by N. Mirotic),2,32-31,,
10:19.0,,,32-33,2,J. Hill makes 2-pt shot from 1 ft
10:08.0,E. Moore misses 3-pt shot from 27 ft,,32-33,,
10:07.0,,,32-33,,Defensive rebound by T. Lawson
10:01.0,,,32-35,2,T. Lawson makes 2-pt shot from 6 ft
9:48.0,A. Brooks makes 2-pt shot from 8 ft,2,34-35,,
9:34.0,,,34-35,,R. Stuckey misses 2-pt shot from 17 ft
9:33.0,Defensive rebound by B. Portis,,34-35,,
9:26.0,N. Mirotic makes 2-pt shot from 1 ft (assist by A. Brooks),2,36-35,,
9:26.0,Shooting foul by R. Stuckey (drawn by N. Mirotic),,36-35,,
9:26.0,J. Holiday enters the game for E. Moore,,36-35,,
9:26.0,T. Gibson enters the game for B. Portis,,36-35,,
9:26.0,N. Mirotic makes free throw 1 of 1,1,37-35,,
9:15.0,,,37-37,2,C. Miles makes 2-pt shot from 18 ft (assist by T. Lawson)
9:15.0,,,37-37,,Shooting foul by D. McDermott (drawn by C. Miles)
9:15.0,,,37-37,,C. Miles misses free throw 1 of 1
9:14.0,,,37-37,,Offensive rebound by J. Hill
9:11.0,,,37-37,,J. Hill misses 2-pt shot from 5 ft
9:11.0,Defensive rebound by T. Gibson,,37-37,,
8:51.0,D. McDermott makes 2-pt shot from 12 ft,2,39-37,,
8:51.0,Shooting foul by R. Stuckey (drawn by D. McDermott),,39-37,,
8:51.0,Official timeout,,39-37,,
8:51.0,D. McDermott makes free throw 1 of 1,1,40-37,,
8:33.0,,,40-37,,C. Miles misses 3-pt shot from 23 ft
8:33.0,Defensive rebound by N. Mirotic,,40-37,,
8:19.0,D. McDermott makes 3-pt shot from 24 ft (assist by A. Brooks),3,43-37,,
8:08.0,,,43-37,,C. Miles misses 2-pt shot from 10 ft
8:07.0,,,43-37,,Offensive rebound by J. Hill
7:52.0,,,43-37,,J. Hill misses 2-pt shot from 18 ft
7:51.0,Defensive rebound by D. McDermott,,43-37,,
7:36.0,D. McDermott misses 2-pt shot from 12 ft,,43-37,,
7:36.0,,,43-37,,Defensive rebound by R. Stuckey
7:27.0,,,43-40,3,C. Miles makes 3-pt shot from 25 ft (assist by R. Stuckey)
7:04.0,A. Brooks makes 3-pt shot from 28 ft,3,46-40,,
6:34.0,,,46-40,,Turnover by Team (shot clock)
6:34.0,D. Rose enters the game for D. McDermott,,46-40,,
6:34.0,J. Butler enters the game for J. Holiday,,46-40,,
6:19.0,Turnover by N. Mirotic (lost ball; steal by R. Stuckey),,46-40,,
6:09.0,,,46-42,2,T. Lawson makes 2-pt shot from 10 ft
5:51.0,J. Butler misses 3-pt shot from 25 ft,,46-42,,
5:51.0,,,46-42,,Defensive rebound by S. Hill
5:42.0,,,46-42,,S. Hill misses 3-pt shot from 24 ft
5:41.0,Defensive rebound by D. Rose,,46-42,,
5:33.0,N. Mirotic makes 3-pt shot from 26 ft (assist by J. Butler),3,49-42,,
5:26.0,,,49-42,,Indiana full timeout
5:26.0,P. Gasol enters the game for T. Gibson,,49-42,,
5:26.0,M. Dunleavy enters the game for A. Brooks,,49-42,,
5:26.0,,,49-42,,G. Hill enters the game for T. Lawson
5:26.0,,,49-42,,P. George enters the game for R. Stuckey
5:26.0,,,49-42,,M. Ellis enters the game for C. Miles
5:14.0,,,49-42,,M. Ellis misses 3-pt shot from 25 ft
5:12.0,,,49-42,,Offensive rebound by P. George
5:08.0,,,49-44,2,J. Hill makes 2-pt shot at rim (assist by P. George)
4:46.0,N. Mirotic makes 3-pt shot from 23 ft (assist by J. Butler),3,52-44,,
4:35.0,Shooting block foul by N. Mirotic (drawn by M. Ellis),,52-44,,
4:35.0,,,52-45,1,M. Ellis makes free throw 1 of 2
4:35.0,,,52-45,,I. Mahinmi enters the game for J. Hill
4:35.0,,,52-46,1,M. Ellis makes free throw 2 of 2
4:21.0,P. Gasol makes 2-pt shot at rim (assist by D. Rose),2,54-46,,
4:07.0,,,54-48,2,P. George makes 2-pt shot from 12 ft
3:47.0,N. Mirotic makes 3-pt shot from 23 ft (assist by J. Butler),3,57-48,,
3:31.0,,,57-50,2,I. Mahinmi makes 2-pt shot at rim (assist by M. Ellis)
3:12.0,D. Rose misses 2-pt shot at rim,,57-50,,
3:11.0,,,57-50,,Defensive rebound by S. Hill
3:05.0,,,57-50,,S. Hill misses 2-pt shot from 1 ft
3:04.0,Defensive rebound by P. Gasol,,57-50,,
2:48.0,N. Mirotic makes 3-pt shot from 22 ft (assist by P. Gasol),3,60-50,,
2:48.0,,,60-50,,Indiana full timeout
2:48.0,Chicago full timeout,,60-50,,
2:33.0,,,60-50,,Shooting foul by N. Mirotic (drawn by S. Hill)
2:33.0,,,60-51,1,S. Hill makes free throw 1 of 2
2:33.0,,,60-52,1,S. Hill makes free throw 2 of 2
2:21.0,N. Mirotic misses 3-pt shot from 27 ft,,60-52,,
2:19.0,,,60-52,,Defensive rebound by G. Hill
2:14.0,,,60-52,,G. Hill misses 2-pt shot from 1 ft
2:13.0,Defensive rebound by N. Mirotic,,60-52,,
2:07.0,M. Dunleavy misses 3-pt shot from 26 ft,,60-52,,
2:07.0,,,60-52,,Defensive rebound by P. George
1:57.0,,,60-54,2,I. Mahinmi makes 2-pt shot at rim (assist by P. George)
1:35.0,P. Gasol misses 3-pt shot from 25 ft,,60-54,,
1:35.0,,,60-54,,Defensive rebound by Team
1:32.0,Personal block foul by M. Dunleavy,,60-54,,
1:19.0,,,60-54,,P. George misses 3-pt shot from 24 ft
