time,Phoenix,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. G. Monroe (A. Len gains possession),,,,Jump ball: T. Chandler vs. G. Monroe (A. Len gains possession)
11:49.0,,,0-0,,Personal foul by G. Antetokounmpo
11:43.0,P. Tucker misses 3-pt shot from 23 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by J. Bayless
11:21.0,,,0-2,2,K. Middleton makes 2-pt shot from 6 ft (assist by J. Parker)
11:06.0,A. Len makes 2-pt shot from 1 ft (assist by B. Knight),2,2-2,,
10:46.0,,,2-2,,J. Parker misses 3-pt shot from 22 ft
10:44.0,Defensive rebound by B. Knight,,2-2,,
10:35.0,,,2-2,,Personal foul by K. Middleton
10:22.0,P. Tucker makes 2-pt shot from 7 ft (assist by A. Len),2,4-2,,
10:03.0,,,4-4,2,J. Parker makes 2-pt shot from 19 ft (assist by J. Bayless)
9:53.0,D. Booker makes 3-pt shot from 30 ft (assist by A. Len),3,7-4,,
9:39.0,,,7-6,2,K. Middleton makes 2-pt shot from 4 ft
9:35.0,Shooting foul by J. Parker (drawn by P. Tucker),,7-6,,
9:35.0,P. Tucker makes free throw 1 of 2,1,8-6,,
9:35.0,P. Tucker makes free throw 2 of 2,1,9-6,,
9:26.0,,,9-6,,J. Parker misses 2-pt shot from 3 ft
9:25.0,Defensive rebound by A. Len,,9-6,,
9:20.0,D. Booker misses 2-pt shot from 1 ft,,9-6,,
9:18.0,Offensive rebound by T. Chandler,,9-6,,
9:17.0,T. Chandler makes 2-pt shot at rim,2,11-6,,
8:58.0,,,11-9,3,K. Middleton makes 3-pt shot from 25 ft (assist by G. Monroe)
8:46.0,Turnover by D. Booker (lost ball; steal by J. Bayless),,11-9,,
8:43.0,,,11-9,,Shooting foul by B. Knight (drawn by J. Parker)
8:43.0,,,11-10,1,J. Parker makes free throw 1 of 2
8:43.0,,,11-11,1,J. Parker makes free throw 2 of 2
8:31.0,B. Knight misses 3-pt shot from 27 ft,,11-11,,
8:30.0,,,11-11,,Defensive rebound by G. Monroe
8:20.0,,,11-11,,J. Bayless misses 2-pt shot from 20 ft
8:19.0,Defensive rebound by A. Len,,11-11,,
8:08.0,B. Knight misses 2-pt shot from 15 ft,,11-11,,
8:07.0,,,11-11,,Defensive rebound by K. Middleton
7:59.0,,,11-11,,J. Bayless misses 3-pt shot from 27 ft
7:58.0,Defensive rebound by A. Len,,11-11,,
7:47.0,,,11-11,,Violation by G. Monroe (kicked ball)
7:34.0,T. Chandler makes 2-pt shot from 3 ft (assist by A. Len),2,13-11,,
7:17.0,,,13-11,,J. Parker misses 2-pt shot from 14 ft
7:15.0,Defensive rebound by D. Booker,,13-11,,
7:05.0,T. Chandler makes 2-pt shot at rim (assist by P. Tucker),2,15-11,,
7:05.0,Shooting foul by G. Antetokounmpo (drawn by T. Chandler),,15-11,,
7:05.0,T. Chandler makes free throw 1 of 1,1,16-11,,
6:55.0,,,16-13,2,G. Antetokounmpo makes 2-pt shot at rim
6:28.0,B. Knight makes 2-pt shot from 4 ft (assist by A. Len),2,18-13,,
6:18.0,,,18-13,,Shooting foul by T. Chandler (drawn by J. Parker)
6:18.0,,,18-14,1,J. Parker makes free throw 1 of 2
6:18.0,,,18-15,1,J. Parker makes free throw 2 of 2
6:07.0,Turnover by T. Chandler (3 sec),,18-15,,
5:56.0,,,18-17,2,G. Monroe makes 2-pt shot from 15 ft (assist by G. Antetokounmpo)
5:40.0,Turnover by B. Knight (step out of bounds),,18-17,,
5:40.0,,,18-17,,Milwaukee full timeout
5:34.0,,,18-17,,Turnover by J. Bayless (traveling)
5:25.0,B. Knight makes 3-pt shot from 26 ft (assist by P. Tucker),3,21-17,,
5:09.0,Def 3 sec tech foul by A. Len,,21-17,,
5:09.0,,,21-18,1,K. Middleton makes technical free throw
4:58.0,,,21-20,2,J. Bayless makes 2-pt shot from 16 ft (assist by J. Parker)
4:40.0,T. Chandler misses 2-pt shot at rim (block by G. Monroe),,21-20,,
4:37.0,,,21-20,,Defensive rebound by G. Antetokounmpo
4:30.0,,,21-20,,Shooting foul by T. Chandler (drawn by G. Monroe)
4:30.0,,,21-21,1,G. Monroe makes free throw 1 of 2
4:30.0,,,21-21,,J. Henson enters the game for G. Antetokounmpo
4:30.0,J. Leuer enters the game for T. Chandler,,21-21,,
4:30.0,,,21-22,1,G. Monroe makes free throw 2 of 2
4:12.0,A. Len makes 2-pt shot from 14 ft (assist by D. Booker),2,23-22,,
3:59.0,,,23-24,2,K. Middleton makes 2-pt shot from 14 ft
3:40.0,D. Booker makes 3-pt shot from 29 ft (assist by P. Tucker),3,26-24,,
3:30.0,,,26-24,,Offensive foul by K. Middleton
3:30.0,,,26-24,,Turnover by K. Middleton (offensive foul)
3:18.0,D. Booker misses 3-pt shot from 25 ft,,26-24,,
3:17.0,Offensive rebound by A. Len,,26-24,,
3:14.0,A. Len misses 2-pt shot at rim (block by J. Henson),,26-24,,
3:12.0,Offensive rebound by A. Len,,26-24,,
3:11.0,A. Len makes 2-pt shot at rim,2,28-24,,
2:59.0,,,28-26,2,J. Parker makes 2-pt shot at rim (assist by G. Monroe)
2:46.0,P. Tucker makes 2-pt shot from 11 ft (assist by J. Leuer),2,30-26,,
2:26.0,,,30-26,,G. Monroe misses 2-pt shot from 1 ft
2:25.0,,,30-26,,Offensive rebound by J. Parker
2:20.0,,,30-28,2,G. Monroe makes 2-pt shot from 5 ft (assist by J. Parker)
2:08.0,J. Leuer misses 3-pt shot from 26 ft,,30-28,,
2:06.0,,,30-28,,Defensive rebound by K. Middleton
1:48.0,,,30-28,,J. Henson misses 2-pt shot from 5 ft
1:47.0,Defensive rebound by B. Knight,,30-28,,
1:44.0,J. Leuer misses 2-pt shot from 1 ft,,30-28,,
1:43.0,Offensive rebound by D. Booker,,30-28,,
1:42.0,D. Booker makes 2-pt shot from 6 ft,2,32-28,,
1:42.0,,,32-28,,Violation by J. Henson (def goaltending)
1:42.0,,,32-28,,Milwaukee full timeout
1:42.0,Phoenix full timeout,,32-28,,
1:42.0,,,32-28,,T. Ennis enters the game for G. Monroe
1:42.0,,,32-28,,M. Plumlee enters the game for J. Bayless
