time,Boston,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Johnson (S. Curry gains possession),,,,Jump ball: A. Bogut vs. A. Johnson (S. Curry gains possession)
11:39.0,,,0-3,3,D. Green makes 3-pt shot from 25 ft
11:14.0,J. Sullinger misses 2-pt shot from 18 ft,,0-3,,
11:13.0,,,0-3,,Defensive rebound by S. Curry
11:09.0,,,0-3,,Turnover by S. Curry (bad pass)
11:00.0,A. Bradley misses 2-pt shot from 16 ft,,0-3,,
10:59.0,,,0-3,,Defensive rebound by D. Green
10:48.0,,,0-6,3,D. Green makes 3-pt shot from 23 ft (assist by A. Bogut)
10:35.0,E. Turner makes 2-pt shot from 18 ft (assist by J. Sullinger),2,2-6,,
10:25.0,,,2-6,,D. Green misses 3-pt shot from 28 ft
10:24.0,Defensive rebound by J. Sullinger,,2-6,,
10:16.0,A. Bradley misses 2-pt shot from 6 ft (block by D. Green),,2-6,,
10:15.0,Offensive rebound by A. Bradley,,2-6,,
10:10.0,E. Turner misses 2-pt shot from 12 ft,,2-6,,
10:09.0,Offensive rebound by J. Sullinger,,2-6,,
10:07.0,Turnover by J. Sullinger (lost ball; steal by K. Thompson),,2-6,,
9:54.0,,,2-6,,Turnover by S. Curry (lost ball; steal by E. Turner)
9:48.0,A. Johnson makes 2-pt shot from 1 ft (assist by E. Turner),2,4-6,,
9:24.0,,,4-6,,A. Bogut misses 2-pt shot from 12 ft
9:20.0,Defensive rebound by A. Johnson,,4-6,,
9:13.0,I. Thomas misses 3-pt shot from 24 ft,,4-6,,
9:12.0,,,4-6,,Defensive rebound by A. Bogut
9:07.0,,,4-6,,Turnover by S. Curry (bad pass)
8:48.0,A. Johnson misses 2-pt shot from 9 ft,,4-6,,
8:46.0,Offensive rebound by Team,,4-6,,
8:39.0,Turnover by E. Turner (lost ball; steal by D. Green),,4-6,,
8:27.0,,,4-9,3,H. Barnes makes 3-pt shot from 23 ft (assist by S. Curry)
8:04.0,I. Thomas misses 3-pt shot from 25 ft,,4-9,,
8:03.0,,,4-9,,Defensive rebound by D. Green
7:56.0,,,4-9,,Turnover by S. Curry (lost ball)
7:46.0,J. Sullinger makes 2-pt shot from 14 ft (assist by A. Bradley),2,6-9,,
7:33.0,,,6-9,,H. Barnes misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by A. Bradley,,6-9,,
7:18.0,J. Sullinger makes 3-pt shot from 25 ft (assist by A. Johnson),3,9-9,,
7:17.0,,,9-9,,Golden State full timeout
7:04.0,,,9-9,,K. Thompson misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by A. Johnson,,9-9,,
6:47.0,I. Thomas misses 2-pt shot from 7 ft,,9-9,,
6:46.0,,,9-9,,Defensive rebound by D. Green
6:46.0,Jump ball: D. Green vs. A. Johnson (H. Barnes gains possession),,,,Jump ball: D. Green vs. A. Johnson (H. Barnes gains possession)
6:27.0,,,9-9,,Turnover by A. Bogut (lost ball; steal by I. Thomas)
6:17.0,E. Turner makes 2-pt shot from 9 ft,2,11-9,,
6:04.0,,,11-9,,S. Curry misses 3-pt shot from 24 ft
6:04.0,Defensive rebound by A. Johnson,,11-9,,
5:49.0,Shooting foul by A. Bogut (drawn by J. Sullinger),,11-9,,
5:49.0,J. Sullinger misses free throw 1 of 2,,11-9,,
5:49.0,Offensive rebound by Team,,11-9,,
5:49.0,J. Sullinger misses free throw 2 of 2,,11-9,,
5:48.0,,,11-9,,Defensive rebound by H. Barnes
5:37.0,,,11-9,,Turnover by S. Curry (lost ball; steal by J. Sullinger)
5:31.0,Shooting foul by A. Bogut (drawn by A. Johnson),,11-9,,
5:31.0,A. Johnson makes free throw 1 of 2,1,12-9,,
5:31.0,,,12-9,,A. Varejao enters the game for A. Bogut
5:31.0,M. Smart enters the game for E. Turner,,12-9,,
5:31.0,,,12-9,,L. Barbosa enters the game for K. Thompson
5:31.0,A. Johnson misses free throw 2 of 2,,12-9,,
5:27.0,,,12-9,,Defensive rebound by A. Varejao
5:11.0,,,12-9,,S. Curry misses 2-pt shot from 15 ft
5:09.0,,,12-9,,Offensive rebound by A. Varejao
5:03.0,Personal block foul by A. Johnson,,12-9,,
4:55.0,,,12-11,2,A. Varejao makes 2-pt shot from 5 ft (assist by D. Green)
4:40.0,J. Sullinger misses 2-pt shot from 18 ft,,12-11,,
4:39.0,,,12-11,,Defensive rebound by S. Curry
4:29.0,,,12-11,,D. Green misses 3-pt shot from 26 ft
4:27.0,Defensive rebound by J. Sullinger,,12-11,,
4:20.0,I. Thomas misses 3-pt shot from 26 ft,,12-11,,
4:20.0,,,12-11,,Defensive rebound by A. Varejao
4:12.0,,,12-11,,Shooting foul by J. Sullinger (drawn by D. Green)
4:12.0,,,12-12,1,D. Green makes free throw 1 of 2
4:12.0,K. Olynyk enters the game for A. Johnson,,12-12,,
4:12.0,,,12-13,1,D. Green makes free throw 2 of 2
3:55.0,A. Bradley makes 2-pt shot from 17 ft (assist by I. Thomas),2,14-13,,
3:50.0,,,14-13,,Shooting foul by K. Olynyk (drawn by A. Varejao)
3:50.0,,,14-13,,A. Varejao misses free throw 1 of 2
