time,Minnesota,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:43.0,,,0-0,,T. Lyles misses 2-pt shot from 3 ft
12:00.0,Jump ball: R. Gobert vs. K. Towns (S. Mack gains possession),,,,Jump ball: R. Gobert vs. K. Towns (S. Mack gains possession)
11:43.0,Defensive rebound by R. Rubio,,0-0,,
11:29.0,A. Wiggins misses 3-pt shot from 24 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by S. Mack
11:10.0,,,0-3,3,T. Lyles makes 3-pt shot from 23 ft (assist by G. Hayward)
11:01.0,Minnesota full timeout,,0-3,,
10:46.0,R. Rubio misses 2-pt shot from 11 ft,,0-3,,
10:46.0,Offensive rebound by K. Towns,,0-3,,
10:43.0,K. Towns makes 2-pt shot from 2 ft,2,2-3,,
10:26.0,,,2-6,3,T. Lyles makes 3-pt shot from 24 ft
10:05.0,Turnover by R. Rubio (lost ball; steal by G. Hayward),,2-6,,
10:03.0,Personal foul by R. Rubio,,2-6,,
9:50.0,,,2-6,,Shooting foul by G. Dieng (drawn by R. Gobert)
9:50.0,,,2-6,,R. Gobert misses free throw 1 of 2
9:50.0,,,2-6,,Offensive rebound by Team
9:50.0,,,2-6,,R. Gobert misses free throw 2 of 2
9:50.0,Defensive rebound by K. Towns,,2-6,,
9:33.0,G. Dieng makes 2-pt shot from 15 ft (assist by A. Wiggins),2,4-6,,
9:24.0,Personal foul by R. Rubio,,4-6,,
9:06.0,,,4-8,2,G. Hayward makes 2-pt shot from 22 ft (assist by S. Mack)
8:53.0,R. Rubio makes 3-pt shot from 24 ft (assist by Z. LaVine),3,7-8,,
8:34.0,,,7-8,,Offensive charge foul by S. Mack
8:34.0,,,7-8,,Turnover by S. Mack (offensive foul)
8:34.0,T. Prince enters the game for R. Rubio,,7-8,,
8:20.0,G. Dieng makes 2-pt shot from 17 ft,2,9-8,,
7:58.0,,,9-8,,T. Lyles misses 3-pt shot from 23 ft
7:58.0,,,9-8,,Offensive rebound by R. Gobert
7:55.0,,,9-8,,Turnover by R. Gobert (lost ball; steal by G. Dieng)
7:42.0,G. Dieng misses 2-pt shot from 2 ft,,9-8,,
7:42.0,,,9-8,,Defensive rebound by R. Hood
7:35.0,,,9-8,,G. Hayward misses 3-pt shot from 23 ft
7:34.0,,,9-8,,Offensive rebound by R. Gobert
7:20.0,,,9-8,,G. Hayward misses 3-pt shot from 24 ft
7:20.0,Defensive rebound by G. Dieng,,9-8,,
7:11.0,A. Wiggins misses 2-pt shot from 1 ft,,9-8,,
7:10.0,Offensive rebound by A. Wiggins,,9-8,,
7:10.0,,,9-8,,Violation by R. Hood (def goaltending)
7:10.0,A. Wiggins makes 2-pt shot from 1 ft,2,11-8,,
6:54.0,,,11-8,,G. Hayward misses 2-pt shot from 10 ft
6:53.0,Defensive rebound by K. Towns,,11-8,,
6:32.0,K. Towns misses 2-pt shot from 15 ft,,11-8,,
6:31.0,,,11-8,,Defensive rebound by G. Hayward
6:19.0,Personal foul by G. Dieng,,11-8,,
6:19.0,G. Smith enters the game for G. Dieng,,11-8,,
6:08.0,,,11-10,2,G. Hayward makes 2-pt shot at rim
5:49.0,A. Wiggins misses 2-pt shot from 18 ft,,11-10,,
5:48.0,Offensive rebound by G. Smith,,11-10,,
5:39.0,T. Prince misses 2-pt shot from 18 ft,,11-10,,
5:38.0,,,11-10,,Defensive rebound by R. Gobert
5:30.0,,,11-12,2,T. Lyles makes 2-pt shot from 3 ft
5:07.0,T. Prince misses 2-pt shot from 14 ft,,11-12,,
5:07.0,Offensive rebound by A. Wiggins,,11-12,,
5:06.0,Offensive foul by A. Wiggins,,11-12,,
5:06.0,Turnover by A. Wiggins (offensive foul),,11-12,,
5:06.0,,,11-12,,T. Booker enters the game for R. Gobert
4:43.0,,,11-14,2,S. Mack makes 2-pt shot from 6 ft
4:28.0,Z. LaVine misses 2-pt shot at rim,,11-14,,
4:27.0,,,11-14,,Defensive rebound by G. Hayward
4:20.0,,,11-16,2,T. Lyles makes 2-pt shot from 1 ft (assist by G. Hayward)
3:59.0,K. Towns misses 2-pt shot from 20 ft,,11-16,,
3:58.0,,,11-16,,Defensive rebound by T. Booker
3:50.0,,,11-19,3,S. Mack makes 3-pt shot from 24 ft
3:50.0,Minnesota full timeout,,11-19,,
3:50.0,N. Bjelica enters the game for G. Smith,,11-19,,
3:35.0,A. Wiggins makes 2-pt shot from 2 ft,2,13-19,,
3:11.0,,,13-19,,S. Mack misses 2-pt shot from 1 ft
3:10.0,Defensive rebound by T. Prince,,13-19,,
3:02.0,N. Bjelica makes 3-pt shot from 23 ft (assist by Z. LaVine),3,16-19,,
2:39.0,,,16-21,2,R. Hood makes 2-pt shot from 16 ft
2:25.0,A. Wiggins makes 3-pt shot from 24 ft (assist by K. Towns),3,19-21,,
2:21.0,,,19-21,,Utah full timeout
2:21.0,,,19-21,,J. Ingles enters the game for R. Hood
2:21.0,,,19-21,,R. Gobert enters the game for T. Lyles
2:11.0,,,19-21,,G. Hayward misses 3-pt shot from 24 ft
2:11.0,Defensive rebound by K. Towns,,19-21,,
1:50.0,A. Wiggins misses 3-pt shot from 25 ft,,19-21,,
1:49.0,,,19-21,,Defensive rebound by G. Hayward
1:39.0,,,19-23,2,G. Hayward makes 2-pt shot from 6 ft
1:17.0,A. Wiggins makes 3-pt shot from 25 ft (assist by K. Towns),3,22-23,,
0:53.0,,,22-23,,S. Mack misses 2-pt shot from 23 ft
0:53.0,Defensive rebound by K. Towns,,22-23,,
0:42.0,Turnover by Z. LaVine (lost ball; steal by S. Mack),,22-23,,
0:38.0,,,22-25,2,G. Hayward makes 2-pt shot at rim (assist by S. Mack)
0:32.0,Z. LaVine misses 2-pt shot from 22 ft,,22-25,,
0:31.0,,,22-25,,Defensive rebound by J. Ingles
0:07.0,,,22-25,,J. Ingles misses 3-pt shot from 22 ft
