time,Detroit,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. P. Gasol (E. Moore gains possession),,,,Jump ball: A. Drummond vs. P. Gasol (E. Moore gains possession)
11:42.0,,,0-0,,P. Gasol misses 2-pt shot from 12 ft
11:42.0,Defensive rebound by Team,,0-0,,
11:27.0,A. Drummond misses 2-pt shot from 8 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by P. Gasol
11:03.0,,,0-0,,Turnover by Team (shot clock)
10:54.0,T. Harris misses 2-pt shot from 20 ft,,0-0,,
10:53.0,,,0-0,,Defensive rebound by E. Moore
10:42.0,,,0-2,2,P. Gasol makes 2-pt shot from 18 ft (assist by J. Butler)
10:15.0,R. Jackson makes 3-pt shot from 24 ft,3,3-2,,
9:54.0,,,3-5,3,P. Gasol makes 3-pt shot from 23 ft (assist by J. Butler)
9:38.0,T. Harris makes 2-pt shot from 18 ft (assist by R. Jackson),2,5-5,,
9:22.0,,,5-5,,P. Gasol misses 2-pt shot from 20 ft
9:21.0,Defensive rebound by T. Harris,,5-5,,
9:16.0,Turnover by R. Jackson (lost ball; steal by J. Butler),,5-5,,
9:12.0,,,5-5,,J. Butler misses 2-pt shot from 3 ft
9:11.0,,,5-5,,Offensive rebound by B. Portis
9:11.0,,,5-7,2,B. Portis makes 2-pt shot from 3 ft
8:51.0,R. Jackson misses 2-pt shot from 1 ft,,5-7,,
8:50.0,,,5-7,,Defensive rebound by P. Gasol
8:38.0,,,5-7,,J. Butler misses 2-pt shot from 1 ft (block by M. Morris)
8:36.0,,,5-7,,Offensive rebound by J. Butler
8:36.0,,,5-9,2,J. Butler makes 2-pt shot from 2 ft
8:21.0,M. Morris makes 3-pt shot from 24 ft (assist by T. Harris),3,8-9,,
8:06.0,,,8-11,2,P. Gasol makes 2-pt shot from 2 ft (assist by J. Butler)
7:43.0,T. Harris misses 3-pt shot from 23 ft,,8-11,,
7:42.0,,,8-11,,Defensive rebound by P. Gasol
7:27.0,,,8-13,2,B. Portis makes 2-pt shot from 9 ft (assist by J. Butler)
7:12.0,T. Harris makes 2-pt shot from 15 ft (assist by R. Jackson),2,10-13,,
6:55.0,,,10-15,2,M. Dunleavy makes 2-pt shot from 1 ft (assist by P. Gasol)
6:29.0,Turnover by A. Drummond (3 sec),,10-15,,
6:17.0,,,10-15,,Turnover by E. Moore (bad pass)
6:01.0,M. Morris makes 2-pt shot from 17 ft (assist by R. Jackson),2,12-15,,
5:48.0,,,12-17,2,J. Butler makes 2-pt shot from 2 ft
5:32.0,Shooting foul by B. Portis (drawn by M. Morris),,12-17,,
5:32.0,,,12-17,,Chicago full timeout
5:32.0,M. Morris misses free throw 1 of 3,,12-17,,
5:32.0,Offensive rebound by Team,,12-17,,
5:32.0,M. Morris makes free throw 2 of 3,1,13-17,,
5:32.0,M. Morris makes free throw 3 of 3,1,14-17,,
5:10.0,,,14-20,3,E. Moore makes 3-pt shot from 24 ft (assist by J. Butler)
4:56.0,T. Harris makes 2-pt shot from 1 ft,2,16-20,,
4:42.0,,,16-20,,B. Portis misses 2-pt shot from 2 ft
4:41.0,Defensive rebound by A. Drummond,,16-20,,
4:36.0,R. Jackson misses 3-pt shot from 25 ft,,16-20,,
4:35.0,,,16-20,,Defensive rebound by J. Butler
4:31.0,Personal foul by T. Harris,,16-20,,
4:31.0,,,16-20,,D. McDermott enters the game for M. Dunleavy
4:31.0,,,16-20,,N. Mirotic enters the game for B. Portis
4:16.0,,,16-20,,E. Moore misses 2-pt shot from 22 ft
4:15.0,Defensive rebound by A. Drummond,,16-20,,
4:06.0,K. Caldwell-Pope makes 2-pt shot from 11 ft (assist by A. Drummond),2,18-20,,
4:06.0,Shooting foul by D. McDermott (drawn by K. Caldwell-Pope),,18-20,,
4:06.0,S. Johnson enters the game for M. Morris,,18-20,,
4:06.0,K. Caldwell-Pope misses free throw 1 of 1,,18-20,,
4:05.0,,,18-20,,Defensive rebound by P. Gasol
3:50.0,,,18-23,3,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Butler)
3:40.0,Detroit full timeout,,18-23,,
3:32.0,A. Drummond misses 2-pt shot from 1 ft (block by P. Gasol),,18-23,,
3:30.0,Offensive rebound by A. Drummond,,18-23,,
3:30.0,A. Drummond makes 2-pt shot from 1 ft,2,20-23,,
3:09.0,,,20-25,2,J. Butler makes 2-pt shot from 1 ft
2:53.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,20-25,,
2:51.0,,,20-25,,Defensive rebound by E. Moore
2:40.0,,,20-25,,N. Mirotic misses 3-pt shot from 24 ft
2:39.0,Defensive rebound by K. Caldwell-Pope,,20-25,,
