time,Detroit,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:34.0,A. Drummond misses 2-pt shot from 10 ft,,0-0,,
12:00.0,Jump ball: D. Dedmon vs. A. Drummond (T. Harris gains possession),,,,Jump ball: D. Dedmon vs. A. Drummond (T. Harris gains possession)
11:33.0,,,0-0,,Defensive rebound by V. Oladipo
11:22.0,,,0-0,,V. Oladipo misses 2-pt shot from 22 ft
11:22.0,Defensive rebound by A. Drummond,,0-0,,
11:20.0,Turnover by A. Drummond (lost ball; steal by E. Payton),,0-0,,
11:18.0,,,0-2,2,E. Payton makes 2-pt shot at rim
10:57.0,A. Drummond makes 2-pt shot from 5 ft,2,2-2,,
10:42.0,,,2-2,,E. Fournier misses 3-pt shot from 25 ft
10:41.0,,,2-2,,Offensive rebound by D. Dedmon
10:35.0,Personal foul by A. Drummond,,2-2,,
10:24.0,,,2-4,2,E. Fournier makes 2-pt shot from 2 ft (assist by V. Oladipo)
10:06.0,T. Harris misses 2-pt shot from 6 ft,,2-4,,
10:06.0,Offensive rebound by A. Drummond,,2-4,,
10:03.0,A. Drummond misses 2-pt shot at rim (block by D. Dedmon),,2-4,,
10:02.0,Offensive rebound by R. Jackson,,2-4,,
9:50.0,M. Morris misses 2-pt shot from 1 ft,,2-4,,
9:50.0,,,2-4,,Defensive rebound by V. Oladipo
9:45.0,,,2-4,,Shooting foul by T. Harris (drawn by A. Gordon)
9:45.0,,,2-4,,A. Gordon misses free throw 1 of 2
9:45.0,,,2-4,,Offensive rebound by Team
9:45.0,,,2-4,,A. Gordon misses free throw 2 of 2
9:44.0,,,2-4,,Offensive rebound by D. Dedmon
9:38.0,,,2-4,,Turnover by E. Fournier (lost ball; steal by T. Harris)
9:27.0,R. Jackson makes 3-pt shot from 24 ft (assist by M. Morris),3,5-4,,
9:03.0,,,5-4,,E. Fournier misses 2-pt shot from 2 ft (block by A. Drummond)
9:02.0,Defensive rebound by M. Morris,,5-4,,
8:50.0,A. Drummond makes 2-pt shot from 7 ft,2,7-4,,
8:42.0,,,7-4,,Turnover by E. Payton (bad pass)
8:28.0,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson),3,10-4,,
8:11.0,,,10-4,,E. Fournier misses 3-pt shot from 23 ft
8:11.0,Defensive rebound by Team,,10-4,,
7:53.0,M. Morris misses 2-pt shot from 13 ft,,10-4,,
7:52.0,Offensive rebound by K. Caldwell-Pope,,10-4,,
7:46.0,R. Jackson misses 3-pt shot from 25 ft,,10-4,,
7:45.0,,,10-4,,Defensive rebound by E. Payton
7:37.0,,,10-4,,E. Fournier misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by A. Drummond,,10-4,,
7:19.0,T. Harris makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,13-4,,
7:10.0,,,13-4,,Orlando full timeout
