time,Oklahoma City,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Plumlee (E. Kanter gains possession),,,,Jump ball: S. Adams vs. M. Plumlee (E. Kanter gains possession)
11:38.0,E. Kanter makes 2-pt shot from 7 ft,2,2-0,,
11:13.0,,,2-0,,A. Aminu misses 3-pt shot from 24 ft
11:13.0,,,2-0,,Offensive rebound by Team
11:05.0,,,2-0,,A. Aminu misses 3-pt shot from 25 ft
11:04.0,Defensive rebound by R. Foye,,2-0,,
10:45.0,A. Morrow makes 2-pt shot from 18 ft,2,4-0,,
10:21.0,,,4-3,3,A. Aminu makes 3-pt shot from 25 ft (assist by M. Harkless)
10:05.0,Turnover by S. Adams (bad pass),,4-3,,
9:57.0,,,4-5,2,A. Aminu makes 2-pt shot from 1 ft (assist by D. Lillard)
9:57.0,,,4-5,,Shooting foul by S. Adams (drawn by A. Aminu)
9:57.0,,,4-6,1,A. Aminu makes free throw 1 of 1
9:47.0,D. Waiters makes 2-pt shot from 1 ft,2,6-6,,
9:35.0,,,6-6,,D. Lillard misses 3-pt shot from 24 ft
9:34.0,Defensive rebound by S. Adams,,6-6,,
9:24.0,R. Foye misses 2-pt shot from 4 ft,,6-6,,
9:23.0,,,6-6,,Defensive rebound by M. Plumlee
9:18.0,,,6-9,3,C. McCollum makes 3-pt shot from 25 ft (assist by M. Harkless)
9:05.0,Shooting foul by C. McCollum (drawn by D. Waiters),,6-9,,
9:05.0,D. Waiters misses free throw 1 of 2,,6-9,,
9:05.0,Offensive rebound by Team,,6-9,,
9:05.0,D. Waiters misses free throw 2 of 2,,6-9,,
9:05.0,Offensive rebound by E. Kanter,,6-9,,
8:56.0,Turnover by D. Waiters (bad pass),,6-9,,
8:37.0,,,6-12,3,M. Harkless makes 3-pt shot from 22 ft (assist by M. Plumlee)
8:21.0,Turnover by E. Kanter (lost ball),,6-12,,
8:10.0,,,6-12,,C. McCollum misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by S. Adams,,6-12,,
7:58.0,R. Foye misses 2-pt shot from 18 ft,,6-12,,
7:56.0,,,6-12,,Defensive rebound by A. Aminu
7:47.0,,,6-15,3,A. Aminu makes 3-pt shot from 25 ft (assist by M. Plumlee)
7:47.0,Oklahoma City full timeout,,6-15,,
7:38.0,Turnover by D. Waiters (lost ball; steal by A. Aminu),,6-15,,
7:33.0,,,6-17,2,A. Aminu makes 2-pt shot from 1 ft (assist by D. Lillard)
