time,Brooklyn,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. T. Robinson (M. Morris gains possession),,,,Jump ball: M. Gortat vs. T. Robinson (M. Morris gains possession)
11:43.0,,,0-2,2,B. Beal makes 2-pt shot from 1 ft (assist by M. Gortat)
11:21.0,B. Bogdanovic misses 2-pt shot from 9 ft (block by M. Gortat),,0-2,,
11:20.0,Offensive rebound by Team,,0-2,,
11:11.0,T. Robinson misses 2-pt shot from 9 ft,,0-2,,
11:10.0,,,0-2,,Defensive rebound by R. Sessions
10:58.0,,,0-4,2,M. Gortat makes 2-pt shot from 6 ft (assist by R. Sessions)
10:35.0,B. Bogdanovic misses 2-pt shot from 2 ft,,0-4,,
10:33.0,,,0-4,,Defensive rebound by M. Gortat
10:27.0,,,0-7,3,B. Beal makes 3-pt shot from 27 ft (assist by R. Sessions)
10:12.0,W. Ellington misses 2-pt shot from 10 ft,,0-7,,
10:10.0,,,0-7,,Defensive rebound by R. Sessions
10:09.0,Personal foul by R. Hollis-Jefferson,,0-7,,
9:55.0,,,0-9,2,O. Porter makes 2-pt shot from 13 ft
9:54.0,Brooklyn full timeout,,0-9,,
9:42.0,S. Larkin makes 2-pt shot at rim (assist by R. Hollis-Jefferson),2,2-9,,
9:29.0,,,2-9,,Turnover by M. Morris (bad pass)
9:17.0,R. Hollis-Jefferson misses 2-pt shot from 18 ft,,2-9,,
9:15.0,Offensive rebound by W. Ellington,,2-9,,
9:09.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by S. Larkin),2,4-9,,
8:58.0,,,4-9,,M. Morris misses 2-pt shot from 17 ft
8:57.0,Defensive rebound by B. Bogdanovic,,4-9,,
8:45.0,R. Hollis-Jefferson misses 2-pt shot from 8 ft (block by M. Gortat),,4-9,,
8:44.0,Offensive rebound by T. Robinson,,4-9,,
8:42.0,T. Robinson makes 2-pt shot at rim,2,6-9,,
8:32.0,,,6-9,,B. Beal misses 3-pt shot from 26 ft
8:31.0,Defensive rebound by W. Ellington,,6-9,,
8:20.0,W. Ellington misses 3-pt shot from 23 ft,,6-9,,
8:19.0,,,6-9,,Defensive rebound by M. Morris
8:08.0,,,6-11,2,O. Porter makes 2-pt shot from 1 ft (assist by R. Sessions)
8:08.0,,,6-11,,Shooting foul by S. Larkin (drawn by O. Porter)
8:08.0,,,6-12,1,O. Porter makes free throw 1 of 1
7:49.0,R. Hollis-Jefferson misses 2-pt shot from 13 ft,,6-12,,
7:48.0,,,6-12,,Defensive rebound by O. Porter
7:42.0,,,6-12,,Turnover by O. Porter (lost ball; steal by R. Hollis-Jefferson)
7:37.0,B. Bogdanovic misses 2-pt shot from 3 ft (block by O. Porter),,6-12,,
7:37.0,Offensive rebound by Team,,6-12,,
7:23.0,W. Ellington misses 3-pt shot from 23 ft,,6-12,,
7:19.0,Offensive rebound by T. Robinson,,6-12,,
7:15.0,W. Ellington makes 3-pt shot from 26 ft (assist by T. Robinson),3,9-12,,
6:57.0,,,9-15,3,R. Sessions makes 3-pt shot from 28 ft (assist by B. Beal)
6:40.0,T. Robinson makes 2-pt shot from 5 ft (assist by S. Larkin),2,11-15,,
6:24.0,,,11-17,2,M. Morris makes 2-pt shot at rim (assist by R. Sessions)
6:06.0,B. Bogdanovic makes 2-pt shot from 20 ft (assist by W. Ellington),2,13-17,,
5:59.0,,,13-17,,Turnover by R. Sessions (traveling)
5:44.0,B. Bogdanovic makes 2-pt shot from 12 ft,2,15-17,,
5:35.0,,,15-17,,O. Porter misses 3-pt shot from 22 ft
5:33.0,Defensive rebound by R. Hollis-Jefferson,,15-17,,
5:22.0,S. Larkin misses 2-pt shot from 9 ft,,15-17,,
5:21.0,Offensive rebound by S. Larkin,,15-17,,
5:12.0,T. Robinson makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson),2,17-17,,
5:12.0,,,17-17,,Washington full timeout
4:59.0,,,17-19,2,M. Gortat makes 2-pt shot from 11 ft (assist by R. Sessions)
4:40.0,W. Ellington makes 2-pt shot from 22 ft (assist by S. Larkin),2,19-19,,
4:17.0,,,19-19,,Shooting foul by R. Hollis-Jefferson (drawn by M. Morris)
4:17.0,,,19-19,,M. Morris misses free throw 1 of 2
4:17.0,,,19-19,,Offensive rebound by Team
4:17.0,,,19-19,,G. Temple enters the game for B. Beal
4:17.0,,,19-20,1,M. Morris makes free throw 2 of 2
4:01.0,,,19-20,,Personal foul by O. Porter
3:55.0,T. Robinson makes 2-pt shot from 5 ft (assist by S. Larkin),2,21-20,,
3:55.0,Shooting foul by M. Gortat (drawn by T. Robinson),,21-20,,
3:55.0,T. Robinson misses free throw 1 of 1,,21-20,,
3:54.0,,,21-20,,Defensive rebound by O. Porter
3:38.0,,,21-20,,M. Gortat misses 2-pt shot from 9 ft
3:37.0,Defensive rebound by R. Hollis-Jefferson,,21-20,,
3:26.0,Turnover by S. Larkin (lost ball; steal by G. Temple),,21-20,,
3:21.0,,,21-22,2,R. Sessions makes 2-pt shot from 1 ft (assist by G. Temple)
3:09.0,R. Hollis-Jefferson misses 3-pt shot from 26 ft,,21-22,,
3:09.0,Offensive rebound by Team,,21-22,,
3:09.0,,,21-22,,Loose ball foul by M. Gortat
3:09.0,,,21-22,,N. Hilario enters the game for M. Gortat
3:09.0,S. Kilpatrick enters the game for R. Hollis-Jefferson,,21-22,,
