time,Golden State,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Barnes vs. F. Ezeli (D. Green gains possession),,,,Jump ball: M. Barnes vs. F. Ezeli (D. Green gains possession)
11:45.0,D. Green makes 3-pt shot from 22 ft (assist by F. Ezeli),3,3-0,,
11:15.0,,,3-3,3,L. Stephenson makes 3-pt shot from 24 ft
11:02.0,H. Barnes makes 3-pt shot from 23 ft (assist by S. Curry),3,6-3,,
10:46.0,,,6-6,3,M. Barnes makes 3-pt shot from 23 ft (assist by V. Carter)
10:34.0,K. Thompson misses 2-pt shot from 21 ft,,6-6,,
10:33.0,,,6-6,,Defensive rebound by M. Barnes
10:27.0,,,6-6,,M. Barnes misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by F. Ezeli,,6-6,,
10:21.0,Turnover by D. Green (lost ball; steal by J. Farmar),,6-6,,
10:15.0,,,6-6,,J. Farmar misses 3-pt shot from 24 ft
10:13.0,Defensive rebound by D. Green,,6-6,,
10:05.0,D. Green misses 3-pt shot from 26 ft,,6-6,,
10:04.0,,,6-6,,Defensive rebound by J. Farmar
9:47.0,,,6-8,2,Z. Randolph makes 2-pt shot from 18 ft (assist by J. Farmar)
9:41.0,Golden State full timeout,,6-8,,
9:31.0,F. Ezeli makes 2-pt shot from 2 ft (assist by S. Curry),2,8-8,,
9:31.0,Shooting foul by M. Barnes (drawn by F. Ezeli),,8-8,,
9:31.0,F. Ezeli makes free throw 1 of 1,1,9-8,,
9:10.0,,,9-10,2,L. Stephenson makes 2-pt shot from 5 ft
8:54.0,K. Thompson misses 3-pt shot from 24 ft,,9-10,,
8:53.0,,,9-10,,Defensive rebound by M. Barnes
8:39.0,,,9-12,2,V. Carter makes 2-pt shot from 18 ft (assist by M. Barnes)
8:32.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,11-12,,
8:17.0,,,11-15,3,M. Barnes makes 3-pt shot from 23 ft (assist by J. Farmar)
8:01.0,H. Barnes misses 2-pt shot from 17 ft,,11-15,,
8:00.0,,,11-15,,Defensive rebound by L. Stephenson
7:43.0,,,11-17,2,V. Carter makes 2-pt shot from 6 ft
7:26.0,H. Barnes makes 2-pt shot from 13 ft,2,13-17,,
7:09.0,,,13-17,,Z. Randolph misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by D. Green,,13-17,,
6:59.0,S. Curry makes 2-pt shot from 17 ft,2,15-17,,
6:44.0,,,15-17,,Turnover by Z. Randolph (traveling)
6:36.0,K. Thompson makes 2-pt shot from 2 ft,2,17-17,,
6:36.0,Shooting foul by V. Carter (drawn by K. Thompson),,17-17,,
6:36.0,K. Thompson makes free throw 1 of 1,1,18-17,,
6:34.0,,,18-17,,Turnover by M. Barnes (lost ball; steal by K. Thompson)
