time,Minnesota,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. K. Towns (G. Dieng gains possession),,,,Jump ball: M. Plumlee vs. K. Towns (G. Dieng gains possession)
11:48.0,A. Wiggins misses 3-pt shot from 25 ft,,0-0,,
11:48.0,,,0-0,,Defensive rebound by A. Aminu
11:35.0,,,0-0,,M. Harkless misses 2-pt shot from 2 ft (block by G. Dieng)
11:33.0,Defensive rebound by K. Towns,,0-0,,
11:28.0,K. Towns misses 2-pt shot from 17 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by D. Lillard
11:13.0,,,0-0,,C. McCollum misses 2-pt shot from 7 ft
11:12.0,,,0-0,,Offensive rebound by C. McCollum
11:00.0,,,0-0,,M. Harkless misses 3-pt shot from 25 ft
10:59.0,,,0-0,,Offensive rebound by M. Plumlee
10:56.0,,,0-0,,A. Aminu misses 2-pt shot from 7 ft (block by Z. LaVine)
10:56.0,,,0-0,,Offensive rebound by Team
10:48.0,,,0-0,,C. McCollum misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by R. Rubio,,0-0,,
10:42.0,Turnover by G. Dieng (traveling),,0-0,,
10:28.0,,,0-0,,Shooting foul by G. Dieng (drawn by C. McCollum)
10:28.0,,,0-1,1,C. McCollum makes free throw 1 of 2
10:28.0,,,0-2,1,C. McCollum makes free throw 2 of 2
10:13.0,K. Towns misses 2-pt shot from 10 ft,,0-2,,
10:11.0,,,0-2,,Defensive rebound by M. Plumlee
10:08.0,,,0-2,,Turnover by D. Lillard (lost ball; steal by R. Rubio)
10:06.0,Turnover by R. Rubio (bad pass),,0-2,,
9:50.0,,,0-5,3,D. Lillard makes 3-pt shot from 25 ft
9:29.0,G. Dieng misses 2-pt shot from 18 ft,,0-5,,
9:29.0,,,0-5,,Defensive rebound by M. Plumlee
9:20.0,,,0-5,,D. Lillard misses 2-pt shot from 18 ft
9:20.0,Defensive rebound by R. Rubio,,0-5,,
9:15.0,Shooting foul by A. Aminu (drawn by G. Dieng),,0-5,,
9:15.0,G. Dieng makes free throw 1 of 2,1,1-5,,
9:15.0,G. Dieng makes free throw 2 of 2,1,2-5,,
9:02.0,,,2-5,,D. Lillard misses 2-pt shot from 1 ft
9:02.0,Defensive rebound by Team,,2-5,,
8:46.0,A. Wiggins misses 2-pt shot from 15 ft,,2-5,,
8:46.0,,,2-5,,Defensive rebound by M. Plumlee
8:36.0,,,2-5,,Turnover by C. McCollum (lost ball; steal by R. Rubio)
8:24.0,Z. LaVine makes 3-pt shot from 25 ft (assist by K. Towns),3,5-5,,
8:05.0,,,5-7,2,C. McCollum makes 2-pt shot from 2 ft
7:51.0,R. Rubio makes 2-pt shot from 16 ft,2,7-7,,
7:29.0,,,7-7,,Shooting foul by A. Wiggins (drawn by M. Plumlee)
7:29.0,,,7-9,2,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard)
7:29.0,,,7-10,1,M. Plumlee makes free throw 1 of 1
7:17.0,Shooting foul by M. Plumlee (drawn by G. Dieng),,7-10,,
