time,Philadelphia,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. J. Valanciunas (N. Powell gains possession),,,,Jump ball: N. Noel vs. J. Valanciunas (N. Powell gains possession)
11:45.0,,,0-0,,D. DeRozan misses 2-pt shot from 17 ft
11:44.0,,,0-0,,Offensive rebound by J. Valanciunas
11:43.0,,,0-2,2,J. Valanciunas makes 2-pt shot from 1 ft
11:26.0,J. Grant makes 2-pt shot from 4 ft (assist by N. Noel),2,2-2,,
11:26.0,Shooting foul by N. Powell (drawn by J. Grant),,2-2,,
11:26.0,J. Grant makes free throw 1 of 1,1,3-2,,
11:04.0,,,3-4,2,L. Scola makes 2-pt shot from 3 ft
10:42.0,N. Noel misses 2-pt shot from 9 ft,,3-4,,
10:41.0,,,3-4,,Defensive rebound by D. DeRozan
10:30.0,,,3-4,,J. Valanciunas misses 2-pt shot from 19 ft
10:29.0,Defensive rebound by N. Noel,,3-4,,
10:20.0,Shooting foul by L. Scola (drawn by N. Noel),,3-4,,
10:20.0,N. Noel makes free throw 1 of 2,1,4-4,,
10:20.0,N. Noel misses free throw 2 of 2,,4-4,,
10:19.0,,,4-4,,Defensive rebound by J. Valanciunas
10:01.0,,,4-4,,Turnover by D. DeRozan (lost ball; steal by N. Noel)
9:52.0,N. Stauskas makes 3-pt shot from 24 ft (assist by I. Smith),3,7-4,,
9:24.0,,,7-6,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
9:04.0,I. Smith makes 3-pt shot from 24 ft (assist by N. Noel),3,10-6,,
8:42.0,,,10-6,,J. Valanciunas misses 2-pt shot from 2 ft
8:41.0,Defensive rebound by N. Noel,,10-6,,
8:25.0,N. Stauskas misses 3-pt shot from 25 ft,,10-6,,
8:25.0,,,10-6,,Defensive rebound by J. Valanciunas
8:09.0,,,10-6,,J. Valanciunas misses 2-pt shot from 1 ft
8:09.0,,,10-6,,Offensive rebound by Team
8:00.0,,,10-6,,K. Lowry misses 2-pt shot from 12 ft
7:59.0,,,10-6,,Offensive rebound by J. Valanciunas
7:57.0,,,10-8,2,J. Valanciunas makes 2-pt shot at rim
7:44.0,J. Grant makes 3-pt shot from 24 ft (assist by R. Covington),3,13-8,,
7:29.0,,,13-10,2,N. Powell makes 2-pt shot from 16 ft
7:12.0,R. Covington misses 3-pt shot from 23 ft,,13-10,,
7:12.0,,,13-10,,Defensive rebound by J. Valanciunas
7:03.0,,,13-10,,L. Scola misses 2-pt shot from 4 ft (block by J. Grant)
7:02.0,Defensive rebound by I. Smith,,13-10,,
6:57.0,Turnover by I. Smith (lost ball; steal by K. Lowry),,13-10,,
6:49.0,,,13-10,,L. Scola misses 2-pt shot from 11 ft
6:48.0,Defensive rebound by N. Noel,,13-10,,
6:35.0,I. Smith makes 2-pt shot from 11 ft,2,15-10,,
6:18.0,,,15-12,2,L. Scola makes 2-pt shot from 3 ft
6:18.0,Philadelphia full timeout,,15-12,,
5:58.0,Turnover by N. Stauskas (lost ball; steal by K. Lowry),,15-12,,
5:56.0,Personal foul by N. Noel,,15-12,,
5:39.0,,,15-14,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan)
5:25.0,J. Grant misses 2-pt shot from 2 ft (block by L. Scola),,15-14,,
5:25.0,,,15-14,,Defensive rebound by Team
5:25.0,H. Thompson enters the game for R. Covington,,15-14,,
5:13.0,,,15-17,3,L. Scola makes 3-pt shot from 23 ft (assist by D. DeRozan)
5:03.0,N. Noel misses 2-pt shot from 3 ft,,15-17,,
5:02.0,,,15-17,,Defensive rebound by L. Scola
4:55.0,,,15-17,,D. DeRozan misses 3-pt shot from 24 ft
4:54.0,,,15-17,,Offensive rebound by Team
4:54.0,Loose ball foul by J. Grant,,15-17,,
4:54.0,C. Wood enters the game for N. Noel,,15-17,,
4:37.0,,,15-19,2,J. Valanciunas makes 2-pt shot at rim
4:12.0,Turnover by J. Grant (offensive foul),,15-19,,
4:12.0,Offensive charge foul by J. Grant,,15-19,,
3:47.0,,,15-19,,L. Scola misses 2-pt shot from 15 ft
3:46.0,,,15-19,,Offensive rebound by J. Valanciunas
3:45.0,,,15-19,,J. Valanciunas misses 2-pt shot at rim
3:45.0,,,15-19,,Offensive rebound by Team
3:45.0,N. Noel enters the game for J. Grant,,15-19,,
3:45.0,T. McConnell enters the game for N. Stauskas,,15-19,,
3:45.0,,,15-19,,L. Nogueira enters the game for J. Valanciunas
3:39.0,,,15-22,3,K. Lowry makes 3-pt shot from 26 ft (assist by L. Scola)
3:14.0,I. Smith makes 3-pt shot from 28 ft (assist by T. McConnell),3,18-22,,
3:04.0,,,18-22,,K. Lowry misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by C. Wood,,18-22,,
2:54.0,H. Thompson misses 3-pt shot from 23 ft,,18-22,,
2:54.0,,,18-22,,Defensive rebound by L. Scola
2:45.0,,,18-24,2,D. DeRozan makes 2-pt shot from 2 ft
2:25.0,C. Wood makes 2-pt shot from 2 ft,2,20-24,,
2:16.0,,,20-27,3,L. Scola makes 3-pt shot from 26 ft (assist by K. Lowry)
1:49.0,I. Smith makes 2-pt shot from 3 ft,2,22-27,,
1:40.0,,,22-27,,Toronto full timeout
1:40.0,K. Marshall enters the game for I. Smith,,22-27,,
1:40.0,,,22-27,,D. Wright enters the game for D. DeRozan
1:40.0,,,22-27,,D. Carroll enters the game for K. Lowry
1:30.0,,,22-27,,L. Scola misses 3-pt shot from 26 ft
1:30.0,Defensive rebound by K. Marshall,,22-27,,
1:20.0,C. Wood misses 2-pt shot from 4 ft,,22-27,,
1:20.0,,,22-27,,Defensive rebound by L. Scola
1:06.0,,,22-27,,Turnover by D. Wright (palming)
0:57.0,Shooting foul by L. Nogueira (drawn by N. Noel),,22-27,,
0:57.0,N. Noel makes free throw 1 of 2,1,23-27,,
0:57.0,N. Noel misses free throw 2 of 2,,23-27,,
0:57.0,,,23-27,,Defensive rebound by L. Nogueira
0:36.0,,,23-29,2,N. Powell makes 2-pt shot from 20 ft
0:27.0,H. Thompson misses 3-pt shot from 25 ft,,23-29,,
0:26.0,,,23-29,,Defensive rebound by D. Wright
0:04.0,,,23-32,3,N. Powell makes 3-pt shot from 28 ft
0:00.0,T. McConnell misses 2-pt shot from 20 ft,,23-32,,
0:00.0,Offensive rebound by Team,,23-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Shooting foul by L. Nogueira (drawn by C. Wood),,23-32,,
11:49.0,C. Wood makes free throw 1 of 2,1,24-32,,
11:49.0,C. Wood makes free throw 2 of 2,1,25-32,,
11:32.0,,,25-32,,D. Carroll misses 2-pt shot from 12 ft (block by C. Wood)
11:31.0,Defensive rebound by K. Marshall,,25-32,,
11:24.0,H. Thompson makes 3-pt shot from 25 ft (assist by R. Covington),3,28-32,,
11:01.0,,,28-34,2,D. Wright makes 2-pt shot from 19 ft
10:54.0,Turnover by K. Marshall (lost ball; steal by L. Nogueira),,28-34,,
10:45.0,,,28-34,,Turnover by D. Carroll (lost ball; steal by H. Thompson)
10:40.0,R. Covington misses 2-pt shot at rim (block by D. Wright),,28-34,,
10:40.0,Offensive rebound by Team,,28-34,,
10:32.0,Shooting foul by L. Nogueira (drawn by C. Wood),,28-34,,
10:32.0,C. Wood misses free throw 1 of 2,,28-34,,
10:32.0,Offensive rebound by Team,,28-34,,
10:32.0,,,28-34,,B. Biyombo enters the game for L. Nogueira
10:32.0,C. Wood misses free throw 2 of 2,,28-34,,
10:31.0,,,28-34,,Defensive rebound by D. Carroll
10:10.0,,,28-34,,J. Thompson misses 3-pt shot from 26 ft
10:09.0,Defensive rebound by C. Wood,,28-34,,
10:02.0,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell),3,31-34,,
9:33.0,,,31-36,2,B. Biyombo makes 2-pt shot from 15 ft
9:13.0,H. Thompson misses 3-pt shot from 24 ft,,31-36,,
9:12.0,,,31-36,,Defensive rebound by J. Thompson
9:03.0,,,31-36,,D. Wright misses 2-pt shot from 2 ft
9:03.0,Defensive rebound by K. Marshall,,31-36,,
