time,Miami,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. H. Whiteside (L. Deng gains possession),,,,Jump ball: A. Jefferson vs. H. Whiteside (L. Deng gains possession)
11:37.0,D. Wade misses 2-pt shot from 8 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by C. Lee
11:21.0,,,0-0,,K. Walker misses 3-pt shot from 26 ft
11:19.0,Defensive rebound by D. Wade,,0-0,,
11:08.0,L. Deng makes 3-pt shot from 25 ft (assist by D. Wade),3,3-0,,
10:52.0,,,3-0,,M. Williams misses 2-pt shot at rim (block by J. Johnson)
10:50.0,Defensive rebound by L. Deng,,3-0,,
10:46.0,L. Deng misses 2-pt shot from 1 ft,,3-0,,
10:45.0,,,3-0,,Defensive rebound by F. Kaminsky
10:36.0,,,3-0,,K. Walker misses 2-pt shot from 10 ft
10:35.0,Defensive rebound by L. Deng,,3-0,,
10:18.0,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson),2,5-0,,
10:01.0,,,5-0,,A. Jefferson misses 2-pt shot from 8 ft
10:00.0,Defensive rebound by J. Johnson,,5-0,,
9:56.0,G. Dragic misses 2-pt shot from 1 ft (block by K. Walker),,5-0,,
9:56.0,,,5-0,,Defensive rebound by Team
9:37.0,,,5-2,2,A. Jefferson makes 2-pt shot from 7 ft
9:26.0,G. Dragic misses 2-pt shot from 4 ft,,5-2,,
9:25.0,,,5-2,,Defensive rebound by A. Jefferson
9:04.0,,,5-2,,A. Jefferson misses 2-pt shot from 11 ft
9:03.0,Defensive rebound by L. Deng,,5-2,,
8:51.0,G. Dragic makes 3-pt shot from 24 ft (assist by D. Wade),3,8-2,,
8:33.0,,,8-4,2,K. Walker makes 2-pt shot from 2 ft
8:12.0,,,8-4,,Personal foul by F. Kaminsky
7:53.0,Turnover by H. Whiteside (3 sec),,8-4,,
7:45.0,,,8-4,,A. Jefferson misses 2-pt shot from 5 ft (block by H. Whiteside)
7:43.0,Defensive rebound by G. Dragic,,8-4,,
7:39.0,L. Deng misses 3-pt shot from 26 ft,,8-4,,
7:37.0,,,8-4,,Defensive rebound by A. Jefferson
7:23.0,,,8-4,,C. Lee misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by H. Whiteside,,8-4,,
7:10.0,D. Wade makes 2-pt shot from 7 ft,2,10-4,,
6:53.0,Personal foul by L. Deng,,10-4,,
6:45.0,,,10-4,,K. Walker misses 2-pt shot from 15 ft
6:44.0,Defensive rebound by H. Whiteside,,10-4,,
6:31.0,J. Johnson makes 3-pt shot from 24 ft (assist by D. Wade),3,13-4,,
6:25.0,,,13-4,,Charlotte full timeout
6:25.0,,,13-4,,J. Lin enters the game for C. Lee
6:18.0,Personal foul by D. Wade,,13-4,,
6:10.0,,,13-4,,Shooting foul by D. Wade (drawn by J. Lin)
6:10.0,,,13-5,1,J. Lin makes free throw 1 of 2
6:10.0,J. Richardson enters the game for D. Wade,,13-5,,
6:10.0,,,13-6,1,J. Lin makes free throw 2 of 2
5:53.0,G. Dragic makes 2-pt shot from 2 ft (assist by J. Richardson),2,15-6,,
5:36.0,,,15-8,2,A. Jefferson makes 2-pt shot from 1 ft (assist by M. Williams)
5:19.0,H. Whiteside makes 2-pt shot from 1 ft (assist by L. Deng),2,17-8,,
5:19.0,Shooting foul by F. Kaminsky (drawn by H. Whiteside),,17-8,,
5:19.0,J. Winslow enters the game for L. Deng,,17-8,,
5:19.0,,,17-8,,C. Lee enters the game for F. Kaminsky
5:19.0,H. Whiteside misses free throw 1 of 1,,17-8,,
5:18.0,,,17-8,,Defensive rebound by Team
4:55.0,,,17-8,,K. Walker misses 2-pt shot from 7 ft
4:53.0,,,17-8,,Offensive rebound by A. Jefferson
4:53.0,,,17-8,,A. Jefferson misses 2-pt shot at rim
4:52.0,Defensive rebound by H. Whiteside,,17-8,,
4:43.0,J. Winslow misses 2-pt shot from 19 ft,,17-8,,
4:42.0,,,17-8,,Defensive rebound by M. Williams
4:26.0,,,17-10,2,A. Jefferson makes 2-pt shot from 8 ft
4:12.0,G. Dragic makes 2-pt shot from 3 ft,2,19-10,,
3:50.0,,,19-10,,Shooting foul by H. Whiteside (drawn by A. Jefferson)
3:50.0,,,19-10,,A. Jefferson misses free throw 1 of 2
3:50.0,,,19-10,,Offensive rebound by Team
3:50.0,A. Stoudemire enters the game for H. Whiteside,,19-10,,
3:50.0,,,19-11,1,A. Jefferson makes free throw 2 of 2
3:40.0,J. Johnson misses 2-pt shot from 18 ft,,19-11,,
3:39.0,,,19-11,,Defensive rebound by M. Williams
3:32.0,,,19-11,,Turnover by C. Lee (bad pass)
3:32.0,,,19-11,,C. Zeller enters the game for A. Jefferson
3:23.0,Turnover by G. Dragic (lost ball),,19-11,,
3:13.0,,,19-11,,Turnover by K. Walker (lost ball)
3:11.0,Miami full timeout,,19-11,,
3:11.0,,,19-11,,S. Hawes enters the game for M. Williams
2:53.0,J. Richardson misses 2-pt shot from 1 ft,,19-11,,
2:51.0,,,19-11,,Defensive rebound by C. Zeller
2:41.0,,,19-11,,Turnover by C. Lee (lost ball; steal by G. Dragic)
2:33.0,A. Stoudemire makes 2-pt shot at rim (assist by G. Dragic),2,21-11,,
2:33.0,Shooting foul by S. Hawes (drawn by A. Stoudemire),,21-11,,
2:33.0,A. Stoudemire makes free throw 1 of 1,1,22-11,,
2:18.0,,,22-11,,C. Zeller misses 2-pt shot from 1 ft
2:17.0,Defensive rebound by J. Johnson,,22-11,,
2:09.0,G. Dragic misses 2-pt shot from 15 ft,,22-11,,
2:08.0,,,22-11,,Defensive rebound by C. Zeller
2:01.0,,,22-11,,Shooting foul by A. Stoudemire (drawn by J. Lin)
2:01.0,,,22-12,1,J. Lin makes free throw 1 of 2
2:01.0,,,22-13,1,J. Lin makes free throw 2 of 2
1:44.0,Turnover by J. Johnson (lost ball; steal by J. Lin),,22-13,,
1:25.0,,,22-15,2,K. Walker makes 2-pt shot from 3 ft
1:25.0,,,22-15,,Shooting foul by J. Richardson (drawn by K. Walker)
1:25.0,L. Deng enters the game for J. Johnson,,22-15,,
1:25.0,,,22-16,1,K. Walker makes free throw 1 of 1
1:14.0,L. Deng makes 2-pt shot from 19 ft (assist by G. Dragic),2,24-16,,
1:00.0,,,24-16,,C. Lee misses 2-pt shot from 14 ft
0:59.0,Defensive rebound by L. Deng,,24-16,,
0:50.0,G. Dragic misses 3-pt shot from 25 ft,,24-16,,
0:49.0,,,24-16,,Defensive rebound by C. Lee
0:43.0,,,24-18,2,J. Lin makes 2-pt shot from 1 ft
0:43.0,,,24-18,,Shooting foul by A. Stoudemire (drawn by J. Lin)
0:43.0,,,24-19,1,J. Lin makes free throw 1 of 1
0:27.0,,,24-19,,Personal foul by J. Lin
0:17.0,L. Deng makes 2-pt shot from 1 ft (assist by G. Dragic),2,26-19,,
0:04.0,,,26-19,,K. Walker misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by J. Winslow,,26-19,,
0:01.0,J. Winslow misses 3-pt shot from 61 ft,,26-19,,
0:00.0,Offensive rebound by Team,,26-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,26-19,,J. Lin misses 2-pt shot from 3 ft (block by A. Stoudemire)
11:39.0,Defensive rebound by A. Stoudemire,,26-19,,
11:25.0,D. Wade misses 2-pt shot from 19 ft,,26-19,,
11:24.0,,,26-19,,Defensive rebound by C. Zeller
11:04.0,,,26-19,,S. Hawes misses 2-pt shot from 8 ft
11:02.0,Defensive rebound by J. Winslow,,26-19,,
10:48.0,Shooting foul by M. Williams (drawn by L. Deng),,26-19,,
10:48.0,L. Deng makes free throw 1 of 3,1,27-19,,
10:48.0,L. Deng makes free throw 2 of 3,1,28-19,,
10:48.0,L. Deng makes free throw 3 of 3,1,29-19,,
