time,Washington,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Gortat (M. Morris gains possession),,,,Jump ball: M. Gasol vs. M. Gortat (M. Morris gains possession)
11:46.0,O. Porter misses 3-pt shot from 25 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by J. Ennis
11:33.0,,,0-0,,M. Gasol misses 2-pt shot from 23 ft
11:31.0,Defensive rebound by M. Morris,,0-0,,
11:21.0,B. Beal misses 2-pt shot from 2 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by J. Ennis
11:12.0,,,0-3,3,M. Gasol makes 3-pt shot from 25 ft (assist by M. Conley)
10:46.0,J. Wall misses 3-pt shot from 26 ft,,0-3,,
10:45.0,,,0-3,,Defensive rebound by J. Green
10:37.0,,,0-3,,M. Conley misses 2-pt shot from 17 ft
10:37.0,,,0-3,,Offensive rebound by Team
10:37.0,Loose ball foul by O. Porter (drawn by J. Green),,0-3,,
10:37.0,,,0-3,,Turnover by J. Martin (bad pass)
10:24.0,M. Morris misses 2-pt shot from 13 ft,,0-3,,
10:21.0,,,0-3,,Defensive rebound by M. Gasol
10:12.0,,,0-3,,Turnover by J. Ennis (lost ball; steal by M. Morris)
10:06.0,B. Beal makes 2-pt shot from 3 ft (assist by J. Wall),2,2-3,,
9:52.0,,,2-3,,M. Conley misses 2-pt shot from 3 ft
9:49.0,Defensive rebound by M. Gortat,,2-3,,
9:45.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,5-3,,
9:19.0,,,5-3,,J. Martin misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by M. Gortat,,5-3,,
9:10.0,B. Beal misses 3-pt shot from 24 ft,,5-3,,
9:08.0,,,5-3,,Defensive rebound by J. Green
8:56.0,Personal foul by M. Gortat (drawn by M. Gasol),,5-3,,
8:46.0,,,5-3,,M. Gasol misses 3-pt shot from 25 ft
8:46.0,,,5-3,,Offensive rebound by Team
8:46.0,Loose ball foul by M. Morris (drawn by J. Green),,5-3,,
8:35.0,,,5-3,,M. Gasol misses 2-pt shot from 10 ft
8:35.0,,,5-3,,Offensive rebound by J. Ennis
8:35.0,,,5-3,,Shooting foul by M. Morris (drawn by J. Ennis)
8:35.0,,,5-4,1,J. Ennis makes free throw 1 of 2
8:35.0,Technical foul by M. Morris (drawn by J. Ennis),,5-4,,
8:35.0,,,5-4,,J. Ennis misses technical free throw
8:35.0,,,5-4,,Offensive rebound by Team
8:35.0,,,5-4,,J. Ennis misses free throw 2 of 2
8:35.0,Defensive rebound by Team,,5-4,,
8:35.0,,,5-4,,Loose ball foul by J. Green (drawn by A. Nicholson)
8:35.0,A. Nicholson enters the game for M. Morris,,5-4,,
8:21.0,B. Beal misses 3-pt shot from 23 ft,,5-4,,
8:21.0,Offensive rebound by Team,,5-4,,
8:21.0,,,5-4,,Loose ball foul by J. Martin (drawn by M. Gortat)
8:12.0,A. Nicholson misses 3-pt shot from 24 ft,,5-4,,
8:11.0,,,5-4,,Defensive rebound by M. Gasol
8:02.0,,,5-6,2,M. Conley makes 2-pt shot from 1 ft
7:52.0,Shooting foul by M. Conley (drawn by M. Gortat),,5-6,,
7:52.0,M. Gortat makes free throw 1 of 2,1,6-6,,
7:52.0,M. Gortat makes free throw 2 of 2,1,7-6,,
7:41.0,,,7-6,,M. Gasol misses 2-pt shot from 14 ft
7:40.0,Defensive rebound by O. Porter,,7-6,,
7:32.0,J. Wall misses 2-pt shot from 18 ft,,7-6,,
7:28.0,,,7-6,,Defensive rebound by J. Martin
7:11.0,,,7-6,,Turnover by J. Martin (lost ball; steal by A. Nicholson)
6:52.0,M. Gortat misses 2-pt shot from 5 ft,,7-6,,
6:51.0,,,7-6,,Defensive rebound by M. Gasol
6:38.0,,,7-6,,M. Conley misses 2-pt shot from 20 ft
6:38.0,Defensive rebound by M. Gortat,,7-6,,
6:25.0,A. Nicholson misses 2-pt shot from 12 ft,,7-6,,
6:22.0,,,7-6,,Defensive rebound by J. Martin
6:16.0,,,7-6,,Shooting foul by A. Nicholson (drawn by M. Conley)
6:16.0,,,7-7,1,M. Conley makes free throw 1 of 2
6:16.0,,,7-8,1,M. Conley makes free throw 2 of 2
6:16.0,,,7-7,,Z. Randolph enters the game for M. Gasol
6:16.0,,,7-7,,A. Harrison enters the game for J. Martin
6:07.0,O. Porter misses 2-pt shot from 4 ft,,7-8,,
6:03.0,,,7-8,,Defensive rebound by Z. Randolph
5:58.0,,,7-11,3,J. Ennis makes 3-pt shot from 24 ft (assist by M. Conley)
5:53.0,Washington full timeout,,7-11,,
5:44.0,Turnover by B. Beal (bad pass; steal by Z. Randolph),,7-11,,
5:27.0,,,7-13,2,Z. Randolph makes 2-pt shot from 23 ft (assist by M. Conley)
5:15.0,A. Nicholson makes 2-pt shot at rim (assist by J. Wall),2,9-13,,
