time,Orlando,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. N. Vucevic (E. Fournier gains possession),,,,Jump ball: R. Lopez vs. N. Vucevic (E. Fournier gains possession)
11:40.0,E. Fournier makes 2-pt shot from 3 ft (assist by A. Gordon),2,2-0,,
11:25.0,,,2-2,2,R. Lopez makes 2-pt shot from 7 ft (assist by R. Rondo)
11:14.0,S. Ibaka misses 2-pt shot from 8 ft,,2-2,,
11:13.0,,,2-2,,Defensive rebound by D. Wade
11:01.0,,,2-2,,T. Gibson misses 2-pt shot from 8 ft
10:59.0,Defensive rebound by N. Vucevic,,2-2,,
10:50.0,N. Vucevic makes 2-pt shot from 12 ft,2,4-2,,
10:38.0,,,4-4,2,R. Lopez makes 2-pt shot from 13 ft (assist by J. Butler)
10:31.0,A. Gordon misses 2-pt shot from 2 ft,,4-4,,
10:29.0,,,4-4,,Defensive rebound by R. Rondo
10:19.0,,,4-4,,R. Rondo misses 2-pt shot from 13 ft
10:18.0,Defensive rebound by S. Ibaka,,4-4,,
10:05.0,N. Vucevic makes 2-pt shot from 12 ft (assist by E. Fournier),2,6-4,,
9:48.0,,,6-6,2,T. Gibson makes 2-pt shot from 2 ft (assist by D. Wade)
9:38.0,N. Vucevic makes 2-pt shot from 7 ft (assist by E. Payton),2,8-6,,
9:26.0,,,8-8,2,R. Rondo makes 2-pt shot from 1 ft
9:19.0,Turnover by E. Payton (lost ball; steal by J. Butler),,8-8,,
9:15.0,,,8-10,2,D. Wade makes 2-pt shot from 3 ft (assist by R. Rondo)
9:07.0,E. Fournier makes 2-pt shot at rim (assist by E. Payton),2,10-10,,
8:45.0,,,10-12,2,R. Lopez makes 2-pt shot from 10 ft (assist by J. Butler)
8:25.0,A. Gordon makes 2-pt shot from 15 ft,2,12-12,,
8:10.0,,,12-12,,T. Gibson misses 2-pt shot from 13 ft (block by S. Ibaka)
8:09.0,Defensive rebound by S. Ibaka,,12-12,,
8:06.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,14-12,,
7:38.0,,,14-12,,R. Rondo misses 2-pt shot from 2 ft (block by E. Payton)
7:37.0,,,14-12,,Offensive rebound by R. Rondo
7:35.0,,,14-14,2,T. Gibson makes 2-pt shot from 9 ft (assist by R. Rondo)
