time,Miami,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:35.0,,,0-0,,V. Oladipo misses 3-pt shot from 25 ft
12:00.0,Jump ball: S. Adams vs. H. Whiteside (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. H. Whiteside (V. Oladipo gains possession)
11:35.0,Defensive rebound by L. Babbitt,,0-0,,
11:10.0,L. Babbitt makes 2-pt shot from 7 ft,2,2-0,,
10:52.0,,,2-2,2,D. Sabonis makes 2-pt shot from 5 ft
10:37.0,Offensive foul by H. Whiteside,,2-2,,
10:37.0,Turnover by H. Whiteside (offensive foul),,2-2,,
10:29.0,Violation by J. Winslow (kicked ball),,2-2,,
10:24.0,,,2-2,,Turnover by R. Westbrook (bad pass; steal by L. Babbitt)
10:21.0,Turnover by G. Dragic (bad pass; steal by A. Roberson),,2-2,,
10:11.0,,,2-4,2,V. Oladipo makes 2-pt shot from 1 ft
9:57.0,J. Winslow misses 2-pt shot from 19 ft,,2-4,,
9:56.0,,,2-4,,Defensive rebound by S. Adams
9:51.0,,,2-4,,Shooting foul by G. Dragic (drawn by R. Westbrook)
9:51.0,,,2-5,1,R. Westbrook makes free throw 1 of 2
9:51.0,,,2-6,1,R. Westbrook makes free throw 2 of 2
9:31.0,L. Babbitt makes 2-pt shot from 17 ft (assist by D. Waiters),2,4-6,,
9:14.0,,,4-8,2,A. Roberson makes 2-pt shot from 1 ft (assist by D. Sabonis)
8:55.0,L. Babbitt misses 3-pt shot from 23 ft,,4-8,,
8:54.0,,,4-8,,Defensive rebound by A. Roberson
8:48.0,,,4-10,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
8:48.0,Miami full timeout,,4-10,,
8:32.0,D. Waiters makes 2-pt shot from 1 ft,2,6-10,,
8:21.0,,,6-12,2,R. Westbrook makes 2-pt shot from 15 ft
8:02.0,H. Whiteside misses 2-pt shot from 10 ft,,6-12,,
8:01.0,,,6-12,,Defensive rebound by S. Adams
7:57.0,,,6-14,2,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook)
