time,Boston,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Johnson (T. Zeller gains possession),,,,Jump ball: M. Gortat vs. A. Johnson (T. Zeller gains possession)
11:39.0,I. Thomas misses 3-pt shot from 25 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by M. Morris
11:18.0,,,0-0,,B. Beal misses 2-pt shot from 18 ft
11:17.0,,,0-0,,Offensive rebound by M. Gortat
11:15.0,,,0-2,2,M. Gortat makes 2-pt shot from 2 ft
11:07.0,T. Zeller makes 2-pt shot from 2 ft (assist by A. Johnson),2,2-2,,
10:53.0,,,2-5,3,O. Porter makes 3-pt shot from 27 ft (assist by M. Morris)
10:39.0,Turnover by J. Brown (lost ball; steal by M. Morris),,2-5,,
10:31.0,,,2-5,,B. Beal misses 2-pt shot from 1 ft
10:29.0,,,2-5,,Offensive rebound by B. Beal
10:25.0,,,2-8,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
10:11.0,,,2-8,,Personal foul by B. Beal (drawn by I. Thomas)
10:01.0,Offensive foul by J. Brown,,2-8,,
10:01.0,Turnover by J. Brown (offensive foul),,2-8,,
9:37.0,,,2-8,,B. Beal misses 2-pt shot from 11 ft
9:36.0,Defensive rebound by J. Brown,,2-8,,
9:25.0,A. Bradley misses 3-pt shot from 26 ft,,2-8,,
9:24.0,,,2-8,,Defensive rebound by O. Porter
9:19.0,,,2-10,2,J. Wall makes 2-pt shot from 21 ft (assist by O. Porter)
9:03.0,I. Thomas misses 3-pt shot from 27 ft,,2-10,,
9:02.0,,,2-10,,Defensive rebound by M. Morris
8:45.0,,,2-10,,B. Beal misses 2-pt shot at rim (block by T. Zeller)
8:42.0,,,2-10,,Offensive rebound by O. Porter
8:41.0,,,2-12,2,O. Porter makes 2-pt shot from 1 ft
8:41.0,Boston full timeout,,2-12,,
8:41.0,M. Smart enters the game for J. Brown,,2-12,,
8:22.0,I. Thomas misses 2-pt shot from 1 ft,,2-12,,
8:22.0,,,2-12,,Defensive rebound by M. Gortat
8:14.0,Personal foul by M. Smart (drawn by B. Beal),,2-12,,
8:14.0,,,2-12,,M. Thornton enters the game for B. Beal
8:05.0,,,2-12,,J. Wall misses 2-pt shot from 19 ft
8:05.0,Defensive rebound by Team,,2-12,,
7:51.0,,,2-12,,Loose ball foul by M. Gortat (drawn by A. Johnson)
7:47.0,M. Smart misses 3-pt shot from 26 ft,,2-12,,
7:47.0,,,2-12,,Defensive rebound by M. Morris
7:41.0,,,2-12,,Turnover by J. Wall (bad pass)
7:32.0,A. Bradley misses 3-pt shot from 26 ft,,2-12,,
7:31.0,Offensive rebound by T. Zeller,,2-12,,
7:27.0,A. Bradley misses 2-pt shot from 2 ft (block by O. Porter),,2-12,,
7:25.0,Offensive rebound by A. Bradley,,2-12,,
7:20.0,M. Smart misses 2-pt shot from 1 ft (block by M. Gortat),,2-12,,
7:19.0,,,2-12,,Defensive rebound by M. Morris
7:16.0,J. Jerebko enters the game for A. Johnson,,2-12,,
7:06.0,,,2-15,3,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall)
6:49.0,,,2-15,,Personal foul by M. Morris (drawn by J. Jerebko)
6:44.0,T. Zeller misses 2-pt shot from 21 ft,,2-15,,
6:43.0,,,2-15,,Defensive rebound by O. Porter
6:32.0,,,2-15,,M. Gortat misses 2-pt shot from 9 ft
6:31.0,,,2-15,,Offensive rebound by O. Porter
6:27.0,,,2-18,3,M. Morris makes 3-pt shot from 26 ft (assist by O. Porter)
6:12.0,A. Bradley makes 2-pt shot from 12 ft (assist by I. Thomas),2,4-18,,
5:58.0,,,4-20,2,M. Thornton makes 2-pt shot from 16 ft (assist by J. Wall)
5:43.0,,,4-20,,J. Smith enters the game for M. Morris
5:43.0,K. Olynyk enters the game for T. Zeller,,4-20,,
5:40.0,I. Thomas misses 3-pt shot from 27 ft,,4-20,,
5:39.0,,,4-20,,Defensive rebound by Team
5:24.0,,,4-20,,M. Gortat misses 2-pt shot from 6 ft
5:23.0,Defensive rebound by M. Smart,,4-20,,
5:14.0,K. Olynyk misses 2-pt shot from 1 ft,,4-20,,
5:14.0,,,4-20,,Defensive rebound by O. Porter
