time,Boston,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. M. Turner (K. Olynyk gains possession),,,,Jump ball: A. Johnson vs. M. Turner (K. Olynyk gains possession)
11:44.0,K. Olynyk makes 2-pt shot from 16 ft (assist by A. Bradley),2,2-0,,
11:28.0,,,2-2,2,M. Turner makes 2-pt shot from 20 ft (assist by J. Teague)
11:13.0,A. Bradley makes 2-pt shot from 2 ft (assist by A. Johnson),2,4-2,,
10:47.0,,,4-2,,J. Teague misses 2-pt shot from 8 ft
10:47.0,Defensive rebound by A. Bradley,,4-2,,
10:39.0,A. Johnson misses 2-pt shot from 5 ft,,4-2,,
10:38.0,,,4-2,,Defensive rebound by T. Young
10:28.0,,,4-4,2,M. Ellis makes 2-pt shot from 4 ft
10:15.0,Shooting foul by J. Teague (drawn by I. Thomas),,4-4,,
10:15.0,I. Thomas makes free throw 1 of 3,1,5-4,,
10:15.0,I. Thomas makes free throw 2 of 3,1,6-4,,
10:15.0,I. Thomas makes free throw 3 of 3,1,7-4,,
9:57.0,,,7-6,2,J. Teague makes 2-pt shot from 17 ft
9:40.0,A. Johnson makes 2-pt shot from 2 ft (assist by K. Olynyk),2,9-6,,
9:30.0,,,9-9,3,C. Miles makes 3-pt shot from 25 ft (assist by T. Young)
9:15.0,K. Olynyk misses 3-pt shot from 25 ft,,9-9,,
9:15.0,,,9-9,,Defensive rebound by M. Turner
9:11.0,Personal foul by A. Johnson (drawn by J. Teague),,9-9,,
8:57.0,,,9-11,2,C. Miles makes 2-pt shot from 20 ft (assist by T. Young)
8:40.0,A. Johnson misses 3-pt shot from 25 ft,,9-11,,
8:40.0,,,9-11,,Defensive rebound by C. Miles
8:20.0,,,9-11,,Shooting foul by M. Smart (drawn by M. Ellis)
8:20.0,,,9-11,,M. Ellis misses free throw 1 of 2
8:20.0,,,9-11,,Offensive rebound by Team
