time,Charlotte,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. C. Zeller (R. Rubio gains possession),,,,Jump ball: K. Towns vs. C. Zeller (R. Rubio gains possession)
11:36.0,,,0-0,,Turnover by A. Wiggins (bad pass)
11:24.0,Turnover by M. Kidd-Gilchrist (traveling),,0-0,,
11:09.0,,,0-0,,K. Towns misses 2-pt shot from 4 ft
11:08.0,,,0-0,,Offensive rebound by R. Rubio
11:01.0,,,0-0,,A. Wiggins misses 2-pt shot from 21 ft
11:00.0,Defensive rebound by K. Walker,,0-0,,
10:46.0,Shooting foul by K. Towns (drawn by M. Williams),,0-0,,
10:46.0,M. Williams makes free throw 1 of 2,1,1-0,,
10:46.0,M. Williams makes free throw 2 of 2,1,2-0,,
10:36.0,,,2-3,3,Z. LaVine makes 3-pt shot from 26 ft (assist by R. Rubio)
10:25.0,K. Walker makes 2-pt shot from 1 ft,2,4-3,,
10:16.0,,,4-3,,Turnover by G. Dieng (traveling)
10:03.0,K. Walker makes 2-pt shot from 14 ft,2,6-3,,
9:50.0,,,6-5,2,A. Wiggins makes 2-pt shot from 2 ft
9:47.0,,,6-5,,Personal foul by R. Rubio (drawn by K. Walker)
9:33.0,M. Williams makes 2-pt shot from 20 ft (assist by N. Batum),2,8-5,,
9:23.0,,,8-5,,Turnover by R. Rubio (bad pass; steal by N. Batum)
9:13.0,M. Williams misses 2-pt shot from 1 ft,,8-5,,
9:12.0,,,8-5,,Defensive rebound by G. Dieng
9:01.0,,,8-8,3,Z. LaVine makes 3-pt shot from 24 ft (assist by A. Wiggins)
8:43.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by M. Williams),2,10-8,,
8:36.0,,,10-10,2,K. Towns makes 2-pt shot from 18 ft (assist by R. Rubio)
8:22.0,N. Batum misses 2-pt shot from 14 ft,,10-10,,
8:21.0,,,10-10,,Defensive rebound by G. Dieng
8:11.0,,,10-10,,Turnover by R. Rubio (bad pass; steal by K. Walker)
8:04.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft,,10-10,,
8:03.0,,,10-10,,Defensive rebound by G. Dieng
8:01.0,,,10-10,,Turnover by G. Dieng (bad pass; steal by K. Walker)
7:56.0,M. Williams misses 3-pt shot from 25 ft,,10-10,,
7:54.0,Offensive rebound by C. Zeller,,10-10,,
