time,Milwaukee,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. H. Whiteside (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. H. Whiteside (G. Antetokounmpo gains possession)
11:44.0,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo),2,2-0,,
11:24.0,,,2-0,,D. Waiters misses 3-pt shot from 24 ft
11:23.0,,,2-0,,Offensive rebound by G. Dragic
11:13.0,,,2-0,,H. Whiteside misses 2-pt shot from 9 ft
11:12.0,Defensive rebound by J. Parker,,2-0,,
11:04.0,J. Parker misses 2-pt shot from 12 ft,,2-0,,
11:03.0,,,2-0,,Defensive rebound by J. Richardson
10:51.0,,,2-0,,D. Williams misses 2-pt shot from 2 ft
10:50.0,,,2-0,,Offensive rebound by H. Whiteside
10:49.0,,,2-2,2,H. Whiteside makes 2-pt shot from 1 ft
10:27.0,Turnover by G. Antetokounmpo (bad pass),,2-2,,
10:18.0,Personal foul by G. Antetokounmpo (drawn by D. Williams),,2-2,,
10:08.0,,,2-2,,H. Whiteside misses 2-pt shot from 4 ft (block by J. Henson)
10:07.0,,,2-2,,Offensive rebound by H. Whiteside
10:06.0,,,2-2,,H. Whiteside misses 2-pt shot from 6 ft
10:05.0,,,2-2,,Offensive rebound by D. Williams
10:04.0,,,2-4,2,D. Williams makes 2-pt shot from 3 ft
9:53.0,,,2-4,,Personal foul by J. Richardson (drawn by G. Antetokounmpo)
9:40.0,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,5-4,,
9:21.0,,,5-4,,J. Richardson misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by G. Antetokounmpo,,5-4,,
9:11.0,M. Dellavedova misses 3-pt shot from 25 ft,,5-4,,
9:10.0,,,5-4,,Defensive rebound by H. Whiteside
8:58.0,,,5-4,,Turnover by J. Richardson (bad pass; steal by M. Dellavedova)
8:52.0,T. Snell makes 3-pt shot from 24 ft (assist by J. Parker),3,8-4,,
8:39.0,Personal foul by G. Antetokounmpo (drawn by G. Dragic),,8-4,,
8:39.0,M. Beasley enters the game for G. Antetokounmpo,,8-4,,
8:28.0,,,8-4,,J. Richardson misses 3-pt shot from 24 ft
8:27.0,Defensive rebound by M. Beasley,,8-4,,
8:19.0,J. Parker makes 2-pt shot at rim (assist by M. Dellavedova),2,10-4,,
7:52.0,,,10-4,,G. Dragic misses 2-pt shot from 1 ft
7:51.0,Defensive rebound by Team,,10-4,,
7:51.0,,,10-4,,Loose ball foul by H. Whiteside (drawn by M. Beasley)
7:36.0,Shooting foul by D. Williams (drawn by M. Beasley),,10-4,,
7:36.0,M. Beasley makes free throw 1 of 2,1,11-4,,
7:36.0,M. Beasley misses free throw 2 of 2,,11-4,,
7:35.0,Offensive rebound by J. Parker,,11-4,,
7:25.0,Turnover by M. Dellavedova (bad pass; steal by H. Whiteside),,11-4,,
7:14.0,,,11-4,,D. Waiters misses 3-pt shot from 26 ft
7:13.0,Defensive rebound by M. Dellavedova,,11-4,,
7:11.0,J. Parker makes 2-pt shot at rim (assist by M. Dellavedova),2,13-4,,
7:11.0,,,13-4,,Miami full timeout
6:45.0,,,13-6,2,J. Richardson makes 2-pt shot from 15 ft
6:25.0,M. Beasley makes 2-pt shot from 3 ft (assist by M. Dellavedova),2,15-6,,
6:25.0,,,15-6,,Violation by H. Whiteside (def goaltending)
6:13.0,,,15-6,,J. Richardson misses 2-pt shot at rim
6:12.0,Defensive rebound by J. Parker,,15-6,,
6:00.0,Turnover by M. Beasley (lost ball),,15-6,,
5:55.0,,,15-6,,D. Williams misses 2-pt shot from 1 ft
5:52.0,,,15-6,,Offensive rebound by H. Whiteside
5:51.0,,,15-6,,D. Williams misses 3-pt shot from 24 ft
5:46.0,Defensive rebound by M. Beasley,,15-6,,
5:43.0,Shooting foul by H. Whiteside (drawn by J. Henson),,15-6,,
5:43.0,J. Henson makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,17-6,,
5:43.0,,,17-6,,Violation by Team (jump ball)
5:43.0,J. Henson makes free throw 1 of 1,1,18-6,,
5:43.0,,,17-6,,W. Reed enters the game for H. Whiteside
5:43.0,,,17-6,,J. Johnson enters the game for D. Williams
5:35.0,Personal foul by T. Snell (drawn by D. Waiters),,18-6,,
5:35.0,M. Brogdon enters the game for M. Dellavedova,,18-6,,
5:35.0,M. Plumlee enters the game for J. Henson,,18-6,,
5:23.0,,,18-6,,D. Waiters misses 2-pt shot from 2 ft
5:22.0,Defensive rebound by M. Beasley,,18-6,,
5:07.0,J. Parker makes 2-pt shot at rim (assist by M. Brogdon),2,20-6,,
4:50.0,,,20-6,,G. Dragic misses 2-pt shot from 15 ft
4:49.0,Defensive rebound by T. Snell,,20-6,,
4:40.0,M. Brogdon misses 2-pt shot from 2 ft,,20-6,,
4:39.0,Offensive rebound by M. Brogdon,,20-6,,
4:38.0,M. Brogdon misses 2-pt shot from 1 ft,,20-6,,
4:36.0,,,20-6,,Defensive rebound by J. Johnson
4:35.0,,,20-6,,J. Johnson misses 2-pt shot from 1 ft
4:30.0,,,20-6,,Offensive rebound by J. Johnson
4:30.0,,,20-6,,Shooting foul by M. Beasley (drawn by J. Johnson)
4:30.0,,,20-6,,J. Johnson misses free throw 1 of 2
4:30.0,,,20-6,,Offensive rebound by Team
4:30.0,,,20-6,,J. Johnson misses free throw 2 of 2
4:30.0,,,20-6,,T. Johnson enters the game for G. Dragic
4:29.0,Defensive rebound by M. Beasley,,20-6,,
4:20.0,Turnover by M. Beasley (traveling),,20-6,,
4:07.0,Violation by M. Plumlee (def goaltending),,20-6,,
4:07.0,,,20-8,2,T. Johnson makes 2-pt shot from 2 ft (assist by J. Johnson)
3:55.0,M. Brogdon misses 2-pt shot from 1 ft,,20-8,,
3:54.0,,,20-8,,Defensive rebound by J. Johnson
3:46.0,,,20-8,,J. Richardson misses 3-pt shot from 25 ft
3:45.0,Defensive rebound by M. Beasley,,20-8,,
3:31.0,T. Snell misses 3-pt shot from 25 ft,,20-8,,
3:30.0,,,20-8,,Defensive rebound by D. Waiters
3:23.0,,,20-11,3,J. Johnson makes 3-pt shot from 26 ft (assist by D. Waiters)
3:23.0,Milwaukee full timeout,,20-11,,
3:23.0,,,20-11,,R. McGruder enters the game for J. Richardson
3:23.0,M. Teletovic enters the game for J. Parker,,20-11,,
3:23.0,J. Terry enters the game for T. Snell,,20-11,,
3:06.0,M. Beasley misses 2-pt shot from 17 ft,,20-11,,
3:05.0,,,20-11,,Defensive rebound by D. Waiters
2:54.0,,,20-13,2,D. Waiters makes 2-pt shot from 1 ft
2:41.0,M. Beasley makes 2-pt shot from 1 ft,2,22-13,,
2:25.0,,,22-13,,D. Waiters misses 3-pt shot from 23 ft
2:24.0,,,22-13,,Offensive rebound by R. McGruder
2:15.0,,,22-15,2,J. Johnson makes 2-pt shot from 2 ft (assist by T. Johnson)
2:00.0,M. Beasley misses 2-pt shot from 5 ft,,22-15,,
1:59.0,,,22-15,,Defensive rebound by J. Johnson
