time,Miami,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. H. Whiteside (D. Williams gains possession),,,,Jump ball: J. Embiid vs. H. Whiteside (D. Williams gains possession)
11:44.0,H. Whiteside misses 2-pt shot from 1 ft (block by J. Embiid),,0-0,,
11:42.0,,,0-0,,Defensive rebound by J. Embiid
11:36.0,,,0-0,,E. Ilyasova misses 3-pt shot from 27 ft
11:35.0,Defensive rebound by H. Whiteside,,0-0,,
11:26.0,D. Waiters makes 3-pt shot from 25 ft (assist by G. Dragic),3,3-0,,
11:05.0,,,3-2,2,J. Embiid makes 2-pt shot from 13 ft
10:44.0,H. Whiteside makes 2-pt shot from 18 ft (assist by D. Waiters),2,5-2,,
10:32.0,,,5-4,2,S. Rodriguez makes 2-pt shot from 1 ft (assist by E. Ilyasova)
10:20.0,D. Waiters makes 3-pt shot from 24 ft (assist by G. Dragic),3,8-4,,
10:07.0,,,8-7,3,G. Henderson makes 3-pt shot from 22 ft (assist by R. Covington)
9:43.0,D. Williams misses 2-pt shot from 18 ft,,8-7,,
9:42.0,,,8-7,,Defensive rebound by E. Ilyasova
9:37.0,,,8-9,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by G. Henderson)
9:21.0,D. Williams misses 3-pt shot from 24 ft,,8-9,,
9:19.0,,,8-9,,Defensive rebound by J. Embiid
9:07.0,,,8-9,,G. Henderson misses 2-pt shot from 19 ft
9:05.0,Defensive rebound by H. Whiteside,,8-9,,
8:58.0,D. Williams misses 2-pt shot from 2 ft,,8-9,,
8:56.0,,,8-9,,Defensive rebound by R. Covington
8:47.0,,,8-11,2,E. Ilyasova makes 2-pt shot from 2 ft
8:25.0,J. Richardson misses 3-pt shot from 27 ft,,8-11,,
8:23.0,Offensive rebound by H. Whiteside,,8-11,,
8:23.0,Shooting foul by J. Embiid (drawn by H. Whiteside),,8-11,,
8:23.0,H. Whiteside makes 2-pt shot from 2 ft,2,10-11,,
8:23.0,H. Whiteside makes free throw 1 of 1,1,11-11,,
8:13.0,,,11-11,,Turnover by S. Rodriguez (bad pass; steal by G. Dragic)
8:00.0,G. Dragic makes 2-pt shot from 10 ft,2,13-11,,
7:44.0,,,13-11,,Shooting foul by D. Waiters (drawn by G. Henderson)
7:44.0,,,13-12,1,G. Henderson makes free throw 1 of 2
7:44.0,,,13-13,1,G. Henderson makes free throw 2 of 2
