time,Memphis,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. M. Gasol (J. Green gains possession),,,,Jump ball: J. Embiid vs. M. Gasol (J. Green gains possession)
11:40.0,J. Green makes 2-pt shot from 20 ft (assist by T. Allen),2,2-0,,
11:21.0,,,2-0,,Turnover by J. Embiid (bad pass; steal by M. Gasol)
11:09.0,T. Allen misses 2-pt shot from 10 ft,,2-0,,
11:07.0,,,2-0,,Defensive rebound by E. Ilyasova
10:54.0,,,2-2,2,H. Thompson makes 2-pt shot from 2 ft (assist by S. Rodriguez)
10:37.0,M. Gasol misses 2-pt shot from 15 ft,,2-2,,
10:35.0,,,2-2,,Defensive rebound by R. Covington
10:26.0,,,2-2,,S. Rodriguez misses 2-pt shot from 15 ft
10:24.0,Defensive rebound by J. Green,,2-2,,
10:18.0,T. Allen misses 2-pt shot from 3 ft (block by H. Thompson),,2-2,,
10:16.0,,,2-2,,Defensive rebound by E. Ilyasova
10:08.0,,,2-5,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by S. Rodriguez)
9:48.0,M. Gasol makes 2-pt shot from 10 ft,2,4-5,,
9:34.0,,,4-5,,Turnover by J. Embiid (lost ball; steal by T. Daniels)
9:29.0,T. Allen makes 2-pt shot from 6 ft (assist by M. Conley),2,6-5,,
9:29.0,Shooting foul by H. Thompson (drawn by T. Allen),,6-5,,
9:29.0,T. Allen makes free throw 1 of 1,1,7-5,,
9:20.0,Personal foul by T. Allen (drawn by S. Rodriguez),,7-5,,
9:11.0,,,7-7,2,E. Ilyasova makes 2-pt shot from 6 ft (assist by S. Rodriguez)
8:54.0,T. Daniels misses 3-pt shot from 26 ft,,7-7,,
8:52.0,,,7-7,,Defensive rebound by E. Ilyasova
8:35.0,,,7-7,,E. Ilyasova misses 2-pt shot from 17 ft
8:33.0,Defensive rebound by J. Green,,7-7,,
8:27.0,M. Conley misses 2-pt shot from 22 ft,,7-7,,
8:24.0,,,7-7,,Defensive rebound by J. Embiid
8:14.0,,,7-7,,H. Thompson misses 3-pt shot from 26 ft
8:12.0,Defensive rebound by J. Green,,7-7,,
8:06.0,T. Allen misses 2-pt shot from 1 ft,,7-7,,
8:04.0,,,7-7,,Defensive rebound by J. Embiid
7:46.0,,,7-7,,R. Covington misses 3-pt shot from 27 ft
7:45.0,,,7-7,,Offensive rebound by Team
7:45.0,Loose ball foul by J. Green (drawn by E. Ilyasova),,7-7,,
7:45.0,,,7-7,,J. Okafor enters the game for J. Embiid
7:38.0,,,7-10,3,S. Rodriguez makes 3-pt shot from 25 ft
7:30.0,Memphis full timeout,,7-10,,
7:22.0,T. Daniels misses 2-pt shot from 20 ft,,7-10,,
7:21.0,,,7-10,,Defensive rebound by E. Ilyasova
7:15.0,Personal foul by T. Allen (drawn by E. Ilyasova),,7-10,,
7:04.0,,,7-12,2,E. Ilyasova makes 2-pt shot at rim (assist by H. Thompson)
6:50.0,,,7-12,,Personal foul by H. Thompson (drawn by J. Green)
6:50.0,,,7-12,,N. Stauskas enters the game for H. Thompson
6:37.0,M. Conley makes 2-pt shot from 12 ft (assist by T. Daniels),2,9-12,,
6:15.0,,,9-12,,J. Okafor misses 2-pt shot from 11 ft (block by M. Gasol)
6:15.0,,,9-12,,Offensive rebound by Team
6:15.0,,,9-12,,J. Bayless enters the game for S. Rodriguez
6:15.0,V. Carter enters the game for T. Allen,,9-12,,
6:12.0,,,9-12,,E. Ilyasova misses 2-pt shot from 20 ft
6:10.0,Defensive rebound by T. Daniels,,9-12,,
5:54.0,V. Carter misses 3-pt shot from 26 ft,,9-12,,
5:52.0,,,9-12,,Defensive rebound by R. Covington
5:46.0,,,9-14,2,J. Bayless makes 2-pt shot from 1 ft
5:25.0,M. Conley makes 2-pt shot from 1 ft,2,11-14,,
5:14.0,,,11-14,,N. Stauskas misses 2-pt shot from 1 ft (block by M. Gasol)
5:11.0,Defensive rebound by M. Conley,,11-14,,
5:09.0,J. Green makes 2-pt shot at rim (assist by M. Conley),2,13-14,,
4:59.0,,,13-14,,Philadelphia full timeout
4:59.0,,,13-14,,D. Saric enters the game for E. Ilyasova
4:59.0,A. Harrison enters the game for M. Conley,,13-14,,
4:45.0,,,13-14,,R. Covington misses 2-pt shot from 2 ft
4:43.0,,,13-14,,Offensive rebound by Team
4:43.0,,,13-14,,Turnover by Team (shot clock)
4:29.0,M. Gasol misses 2-pt shot from 13 ft,,13-14,,
4:26.0,,,13-14,,Defensive rebound by J. Bayless
4:20.0,,,13-16,2,J. Bayless makes 2-pt shot from 1 ft
4:05.0,Shooting foul by J. Okafor (drawn by M. Gasol),,13-16,,
4:05.0,M. Gasol makes free throw 1 of 2,1,14-16,,
4:05.0,M. Gasol makes free throw 2 of 2,1,15-16,,
4:05.0,J. Martin enters the game for J. Green,,14-16,,
3:53.0,,,15-16,,J. Okafor misses 2-pt shot from 7 ft
3:51.0,Defensive rebound by A. Harrison,,15-16,,
3:43.0,M. Gasol misses 3-pt shot from 25 ft,,15-16,,
3:41.0,,,15-16,,Defensive rebound by J. Bayless
3:35.0,Z. Randolph enters the game for M. Gasol,,15-16,,
3:35.0,,,15-16,,J. Embiid enters the game for J. Okafor
3:28.0,Personal foul by Z. Randolph (drawn by J. Embiid),,15-16,,
3:23.0,,,15-19,3,R. Covington makes 3-pt shot from 27 ft (assist by J. Embiid)
3:01.0,V. Carter makes 2-pt shot at rim (assist by A. Harrison),2,17-19,,
2:47.0,,,17-19,,J. Bayless misses 3-pt shot from 25 ft
2:45.0,,,17-19,,Offensive rebound by D. Saric
2:43.0,,,17-19,,N. Stauskas misses 3-pt shot from 26 ft
2:41.0,Defensive rebound by Z. Randolph,,17-19,,
2:28.0,,,17-19,,Personal foul by J. Bayless (drawn by Z. Randolph)
2:28.0,,,17-19,,H. Thompson enters the game for R. Covington
2:28.0,M. Conley enters the game for T. Daniels,,17-19,,
2:18.0,Z. Randolph misses 2-pt shot from 1 ft (block by J. Embiid),,17-19,,
2:16.0,,,17-19,,Defensive rebound by J. Embiid
2:10.0,,,17-19,,D. Saric misses 3-pt shot from 26 ft
2:08.0,,,17-19,,Offensive rebound by J. Embiid
1:58.0,,,17-22,3,J. Embiid makes 3-pt shot from 25 ft (assist by J. Bayless)
1:44.0,M. Conley makes 2-pt shot from 2 ft,2,19-22,,
1:31.0,,,19-22,,Shooting foul by J. Martin (drawn by J. Bayless)
1:31.0,,,19-23,1,J. Bayless makes free throw 1 of 2
1:31.0,,,19-24,1,J. Bayless makes free throw 2 of 2
1:15.0,J. Martin misses 2-pt shot from 2 ft (block by J. Embiid),,19-24,,
1:15.0,Offensive rebound by Team,,19-24,,
1:07.0,M. Conley misses 2-pt shot from 10 ft,,19-24,,
1:06.0,,,19-24,,Defensive rebound by D. Saric
0:48.0,,,19-26,2,J. Embiid makes 2-pt shot from 1 ft (assist by N. Stauskas)
0:41.0,Shooting foul by J. Bayless (drawn by M. Conley),,19-26,,
0:41.0,M. Conley misses free throw 1 of 2,,19-26,,
0:41.0,Offensive rebound by Team,,19-26,,
0:41.0,M. Conley makes free throw 2 of 2,1,20-26,,
0:41.0,,,19-26,,S. Rodriguez enters the game for J. Bayless
0:32.0,,,20-26,,J. Embiid misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by J. Martin,,20-26,,
0:12.0,M. Conley misses 3-pt shot from 25 ft,,20-26,,
0:11.0,,,20-26,,Defensive rebound by J. Embiid
0:02.0,,,20-26,,S. Rodriguez misses 2-pt shot from 16 ft
0:00.0,,,20-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,20-26,,J. Okafor misses 2-pt shot from 2 ft
11:47.0,,,20-26,,Offensive rebound by D. Saric
11:47.0,,,20-26,,D. Saric misses 2-pt shot from 2 ft
11:45.0,,,20-26,,Offensive rebound by J. Okafor
11:42.0,,,20-28,2,J. Okafor makes 2-pt shot from 5 ft
11:42.0,,,20-28,,Shooting foul by J. Martin (drawn by J. Okafor)
11:42.0,,,20-28,,J. Okafor misses free throw 1 of 1
11:40.0,Defensive rebound by A. Harrison,,20-28,,
11:28.0,Z. Randolph makes 2-pt shot from 10 ft,2,22-28,,
11:18.0,Personal foul by A. Harrison (drawn by N. Stauskas),,22-28,,
11:12.0,,,22-28,,H. Thompson misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by Z. Randolph,,22-28,,
10:56.0,Shooting foul by J. Okafor (drawn by Z. Randolph),,22-28,,
10:56.0,Z. Randolph misses free throw 1 of 2,,22-28,,
10:56.0,Offensive rebound by Team,,22-28,,
10:56.0,Z. Randolph makes free throw 2 of 2,1,23-28,,
10:56.0,T. Allen enters the game for A. Harrison,,22-28,,
10:36.0,,,23-30,2,H. Thompson makes 2-pt shot from 1 ft (assist by N. Stauskas)
10:23.0,Turnover by T. Allen (lost ball),,23-30,,
10:02.0,,,23-30,,S. Rodriguez misses 3-pt shot from 26 ft
10:00.0,,,23-30,,Offensive rebound by Team
9:58.0,Loose ball foul by T. Allen (drawn by D. Saric),,23-30,,
9:58.0,T. Daniels enters the game for T. Allen,,23-30,,
9:47.0,,,23-30,,J. Okafor misses 2-pt shot from 2 ft
9:45.0,,,23-30,,Offensive rebound by Team
9:30.0,,,23-32,2,S. Rodriguez makes 2-pt shot from 19 ft (assist by D. Saric)
9:16.0,T. Daniels makes 3-pt shot from 27 ft (assist by M. Conley),3,26-32,,
9:05.0,,,26-32,,N. Stauskas misses 2-pt shot from 7 ft (block by Z. Randolph)
9:05.0,Defensive rebound by Team,,26-32,,
9:05.0,J. Green enters the game for J. Martin,,26-32,,
9:05.0,A. Harrison enters the game for M. Conley,,26-32,,
8:50.0,Z. Randolph makes 2-pt shot from 20 ft (assist by J. Green),2,28-32,,
8:38.0,,,28-32,,Turnover by J. Okafor (lost ball; steal by Z. Randolph)
8:38.0,Official timeout,,28-32,,
8:38.0,,,28-32,,Personal foul by J. Okafor (drawn by Z. Randolph)
8:38.0,,,28-32,,J. Embiid enters the game for J. Okafor
8:38.0,,,28-32,,R. Covington enters the game for N. Stauskas
8:16.0,Z. Randolph misses 3-pt shot from 26 ft,,28-32,,
8:15.0,Offensive rebound by Team,,28-32,,
8:15.0,,,28-32,,Loose ball foul by D. Saric (drawn by J. Green)
8:15.0,,,28-32,,E. Ilyasova enters the game for D. Saric
8:05.0,V. Carter makes 3-pt shot from 26 ft (assist by A. Harrison),3,31-32,,
7:48.0,,,31-34,2,R. Covington makes 2-pt shot from 2 ft (assist by J. Embiid)
7:48.0,,,31-34,,Shooting foul by J. Green (drawn by R. Covington)
7:48.0,,,31-35,1,R. Covington makes free throw 1 of 1
7:33.0,Z. Randolph misses 2-pt shot from 7 ft,,31-35,,
7:31.0,,,31-35,,Defensive rebound by H. Thompson
7:25.0,,,31-37,2,S. Rodriguez makes 2-pt shot from 2 ft
7:18.0,Memphis full timeout,,31-37,,
7:18.0,M. Gasol enters the game for Z. Randolph,,31-37,,
7:18.0,T. Allen enters the game for V. Carter,,31-37,,
7:08.0,T. Daniels makes 3-pt shot from 26 ft (assist by A. Harrison),3,34-37,,
6:50.0,,,34-37,,S. Rodriguez misses 3-pt shot from 25 ft
6:48.0,,,34-37,,Offensive rebound by E. Ilyasova
6:48.0,,,34-39,2,E. Ilyasova makes 2-pt shot from 1 ft
6:37.0,Offensive foul by M. Gasol,,34-39,,
6:37.0,Turnover by M. Gasol (offensive foul),,34-39,,
6:22.0,,,34-39,,J. Embiid misses 2-pt shot from 14 ft
6:20.0,Defensive rebound by J. Green,,34-39,,
6:20.0,Turnover by J. Green (lost ball; steal by R. Covington),,34-39,,
6:16.0,,,34-39,,R. Covington misses 3-pt shot from 26 ft
6:10.0,Defensive rebound by T. Daniels,,34-39,,
6:05.0,Turnover by A. Harrison (lost ball; steal by H. Thompson),,34-39,,
5:46.0,,,34-42,3,R. Covington makes 3-pt shot from 24 ft (assist by J. Embiid)
5:26.0,Shooting foul by H. Thompson (drawn by A. Harrison),,34-42,,
5:26.0,,,34-42,,Philadelphia full timeout
5:26.0,A. Harrison makes free throw 1 of 2,1,35-42,,
5:26.0,A. Harrison makes free throw 2 of 2,1,36-42,,
5:26.0,,,34-42,,N. Stauskas enters the game for H. Thompson
5:16.0,,,36-42,,N. Stauskas misses 3-pt shot from 26 ft
5:14.0,Defensive rebound by T. Allen,,36-42,,
5:00.0,J. Green misses 2-pt shot from 4 ft (block by R. Covington),,36-42,,
4:58.0,,,36-42,,Defensive rebound by R. Covington
4:57.0,,,36-42,,Turnover by R. Covington (bad pass; steal by A. Harrison)
4:50.0,T. Allen misses 2-pt shot from 3 ft,,36-42,,
4:47.0,,,36-42,,Defensive rebound by N. Stauskas
4:32.0,,,36-42,,Offensive foul by J. Embiid
4:32.0,,,36-42,,Turnover by J. Embiid (offensive foul)
