time,Golden State,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: T. Mozgov vs. Z. Pachulia (D. Green gains possession)
11:43.0,S. Curry misses 3-pt shot from 24 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by B. Ingram
11:29.0,Personal foul by Z. Pachulia (drawn by T. Mozgov),,0-0,,
11:17.0,,,0-0,,J. Clarkson misses 3-pt shot from 24 ft
11:16.0,Defensive rebound by D. Green,,0-0,,
11:09.0,K. Durant misses 3-pt shot from 25 ft (block by B. Ingram),,0-0,,
11:08.0,,,0-0,,Defensive rebound by B. Ingram
11:04.0,,,0-2,2,L. Deng makes 2-pt shot at rim (assist by B. Ingram)
10:46.0,K. Thompson misses 3-pt shot from 24 ft,,0-2,,
10:46.0,,,0-2,,Defensive rebound by B. Ingram
10:41.0,,,0-2,,L. Deng misses 2-pt shot from 1 ft (block by Z. Pachulia)
10:41.0,,,0-2,,Offensive rebound by Team
10:38.0,,,0-2,,B. Ingram misses 3-pt shot from 24 ft
10:37.0,,,0-2,,Offensive rebound by L. Deng
10:30.0,,,0-5,3,J. Calderon makes 3-pt shot from 25 ft (assist by L. Deng)
10:30.0,Golden State full timeout,,0-5,,
10:15.0,,,0-5,,Def 3 sec tech foul by L. Deng
10:15.0,S. Curry makes technical free throw,1,1-5,,
10:11.0,K. Thompson makes 2-pt shot from 18 ft (assist by K. Durant),2,3-5,,
9:56.0,,,3-7,2,T. Mozgov makes 2-pt shot from 19 ft (assist by L. Deng)
9:43.0,K. Durant makes 2-pt shot from 19 ft (assist by D. Green),2,5-7,,
9:31.0,,,5-9,2,T. Mozgov makes 2-pt shot from 2 ft (assist by J. Calderon)
9:19.0,,,5-9,,Personal foul by J. Calderon (drawn by D. Green)
9:15.0,K. Thompson misses 2-pt shot from 14 ft,,5-9,,
9:15.0,,,5-9,,Defensive rebound by T. Mozgov
9:06.0,,,5-9,,L. Deng misses 2-pt shot from 7 ft
9:05.0,Defensive rebound by S. Curry,,5-9,,
9:00.0,S. Curry misses 2-pt shot from 1 ft,,5-9,,
8:57.0,,,5-9,,Defensive rebound by J. Clarkson
8:54.0,,,5-9,,B. Ingram misses 3-pt shot from 25 ft
8:54.0,Defensive rebound by Team,,5-9,,
8:35.0,D. Green makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,7-9,,
8:27.0,Violation by K. Thompson (kicked ball),,7-9,,
8:12.0,,,7-12,3,J. Clarkson makes 3-pt shot from 25 ft (assist by L. Deng)
7:53.0,K. Durant misses 2-pt shot from 13 ft,,7-12,,
7:51.0,,,7-12,,Defensive rebound by T. Mozgov
7:34.0,,,7-12,,B. Ingram misses 2-pt shot from 1 ft
7:33.0,Defensive rebound by Z. Pachulia,,7-12,,
7:28.0,S. Curry misses 3-pt shot from 24 ft,,7-12,,
7:25.0,,,7-12,,Defensive rebound by J. Clarkson
7:15.0,,,7-12,,L. Deng misses 3-pt shot from 27 ft
7:14.0,Defensive rebound by Z. Pachulia,,7-12,,
7:13.0,Shooting foul by T. Mozgov (drawn by K. Durant),,7-12,,
7:13.0,K. Durant misses free throw 1 of 2,,7-12,,
7:13.0,Offensive rebound by Team,,7-12,,
7:13.0,K. Durant makes free throw 2 of 2,1,8-12,,
6:53.0,,,8-12,,Turnover by B. Ingram (lost ball)
6:37.0,K. Durant makes 2-pt shot at rim (assist by Z. Pachulia),2,10-12,,
6:13.0,,,10-12,,T. Mozgov misses 2-pt shot from 7 ft
6:11.0,Defensive rebound by D. Green,,10-12,,
6:10.0,Turnover by D. Green (bad pass),,10-12,,
6:10.0,,,10-12,,L. Nance enters the game for B. Ingram
6:10.0,,,10-12,,M. Huertas enters the game for J. Calderon
5:55.0,,,10-12,,L. Deng misses 2-pt shot from 5 ft (block by D. Green)
5:53.0,,,10-12,,Offensive rebound by L. Nance
5:49.0,,,10-12,,L. Nance misses 2-pt shot from 7 ft
5:47.0,Defensive rebound by D. Green,,10-12,,
5:36.0,S. Curry makes 3-pt shot from 24 ft (assist by K. Durant),3,13-12,,
5:16.0,,,13-12,,J. Clarkson misses 3-pt shot from 23 ft
5:15.0,Defensive rebound by Z. Pachulia,,13-12,,
5:08.0,K. Durant makes 3-pt shot from 25 ft,3,16-12,,
5:08.0,,,16-12,,LA Lakers full timeout
5:08.0,A. Iguodala enters the game for K. Durant,,16-12,,
5:08.0,J. McGee enters the game for Z. Pachulia,,16-12,,
4:54.0,,,16-12,,L. Deng misses 2-pt shot from 18 ft
4:52.0,Defensive rebound by D. Green,,16-12,,
4:42.0,Turnover by D. Green (bad pass; steal by J. Clarkson),,16-12,,
4:37.0,,,16-12,,Turnover by J. Clarkson (bad pass; steal by D. Green)
4:31.0,K. Thompson makes 2-pt shot at rim (assist by S. Curry),2,18-12,,
4:18.0,,,18-12,,Turnover by M. Huertas (bad pass; steal by A. Iguodala)
4:14.0,D. Green makes 2-pt shot from 2 ft (assist by A. Iguodala),2,20-12,,
4:14.0,Shooting foul by L. Nance (drawn by D. Green),,20-12,,
4:14.0,D. Green misses free throw 1 of 1,,20-12,,
4:14.0,,,20-12,,L. Williams enters the game for J. Clarkson
4:14.0,,,20-12,,B. Ingram enters the game for L. Deng
4:14.0,,,20-12,,T. Black enters the game for T. Mozgov
4:14.0,I. Clark enters the game for K. Thompson,,20-12,,
4:13.0,,,20-12,,Defensive rebound by L. Nance
3:53.0,,,20-12,,M. Huertas misses 2-pt shot from 6 ft
3:51.0,,,20-12,,Offensive rebound by T. Black
3:39.0,,,20-12,,Turnover by B. Ingram (step out of bounds)
3:24.0,Turnover by J. McGee (3 sec),,20-12,,
3:02.0,,,20-12,,T. Black misses 2-pt shot from 5 ft (block by J. McGee)
3:00.0,,,20-12,,Offensive rebound by L. Nance
2:57.0,,,20-14,2,L. Nance makes 2-pt shot from 2 ft
2:48.0,S. Curry makes 3-pt shot from 25 ft,3,23-14,,
2:36.0,,,23-16,2,L. Nance makes 2-pt shot from 19 ft (assist by M. Huertas)
2:21.0,Turnover by A. Iguodala (bad pass; steal by L. Nance),,23-16,,
2:16.0,,,23-16,,Turnover by L. Williams (bad pass)
2:16.0,K. Durant enters the game for D. Green,,23-16,,
1:57.0,K. Durant misses 2-pt shot from 13 ft,,23-16,,
1:55.0,,,23-16,,Defensive rebound by T. Black
1:45.0,,,23-18,2,B. Ingram makes 2-pt shot from 16 ft (assist by M. Huertas)
1:33.0,S. Curry misses 3-pt shot from 32 ft,,23-18,,
1:33.0,,,23-18,,Defensive rebound by Team
1:33.0,D. West enters the game for J. McGee,,23-18,,
1:18.0,,,23-20,2,L. Williams makes 2-pt shot from 8 ft
1:04.0,I. Clark makes 3-pt shot from 24 ft (assist by K. Durant),3,26-20,,
0:54.0,,,26-20,,T. Black misses 2-pt shot from 15 ft
0:52.0,Defensive rebound by A. Iguodala,,26-20,,
0:44.0,A. Iguodala makes 2-pt shot at rim (assist by S. Curry),2,28-20,,
0:44.0,,,28-20,,LA Lakers full timeout
0:44.0,K. Thompson enters the game for S. Curry,,28-20,,
0:24.0,,,28-20,,B. Ingram misses 2-pt shot from 17 ft
0:23.0,Defensive rebound by A. Iguodala,,28-20,,
0:06.0,D. West makes 2-pt shot from 17 ft (assist by K. Durant),2,30-20,,
0:01.0,,,30-20,,L. Williams misses 2-pt shot from 1 ft
0:00.0,,,30-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,30-22,2,L. Nance makes 2-pt shot at rim (assist by L. Williams)
11:31.0,K. Thompson misses 2-pt shot from 17 ft,,30-22,,
11:29.0,,,30-22,,Defensive rebound by B. Ingram
11:17.0,,,30-22,,Turnover by L. Williams (bad pass; steal by D. West)
11:07.0,K. Durant makes 3-pt shot from 23 ft (assist by A. Iguodala),3,33-22,,
10:58.0,Personal take foul by D. West (drawn by T. Black),,33-22,,
10:58.0,K. Looney enters the game for D. West,,33-22,,
10:50.0,,,33-22,,B. Ingram misses 2-pt shot from 10 ft
10:47.0,,,33-22,,Offensive rebound by T. Black
10:43.0,,,33-22,,L. Williams misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by K. Durant,,33-22,,
10:31.0,A. Iguodala makes 2-pt shot from 17 ft,2,35-22,,
10:18.0,,,35-22,,Shooting foul by K. Looney (drawn by L. Nance)
10:18.0,,,35-22,,L. Nance misses free throw 1 of 2
10:18.0,,,35-22,,Offensive rebound by Team
10:18.0,,,35-23,1,L. Nance makes free throw 2 of 2
10:07.0,Turnover by K. Durant (bad pass; steal by J. Clarkson),,35-23,,
10:00.0,,,35-23,,Turnover by J. Clarkson (bad pass; steal by K. Looney)
9:47.0,S. Livingston makes 2-pt shot from 10 ft,2,37-23,,
9:47.0,,,37-23,,LA Lakers full timeout
9:47.0,P. McCaw enters the game for A. Iguodala,,37-23,,
9:40.0,Personal foul by P. McCaw (drawn by J. Clarkson),,37-23,,
9:35.0,,,37-23,,Shooting foul by P. McCaw (drawn by J. Clarkson)
9:35.0,,,37-24,1,J. Clarkson makes free throw 1 of 2
9:35.0,,,37-25,1,J. Clarkson makes free throw 2 of 2
9:22.0,K. Thompson misses 2-pt shot from 17 ft,,37-25,,
9:21.0,,,37-25,,Defensive rebound by L. Nance
9:16.0,,,37-25,,Turnover by L. Williams (traveling)
9:03.0,K. Durant makes 2-pt shot from 12 ft (assist by S. Livingston),2,39-25,,
9:03.0,Shooting foul by L. Nance (drawn by K. Durant),,39-25,,
9:03.0,K. Durant makes free throw 1 of 1,1,40-25,,
8:44.0,,,40-27,2,L. Williams makes 2-pt shot from 9 ft
8:33.0,S. Livingston misses 2-pt shot from 17 ft,,40-27,,
8:33.0,,,40-27,,Defensive rebound by L. Nance
8:23.0,,,40-29,2,J. Clarkson makes 2-pt shot from 9 ft
8:08.0,K. Durant misses 3-pt shot from 25 ft,,40-29,,
8:07.0,,,40-29,,Defensive rebound by B. Ingram
7:51.0,,,40-29,,B. Ingram misses 2-pt shot from 2 ft
7:49.0,Defensive rebound by S. Livingston,,40-29,,
7:44.0,P. McCaw misses 3-pt shot from 24 ft,,40-29,,
7:41.0,Offensive rebound by K. Durant,,40-29,,
7:27.0,P. McCaw makes 3-pt shot from 24 ft (assist by K. Durant),3,43-29,,
7:16.0,,,43-29,,L. Williams misses 2-pt shot from 7 ft (block by K. Looney)
7:16.0,,,43-29,,Offensive rebound by Team
7:16.0,D. Green enters the game for K. Durant,,43-29,,
7:16.0,S. Curry enters the game for S. Livingston,,43-29,,
7:16.0,,,43-29,,T. Robinson enters the game for L. Nance
7:16.0,,,43-29,,T. Mozgov enters the game for T. Black
7:09.0,,,43-29,,Shooting foul by K. Thompson (drawn by B. Ingram)
7:09.0,,,43-30,1,B. Ingram makes free throw 1 of 2
7:09.0,,,43-31,1,B. Ingram makes free throw 2 of 2
7:09.0,I. Clark enters the game for K. Thompson,,43-30,,
6:50.0,I. Clark misses 2-pt shot from 20 ft,,43-31,,
6:48.0,,,43-31,,Defensive rebound by T. Robinson
6:39.0,,,43-31,,B. Ingram misses 2-pt shot from 3 ft
6:38.0,,,43-31,,Offensive rebound by B. Ingram
6:35.0,,,43-31,,B. Ingram misses 2-pt shot from 1 ft (block by K. Looney)
6:33.0,Defensive rebound by P. McCaw,,43-31,,
6:32.0,Turnover by P. McCaw (bad pass; steal by B. Ingram),,43-31,,
6:28.0,,,43-31,,Shooting foul by D. Green (drawn by J. Clarkson)
6:28.0,,,43-31,,J. Clarkson misses free throw 1 of 2
6:28.0,,,43-31,,Offensive rebound by Team
6:28.0,,,43-32,1,J. Clarkson makes free throw 2 of 2
6:28.0,Z. Pachulia enters the game for K. Looney,,43-31,,
6:17.0,D. Green misses 2-pt shot from 2 ft,,43-32,,
6:17.0,,,43-32,,Defensive rebound by Team
6:17.0,Loose ball foul by Z. Pachulia (drawn by T. Mozgov),,43-32,,
6:17.0,,,43-32,,T. Mozgov misses free throw 1 of 2
6:17.0,,,43-32,,Offensive rebound by Team
6:17.0,,,43-32,,T. Mozgov misses free throw 2 of 2
6:17.0,,,43-32,,L. Deng enters the game for B. Ingram
6:14.0,Defensive rebound by D. Green,,43-32,,
5:57.0,S. Curry misses 2-pt shot from 21 ft,,43-32,,
5:56.0,,,43-32,,Defensive rebound by L. Deng
5:52.0,,,43-34,2,L. Williams makes 2-pt shot from 1 ft
5:44.0,Golden State full timeout,,43-34,,
5:44.0,,,43-34,,J. Calderon enters the game for L. Williams
5:30.0,Z. Pachulia misses 2-pt shot from 4 ft (block by T. Robinson),,43-34,,
5:29.0,,,43-34,,Defensive rebound by T. Robinson
5:20.0,,,43-36,2,T. Robinson makes 2-pt shot from 2 ft (assist by T. Mozgov)
5:10.0,A. Iguodala enters the game for P. McCaw,,43-36,,
5:07.0,Z. Pachulia misses 2-pt shot from 15 ft,,43-36,,
5:06.0,,,43-36,,Defensive rebound by T. Robinson
4:45.0,,,43-39,3,J. Clarkson makes 3-pt shot from 26 ft
4:39.0,Shooting foul by T. Robinson (drawn by D. Green),,43-39,,
4:39.0,D. Green makes free throw 1 of 2,1,44-39,,
4:39.0,D. Green misses free throw 2 of 2,,44-39,,
4:37.0,,,44-39,,Defensive rebound by T. Robinson
4:23.0,,,44-39,,Turnover by J. Clarkson (bad pass; steal by S. Curry)
4:17.0,S. Curry misses 2-pt shot at rim,,44-39,,
4:13.0,,,44-39,,Defensive rebound by T. Robinson
4:05.0,,,44-39,,Turnover by J. Calderon (bad pass; steal by D. Green)
4:01.0,Turnover by S. Curry (bad pass; steal by J. Clarkson),,44-39,,
3:45.0,,,44-39,,T. Mozgov misses 2-pt shot at rim
3:41.0,,,44-39,,Offensive rebound by J. Calderon
