time,Charlotte,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Noah vs. C. Zeller (K. Porzingis gains possession),,,,Jump ball: J. Noah vs. C. Zeller (K. Porzingis gains possession)
11:41.0,Personal foul by C. Zeller (drawn by J. Noah),,0-0,,
11:30.0,,,0-2,2,C. Anthony makes 2-pt shot from 13 ft
11:06.0,M. Williams misses 2-pt shot from 8 ft,,0-2,,
11:06.0,,,0-2,,Defensive rebound by J. Noah
10:57.0,,,0-2,,K. Porzingis misses 3-pt shot from 27 ft
10:56.0,Defensive rebound by C. Zeller,,0-2,,
10:48.0,C. Zeller makes 2-pt shot from 20 ft (assist by N. Batum),2,2-2,,
10:30.0,,,2-2,,Shooting foul by K. Walker (drawn by D. Rose)
10:30.0,,,2-2,,D. Rose misses free throw 1 of 2
10:30.0,,,2-2,,Offensive rebound by Team
10:30.0,,,2-3,1,D. Rose makes free throw 2 of 2
10:22.0,K. Walker misses 2-pt shot from 2 ft,,2-3,,
10:21.0,Offensive rebound by K. Walker,,2-3,,
10:21.0,Turnover by K. Walker (traveling),,2-3,,
10:04.0,,,2-6,3,C. Anthony makes 3-pt shot from 24 ft
9:47.0,,,2-6,,Personal foul by J. Noah (drawn by K. Walker)
9:35.0,M. Williams misses 3-pt shot from 26 ft,,2-6,,
9:34.0,,,2-6,,Defensive rebound by J. Noah
9:16.0,,,2-6,,J. Noah misses 2-pt shot from 1 ft (block by M. Williams)
9:15.0,Defensive rebound by N. Batum,,2-6,,
9:09.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,4-6,,
8:57.0,,,4-6,,K. Porzingis misses 2-pt shot from 8 ft
8:56.0,,,4-6,,Offensive rebound by D. Rose
8:50.0,,,4-6,,D. Rose misses 2-pt shot from 2 ft
8:48.0,,,4-6,,Offensive rebound by J. Noah
8:44.0,,,4-9,3,C. Lee makes 3-pt shot from 24 ft (assist by J. Noah)
8:36.0,,,4-9,,Personal foul by D. Rose (drawn by M. Williams)
8:31.0,K. Walker misses 3-pt shot from 25 ft,,4-9,,
8:30.0,,,4-9,,Defensive rebound by K. Porzingis
8:12.0,,,4-9,,C. Lee misses 2-pt shot from 8 ft
8:11.0,Defensive rebound by M. Williams,,4-9,,
8:05.0,C. Zeller makes 2-pt shot from 2 ft (assist by N. Batum),2,6-9,,
7:53.0,,,6-12,3,C. Anthony makes 3-pt shot from 26 ft (assist by D. Rose)
7:36.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,6-12,,
7:36.0,,,6-12,,Defensive rebound by K. Porzingis
7:17.0,,,6-12,,C. Lee misses 2-pt shot from 2 ft
7:16.0,,,6-12,,Offensive rebound by J. Noah
7:16.0,,,6-12,,J. Noah misses 2-pt shot from 1 ft
7:14.0,,,6-12,,Offensive rebound by C. Anthony
7:13.0,,,6-12,,C. Anthony misses 3-pt shot from 26 ft
7:11.0,Defensive rebound by N. Batum,,6-12,,
7:04.0,C. Zeller makes 2-pt shot from 7 ft (assist by N. Batum),2,8-12,,
6:39.0,,,8-12,,C. Anthony misses 2-pt shot from 21 ft
6:39.0,,,8-12,,Offensive rebound by Team
6:39.0,Loose ball foul by C. Zeller (drawn by J. Noah),,8-12,,
6:39.0,,,8-12,,K. O'Quinn enters the game for J. Noah
6:39.0,R. Hibbert enters the game for C. Zeller,,8-12,,
6:24.0,,,8-12,,K. O'Quinn misses 2-pt shot from 20 ft
6:24.0,Defensive rebound by K. Walker,,8-12,,
6:19.0,Turnover by R. Hibbert (traveling),,8-12,,
6:08.0,,,8-14,2,K. O'Quinn makes 2-pt shot from 17 ft (assist by D. Rose)
5:41.0,K. Walker misses 3-pt shot from 25 ft,,8-14,,
5:40.0,,,8-14,,Defensive rebound by K. O'Quinn
5:33.0,,,8-14,,Turnover by K. Porzingis (step out of bounds)
5:33.0,,,8-14,,New York full timeout
5:21.0,N. Batum makes 2-pt shot from 11 ft,2,10-14,,
5:21.0,Shooting foul by C. Lee (drawn by N. Batum),,10-14,,
5:21.0,N. Batum makes free throw 1 of 1,1,11-14,,
5:03.0,,,11-14,,D. Rose misses 2-pt shot from 2 ft
5:03.0,Defensive rebound by N. Batum,,11-14,,
4:58.0,N. Batum misses 3-pt shot from 25 ft,,11-14,,
4:57.0,Offensive rebound by M. Williams,,11-14,,
4:51.0,M. Williams makes 3-pt shot from 26 ft,3,14-14,,
4:37.0,,,14-14,,Shooting foul by K. Walker (drawn by C. Anthony)
4:37.0,,,14-15,1,C. Anthony makes free throw 1 of 2
4:37.0,,,14-16,1,C. Anthony makes free throw 2 of 2
4:37.0,,,14-15,,W. Hernangomez enters the game for K. Porzingis
4:37.0,F. Kaminsky enters the game for M. Williams,,14-15,,
4:37.0,R. Sessions enters the game for N. Batum,,14-15,,
4:37.0,M. Belinelli enters the game for K. Walker,,14-15,,
4:25.0,M. Belinelli makes 3-pt shot from 25 ft,3,17-16,,
4:14.0,Personal foul by M. Belinelli (drawn by C. Lee),,17-16,,
4:14.0,,,17-17,1,C. Lee makes free throw 1 of 2
4:14.0,,,17-18,1,C. Lee makes free throw 2 of 2
3:58.0,R. Sessions makes 2-pt shot from 1 ft (assist by F. Kaminsky),2,19-18,,
3:44.0,,,19-18,,Turnover by D. Rose (bad pass; steal by M. Belinelli)
3:39.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Belinelli),2,21-18,,
3:21.0,,,21-20,2,C. Lee makes 2-pt shot from 4 ft (assist by K. O'Quinn)
3:04.0,M. Belinelli misses 2-pt shot from 6 ft,,21-20,,
3:04.0,,,21-20,,Defensive rebound by C. Anthony
2:51.0,,,21-22,2,C. Anthony makes 2-pt shot from 14 ft
2:36.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by C. Lee),,21-22,,
2:22.0,,,21-24,2,K. O'Quinn makes 2-pt shot from 17 ft (assist by C. Lee)
2:05.0,F. Kaminsky misses 2-pt shot at rim (block by K. O'Quinn),,21-24,,
2:04.0,Offensive rebound by R. Hibbert,,21-24,,
2:03.0,R. Hibbert misses 2-pt shot at rim (block by K. O'Quinn),,21-24,,
2:02.0,Offensive rebound by R. Hibbert,,21-24,,
