time,Milwaukee,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. J. Henson (G. Antetokounmpo gains possession),,,,Jump ball: B. Biyombo vs. J. Henson (G. Antetokounmpo gains possession)
11:38.0,Turnover by G. Antetokounmpo (bad pass; steal by A. Gordon),,0-0,,
11:32.0,,,0-0,,A. Gordon misses 2-pt shot from 5 ft
11:30.0,,,0-0,,Offensive rebound by A. Gordon
11:23.0,,,0-0,,D. Augustin misses 3-pt shot from 23 ft
11:22.0,Defensive rebound by G. Antetokounmpo,,0-0,,
11:13.0,J. Henson misses 2-pt shot from 9 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by B. Biyombo
10:53.0,,,0-3,3,E. Fournier makes 3-pt shot from 26 ft
10:39.0,Turnover by J. Parker (discontinued dribble),,0-3,,
10:26.0,,,0-6,3,D. Augustin makes 3-pt shot from 23 ft (assist by A. Gordon)
10:10.0,Shooting foul by B. Biyombo (drawn by J. Henson),,0-6,,
10:10.0,J. Henson makes free throw 1 of 2,1,1-6,,
10:10.0,J. Henson makes free throw 2 of 2,1,2-6,,
10:03.0,Personal foul by M. Dellavedova (drawn by D. Augustin),,2-6,,
9:50.0,,,2-6,,S. Ibaka misses 2-pt shot from 10 ft (block by G. Antetokounmpo)
9:48.0,,,2-6,,Offensive rebound by A. Gordon
9:48.0,,,2-6,,A. Gordon misses 2-pt shot from 2 ft
9:46.0,Defensive rebound by J. Parker,,2-6,,
9:42.0,,,2-6,,Violation by B. Biyombo (def goaltending)
9:42.0,J. Parker makes 2-pt shot from 3 ft (assist by M. Dellavedova),2,4-6,,
9:24.0,,,4-6,,E. Fournier misses 2-pt shot from 11 ft
9:22.0,Defensive rebound by J. Henson,,4-6,,
9:17.0,M. Dellavedova makes 3-pt shot from 25 ft,3,7-6,,
9:00.0,,,7-6,,A. Gordon misses 2-pt shot from 17 ft
8:58.0,Defensive rebound by J. Henson,,7-6,,
8:51.0,T. Snell misses 3-pt shot from 26 ft,,7-6,,
8:50.0,Offensive rebound by J. Henson,,7-6,,
8:46.0,J. Henson makes 2-pt shot from 7 ft,2,9-6,,
8:31.0,,,9-8,2,S. Ibaka makes 2-pt shot from 16 ft (assist by E. Fournier)
8:21.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,11-8,,
8:12.0,,,11-11,3,S. Ibaka makes 3-pt shot from 25 ft (assist by D. Augustin)
8:00.0,M. Dellavedova misses 2-pt shot from 2 ft,,11-11,,
7:56.0,Offensive rebound by G. Antetokounmpo,,11-11,,
7:56.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,13-11,,
7:35.0,,,13-13,2,D. Augustin makes 2-pt shot from 7 ft
7:17.0,Shooting foul by B. Biyombo (drawn by J. Henson),,13-13,,
7:17.0,J. Henson misses free throw 1 of 2,,13-13,,
7:17.0,Offensive rebound by Team,,13-13,,
7:17.0,J. Henson misses free throw 2 of 2,,13-13,,
7:17.0,M. Brogdon enters the game for M. Dellavedova,,13-13,,
7:17.0,,,13-13,,N. Vucevic enters the game for B. Biyombo
7:15.0,,,13-13,,Defensive rebound by N. Vucevic
7:02.0,,,13-13,,E. Fournier misses 2-pt shot from 2 ft (block by J. Henson)
7:02.0,,,13-13,,Offensive rebound by Team
7:02.0,M. Beasley enters the game for G. Antetokounmpo,,13-13,,
6:59.0,,,13-13,,N. Vucevic misses 2-pt shot from 3 ft
6:57.0,,,13-13,,Offensive rebound by N. Vucevic
6:57.0,,,13-15,2,N. Vucevic makes 2-pt shot from 2 ft
6:44.0,J. Henson misses 2-pt shot from 9 ft,,13-15,,
6:43.0,,,13-15,,Defensive rebound by A. Gordon
6:38.0,Personal foul by J. Parker (drawn by S. Ibaka),,13-15,,
6:38.0,G. Monroe enters the game for J. Henson,,13-15,,
6:31.0,,,13-15,,S. Ibaka misses 2-pt shot from 19 ft
6:29.0,Defensive rebound by T. Snell,,13-15,,
6:22.0,M. Beasley makes 2-pt shot from 2 ft,2,15-15,,
6:22.0,Shooting foul by S. Ibaka (drawn by M. Beasley),,15-15,,
