time,Denver,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Nurkic,,,,Jump ball: T. Chandler vs. J. Nurkic
11:52.0,,,0-0,,Turnover by M. Chriss (bad pass)
11:35.0,J. Nurkic makes 2-pt shot from 9 ft,2,2-0,,
11:20.0,,,2-0,,D. Booker misses 2-pt shot from 16 ft
11:17.0,Defensive rebound by J. Nelson,,2-0,,
11:16.0,Shooting foul by E. Bledsoe (drawn by E. Mudiay),,2-0,,
11:16.0,E. Mudiay makes free throw 1 of 2,1,3-0,,
11:16.0,E. Mudiay makes free throw 2 of 2,1,4-0,,
10:50.0,,,4-0,,P. Tucker misses 2-pt shot from 12 ft
10:48.0,Defensive rebound by W. Chandler,,4-0,,
10:38.0,J. Nurkic makes 2-pt shot from 1 ft (assist by E. Mudiay),2,6-0,,
10:14.0,,,6-0,,E. Bledsoe misses 2-pt shot from 11 ft
10:12.0,Defensive rebound by W. Chandler,,6-0,,
10:00.0,E. Mudiay makes 3-pt shot from 26 ft (assist by J. Nelson),3,9-0,,
9:59.0,,,9-0,,Phoenix full timeout
9:47.0,,,9-0,,D. Booker misses 2-pt shot from 21 ft
9:45.0,Defensive rebound by K. Faried,,9-0,,
9:42.0,Offensive charge foul by K. Faried,,9-0,,
9:42.0,Turnover by K. Faried (offensive foul),,9-0,,
9:28.0,,,9-0,,P. Tucker misses 3-pt shot from 23 ft
9:26.0,Defensive rebound by K. Faried,,9-0,,
9:14.0,,,9-0,,Shooting block foul by M. Chriss (drawn by E. Mudiay)
9:14.0,E. Mudiay makes free throw 1 of 2,1,10-0,,
9:14.0,E. Mudiay makes free throw 2 of 2,1,11-0,,
8:55.0,,,11-0,,M. Chriss misses 2-pt shot from 16 ft
8:53.0,Defensive rebound by W. Chandler,,11-0,,
8:42.0,J. Nurkic misses 2-pt shot from 6 ft,,11-0,,
8:39.0,Offensive rebound by K. Faried,,11-0,,
8:35.0,J. Nurkic misses 2-pt shot from 3 ft,,11-0,,
8:34.0,,,11-0,,Defensive rebound by E. Bledsoe
8:23.0,,,11-3,3,E. Bledsoe makes 3-pt shot from 25 ft
8:01.0,J. Nelson misses 2-pt shot from 3 ft,,11-3,,
7:58.0,,,11-3,,Defensive rebound by D. Booker
7:45.0,,,11-5,2,D. Booker makes 2-pt shot from 17 ft
7:33.0,E. Mudiay makes 2-pt shot from 1 ft (assist by J. Nurkic),2,13-5,,
7:21.0,,,13-7,2,E. Bledsoe makes 2-pt shot from 16 ft
7:12.0,K. Faried makes 2-pt shot from 2 ft (assist by J. Nurkic),2,15-7,,
7:12.0,Shooting foul by M. Chriss (drawn by K. Faried),,15-7,,
7:12.0,K. Faried makes free throw 1 of 1,1,16-7,,
7:12.0,,,15-7,,D. Bender enters the game for M. Chriss
6:58.0,,,16-9,2,T. Chandler makes 2-pt shot from 2 ft (assist by D. Booker)
6:44.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,18-9,,
6:44.0,,,18-9,,Technical foul by M. Chriss
6:44.0,E. Mudiay makes technical free throw,1,19-9,,
6:30.0,Personal foul by J. Nelson (drawn by D. Booker),,19-9,,
6:20.0,,,19-12,3,D. Booker makes 3-pt shot from 25 ft
6:07.0,,,19-12,,Personal foul by P. Tucker (drawn by J. Nurkic)
6:00.0,W. Chandler misses 3-pt shot from 25 ft,,19-12,,
5:57.0,,,19-12,,Defensive rebound by T. Chandler
5:56.0,Violation by K. Faried (def goaltending),,19-12,,
5:56.0,,,19-14,2,E. Bledsoe makes 2-pt shot from 2 ft
5:41.0,J. Nelson misses 3-pt shot from 26 ft,,19-14,,
5:39.0,,,19-14,,Defensive rebound by T. Chandler
5:32.0,,,19-17,3,P. Tucker makes 3-pt shot from 25 ft (assist by D. Booker)
5:31.0,Denver full timeout,,19-17,,
5:31.0,D. Arthur enters the game for K. Faried,,19-17,,
5:31.0,J. Murray enters the game for J. Nelson,,19-17,,
5:20.0,Turnover by J. Murray (lost ball),,19-17,,
5:06.0,,,19-17,,D. Bender misses 3-pt shot from 25 ft
5:06.0,Defensive rebound by Team,,19-17,,
4:52.0,W. Chandler misses 2-pt shot from 10 ft,,19-17,,
4:50.0,,,19-17,,Defensive rebound by P. Tucker
4:41.0,,,19-17,,E. Bledsoe misses 2-pt shot from 9 ft
4:39.0,Defensive rebound by J. Nurkic,,19-17,,
4:27.0,E. Mudiay misses 3-pt shot from 25 ft,,19-17,,
4:25.0,,,19-17,,Defensive rebound by T. Chandler
4:16.0,,,19-20,3,E. Bledsoe makes 3-pt shot from 24 ft (assist by P. Tucker)
3:54.0,D. Arthur makes 3-pt shot from 23 ft (assist by J. Murray),3,22-20,,
3:41.0,Personal foul by J. Murray (drawn by D. Bender),,22-20,,
3:41.0,N. Jokic enters the game for J. Nurkic,,22-20,,
3:41.0,,,22-20,,A. Len enters the game for T. Chandler
3:41.0,,,22-20,,B. Knight enters the game for E. Bledsoe
3:38.0,,,22-20,,Turnover by D. Bender (3 sec)
3:26.0,N. Jokic misses 2-pt shot from 15 ft,,22-20,,
3:24.0,Offensive rebound by W. Chandler,,22-20,,
3:18.0,J. Murray misses 3-pt shot from 25 ft,,22-20,,
3:14.0,,,22-20,,Defensive rebound by B. Knight
3:11.0,Personal block foul by J. Murray (drawn by D. Bender),,22-20,,
3:02.0,,,22-20,,A. Len misses 2-pt shot from 8 ft
3:00.0,Defensive rebound by E. Mudiay,,22-20,,
2:48.0,D. Arthur misses 2-pt shot from 9 ft,,22-20,,
2:41.0,,,22-20,,Defensive rebound by D. Booker
2:38.0,,,22-20,,Turnover by D. Booker (bad pass; steal by W. Chandler)
2:33.0,E. Mudiay makes 2-pt shot from 1 ft (assist by J. Murray),2,24-20,,
2:16.0,,,24-20,,B. Knight misses 2-pt shot from 10 ft
2:14.0,,,24-20,,Offensive rebound by B. Knight
2:14.0,,,24-20,,B. Knight misses 2-pt shot from 2 ft
2:14.0,,,24-20,,Offensive rebound by A. Len
2:14.0,,,24-20,,Shooting foul by D. Arthur (drawn by A. Len)
2:14.0,,,24-22,2,A. Len makes 2-pt shot at rim
2:14.0,,,24-23,1,A. Len makes free throw 1 of 1
2:14.0,A. Gee enters the game for W. Chandler,,24-22,,
2:14.0,J. Nelson enters the game for E. Mudiay,,24-22,,
2:14.0,,,24-22,,E. Bledsoe enters the game for D. Booker
2:06.0,Turnover by J. Nelson (traveling),,24-23,,
1:53.0,,,24-25,2,E. Bledsoe makes 2-pt shot from 9 ft
1:34.0,J. Murray misses 2-pt shot from 16 ft,,24-25,,
1:32.0,,,24-25,,Defensive rebound by P. Tucker
1:17.0,Personal foul by J. Nelson (drawn by P. Tucker),,24-25,,
1:17.0,,,24-26,1,P. Tucker makes free throw 1 of 2
1:17.0,,,24-26,,P. Tucker misses free throw 2 of 2
1:17.0,M. Beasley enters the game for J. Murray,,24-26,,
1:16.0,Defensive rebound by A. Gee,,24-26,,
0:59.0,J. Nelson makes 3-pt shot from 25 ft (assist by N. Jokic),3,27-26,,
0:52.0,Personal foul by A. Gee (drawn by B. Knight),,27-26,,
0:52.0,,,27-27,1,B. Knight makes free throw 1 of 2
0:52.0,,,27-28,1,B. Knight makes free throw 2 of 2
0:40.0,M. Beasley misses 2-pt shot from 7 ft,,27-28,,
0:38.0,Offensive rebound by N. Jokic,,27-28,,
0:38.0,N. Jokic makes 2-pt shot from 2 ft,2,29-28,,
0:28.0,,,29-28,,P. Tucker misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by D. Arthur,,29-28,,
0:04.0,,,29-28,,Violation by P. Tucker (kicked ball)
0:01.0,J. Nelson misses 2-pt shot from 15 ft (block by E. Bledsoe),,29-28,,
0:00.0,,,29-28,,Defensive rebound by D. Bender
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,D. Arthur misses 2-pt shot from 17 ft,,29-28,,
11:41.0,,,29-28,,Defensive rebound by A. Len
