time,Memphis,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Valanciunas (J. Green gains possession),,,,Jump ball: M. Gasol vs. J. Valanciunas (J. Green gains possession)
11:42.0,M. Gasol misses 2-pt shot from 16 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by K. Lowry
11:28.0,,,0-0,,J. Valanciunas misses 2-pt shot at rim
11:28.0,Defensive rebound by A. Harrison,,0-0,,
11:17.0,T. Allen makes 2-pt shot from 21 ft (assist by A. Harrison),2,2-0,,
10:54.0,,,2-0,,Turnover by D. DeRozan (lost ball; steal by A. Harrison)
10:53.0,Turnover by A. Harrison (bad pass),,2-0,,
10:42.0,,,2-0,,Offensive foul by J. Valanciunas
10:42.0,,,2-0,,Turnover by J. Valanciunas (offensive foul)
10:28.0,T. Williams misses 3-pt shot from 26 ft,,2-0,,
10:27.0,Offensive rebound by Team,,2-0,,
10:26.0,Shooting foul by P. Siakam (drawn by J. Green),,2-0,,
10:26.0,J. Green misses free throw 1 of 2,,2-0,,
10:26.0,Offensive rebound by Team,,2-0,,
10:26.0,J. Green makes free throw 2 of 2,1,3-0,,
10:06.0,,,3-0,,D. Carroll misses 3-pt shot from 25 ft
10:05.0,Defensive rebound by M. Gasol,,3-0,,
9:57.0,J. Green makes 2-pt shot from 2 ft (assist by T. Allen),2,5-0,,
9:39.0,,,5-2,2,K. Lowry makes 2-pt shot from 1 ft
9:39.0,,,5-2,,Shooting foul by T. Williams (drawn by K. Lowry)
9:39.0,,,5-3,1,K. Lowry makes free throw 1 of 1
9:25.0,J. Green misses 3-pt shot from 24 ft,,5-3,,
9:24.0,,,5-3,,Defensive rebound by D. DeRozan
9:11.0,,,5-5,2,J. Valanciunas makes 2-pt shot from 16 ft (assist by D. DeRozan)
8:58.0,A. Harrison makes 3-pt shot from 27 ft,3,8-5,,
8:40.0,,,8-5,,D. Carroll misses 2-pt shot from 5 ft (block by J. Green)
8:38.0,,,8-5,,Offensive rebound by P. Siakam
8:35.0,,,8-7,2,P. Siakam makes 2-pt shot from 12 ft
8:15.0,T. Williams makes 2-pt shot from 21 ft,2,10-7,,
8:08.0,,,10-7,,Shooting foul by A. Harrison (drawn by K. Lowry)
8:08.0,,,10-8,1,K. Lowry makes free throw 1 of 2
8:08.0,,,10-9,1,K. Lowry makes free throw 2 of 2
7:45.0,T. Williams makes 2-pt shot from 5 ft,2,12-9,,
7:45.0,Shooting foul by D. Carroll (drawn by T. Williams),,12-9,,
7:45.0,T. Williams makes free throw 1 of 1,1,13-9,,
7:26.0,,,13-12,3,D. DeRozan makes 3-pt shot from 23 ft (assist by K. Lowry)
7:02.0,M. Gasol misses 3-pt shot from 25 ft,,13-12,,
7:02.0,,,13-12,,Defensive rebound by D. DeRozan
6:54.0,,,13-15,3,D. Carroll makes 3-pt shot from 24 ft (assist by D. DeRozan)
6:40.0,Turnover by T. Allen (lost ball; steal by K. Lowry),,13-15,,
6:33.0,,,13-15,,D. Carroll misses 3-pt shot from 26 ft
6:33.0,Defensive rebound by Team,,13-15,,
6:20.0,M. Gasol makes 2-pt shot from 8 ft,2,15-15,,
6:00.0,,,15-15,,Turnover by J. Valanciunas (bad pass; steal by T. Allen)
5:54.0,T. Williams makes 2-pt shot at rim (assist by T. Allen),2,17-15,,
5:53.0,Violation by Team (jump ball),,17-15,,
5:49.0,,,17-15,,Toronto full timeout
5:49.0,W. Baldwin enters the game for A. Harrison,,17-15,,
5:43.0,,,17-17,2,P. Siakam makes 2-pt shot from 2 ft (assist by D. Carroll)
5:24.0,M. Gasol makes 2-pt shot from 8 ft,2,19-17,,
5:05.0,,,19-17,,Turnover by D. DeRozan (bad pass; steal by T. Williams)
4:57.0,Turnover by T. Williams (bad pass; steal by J. Valanciunas),,19-17,,
4:44.0,Personal foul by T. Williams (drawn by K. Lowry),,19-17,,
4:44.0,J. Martin enters the game for T. Williams,,19-17,,
4:35.0,,,19-17,,Turnover by Team (back court)
4:19.0,J. Green misses 2-pt shot from 18 ft,,19-17,,
4:19.0,,,19-17,,Defensive rebound by K. Lowry
4:10.0,,,19-17,,K. Lowry misses 2-pt shot from 20 ft
4:10.0,,,19-17,,Offensive rebound by J. Valanciunas
4:09.0,,,19-17,,J. Valanciunas misses 2-pt shot from 1 ft
4:08.0,,,19-17,,Offensive rebound by P. Siakam
3:50.0,,,19-19,2,J. Valanciunas makes 2-pt shot at rim (assist by P. Siakam)
3:36.0,Shooting foul by D. Carroll (drawn by M. Gasol),,19-19,,
3:36.0,M. Gasol makes free throw 1 of 2,1,20-19,,
3:36.0,M. Gasol makes free throw 2 of 2,1,21-19,,
3:36.0,A. Harrison enters the game for T. Allen,,20-19,,
3:36.0,,,20-19,,T. Ross enters the game for D. Carroll
3:36.0,,,20-19,,C. Joseph enters the game for K. Lowry
3:25.0,,,21-19,,Turnover by D. DeRozan (lost ball; steal by J. Green)
3:17.0,J. Green misses 2-pt shot from 3 ft,,21-19,,
3:16.0,,,21-19,,Defensive rebound by C. Joseph
3:10.0,,,21-19,,T. Ross misses 3-pt shot from 25 ft
3:10.0,Defensive rebound by M. Gasol,,21-19,,
2:58.0,A. Harrison misses 2-pt shot from 10 ft,,21-19,,
2:58.0,Offensive rebound by J. Green,,21-19,,
2:57.0,J. Green misses 2-pt shot from 1 ft (block by P. Siakam),,21-19,,
2:55.0,,,21-19,,Defensive rebound by D. DeRozan
2:52.0,,,21-19,,Turnover by D. DeRozan (bad pass)
2:52.0,Memphis full timeout,,21-19,,
2:52.0,,,21-19,,L. Nogueira enters the game for P. Siakam
2:52.0,,,21-19,,P. Patterson enters the game for J. Valanciunas
2:38.0,,,21-19,,Personal foul by L. Nogueira (drawn by M. Gasol)
2:26.0,W. Baldwin misses 2-pt shot from 16 ft,,21-19,,
2:25.0,,,21-19,,Defensive rebound by P. Patterson
2:14.0,,,21-19,,D. DeRozan misses 2-pt shot from 16 ft
2:14.0,Defensive rebound by J. Martin,,21-19,,
1:58.0,M. Gasol makes 2-pt shot from 11 ft,2,23-19,,
1:40.0,,,23-21,2,C. Joseph makes 2-pt shot from 17 ft
1:19.0,Turnover by J. Green (bad pass; steal by L. Nogueira),,23-21,,
1:08.0,,,23-24,3,T. Ross makes 3-pt shot from 25 ft (assist by D. DeRozan)
0:51.0,M. Gasol makes 3-pt shot from 26 ft (assist by J. Green),3,26-24,,
0:42.0,,,26-24,,Shooting foul by W. Baldwin (drawn by C. Joseph)
0:42.0,,,26-24,,C. Joseph misses free throw 1 of 2
0:42.0,,,26-24,,Offensive rebound by Team
0:42.0,,,26-25,1,C. Joseph makes free throw 2 of 2
0:42.0,D. Davis enters the game for M. Gasol,,26-24,,
0:25.0,W. Baldwin misses 2-pt shot from 3 ft (block by L. Nogueira),,26-25,,
0:24.0,,,26-25,,Defensive rebound by T. Ross
0:04.0,,,26-25,,Turnover by D. DeRozan (lost ball; steal by A. Harrison)
