time,New York,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. J. Noah (K. Porzingis gains possession),,,,Jump ball: T. Mozgov vs. J. Noah (K. Porzingis gains possession)
11:40.0,C. Anthony makes 2-pt shot from 18 ft,2,2-0,,
11:23.0,,,2-0,,D. Russell misses 2-pt shot from 15 ft (block by D. Rose)
11:23.0,,,2-0,,Offensive rebound by Team
11:21.0,,,2-0,,D. Russell misses 2-pt shot from 18 ft
11:19.0,Defensive rebound by D. Rose,,2-0,,
11:15.0,D. Rose makes 2-pt shot from 7 ft,2,4-0,,
10:57.0,,,4-0,,N. Young misses 3-pt shot from 25 ft
10:56.0,Defensive rebound by J. Noah,,4-0,,
10:40.0,Shooting foul by N. Young (drawn by C. Lee),,4-0,,
10:40.0,C. Lee makes free throw 1 of 2,1,5-0,,
10:40.0,C. Lee makes free throw 2 of 2,1,6-0,,
10:23.0,,,6-0,,T. Mozgov misses 2-pt shot from 5 ft
10:21.0,,,6-0,,Offensive rebound by N. Young
10:18.0,,,6-2,2,N. Young makes 2-pt shot from 19 ft
10:02.0,K. Porzingis misses 2-pt shot from 19 ft,,6-2,,
10:01.0,,,6-2,,Defensive rebound by J. Randle
9:51.0,,,6-5,3,L. Deng makes 3-pt shot from 26 ft
9:38.0,C. Anthony misses 2-pt shot from 21 ft,,6-5,,
9:33.0,,,6-5,,Defensive rebound by N. Young
9:30.0,,,6-7,2,N. Young makes 2-pt shot from 18 ft (assist by D. Russell)
9:19.0,K. Porzingis makes 2-pt shot from 5 ft (assist by C. Anthony),2,8-7,,
9:19.0,Shooting foul by T. Mozgov (drawn by K. Porzingis),,8-7,,
9:19.0,K. Porzingis makes free throw 1 of 1,1,9-7,,
9:04.0,,,9-7,,D. Russell misses 3-pt shot from 26 ft
9:02.0,Defensive rebound by K. Porzingis,,9-7,,
8:54.0,D. Rose makes 2-pt shot from 12 ft,2,11-7,,
8:41.0,,,11-9,2,J. Randle makes 2-pt shot from 8 ft
8:28.0,J. Noah makes 2-pt shot at rim (assist by C. Anthony),2,13-9,,
8:17.0,,,13-12,3,L. Deng makes 3-pt shot from 27 ft (assist by D. Russell)
8:06.0,D. Rose makes 2-pt shot from 16 ft (assist by J. Noah),2,15-12,,
7:51.0,,,15-12,,N. Young misses 3-pt shot from 25 ft
7:48.0,Defensive rebound by C. Anthony,,15-12,,
7:35.0,J. Noah makes 2-pt shot from 1 ft (assist by D. Rose),2,17-12,,
7:18.0,,,17-12,,J. Randle misses 2-pt shot from 2 ft (block by K. Porzingis)
7:15.0,Defensive rebound by C. Anthony,,17-12,,
6:55.0,C. Anthony misses 2-pt shot from 18 ft,,17-12,,
6:53.0,,,17-12,,Defensive rebound by T. Mozgov
6:46.0,,,17-12,,L. Deng misses 3-pt shot from 25 ft
6:44.0,,,17-12,,Offensive rebound by N. Young
6:37.0,,,17-14,2,N. Young makes 2-pt shot from 1 ft
6:22.0,C. Lee misses 2-pt shot from 18 ft,,17-14,,
6:20.0,,,17-14,,Defensive rebound by L. Deng
6:09.0,,,17-14,,D. Russell misses 2-pt shot from 14 ft
6:06.0,Defensive rebound by J. Noah,,17-14,,
6:03.0,D. Rose makes 2-pt shot from 5 ft (assist by K. Porzingis),2,19-14,,
5:56.0,,,19-14,,LA Lakers full timeout
5:56.0,,,19-14,,J. Clarkson enters the game for N. Young
5:50.0,,,19-14,,D. Russell misses 3-pt shot from 26 ft
5:48.0,Defensive rebound by K. Porzingis,,19-14,,
5:37.0,K. Porzingis makes 2-pt shot from 19 ft (assist by J. Noah),2,21-14,,
5:22.0,,,21-16,2,J. Randle makes 2-pt shot from 16 ft (assist by D. Russell)
4:53.0,K. Porzingis misses 2-pt shot from 17 ft,,21-16,,
4:52.0,,,21-16,,Defensive rebound by L. Deng
4:44.0,,,21-18,2,L. Deng makes 2-pt shot from 1 ft (assist by J. Randle)
4:32.0,D. Rose makes 2-pt shot from 12 ft,2,23-18,,
4:10.0,,,23-20,2,J. Clarkson makes 2-pt shot from 13 ft
3:59.0,Turnover by J. Noah (bad pass; steal by L. Deng),,23-20,,
3:56.0,,,23-22,2,J. Clarkson makes 2-pt shot from 1 ft (assist by J. Randle)
3:56.0,,,23-22,,Shooting foul by J. Noah (drawn by J. Clarkson)
3:56.0,,,23-22,,J. Clarkson misses free throw 1 of 1
3:56.0,,,23-22,,L. Williams enters the game for L. Deng
3:56.0,,,23-22,,B. Ingram enters the game for T. Mozgov
3:56.0,,,23-22,,L. Nance enters the game for D. Russell
3:56.0,J. Holiday enters the game for K. Porzingis,,23-22,,
3:56.0,L. Thomas enters the game for J. Noah,,23-22,,
3:56.0,W. Hernangomez enters the game for C. Lee,,23-22,,
3:55.0,Defensive rebound by J. Holiday,,23-22,,
3:39.0,J. Holiday misses 2-pt shot from 3 ft,,23-22,,
3:37.0,,,23-22,,Defensive rebound by L. Williams
3:33.0,,,23-22,,Turnover by L. Williams (lost ball; steal by L. Thomas)
3:22.0,L. Thomas misses 3-pt shot from 25 ft,,23-22,,
3:20.0,,,23-22,,Defensive rebound by L. Williams
3:09.0,,,23-24,2,L. Williams makes 2-pt shot from 3 ft (assist by J. Clarkson)
3:09.0,New York full timeout,,23-24,,
2:51.0,J. Holiday makes 3-pt shot from 27 ft (assist by C. Anthony),3,26-24,,
2:28.0,,,26-24,,J. Randle misses 2-pt shot from 3 ft
2:25.0,Defensive rebound by W. Hernangomez,,26-24,,
2:22.0,Shooting foul by B. Ingram (drawn by C. Anthony),,26-24,,
2:22.0,C. Anthony makes free throw 1 of 2,1,27-24,,
2:22.0,C. Anthony makes free throw 2 of 2,1,28-24,,
2:22.0,B. Jennings enters the game for D. Rose,,27-24,,
2:05.0,,,28-24,,L. Nance misses 2-pt shot from 3 ft
2:00.0,Defensive rebound by B. Jennings,,28-24,,
1:55.0,C. Anthony misses 3-pt shot from 26 ft,,28-24,,
1:52.0,,,28-24,,Defensive rebound by J. Randle
1:48.0,,,28-24,,J. Clarkson misses 3-pt shot from 26 ft
1:46.0,Defensive rebound by J. Holiday,,28-24,,
