time,Boston,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Johnson (T. Parker gains possession),,,,Jump ball: P. Gasol vs. A. Johnson (T. Parker gains possession)
11:37.0,,,0-0,,D. Lee misses 2-pt shot from 1 ft
11:36.0,,,0-0,,Offensive rebound by D. Lee
11:32.0,,,0-0,,K. Leonard misses 3-pt shot from 25 ft
11:32.0,Defensive rebound by A. Bradley,,0-0,,
11:19.0,M. Smart makes 2-pt shot from 11 ft (assist by J. Crowder),2,2-0,,
10:54.0,,,2-3,3,D. Green makes 3-pt shot from 25 ft (assist by T. Parker)
10:32.0,A. Horford makes 2-pt shot from 12 ft,2,4-3,,
10:22.0,,,4-3,,Turnover by K. Leonard (bad pass)
10:10.0,A. Bradley makes 2-pt shot from 20 ft (assist by M. Smart),2,6-3,,
9:55.0,,,6-3,,P. Gasol misses 2-pt shot from 2 ft (block by J. Crowder)
9:55.0,,,6-3,,Offensive rebound by Team
9:48.0,,,6-5,2,T. Parker makes 2-pt shot from 19 ft
9:47.0,,,6-5,,Violation by Team (jump ball)
9:40.0,,,6-5,,Personal foul by K. Leonard (drawn by J. Crowder)
9:32.0,A. Horford misses 2-pt shot from 9 ft,,6-5,,
9:30.0,,,6-5,,Defensive rebound by P. Gasol
9:22.0,,,6-7,2,T. Parker makes 2-pt shot from 9 ft
9:10.0,A. Horford makes 2-pt shot from 17 ft (assist by A. Bradley),2,8-7,,
8:49.0,,,8-7,,Turnover by D. Green (lost ball; steal by A. Bradley)
8:49.0,Jump ball: A. Johnson vs. D. Lee (A. Horford gains possession),,,,Jump ball: A. Johnson vs. D. Lee (A. Horford gains possession)
8:38.0,A. Bradley makes 3-pt shot from 23 ft (assist by A. Johnson),3,11-7,,
8:37.0,,,11-7,,San Antonio full timeout
8:18.0,,,11-7,,K. Leonard misses 2-pt shot from 19 ft
8:17.0,Defensive rebound by A. Johnson,,11-7,,
8:10.0,A. Bradley misses 3-pt shot from 25 ft,,11-7,,
8:09.0,,,11-7,,Defensive rebound by D. Lee
8:02.0,,,11-7,,Shooting foul by J. Crowder (drawn by K. Leonard)
8:02.0,,,11-8,1,K. Leonard makes free throw 1 of 3
8:02.0,,,11-9,1,K. Leonard makes free throw 2 of 3
8:02.0,,,11-10,1,K. Leonard makes free throw 3 of 3
7:50.0,A. Horford misses 2-pt shot from 1 ft (block by K. Leonard),,11-10,,
7:48.0,,,11-10,,Defensive rebound by P. Gasol
7:42.0,,,11-10,,K. Leonard misses 2-pt shot from 19 ft
7:41.0,Defensive rebound by M. Smart,,11-10,,
7:34.0,M. Smart makes 2-pt shot from 4 ft,2,13-10,,
7:20.0,,,13-12,2,P. Gasol makes 2-pt shot from 19 ft (assist by T. Parker)
7:13.0,Turnover by J. Crowder (bad pass),,13-12,,
6:55.0,,,13-12,,T. Parker misses 2-pt shot from 18 ft
6:54.0,Defensive rebound by A. Bradley,,13-12,,
6:41.0,J. Crowder misses 3-pt shot from 25 ft,,13-12,,
6:40.0,,,13-12,,Defensive rebound by K. Leonard
6:14.0,,,13-14,2,K. Leonard makes 2-pt shot from 1 ft (assist by P. Gasol)
5:53.0,Shooting foul by D. Lee (drawn by A. Johnson),,13-14,,
5:53.0,A. Johnson misses free throw 1 of 2,,13-14,,
5:53.0,Offensive rebound by Team,,13-14,,
5:53.0,A. Johnson makes free throw 2 of 2,1,14-14,,
5:31.0,,,14-16,2,D. Green makes 2-pt shot from 2 ft (assist by D. Lee)
5:23.0,A. Horford misses 3-pt shot from 25 ft,,14-16,,
5:22.0,,,14-16,,Defensive rebound by D. Lee
5:14.0,,,14-18,2,D. Lee makes 2-pt shot from 1 ft (assist by T. Parker)
4:51.0,,,14-18,,P. Mills enters the game for T. Parker
4:51.0,,,14-18,,M. Ginobili enters the game for D. Green
4:51.0,T. Zeller enters the game for A. Johnson,,14-18,,
4:51.0,,,14-18,,D. Dedmon enters the game for P. Gasol
4:47.0,Turnover by Team (shot clock),,14-18,,
4:30.0,Personal foul by M. Smart (drawn by M. Ginobili),,14-18,,
4:30.0,J. Brown enters the game for J. Crowder,,14-18,,
4:21.0,,,14-20,2,K. Leonard makes 2-pt shot from 19 ft
4:02.0,A. Bradley makes 2-pt shot from 21 ft,2,16-20,,
3:51.0,,,16-22,2,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Mills)
3:51.0,Boston full timeout,,16-22,,
3:51.0,T. Rozier enters the game for M. Smart,,16-22,,
3:34.0,T. Rozier makes 3-pt shot from 25 ft (assist by T. Zeller),3,19-22,,
3:26.0,Personal block foul by A. Bradley (drawn by M. Ginobili),,19-22,,
3:14.0,,,19-24,2,K. Leonard makes 2-pt shot from 10 ft
3:04.0,Turnover by A. Bradley (bad pass; steal by K. Leonard),,19-24,,
2:54.0,,,19-24,,Turnover by M. Ginobili (lost ball; steal by J. Brown)
2:50.0,J. Brown makes 2-pt shot at rim,2,21-24,,
2:36.0,,,21-24,,P. Mills misses 3-pt shot from 23 ft
2:35.0,Defensive rebound by A. Bradley,,21-24,,
2:19.0,Turnover by J. Brown (bad pass; steal by P. Mills),,21-24,,
2:14.0,,,21-24,,Turnover by P. Mills (bad pass; steal by A. Bradley)
1:58.0,T. Rozier misses 2-pt shot at rim,,21-24,,
1:57.0,,,21-24,,Defensive rebound by D. Dedmon
1:51.0,,,21-27,3,M. Ginobili makes 3-pt shot from 26 ft (assist by D. Lee)
1:31.0,A. Horford misses 3-pt shot from 24 ft,,21-27,,
1:28.0,Offensive rebound by A. Horford,,21-27,,
1:25.0,A. Horford misses 2-pt shot from 2 ft,,21-27,,
1:25.0,Offensive rebound by Team,,21-27,,
1:25.0,K. Olynyk enters the game for A. Horford,,21-27,,
1:25.0,,,21-27,,J. Simmons enters the game for D. Lee
1:25.0,,,21-27,,D. Bertans enters the game for K. Leonard
1:23.0,Turnover by J. Brown (bad pass; steal by M. Ginobili),,21-27,,
1:12.0,,,21-30,3,M. Ginobili makes 3-pt shot from 24 ft (assist by D. Bertans)
0:50.0,,,21-30,,Personal foul by D. Dedmon (drawn by J. Brown)
0:45.0,T. Zeller misses 2-pt shot from 19 ft,,21-30,,
0:45.0,,,21-30,,Defensive rebound by Team
0:31.0,,,21-32,2,D. Dedmon makes 2-pt shot from 9 ft (assist by M. Ginobili)
0:18.0,A. Bradley makes 2-pt shot from 10 ft (assist by T. Zeller),2,23-32,,
0:02.0,,,23-32,,Offensive foul by D. Dedmon
0:02.0,,,23-32,,Turnover by D. Dedmon (offensive foul)
0:02.0,M. Smart enters the game for J. Brown,,23-32,,
0:00.0,T. Zeller misses 2-pt shot from 18 ft,,23-32,,
0:00.0,Offensive rebound by Team,,23-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,M. Smart misses 3-pt shot from 33 ft,,23-32,,
11:32.0,Offensive rebound by J. Brown,,23-32,,
11:32.0,J. Brown misses 2-pt shot from 1 ft,,23-32,,
11:31.0,,,23-32,,Defensive rebound by M. Ginobili
11:21.0,Personal block foul by K. Olynyk,,23-32,,
11:10.0,,,23-32,,Turnover by P. Mills (step out of bounds)
10:54.0,T. Rozier misses 2-pt shot from 16 ft,,23-32,,
10:51.0,Offensive rebound by T. Rozier,,23-32,,
10:41.0,Turnover by M. Smart (traveling),,23-32,,
10:41.0,,,23-32,,D. Green enters the game for M. Ginobili
10:24.0,,,23-34,2,D. Dedmon makes 2-pt shot at rim (assist by D. Bertans)
10:12.0,T. Rozier makes 3-pt shot from 25 ft (assist by K. Olynyk),3,26-34,,
9:54.0,,,26-37,3,P. Mills makes 3-pt shot from 24 ft (assist by D. Green)
9:39.0,J. Brown makes 2-pt shot from 1 ft (assist by J. Jerebko),2,28-37,,
9:25.0,,,28-37,,Shooting foul by J. Brown (drawn by J. Simmons)
9:25.0,,,28-37,,J. Simmons misses free throw 1 of 2
9:25.0,,,28-37,,Offensive rebound by Team
9:25.0,,,28-38,1,J. Simmons makes free throw 2 of 2
9:25.0,,,28-37,,T. Parker enters the game for P. Mills
9:25.0,,,28-37,,P. Gasol enters the game for D. Dedmon
9:25.0,J. Crowder enters the game for J. Brown,,28-37,,
9:10.0,T. Rozier misses 2-pt shot from 1 ft,,28-38,,
9:09.0,,,28-38,,Defensive rebound by P. Gasol
9:02.0,,,28-38,,D. Bertans misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by J. Crowder,,28-38,,
8:53.0,M. Smart misses 2-pt shot from 2 ft (block by P. Gasol),,28-38,,
8:52.0,Offensive rebound by Team,,28-38,,
8:52.0,Official timeout,,28-38,,
8:47.0,K. Olynyk misses 2-pt shot from 19 ft,,28-38,,
8:46.0,,,28-38,,Defensive rebound by P. Gasol
8:22.0,,,28-38,,Turnover by J. Simmons (lost ball; steal by J. Jerebko)
8:06.0,J. Jerebko misses 2-pt shot from 12 ft,,28-38,,
8:04.0,Offensive rebound by T. Rozier,,28-38,,
7:58.0,J. Crowder misses 3-pt shot from 25 ft,,28-38,,
7:57.0,,,28-38,,Defensive rebound by P. Gasol
7:45.0,,,28-38,,D. Bertans misses 3-pt shot from 25 ft
7:43.0,Defensive rebound by J. Crowder,,28-38,,
7:30.0,K. Olynyk makes 3-pt shot from 26 ft (assist by M. Smart),3,31-38,,
7:18.0,Personal foul by J. Crowder (drawn by T. Parker),,31-38,,
7:18.0,,,31-38,,K. Leonard enters the game for J. Simmons
7:18.0,A. Johnson enters the game for J. Jerebko,,31-38,,
7:07.0,,,31-38,,T. Parker misses 3-pt shot from 24 ft
7:05.0,Defensive rebound by K. Olynyk,,31-38,,
6:53.0,Shooting foul by D. Green (drawn by K. Olynyk),,31-38,,
6:53.0,K. Olynyk makes free throw 1 of 2,1,32-38,,
