time,Portland,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. M. Plumlee (E. Mudiay gains possession),,,,Jump ball: N. Jokic vs. M. Plumlee (E. Mudiay gains possession)
11:39.0,,,0-0,,E. Mudiay misses 2-pt shot from 2 ft
11:38.0,Defensive rebound by N. Vonleh,,0-0,,
11:29.0,C. McCollum misses 2-pt shot from 18 ft,,0-0,,
11:28.0,,,0-0,,Defensive rebound by D. Gallinari
11:18.0,,,0-2,2,D. Gallinari makes 2-pt shot from 17 ft
10:59.0,N. Vonleh misses 2-pt shot from 20 ft,,0-2,,
10:58.0,,,0-2,,Defensive rebound by N. Jokic
10:48.0,,,0-5,3,D. Gallinari makes 3-pt shot from 24 ft (assist by G. Harris)
10:28.0,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Lillard),2,2-5,,
10:18.0,,,2-5,,G. Harris misses 2-pt shot from 12 ft (block by C. McCollum)
10:17.0,,,2-5,,Offensive rebound by Team
10:06.0,,,2-5,,Offensive charge foul by D. Gallinari
10:06.0,,,2-5,,Turnover by D. Gallinari (offensive foul)
9:44.0,D. Lillard makes 2-pt shot from 18 ft,2,4-5,,
9:25.0,,,4-8,3,G. Harris makes 3-pt shot from 25 ft (assist by W. Chandler)
9:05.0,N. Vonleh misses 2-pt shot from 16 ft,,4-8,,
9:04.0,Offensive rebound by M. Plumlee,,4-8,,
8:55.0,M. Harkless makes 3-pt shot from 23 ft (assist by D. Lillard),3,7-8,,
8:39.0,,,7-10,2,W. Chandler makes 2-pt shot from 18 ft (assist by E. Mudiay)
8:21.0,C. McCollum misses 3-pt shot from 24 ft,,7-10,,
8:21.0,,,7-10,,Defensive rebound by N. Jokic
8:12.0,,,7-10,,W. Chandler misses 2-pt shot from 13 ft
8:11.0,Defensive rebound by M. Plumlee,,7-10,,
8:01.0,C. McCollum makes 2-pt shot from 4 ft,2,9-10,,
7:43.0,,,9-13,3,D. Gallinari makes 3-pt shot from 24 ft (assist by G. Harris)
7:30.0,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Lillard),2,11-13,,
7:14.0,,,11-13,,G. Harris misses 2-pt shot from 2 ft (block by M. Harkless)
7:13.0,,,11-13,,Offensive rebound by Team
7:13.0,,,11-13,,K. Faried enters the game for W. Chandler
7:03.0,,,11-16,3,E. Mudiay makes 3-pt shot from 25 ft
6:57.0,C. McCollum makes 2-pt shot from 8 ft (assist by D. Lillard),2,13-16,,
6:39.0,,,13-18,2,G. Harris makes 2-pt shot from 1 ft (assist by D. Gallinari)
6:35.0,,,13-18,,Personal foul by E. Mudiay (drawn by D. Lillard)
6:30.0,M. Plumlee misses 2-pt shot from 2 ft (block by K. Faried),,13-18,,
6:29.0,Offensive rebound by N. Vonleh,,13-18,,
6:28.0,N. Vonleh misses 2-pt shot from 1 ft,,13-18,,
6:24.0,Offensive rebound by N. Vonleh,,13-18,,
6:23.0,N. Vonleh makes 2-pt shot from 2 ft,2,15-18,,
6:11.0,,,15-18,,Shooting foul by M. Harkless (drawn by D. Gallinari)
6:11.0,,,15-19,1,D. Gallinari makes free throw 1 of 3
6:11.0,,,15-20,1,D. Gallinari makes free throw 2 of 3
6:11.0,,,15-21,1,D. Gallinari makes free throw 3 of 3
6:11.0,,,15-20,,J. Murray enters the game for G. Harris
5:59.0,D. Lillard misses 3-pt shot from 26 ft,,15-21,,
5:58.0,,,15-21,,Defensive rebound by K. Faried
5:53.0,,,15-23,2,K. Faried makes 2-pt shot from 3 ft (assist by N. Jokic)
