time,Indiana,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Turner (J. Holiday gains possession),,,,Jump ball: A. Davis vs. M. Turner (J. Holiday gains possession)
11:45.0,,,0-2,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
11:23.0,G. Robinson misses 3-pt shot from 25 ft,,0-2,,
11:21.0,Offensive rebound by T. Young,,0-2,,
11:15.0,Turnover by P. George (lost ball),,0-2,,
11:00.0,,,0-4,2,A. Ajinca makes 2-pt shot from 3 ft (assist by J. Holiday)
10:43.0,M. Turner makes 2-pt shot from 8 ft,2,2-4,,
10:31.0,,,2-6,2,B. Hield makes 2-pt shot from 21 ft (assist by A. Ajinca)
10:08.0,G. Robinson misses 3-pt shot from 24 ft,,2-6,,
10:08.0,,,2-6,,Defensive rebound by J. Holiday
10:06.0,,,2-6,,Turnover by J. Holiday (bad pass)
9:52.0,T. Young makes 2-pt shot from 3 ft (assist by P. George),2,4-6,,
9:38.0,,,4-6,,A. Davis misses 2-pt shot from 17 ft
9:37.0,Defensive rebound by G. Robinson,,4-6,,
9:25.0,Shooting foul by B. Hield (drawn by J. Teague),,4-6,,
9:25.0,J. Teague makes free throw 1 of 3,1,5-6,,
9:25.0,J. Teague makes free throw 2 of 3,1,6-6,,
9:25.0,J. Teague makes free throw 3 of 3,1,7-6,,
8:58.0,,,7-8,2,J. Holiday makes 2-pt shot from 4 ft
8:49.0,P. George misses 2-pt shot from 11 ft,,7-8,,
8:48.0,,,7-8,,Defensive rebound by J. Holiday
8:35.0,,,7-10,2,B. Hield makes 2-pt shot from 17 ft (assist by J. Holiday)
8:15.0,T. Young misses 3-pt shot from 24 ft,,7-10,,
8:15.0,,,7-10,,Defensive rebound by B. Hield
8:00.0,,,7-10,,A. Davis misses 2-pt shot from 7 ft
8:00.0,Defensive rebound by P. George,,7-10,,
7:45.0,J. Teague misses 2-pt shot from 15 ft,,7-10,,
7:44.0,,,7-10,,Defensive rebound by A. Ajinca
7:35.0,,,7-12,2,A. Davis makes 2-pt shot from 20 ft (assist by J. Holiday)
7:19.0,M. Turner misses 2-pt shot from 20 ft,,7-12,,
7:19.0,,,7-12,,Defensive rebound by A. Davis
7:09.0,,,7-14,2,J. Holiday makes 2-pt shot from 7 ft
6:51.0,P. George makes 2-pt shot from 15 ft,2,9-14,,
6:38.0,,,9-17,3,S. Hill makes 3-pt shot from 24 ft (assist by B. Hield)
6:22.0,M. Turner makes 2-pt shot from 2 ft (assist by T. Young),2,11-17,,
6:22.0,Shooting foul by A. Ajinca (drawn by M. Turner),,11-17,,
6:22.0,M. Turner makes free throw 1 of 1,1,12-17,,
6:06.0,,,12-19,2,A. Davis makes 2-pt shot from 2 ft
