time,Brooklyn,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. B. Lopez (I. Whitehead gains possession),,,,Jump ball: B. Biyombo vs. B. Lopez (I. Whitehead gains possession)
11:43.0,Shooting foul by E. Fournier (drawn by S. Kilpatrick),,0-0,,
11:43.0,S. Kilpatrick makes free throw 1 of 2,1,1-0,,
11:43.0,S. Kilpatrick misses free throw 2 of 2,,1-0,,
11:42.0,,,1-0,,Defensive rebound by S. Ibaka
11:18.0,,,1-0,,D. Augustin misses 3-pt shot from 26 ft
11:17.0,Defensive rebound by S. Kilpatrick,,1-0,,
10:55.0,B. Lopez makes 2-pt shot from 7 ft,2,3-0,,
10:46.0,,,3-3,3,E. Fournier makes 3-pt shot from 25 ft (assist by A. Gordon)
10:39.0,,,3-3,,Personal foul by B. Biyombo (drawn by B. Lopez)
10:35.0,B. Lopez misses 2-pt shot from 3 ft (block by B. Biyombo),,3-3,,
10:34.0,,,3-3,,Defensive rebound by B. Biyombo
10:26.0,,,3-5,2,S. Ibaka makes 2-pt shot at rim (assist by D. Augustin)
10:26.0,,,3-5,,Shooting foul by B. Lopez (drawn by S. Ibaka)
10:26.0,,,3-5,,S. Ibaka misses free throw 1 of 1
10:25.0,Defensive rebound by S. Kilpatrick,,3-5,,
10:10.0,Turnover by I. Whitehead (bad pass),,3-5,,
9:55.0,,,3-5,,E. Fournier misses 2-pt shot from 14 ft
9:54.0,Defensive rebound by B. Bogdanovic,,3-5,,
9:47.0,B. Bogdanovic misses 2-pt shot from 1 ft,,3-5,,
9:47.0,,,3-5,,Defensive rebound by B. Biyombo
9:41.0,Personal foul by S. Kilpatrick (drawn by E. Fournier),,3-5,,
9:29.0,,,3-5,,Turnover by D. Augustin (bad pass; steal by B. Bogdanovic)
9:26.0,,,3-5,,Violation by S. Ibaka (def goaltending)
9:26.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,5-5,,
9:10.0,,,5-5,,E. Fournier misses 2-pt shot from 1 ft
9:10.0,Defensive rebound by I. Whitehead,,5-5,,
9:07.0,Turnover by I. Whitehead (lost ball),,5-5,,
8:47.0,,,5-5,,A. Gordon misses 2-pt shot from 15 ft
8:46.0,,,5-5,,Offensive rebound by B. Biyombo
8:38.0,,,5-5,,S. Ibaka misses 2-pt shot from 18 ft
8:37.0,Defensive rebound by S. Kilpatrick,,5-5,,
8:20.0,S. Kilpatrick makes 3-pt shot from 25 ft (assist by I. Whitehead),3,8-5,,
7:59.0,,,8-8,3,A. Gordon makes 3-pt shot from 25 ft (assist by D. Augustin)
7:28.0,S. Kilpatrick makes 2-pt shot from 2 ft,2,10-8,,
7:25.0,,,10-8,,Orlando full timeout
7:25.0,A. Bennett enters the game for B. Lopez,,10-8,,
7:08.0,,,10-8,,A. Gordon misses 2-pt shot from 2 ft
7:07.0,,,10-8,,Offensive rebound by A. Gordon
7:07.0,,,10-10,2,A. Gordon makes 2-pt shot from 2 ft
6:53.0,A. Bennett misses 3-pt shot from 25 ft,,10-10,,
6:53.0,,,10-10,,Defensive rebound by S. Ibaka
6:45.0,,,10-13,3,D. Augustin makes 3-pt shot from 24 ft
6:27.0,I. Whitehead makes 2-pt shot from 8 ft,2,12-13,,
6:26.0,Violation by Team (delay of game),,12-13,,
6:15.0,,,12-13,,Shooting foul by A. Bennett (drawn by B. Biyombo)
6:15.0,,,12-13,,B. Biyombo misses free throw 1 of 2
6:15.0,,,12-13,,Offensive rebound by Team
6:15.0,,,12-14,1,B. Biyombo makes free throw 2 of 2
6:05.0,B. Bogdanovic makes 2-pt shot from 3 ft (assist by T. Booker),2,14-14,,
5:43.0,,,14-14,,E. Fournier misses 2-pt shot from 1 ft
5:43.0,,,14-14,,Offensive rebound by E. Fournier
5:34.0,,,14-14,,D. Augustin misses 2-pt shot from 6 ft (block by A. Bennett)
5:33.0,Defensive rebound by S. Kilpatrick,,14-14,,
5:26.0,I. Whitehead misses 2-pt shot from 16 ft (block by S. Ibaka),,14-14,,
5:25.0,,,14-14,,Defensive rebound by S. Ibaka
5:17.0,,,14-17,3,E. Fournier makes 3-pt shot from 25 ft (assist by D. Augustin)
5:04.0,B. Bogdanovic misses 2-pt shot from 2 ft,,14-17,,
5:03.0,,,14-17,,Defensive rebound by S. Ibaka
4:57.0,,,14-19,2,A. Gordon makes 2-pt shot from 2 ft (assist by D. Augustin)
4:41.0,T. Booker misses 3-pt shot from 24 ft,,14-19,,
4:40.0,,,14-19,,Defensive rebound by B. Biyombo
4:25.0,,,14-19,,E. Fournier misses 3-pt shot from 25 ft
4:24.0,Defensive rebound by T. Booker,,14-19,,
4:17.0,Shooting foul by S. Ibaka (drawn by T. Booker),,14-19,,
4:17.0,T. Booker makes free throw 1 of 2,1,15-19,,
4:17.0,T. Booker makes free throw 2 of 2,1,16-19,,
