time,New York,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. J. Noah (K. Porzingis gains possession),,,,Jump ball: N. Jokic vs. J. Noah (K. Porzingis gains possession)
11:37.0,C. Anthony misses 2-pt shot from 8 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by D. Gallinari
11:28.0,,,0-0,,E. Mudiay misses 2-pt shot from 17 ft
11:28.0,Defensive rebound by J. Noah,,0-0,,
11:14.0,C. Lee misses 2-pt shot from 5 ft,,0-0,,
11:13.0,Offensive rebound by C. Lee,,0-0,,
11:12.0,C. Lee misses 2-pt shot from 3 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by E. Mudiay
10:50.0,,,0-0,,W. Chandler misses 3-pt shot from 26 ft
10:48.0,Defensive rebound by C. Anthony,,0-0,,
10:35.0,K. Porzingis misses 2-pt shot from 21 ft,,0-0,,
10:34.0,,,0-0,,Defensive rebound by N. Jokic
10:22.0,,,0-2,2,E. Mudiay makes 2-pt shot from 1 ft (assist by N. Jokic)
10:01.0,J. Noah misses 2-pt shot from 5 ft,,0-2,,
10:01.0,Offensive rebound by Team,,0-2,,
9:59.0,K. Porzingis misses 3-pt shot from 25 ft,,0-2,,
9:58.0,Offensive rebound by Team,,0-2,,
9:58.0,Turnover by Team (shot clock),,0-2,,
9:49.0,Personal foul by K. Porzingis (drawn by W. Chandler),,0-2,,
9:33.0,,,0-5,3,D. Gallinari makes 3-pt shot from 25 ft (assist by W. Chandler)
9:21.0,C. Anthony makes 3-pt shot from 26 ft,3,3-5,,
9:07.0,,,3-7,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
8:59.0,C. Lee misses 3-pt shot from 25 ft,,3-7,,
8:58.0,,,3-7,,Defensive rebound by N. Jokic
8:50.0,,,3-7,,W. Chandler misses 2-pt shot from 3 ft
8:46.0,,,3-7,,Offensive rebound by W. Chandler
8:46.0,,,3-9,2,W. Chandler makes 2-pt shot from 2 ft
