time,LA Lakers,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. C. Zeller (M. Williams gains possession),,,,Jump ball: T. Mozgov vs. C. Zeller (M. Williams gains possession)
11:44.0,,,0-2,2,K. Walker makes 2-pt shot from 1 ft
11:31.0,D. Russell makes 2-pt shot at rim,2,2-2,,
11:17.0,,,2-2,,C. Zeller misses 2-pt shot from 6 ft
11:16.0,Defensive rebound by L. Deng,,2-2,,
11:05.0,L. Deng misses 3-pt shot from 24 ft,,2-2,,
11:04.0,Offensive rebound by D. Russell,,2-2,,
10:58.0,D. Russell makes 2-pt shot from 15 ft,2,4-2,,
10:49.0,,,4-2,,K. Walker misses 3-pt shot from 26 ft
10:46.0,,,4-2,,Offensive rebound by N. Batum
10:41.0,,,4-2,,K. Walker misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by N. Young,,4-2,,
10:31.0,N. Young makes 2-pt shot from 10 ft (assist by D. Russell),2,6-2,,
10:13.0,,,6-4,2,M. Williams makes 2-pt shot from 10 ft (assist by N. Batum)
9:59.0,D. Russell misses 2-pt shot from 15 ft,,6-4,,
9:57.0,,,6-4,,Defensive rebound by M. Kidd-Gilchrist
9:50.0,,,6-4,,N. Batum misses 2-pt shot from 8 ft
9:48.0,Defensive rebound by L. Deng,,6-4,,
9:37.0,J. Randle makes 2-pt shot from 7 ft (assist by D. Russell),2,8-4,,
9:21.0,,,8-6,2,M. Kidd-Gilchrist makes 2-pt shot from 16 ft (assist by C. Zeller)
9:04.0,D. Russell misses 3-pt shot from 28 ft,,8-6,,
9:03.0,Offensive rebound by T. Mozgov,,8-6,,
8:58.0,N. Young makes 3-pt shot from 25 ft (assist by T. Mozgov),3,11-6,,
8:45.0,,,11-6,,Turnover by N. Batum (bad pass)
8:30.0,J. Randle misses 2-pt shot from 19 ft,,11-6,,
8:29.0,,,11-6,,Defensive rebound by N. Batum
8:24.0,,,11-6,,Shooting foul by T. Mozgov (drawn by K. Walker)
8:24.0,,,11-7,1,K. Walker makes free throw 1 of 2
8:24.0,,,11-8,1,K. Walker makes free throw 2 of 2
8:11.0,Turnover by N. Young (bad pass; steal by C. Zeller),,11-8,,
8:04.0,,,11-8,,Shooting foul by T. Mozgov (drawn by M. Williams)
8:04.0,,,11-9,1,M. Williams makes free throw 1 of 2
8:04.0,,,11-10,1,M. Williams makes free throw 2 of 2
7:48.0,L. Deng makes 3-pt shot from 24 ft (assist by D. Russell),3,14-10,,
7:33.0,,,14-10,,K. Walker misses 2-pt shot from 1 ft
7:32.0,Defensive rebound by Team,,14-10,,
7:18.0,L. Deng makes 2-pt shot from 1 ft (assist by J. Randle),2,16-10,,
7:08.0,,,16-10,,Offensive foul by C. Zeller
7:08.0,,,16-10,,Turnover by C. Zeller (offensive foul)
6:47.0,J. Randle misses 2-pt shot from 2 ft,,16-10,,
6:46.0,Offensive rebound by T. Mozgov,,16-10,,
6:46.0,T. Mozgov misses 2-pt shot at rim,,16-10,,
6:44.0,Offensive rebound by T. Mozgov,,16-10,,
6:44.0,T. Mozgov misses 2-pt shot at rim,,16-10,,
6:43.0,,,16-10,,Defensive rebound by K. Walker
6:40.0,,,16-12,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker)
6:28.0,N. Young makes 3-pt shot from 28 ft (assist by D. Russell),3,19-12,,
6:19.0,,,19-12,,Charlotte full timeout
6:10.0,,,19-12,,M. Kidd-Gilchrist misses 2-pt shot from 16 ft
6:08.0,Defensive rebound by T. Mozgov,,19-12,,
5:49.0,L. Deng makes 2-pt shot from 2 ft (assist by J. Randle),2,21-12,,
5:33.0,,,21-15,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
5:05.0,N. Young misses 3-pt shot from 37 ft,,21-15,,
5:04.0,,,21-15,,Defensive rebound by Team
4:53.0,Personal foul by J. Randle (drawn by N. Batum),,21-15,,
4:53.0,,,21-15,,M. Belinelli enters the game for M. Williams
4:53.0,,,21-15,,F. Kaminsky enters the game for M. Kidd-Gilchrist
4:53.0,L. Nance enters the game for T. Mozgov,,21-15,,
4:41.0,,,21-17,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
4:22.0,L. Nance misses 2-pt shot from 5 ft,,21-17,,
4:21.0,Offensive rebound by J. Randle,,21-17,,
4:21.0,J. Randle makes 2-pt shot from 1 ft,2,23-17,,
4:11.0,,,23-17,,Turnover by K. Walker (bad pass)
3:57.0,D. Russell misses 2-pt shot from 15 ft,,23-17,,
3:56.0,,,23-17,,Defensive rebound by M. Belinelli
3:49.0,B. Ingram enters the game for L. Deng,,23-17,,
3:49.0,J. Clarkson enters the game for N. Young,,23-17,,
3:49.0,,,23-17,,R. Sessions enters the game for K. Walker
3:45.0,,,23-19,2,N. Batum makes 2-pt shot from 2 ft (assist by R. Sessions)
3:45.0,,,23-19,,Shooting foul by B. Ingram (drawn by N. Batum)
3:45.0,,,23-20,1,N. Batum makes free throw 1 of 1
3:45.0,L. Williams enters the game for D. Russell,,23-19,,
3:40.0,L. Williams makes 2-pt shot from 13 ft,2,25-20,,
3:40.0,Shooting foul by C. Zeller,,25-20,,
3:40.0,L. Williams misses free throw 1 of 1,,25-20,,
3:40.0,,,25-20,,R. Hibbert enters the game for C. Zeller
3:38.0,,,25-20,,Defensive rebound by R. Hibbert
3:21.0,,,25-20,,Shooting foul by L. Nance (drawn by R. Hibbert)
3:21.0,,,25-21,1,R. Hibbert makes free throw 1 of 2
3:21.0,,,25-22,1,R. Hibbert makes free throw 2 of 2
3:07.0,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Randle),3,28-22,,
2:48.0,,,28-25,3,F. Kaminsky makes 3-pt shot from 27 ft (assist by N. Batum)
2:36.0,L. Williams makes 3-pt shot from 25 ft (assist by J. Randle),3,31-25,,
2:31.0,,,31-25,,Charlotte full timeout
2:31.0,LA Lakers full timeout,,31-25,,
2:31.0,I. Zubac enters the game for J. Randle,,31-25,,
2:25.0,,,31-25,,N. Batum misses 2-pt shot from 1 ft
2:25.0,,,31-25,,Offensive rebound by Team
2:20.0,,,31-27,2,M. Belinelli makes 2-pt shot from 18 ft (assist by R. Sessions)
2:04.0,I. Zubac misses 2-pt shot from 3 ft,,31-27,,
2:03.0,,,31-27,,Defensive rebound by R. Hibbert
1:56.0,,,31-29,2,R. Sessions makes 2-pt shot from 16 ft
1:44.0,L. Nance makes 2-pt shot from 2 ft (assist by L. Williams),2,33-29,,
1:32.0,,,33-31,2,R. Hibbert makes 2-pt shot from 2 ft (assist by R. Sessions)
1:21.0,J. Clarkson makes 3-pt shot from 24 ft (assist by L. Williams),3,36-31,,
1:05.0,,,36-31,,M. Belinelli misses 2-pt shot from 20 ft
1:04.0,Defensive rebound by I. Zubac,,36-31,,
0:58.0,Shooting foul by F. Kaminsky,,36-31,,
0:58.0,L. Williams makes free throw 1 of 2,1,37-31,,
0:58.0,L. Williams makes free throw 2 of 2,1,38-31,,
0:46.0,,,38-33,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by N. Batum)
0:37.0,L. Williams misses 2-pt shot from 12 ft (block by R. Hibbert),,38-33,,
0:34.0,Offensive rebound by L. Williams,,38-33,,
0:34.0,Jump ball: R. Sessions vs. L. Williams (R. Hibbert gains possession),,,,Jump ball: R. Sessions vs. L. Williams (R. Hibbert gains possession)
0:34.0,Turnover by L. Williams (lost ball),,38-33,,
