time,Dallas,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Mozgov (W. Matthews gains possession),,,,Jump ball: A. Bogut vs. T. Mozgov (W. Matthews gains possession)
11:46.0,H. Barnes makes 2-pt shot at rim (assist by A. Bogut),2,2-0,,
11:32.0,Violation by W. Matthews (kicked ball),,2-0,,
11:22.0,,,2-0,,J. Randle misses 3-pt shot from 24 ft
11:21.0,Defensive rebound by A. Bogut,,2-0,,
11:06.0,D. Williams misses 3-pt shot from 24 ft,,2-0,,
11:04.0,,,2-0,,Defensive rebound by D. Russell
10:55.0,,,2-0,,L. Deng misses 2-pt shot from 18 ft
10:54.0,Defensive rebound by W. Matthews,,2-0,,
10:33.0,D. Finney-Smith makes 3-pt shot from 25 ft (assist by D. Williams),3,5-0,,
10:10.0,,,5-0,,D. Russell misses 2-pt shot from 2 ft
10:09.0,Defensive rebound by W. Matthews,,5-0,,
9:53.0,Shooting foul by J. Randle (drawn by H. Barnes),,5-0,,
9:53.0,,,5-0,,Violation by J. Randle (lane)
9:53.0,H. Barnes makes free throw 1 of 2,1,6-0,,
9:53.0,H. Barnes makes free throw 2 of 2,1,7-0,,
9:35.0,,,7-2,2,D. Russell makes 2-pt shot from 4 ft
9:18.0,W. Matthews misses 2-pt shot from 18 ft,,7-2,,
9:16.0,,,7-2,,Defensive rebound by J. Randle
9:11.0,,,7-4,2,L. Deng makes 2-pt shot at rim (assist by D. Russell)
8:58.0,Turnover by D. Williams (lost ball; steal by D. Russell),,7-4,,
8:52.0,,,7-7,3,N. Young makes 3-pt shot from 25 ft (assist by L. Deng)
8:41.0,,,7-7,,Personal foul by L. Deng (drawn by D. Williams)
8:37.0,Offensive foul by D. Williams,,7-7,,
8:37.0,Turnover by D. Williams (offensive foul),,7-7,,
8:26.0,,,7-10,3,N. Young makes 3-pt shot from 24 ft (assist by D. Russell)
8:20.0,Dallas full timeout,,7-10,,
8:04.0,D. Finney-Smith misses 3-pt shot from 26 ft,,7-10,,
8:03.0,,,7-10,,Defensive rebound by D. Russell
7:56.0,,,7-10,,Turnover by D. Russell (bad pass)
7:35.0,H. Barnes misses 3-pt shot from 23 ft,,7-10,,
7:34.0,,,7-10,,Defensive rebound by D. Russell
7:13.0,,,7-10,,J. Randle misses 2-pt shot from 4 ft
7:11.0,Defensive rebound by A. Bogut,,7-10,,
6:57.0,W. Matthews misses 3-pt shot from 25 ft,,7-10,,
6:56.0,,,7-10,,Defensive rebound by T. Mozgov
6:41.0,,,7-13,3,D. Russell makes 3-pt shot from 24 ft (assist by J. Randle)
6:21.0,D. Finney-Smith misses 3-pt shot from 24 ft,,7-13,,
6:19.0,,,7-13,,Defensive rebound by T. Mozgov
6:10.0,,,7-13,,Offensive foul by J. Randle
6:10.0,,,7-13,,Turnover by J. Randle (offensive foul)
6:10.0,D. Powell enters the game for A. Bogut,,7-13,,
6:10.0,,,7-13,,B. Ingram enters the game for J. Randle
