time,Milwaukee,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. K. Towns (G. Dieng gains possession),,,,Jump ball: J. Henson vs. K. Towns (G. Dieng gains possession)
11:47.0,,,0-0,,K. Towns misses 2-pt shot from 9 ft
11:46.0,,,0-0,,Offensive rebound by K. Towns
11:45.0,,,0-2,2,K. Towns makes 2-pt shot from 1 ft
11:29.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by J. Henson),2,2-2,,
11:18.0,,,2-4,2,Z. LaVine makes 2-pt shot from 22 ft
10:59.0,M. Brogdon makes 2-pt shot from 15 ft,2,4-4,,
10:31.0,,,4-4,,Turnover by K. Towns (bad pass; steal by J. Parker)
10:22.0,J. Parker misses 2-pt shot from 16 ft,,4-4,,
10:21.0,,,4-4,,Defensive rebound by K. Towns
10:09.0,,,4-6,2,A. Wiggins makes 2-pt shot from 16 ft
9:58.0,T. Snell misses 3-pt shot from 25 ft,,4-6,,
9:57.0,,,4-6,,Defensive rebound by K. Towns
9:45.0,,,4-6,,Shooting foul by G. Antetokounmpo (drawn by A. Wiggins)
9:45.0,,,4-7,1,A. Wiggins makes free throw 1 of 2
9:45.0,,,4-8,1,A. Wiggins makes free throw 2 of 2
9:26.0,J. Henson makes 2-pt shot at rim (assist by J. Parker),2,6-8,,
9:04.0,,,6-8,,Z. LaVine misses 2-pt shot from 19 ft
9:01.0,,,6-8,,Offensive rebound by K. Towns
8:59.0,,,6-8,,Shooting foul by J. Parker (drawn by K. Towns)
8:59.0,,,6-9,1,K. Towns makes free throw 1 of 2
8:59.0,,,6-10,1,K. Towns makes free throw 2 of 2
8:49.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by G. Dieng),,6-10,,
8:47.0,,,6-10,,Defensive rebound by G. Dieng
8:36.0,,,6-12,2,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns)
8:11.0,G. Antetokounmpo makes 2-pt shot at rim,2,8-12,,
7:50.0,,,8-12,,Minnesota full timeout
7:50.0,J. Terry enters the game for M. Brogdon,,8-12,,
7:45.0,,,8-14,2,Z. LaVine makes 2-pt shot from 20 ft
7:32.0,,,8-14,,Personal foul by Z. LaVine (drawn by T. Snell)
7:24.0,J. Parker misses 2-pt shot from 10 ft (block by K. Towns),,8-14,,
7:23.0,,,8-14,,Defensive rebound by K. Towns
7:04.0,,,8-14,,A. Wiggins misses 2-pt shot from 22 ft
7:03.0,Defensive rebound by J. Henson,,8-14,,
6:56.0,J. Henson misses 2-pt shot from 19 ft,,8-14,,
6:55.0,,,8-14,,Defensive rebound by Team
6:42.0,,,8-14,,K. Towns misses 3-pt shot from 24 ft
6:41.0,Defensive rebound by J. Parker,,8-14,,
6:36.0,Turnover by J. Parker (lost ball; steal by R. Rubio),,8-14,,
6:22.0,,,8-16,2,K. Towns makes 2-pt shot from 2 ft
5:56.0,Offensive charge foul by J. Henson,,8-16,,
5:56.0,Turnover by J. Henson (offensive foul),,8-16,,
5:56.0,G. Monroe enters the game for J. Henson,,8-16,,
5:56.0,M. Beasley enters the game for J. Parker,,8-16,,
5:41.0,,,8-19,3,Z. LaVine makes 3-pt shot from 24 ft (assist by R. Rubio)
5:26.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,10-19,,
5:12.0,,,10-19,,Turnover by R. Rubio (bad pass)
5:12.0,,,10-19,,S. Muhammad enters the game for Z. LaVine
5:02.0,M. Beasley misses 3-pt shot from 24 ft,,10-19,,
5:01.0,Offensive rebound by G. Antetokounmpo,,10-19,,
4:49.0,G. Monroe misses 2-pt shot from 5 ft,,10-19,,
4:47.0,,,10-19,,Defensive rebound by G. Dieng
4:38.0,,,10-19,,A. Wiggins misses 3-pt shot from 24 ft
4:36.0,Defensive rebound by M. Beasley,,10-19,,
4:27.0,G. Monroe makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,12-19,,
4:07.0,,,12-22,3,S. Muhammad makes 3-pt shot from 24 ft (assist by R. Rubio)
3:47.0,M. Beasley misses 2-pt shot from 20 ft,,12-22,,
3:46.0,,,12-22,,Defensive rebound by S. Muhammad
3:38.0,,,12-22,,Shooting foul by M. Beasley (drawn by S. Muhammad)
3:38.0,Milwaukee full timeout,,12-22,,
3:38.0,,,12-23,1,S. Muhammad makes free throw 1 of 2
3:38.0,,,12-24,1,S. Muhammad makes free throw 2 of 2
3:19.0,T. Snell misses 3-pt shot from 24 ft,,12-24,,
3:18.0,,,12-24,,Defensive rebound by A. Wiggins
3:02.0,,,12-24,,Offensive foul by K. Towns
3:02.0,,,12-24,,Turnover by K. Towns (offensive foul)
2:51.0,M. Beasley makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,14-24,,
2:33.0,Shooting block foul by G. Antetokounmpo (drawn by A. Wiggins),,14-24,,
2:33.0,,,14-25,1,A. Wiggins makes free throw 1 of 2
2:33.0,,,14-26,1,A. Wiggins makes free throw 2 of 2
2:33.0,J. Parker enters the game for G. Antetokounmpo,,14-25,,
2:33.0,,,14-25,,N. Bjelica enters the game for K. Towns
2:23.0,M. Beasley makes 2-pt shot from 1 ft (assist by J. Terry),2,16-26,,
2:16.0,,,16-28,2,S. Muhammad makes 2-pt shot from 1 ft (assist by G. Dieng)
2:01.0,G. Monroe misses 2-pt shot from 6 ft,,16-28,,
2:00.0,,,16-28,,Defensive rebound by N. Bjelica
1:44.0,,,16-28,,G. Dieng misses 2-pt shot from 18 ft
1:43.0,Defensive rebound by M. Beasley,,16-28,,
1:31.0,G. Monroe misses 2-pt shot from 2 ft,,16-28,,
1:29.0,,,16-28,,Defensive rebound by N. Bjelica
1:24.0,,,16-28,,S. Muhammad misses 2-pt shot from 6 ft
1:23.0,Defensive rebound by Team,,16-28,,
1:23.0,,,16-28,,K. Dunn enters the game for R. Rubio
1:02.0,J. Parker makes 3-pt shot from 23 ft (assist by T. Snell),3,19-28,,
0:41.0,,,19-31,3,S. Muhammad makes 3-pt shot from 23 ft (assist by N. Bjelica)
0:32.0,G. Monroe misses 2-pt shot from 2 ft (block by G. Dieng),,19-31,,
0:31.0,,,19-31,,Defensive rebound by N. Bjelica
0:25.0,,,19-34,3,N. Bjelica makes 3-pt shot from 24 ft
0:06.0,G. Monroe makes 2-pt shot at rim (assist by M. Beasley),2,21-34,,
0:01.0,,,21-34,,K. Dunn misses 2-pt shot from 4 ft
0:00.0,,,21-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,G. Monroe misses 2-pt shot at rim,,21-34,,
11:38.0,,,21-34,,Defensive rebound by Z. LaVine
11:29.0,,,21-36,2,S. Muhammad makes 2-pt shot from 7 ft (assist by Z. LaVine)
11:16.0,M. Teletovic makes 3-pt shot from 24 ft (assist by M. Brogdon),3,24-36,,
10:59.0,,,24-36,,Z. LaVine misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by M. Beasley,,24-36,,
10:50.0,Shooting foul by N. Bjelica (drawn by M. Brogdon),,24-36,,
10:50.0,M. Brogdon makes free throw 1 of 2,1,25-36,,
10:50.0,M. Brogdon makes free throw 2 of 2,1,26-36,,
10:44.0,,,26-39,3,S. Muhammad makes 3-pt shot from 23 ft (assist by K. Dunn)
10:29.0,M. Teletovic misses 3-pt shot from 23 ft,,26-39,,
10:27.0,Offensive rebound by Team,,26-39,,
10:21.0,G. Monroe misses 2-pt shot from 1 ft,,26-39,,
10:19.0,,,26-39,,Defensive rebound by C. Aldrich
9:59.0,,,26-39,,Offensive charge foul by S. Muhammad
9:59.0,,,26-39,,Turnover by S. Muhammad (offensive foul)
9:59.0,J. Henson enters the game for G. Monroe,,26-39,,
9:47.0,Turnover by J. Henson (bad pass; steal by N. Bjelica),,26-39,,
9:25.0,,,26-39,,Z. LaVine misses 2-pt shot from 17 ft
9:23.0,Defensive rebound by M. Teletovic,,26-39,,
9:11.0,Turnover by M. Teletovic (lost ball),,26-39,,
8:56.0,,,26-39,,Z. LaVine misses 2-pt shot from 22 ft
8:55.0,Defensive rebound by M. Beasley,,26-39,,
8:47.0,J. Parker makes 2-pt shot at rim,2,28-39,,
8:33.0,,,28-39,,Turnover by Z. LaVine (lost ball; steal by M. Brogdon)
8:27.0,M. Beasley makes 2-pt shot at rim (assist by M. Teletovic),2,30-39,,
8:19.0,,,30-39,,Minnesota full timeout
8:19.0,,,30-39,,K. Towns enters the game for N. Bjelica
8:05.0,,,30-39,,Z. LaVine misses 3-pt shot from 23 ft
8:04.0,Defensive rebound by J. Henson,,30-39,,
7:50.0,Turnover by J. Henson (bad pass; steal by C. Aldrich),,30-39,,
7:46.0,,,30-41,2,S. Muhammad makes 2-pt shot at rim (assist by K. Dunn)
7:21.0,Turnover by M. Brogdon (traveling),,30-41,,
7:21.0,,,30-41,,G. Dieng enters the game for C. Aldrich
7:08.0,,,30-41,,Offensive foul by K. Towns
7:08.0,,,30-41,,Turnover by K. Towns (offensive foul)
6:54.0,Shooting foul by K. Dunn (drawn by J. Henson),,30-41,,
6:54.0,J. Henson misses free throw 1 of 2,,30-41,,
6:54.0,Offensive rebound by Team,,30-41,,
6:54.0,J. Henson misses free throw 2 of 2,,30-41,,
6:54.0,,,30-41,,Defensive rebound by K. Towns
6:54.0,G. Antetokounmpo enters the game for M. Beasley,,30-41,,
6:54.0,T. Snell enters the game for M. Brogdon,,30-41,,
6:46.0,,,30-44,3,Z. LaVine makes 3-pt shot from 24 ft (assist by K. Dunn)
6:44.0,Milwaukee full timeout,,30-44,,
6:44.0,,,30-44,,A. Wiggins enters the game for S. Muhammad
6:31.0,J. Parker makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,33-44,,
6:17.0,Personal foul by J. Henson (drawn by K. Towns),,33-44,,
6:08.0,,,33-44,,Turnover by K. Towns (lost ball)
5:54.0,T. Snell makes 3-pt shot from 23 ft (assist by J. Henson),3,36-44,,
5:29.0,,,36-44,,Turnover by A. Wiggins (bad pass; steal by J. Parker)
5:25.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Parker),2,38-44,,
5:16.0,,,38-44,,Minnesota full timeout
5:16.0,,,38-44,,R. Rubio enters the game for K. Dunn
5:01.0,,,38-44,,Turnover by Z. LaVine (lost ball)
4:43.0,T. Snell misses 2-pt shot from 2 ft,,38-44,,
