time,Portland,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. M. Plumlee (L. Aldridge gains possession),,,,Jump ball: P. Gasol vs. M. Plumlee (L. Aldridge gains possession)
11:40.0,,,0-2,2,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker)
11:27.0,Turnover by C. McCollum (step out of bounds),,0-2,,
11:14.0,,,0-2,,Turnover by P. Gasol (traveling)
10:59.0,A. Crabbe makes 2-pt shot from 19 ft (assist by C. McCollum),2,2-2,,
10:51.0,Personal foul by A. Aminu (drawn by L. Aldridge),,2-2,,
10:44.0,,,2-4,2,T. Parker makes 2-pt shot from 1 ft
10:26.0,M. Harkless makes 3-pt shot from 24 ft (assist by M. Plumlee),3,5-4,,
10:14.0,,,5-4,,T. Parker misses 2-pt shot from 18 ft
10:12.0,Defensive rebound by Team,,5-4,,
9:58.0,C. McCollum makes 2-pt shot from 19 ft,2,7-4,,
9:40.0,,,7-4,,Shooting foul by C. McCollum (drawn by T. Parker)
9:40.0,,,7-5,1,T. Parker makes free throw 1 of 2
9:40.0,,,7-6,1,T. Parker makes free throw 2 of 2
9:23.0,A. Aminu misses 2-pt shot at rim,,7-6,,
9:21.0,,,7-6,,Defensive rebound by P. Gasol
9:15.0,,,7-9,3,D. Green makes 3-pt shot from 26 ft (assist by T. Parker)
9:00.0,C. McCollum makes 2-pt shot from 18 ft,2,9-9,,
8:45.0,,,9-11,2,T. Parker makes 2-pt shot from 5 ft
8:28.0,A. Aminu makes 2-pt shot from 19 ft (assist by M. Plumlee),2,11-11,,
8:28.0,Shooting foul by P. Gasol (drawn by A. Aminu),,11-11,,
8:28.0,A. Aminu makes free throw 1 of 1,1,12-11,,
8:15.0,,,12-11,,P. Gasol misses 2-pt shot from 17 ft
8:13.0,Defensive rebound by C. McCollum,,12-11,,
8:03.0,Shooting foul by D. Green (drawn by M. Plumlee),,12-11,,
8:03.0,M. Plumlee makes free throw 1 of 2,1,13-11,,
8:03.0,M. Plumlee makes free throw 2 of 2,1,14-11,,
7:46.0,,,14-11,,Turnover by L. Aldridge (lost ball; steal by A. Aminu)
7:45.0,,,14-11,,Violation by D. Green (def goaltending)
7:45.0,A. Crabbe makes 2-pt shot from 1 ft (assist by A. Aminu),2,16-11,,
7:30.0,,,16-11,,T. Parker misses 2-pt shot from 16 ft
