time,Cleveland,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. C. Zeller (K. Love gains possession),,,,Jump ball: T. Thompson vs. C. Zeller (K. Love gains possession)
11:44.0,K. Love misses 2-pt shot from 17 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by M. Williams
11:26.0,,,0-2,2,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by C. Zeller)
11:02.0,K. Love makes 2-pt shot at rim (assist by L. James),2,2-2,,
10:50.0,,,2-2,,Turnover by C. Zeller (lost ball; steal by L. James)
10:44.0,L. James makes 2-pt shot from 1 ft,2,4-2,,
10:33.0,,,4-2,,Turnover by N. Batum (step out of bounds)
10:21.0,L. James makes 3-pt shot from 24 ft,3,7-2,,
10:06.0,,,7-4,2,K. Walker makes 2-pt shot from 2 ft
9:46.0,L. James misses 2-pt shot from 13 ft,,7-4,,
9:44.0,,,7-4,,Defensive rebound by M. Williams
9:40.0,,,7-6,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum)
9:26.0,J. McRae misses 2-pt shot from 19 ft,,7-6,,
9:23.0,,,7-6,,Defensive rebound by K. Walker
9:19.0,,,7-8,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker)
9:03.0,Turnover by D. Liggins (bad pass),,7-8,,
8:48.0,,,7-8,,M. Williams misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by T. Thompson,,7-8,,
8:32.0,K. Love misses 2-pt shot from 1 ft (block by C. Zeller),,7-8,,
8:30.0,,,7-8,,Defensive rebound by M. Kidd-Gilchrist
8:19.0,,,7-8,,N. Batum misses 2-pt shot from 2 ft
8:18.0,Defensive rebound by K. Love,,7-8,,
8:12.0,K. Love misses 2-pt shot from 14 ft,,7-8,,
8:11.0,Offensive rebound by T. Thompson,,7-8,,
8:09.0,T. Thompson misses 2-pt shot from 1 ft (block by M. Williams),,7-8,,
8:07.0,Offensive rebound by L. James,,7-8,,
8:04.0,J. McRae makes 3-pt shot from 25 ft (assist by D. Liggins),3,10-8,,
7:52.0,Personal foul by J. McRae (drawn by N. Batum),,10-8,,
7:41.0,,,10-10,2,N. Batum makes 2-pt shot from 10 ft
7:29.0,L. James makes 2-pt shot from 1 ft,2,12-10,,
7:05.0,,,12-12,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
6:42.0,K. Love misses 3-pt shot from 25 ft,,12-12,,
6:40.0,,,12-12,,Defensive rebound by M. Kidd-Gilchrist
6:31.0,,,12-12,,M. Kidd-Gilchrist misses 2-pt shot from 7 ft
6:30.0,Defensive rebound by K. Love,,12-12,,
6:10.0,D. Liggins makes 2-pt shot from 2 ft (assist by L. James),2,14-12,,
5:57.0,,,14-12,,K. Walker misses 3-pt shot from 24 ft
5:55.0,,,14-12,,Offensive rebound by M. Kidd-Gilchrist
5:54.0,,,14-14,2,M. Kidd-Gilchrist makes 2-pt shot at rim
5:54.0,,,14-14,,Shooting foul by T. Thompson (drawn by M. Kidd-Gilchrist)
5:54.0,,,14-14,,Charlotte full timeout
5:54.0,,,14-15,1,M. Kidd-Gilchrist makes free throw 1 of 1
5:54.0,,,14-14,,J. Lamb enters the game for N. Batum
5:32.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,17-15,,
5:10.0,,,17-17,2,J. Lamb makes 2-pt shot from 12 ft (assist by K. Walker)
5:00.0,,,17-17,,Personal foul by M. Kidd-Gilchrist (drawn by L. James)
4:48.0,J. McRae makes 2-pt shot at rim,2,19-17,,
4:48.0,Shooting foul by C. Zeller (drawn by J. McRae),,19-17,,
