time,Detroit,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. W. Reed (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. W. Reed (R. Jackson gains possession)
11:47.0,A. Drummond misses 2-pt shot from 1 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by Team
11:28.0,,,0-3,3,W. Ellington makes 3-pt shot from 24 ft (assist by J. Richardson)
11:08.0,R. Jackson misses 2-pt shot from 17 ft,,0-3,,
11:07.0,,,0-3,,Defensive rebound by L. Babbitt
10:52.0,,,0-5,2,J. Richardson makes 2-pt shot from 14 ft
10:30.0,Turnover by R. Jackson (bad pass; steal by R. McGruder),,0-5,,
10:26.0,,,0-5,,Shooting foul by M. Morris (drawn by R. McGruder)
10:26.0,,,0-7,2,R. McGruder makes 2-pt shot from 1 ft (assist by W. Ellington)
10:26.0,,,0-8,1,R. McGruder makes free throw 1 of 1
10:14.0,A. Drummond makes 2-pt shot from 12 ft,2,2-8,,
9:58.0,,,2-11,3,J. Richardson makes 3-pt shot from 25 ft (assist by L. Babbitt)
9:44.0,K. Caldwell-Pope makes 2-pt shot from 19 ft,2,4-11,,
9:34.0,Personal foul by K. Caldwell-Pope (drawn by J. Richardson),,4-11,,
9:23.0,,,4-13,2,W. Reed makes 2-pt shot from 14 ft (assist by J. Richardson)
9:09.0,M. Morris makes 3-pt shot from 24 ft (assist by J. Leuer),3,7-13,,
8:56.0,,,7-15,2,W. Reed makes 2-pt shot from 12 ft (assist by R. McGruder)
8:51.0,Detroit full timeout,,7-15,,
8:37.0,R. Jackson misses 3-pt shot from 25 ft,,7-15,,
8:36.0,,,7-15,,Defensive rebound by L. Babbitt
8:18.0,,,7-17,2,R. McGruder makes 2-pt shot from 18 ft (assist by J. Richardson)
7:57.0,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,9-17,,
7:39.0,,,9-20,3,W. Ellington makes 3-pt shot from 25 ft (assist by W. Reed)
7:23.0,R. Jackson misses 2-pt shot from 17 ft,,9-20,,
7:21.0,Offensive rebound by A. Drummond,,9-20,,
7:20.0,A. Drummond makes 2-pt shot from 1 ft,2,11-20,,
7:02.0,,,11-20,,J. Richardson misses 2-pt shot from 8 ft
7:01.0,Defensive rebound by A. Drummond,,11-20,,
6:52.0,M. Morris makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,14-20,,
6:33.0,,,14-22,2,L. Babbitt makes 2-pt shot from 6 ft
6:20.0,Shooting foul by W. Reed (drawn by R. Jackson),,14-22,,
6:20.0,R. Jackson makes free throw 1 of 2,1,15-22,,
6:20.0,R. Jackson makes free throw 2 of 2,1,16-22,,
6:20.0,,,15-22,,T. Johnson enters the game for R. McGruder
6:20.0,,,15-22,,J. Johnson enters the game for L. Babbitt
6:09.0,,,16-22,,Turnover by J. Richardson (bad pass)
6:00.0,Shooting foul by W. Reed (drawn by A. Drummond),,16-22,,
6:00.0,A. Drummond misses free throw 1 of 2,,16-22,,
6:00.0,Offensive rebound by Team,,16-22,,
6:00.0,A. Drummond makes free throw 2 of 2,1,17-22,,
6:00.0,T. Harris enters the game for M. Morris,,16-22,,
6:00.0,,,16-22,,U. Haslem enters the game for W. Reed
5:49.0,,,17-24,2,T. Johnson makes 2-pt shot from 18 ft (assist by J. Johnson)
5:36.0,R. Jackson makes 2-pt shot from 15 ft,2,19-24,,
5:12.0,,,19-27,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson)
4:46.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,19-27,,
4:45.0,,,19-27,,Defensive rebound by W. Ellington
4:37.0,,,19-27,,J. Richardson misses 2-pt shot from 1 ft (block by A. Drummond)
4:36.0,,,19-27,,Offensive rebound by Team
4:36.0,,,19-27,,Turnover by Team (5 sec inbounds)
4:17.0,T. Harris misses 2-pt shot from 7 ft,,19-27,,
4:16.0,Offensive rebound by J. Leuer,,19-27,,
4:11.0,Turnover by R. Jackson (bad pass; steal by J. Johnson),,19-27,,
