time,Charlotte,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. R. Lopez (T. Gibson gains possession),,,,Jump ball: R. Hibbert vs. R. Lopez (T. Gibson gains possession)
11:36.0,,,0-0,,M. Carter-Williams misses 2-pt shot from 13 ft
11:35.0,,,0-0,,Offensive rebound by R. Lopez
11:19.0,,,0-2,2,M. Carter-Williams makes 2-pt shot from 8 ft (assist by J. Butler)
11:01.0,M. Kidd-Gilchrist misses 2-pt shot from 5 ft (block by R. Lopez),,0-2,,
10:59.0,,,0-2,,Defensive rebound by J. Butler
10:49.0,,,0-2,,Turnover by D. McDermott (step out of bounds)
10:36.0,K. Walker misses 2-pt shot from 21 ft,,0-2,,
10:35.0,,,0-2,,Defensive rebound by J. Butler
10:23.0,,,0-2,,T. Gibson misses 2-pt shot from 15 ft
10:22.0,Defensive rebound by N. Batum,,0-2,,
10:15.0,N. Batum makes 2-pt shot from 13 ft,2,2-2,,
10:02.0,,,2-4,2,D. McDermott makes 2-pt shot from 19 ft (assist by J. Butler)
9:42.0,N. Batum misses 2-pt shot from 14 ft,,2-4,,
9:41.0,,,2-4,,Defensive rebound by M. Carter-Williams
9:34.0,,,2-4,,D. McDermott misses 2-pt shot from 11 ft
9:33.0,Defensive rebound by M. Kidd-Gilchrist,,2-4,,
9:19.0,R. Hibbert makes 2-pt shot from 9 ft (assist by M. Kidd-Gilchrist),2,4-4,,
9:07.0,Personal foul by M. Kidd-Gilchrist (drawn by J. Butler),,4-4,,
8:53.0,,,4-6,2,J. Butler makes 2-pt shot from 16 ft (assist by M. Carter-Williams)
8:36.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,4-6,,
8:35.0,,,4-6,,Defensive rebound by M. Carter-Williams
8:21.0,,,4-6,,T. Gibson misses 2-pt shot from 16 ft
8:20.0,Defensive rebound by K. Walker,,4-6,,
8:10.0,M. Williams misses 3-pt shot from 25 ft,,4-6,,
8:09.0,,,4-6,,Defensive rebound by M. Carter-Williams
7:52.0,,,4-8,2,T. Gibson makes 2-pt shot from 7 ft (assist by M. Carter-Williams)
7:34.0,M. Williams makes 3-pt shot from 24 ft (assist by M. Kidd-Gilchrist),3,7-8,,
7:18.0,,,7-8,,R. Lopez misses 2-pt shot from 10 ft
7:16.0,Defensive rebound by N. Batum,,7-8,,
7:05.0,N. Batum misses 2-pt shot from 12 ft,,7-8,,
7:04.0,,,7-8,,Defensive rebound by R. Lopez
6:54.0,,,7-8,,Shooting foul by R. Hibbert (drawn by R. Lopez)
6:54.0,,,7-8,,R. Lopez misses free throw 1 of 2
6:54.0,,,7-8,,Offensive rebound by Team
6:54.0,,,7-9,1,R. Lopez makes free throw 2 of 2
6:39.0,N. Batum misses 2-pt shot from 6 ft,,7-9,,
6:38.0,,,7-9,,Defensive rebound by R. Lopez
6:24.0,,,7-9,,M. Carter-Williams misses 2-pt shot from 14 ft
6:23.0,Defensive rebound by K. Walker,,7-9,,
6:17.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,7-9,,
6:16.0,Offensive rebound by M. Kidd-Gilchrist,,7-9,,
6:16.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft,2,9-9,,
5:59.0,,,9-9,,M. Carter-Williams misses 3-pt shot from 25 ft
5:58.0,,,9-9,,Offensive rebound by T. Gibson
5:56.0,,,9-11,2,T. Gibson makes 2-pt shot from 3 ft
5:43.0,K. Walker makes 3-pt shot from 25 ft,3,12-11,,
5:25.0,,,12-13,2,J. Butler makes 2-pt shot from 18 ft
5:19.0,Charlotte full timeout,,12-13,,
5:19.0,J. Lamb enters the game for N. Batum,,12-13,,
5:07.0,R. Hibbert misses 2-pt shot from 8 ft (block by R. Lopez),,12-13,,
5:06.0,,,12-13,,Defensive rebound by J. Butler
4:59.0,,,12-15,2,J. Butler makes 2-pt shot from 14 ft
4:41.0,Shooting foul by M. Carter-Williams (drawn by M. Williams),,12-15,,
4:41.0,M. Williams makes free throw 1 of 2,1,13-15,,
4:41.0,M. Williams makes free throw 2 of 2,1,14-15,,
4:41.0,,,13-15,,N. Mirotic enters the game for T. Gibson
4:23.0,,,14-15,,J. Butler misses 3-pt shot from 26 ft
4:23.0,Defensive rebound by J. Lamb,,14-15,,
4:11.0,M. Williams misses 2-pt shot from 12 ft,,14-15,,
4:10.0,,,14-15,,Defensive rebound by D. McDermott
4:02.0,,,14-17,2,J. Butler makes 2-pt shot from 2 ft
3:37.0,K. Walker makes 2-pt shot from 14 ft,2,16-17,,
3:21.0,,,16-17,,R. Lopez misses 2-pt shot from 18 ft
3:20.0,Defensive rebound by K. Walker,,16-17,,
3:09.0,K. Walker misses 2-pt shot from 15 ft,,16-17,,
3:08.0,,,16-17,,Defensive rebound by J. Butler
2:59.0,,,16-19,2,D. McDermott makes 2-pt shot from 20 ft (assist by J. Butler)
2:40.0,Turnover by M. Williams (traveling),,16-19,,
2:40.0,,,16-19,,Chicago full timeout
2:40.0,F. Kaminsky enters the game for M. Williams,,16-19,,
2:40.0,R. Sessions enters the game for K. Walker,,16-19,,
2:40.0,S. Hawes enters the game for R. Hibbert,,16-19,,
2:40.0,,,16-19,,J. Grant enters the game for M. Carter-Williams
2:26.0,,,16-21,2,R. Lopez makes 2-pt shot from 9 ft (assist by J. Butler)
2:12.0,Turnover by J. Lamb (lost ball; steal by J. Grant),,16-21,,
1:54.0,,,16-21,,R. Lopez misses 2-pt shot from 18 ft
1:53.0,Defensive rebound by J. Lamb,,16-21,,
1:50.0,R. Sessions makes 2-pt shot from 12 ft (assist by J. Lamb),2,18-21,,
1:50.0,Shooting foul by D. McDermott (drawn by R. Sessions),,18-21,,
1:50.0,R. Sessions makes free throw 1 of 1,1,19-21,,
1:50.0,,,18-21,,C. Felicio enters the game for R. Lopez
1:32.0,,,19-21,,J. Butler misses 2-pt shot from 14 ft
1:31.0,Defensive rebound by F. Kaminsky,,19-21,,
1:15.0,F. Kaminsky makes 2-pt shot from 13 ft,2,21-21,,
0:59.0,,,21-21,,Shooting foul by S. Hawes (drawn by J. Butler)
0:59.0,,,21-21,,J. Butler misses free throw 1 of 2
0:59.0,,,21-21,,Offensive rebound by Team
0:59.0,,,21-22,1,J. Butler makes free throw 2 of 2
0:59.0,,,21-21,,D. Valentine enters the game for D. McDermott
0:42.0,F. Kaminsky misses 2-pt shot from 7 ft,,21-22,,
0:41.0,,,21-22,,Defensive rebound by C. Felicio
0:37.0,,,21-25,3,D. Valentine makes 3-pt shot from 26 ft (assist by J. Grant)
0:26.0,Turnover by R. Sessions (lost ball; steal by J. Grant),,21-25,,
0:16.0,,,21-25,,Turnover by D. Valentine (bad pass; steal by J. Lamb)
0:03.0,S. Hawes makes 2-pt shot from 2 ft (assist by R. Sessions),2,23-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,F. Kaminsky misses 3-pt shot from 24 ft,,23-25,,
11:36.0,,,23-25,,Defensive rebound by M. Carter-Williams
11:16.0,,,23-25,,Turnover by J. Grant (bad pass; steal by R. Sessions)
11:10.0,N. Batum makes 2-pt shot from 1 ft (assist by R. Sessions),2,25-25,,
10:50.0,,,25-25,,N. Mirotic misses 3-pt shot from 23 ft
10:49.0,Defensive rebound by J. Lamb,,25-25,,
10:43.0,Shooting foul by D. Valentine (drawn by J. Lamb),,25-25,,
10:43.0,J. Lamb makes free throw 1 of 2,1,26-25,,
10:43.0,J. Lamb makes free throw 2 of 2,1,27-25,,
10:22.0,,,27-25,,Turnover by N. Mirotic (lost ball; steal by F. Kaminsky)
10:17.0,Shooting foul by D. Valentine (drawn by J. Lamb),,27-25,,
10:17.0,J. Lamb makes 2-pt shot from 2 ft,2,29-25,,
10:17.0,J. Lamb makes free throw 1 of 1,1,30-25,,
9:58.0,,,30-25,,N. Mirotic misses 3-pt shot from 25 ft
9:57.0,Defensive rebound by R. Sessions,,30-25,,
9:50.0,Shooting foul by J. Grant (drawn by R. Sessions),,30-25,,
9:50.0,R. Sessions misses free throw 1 of 2,,30-25,,
9:50.0,Offensive rebound by Team,,30-25,,
9:50.0,R. Sessions makes free throw 2 of 2,1,31-25,,
9:46.0,,,31-25,,Chicago full timeout
9:33.0,,,31-27,2,M. Carter-Williams makes 2-pt shot from 18 ft (assist by D. Valentine)
9:14.0,N. Batum makes 2-pt shot from 12 ft (assist by S. Hawes),2,33-27,,
