time,Dallas,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. K. Towns (D. Nowitzki gains possession),,,,Jump ball: A. Bogut vs. K. Towns (D. Nowitzki gains possession)
11:43.0,H. Barnes makes 2-pt shot from 7 ft,2,2-0,,
11:27.0,,,2-0,,A. Wiggins misses 2-pt shot at rim
11:25.0,Defensive rebound by D. Nowitzki,,2-0,,
11:15.0,H. Barnes misses 2-pt shot from 11 ft,,2-0,,
11:14.0,,,2-0,,Defensive rebound by K. Towns
10:51.0,,,2-3,3,K. Towns makes 3-pt shot from 25 ft
10:23.0,Turnover by D. Williams (lost ball; steal by R. Rubio),,2-3,,
10:15.0,,,2-5,2,K. Towns makes 2-pt shot from 16 ft (assist by R. Rubio)
9:55.0,D. Williams makes 2-pt shot from 1 ft (assist by A. Bogut),2,4-5,,
9:45.0,,,4-5,,Shooting foul by D. Nowitzki (drawn by K. Towns)
9:45.0,,,4-6,1,K. Towns makes free throw 1 of 2
9:45.0,,,4-7,1,K. Towns makes free throw 2 of 2
9:33.0,D. Nowitzki misses 2-pt shot from 14 ft,,4-7,,
9:32.0,,,4-7,,Defensive rebound by K. Towns
9:24.0,,,4-7,,R. Rubio misses 2-pt shot from 16 ft
9:23.0,Defensive rebound by W. Matthews,,4-7,,
9:14.0,Turnover by W. Matthews (bad pass; steal by R. Rubio),,4-7,,
9:10.0,,,4-9,2,Z. LaVine makes 2-pt shot from 1 ft (assist by R. Rubio)
9:02.0,Dallas full timeout,,4-9,,
8:55.0,D. Williams makes 2-pt shot from 16 ft (assist by A. Bogut),2,6-9,,
8:41.0,,,6-12,3,K. Towns makes 3-pt shot from 23 ft (assist by R. Rubio)
8:20.0,H. Barnes misses 2-pt shot from 16 ft,,6-12,,
8:18.0,Offensive rebound by A. Bogut,,6-12,,
8:10.0,D. Nowitzki misses 3-pt shot from 24 ft,,6-12,,
8:09.0,,,6-12,,Defensive rebound by Z. LaVine
8:05.0,,,6-12,,Turnover by Z. LaVine (bad pass)
8:05.0,S. Curry enters the game for D. Nowitzki,,6-12,,
7:57.0,,,6-12,,Personal block foul by R. Rubio (drawn by H. Barnes)
7:46.0,H. Barnes makes 2-pt shot from 12 ft,2,8-12,,
7:29.0,,,8-14,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
7:05.0,H. Barnes makes 3-pt shot from 25 ft (assist by W. Matthews),3,11-14,,
6:41.0,,,11-16,2,K. Towns makes 2-pt shot from 16 ft
6:29.0,,,11-16,,Personal foul by A. Wiggins (drawn by W. Matthews)
6:16.0,D. Williams misses 2-pt shot from 20 ft,,11-16,,
6:15.0,,,11-16,,Defensive rebound by G. Dieng
6:07.0,Personal foul by A. Bogut (drawn by G. Dieng),,11-16,,
5:53.0,,,11-18,2,G. Dieng makes 2-pt shot from 16 ft (assist by K. Towns)
5:35.0,H. Barnes makes 2-pt shot from 16 ft,2,13-18,,
5:21.0,,,13-18,,Shooting foul by W. Matthews (drawn by G. Dieng)
5:21.0,,,13-19,1,G. Dieng makes free throw 1 of 2
