time,Memphis,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Gasol (J. Green gains possession),,,,Jump ball: S. Adams vs. M. Gasol (J. Green gains possession)
11:37.0,C. Parsons misses 3-pt shot from 26 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by V. Oladipo
11:18.0,,,0-3,3,V. Oladipo makes 3-pt shot from 23 ft (assist by S. Adams)
11:07.0,T. Allen misses 2-pt shot from 4 ft,,0-3,,
11:06.0,,,0-3,,Defensive rebound by V. Oladipo
10:57.0,Violation by M. Gasol (kicked ball),,0-3,,
10:50.0,,,0-5,2,R. Westbrook makes 2-pt shot from 14 ft (assist by D. Sabonis)
10:26.0,C. Parsons makes 2-pt shot from 18 ft,2,2-5,,
10:04.0,,,2-7,2,S. Adams makes 2-pt shot from 3 ft
9:54.0,M. Gasol misses 2-pt shot from 18 ft,,2-7,,
9:54.0,,,2-7,,Defensive rebound by R. Westbrook
9:51.0,Personal foul by M. Gasol (drawn by S. Adams),,2-7,,
9:42.0,,,2-7,,A. Roberson misses 3-pt shot from 25 ft
9:41.0,,,2-7,,Offensive rebound by S. Adams
9:39.0,,,2-7,,S. Adams misses 2-pt shot from 2 ft
9:38.0,Defensive rebound by J. Green,,2-7,,
9:27.0,C. Parsons makes 2-pt shot from 1 ft,2,4-7,,
9:12.0,,,4-7,,Turnover by D. Sabonis (bad pass; steal by C. Parsons)
8:58.0,T. Allen makes 2-pt shot from 1 ft (assist by M. Gasol),2,6-7,,
8:41.0,,,6-9,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
8:30.0,C. Parsons misses 3-pt shot from 23 ft,,6-9,,
8:30.0,,,6-9,,Defensive rebound by D. Sabonis
8:14.0,,,6-9,,Turnover by D. Sabonis (traveling)
7:59.0,M. Gasol makes 2-pt shot from 5 ft,2,8-9,,
7:51.0,,,8-11,2,R. Westbrook makes 2-pt shot from 13 ft
7:34.0,C. Parsons makes 2-pt shot from 12 ft (assist by M. Conley),2,10-11,,
7:23.0,Personal block foul by M. Gasol (drawn by D. Sabonis),,10-11,,
7:12.0,,,10-13,2,S. Adams makes 2-pt shot from 5 ft
6:49.0,M. Gasol misses 2-pt shot from 13 ft,,10-13,,
6:49.0,,,10-13,,Defensive rebound by R. Westbrook
6:43.0,,,10-15,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:34.0,Memphis full timeout,,10-15,,
6:34.0,Z. Randolph enters the game for M. Gasol,,10-15,,
6:17.0,Z. Randolph misses 2-pt shot from 14 ft,,10-15,,
6:17.0,Offensive rebound by Team,,10-15,,
6:17.0,,,10-15,,Loose ball foul by D. Sabonis (drawn by J. Green)
6:09.0,M. Conley misses 2-pt shot from 8 ft,,10-15,,
6:08.0,Offensive rebound by Z. Randolph,,10-15,,
6:08.0,Z. Randolph makes 2-pt shot from 1 ft,2,12-15,,
5:43.0,,,12-15,,Turnover by V. Oladipo (step out of bounds)
5:43.0,,,12-15,,E. Kanter enters the game for D. Sabonis
5:43.0,,,12-15,,A. Abrines enters the game for V. Oladipo
5:37.0,M. Conley misses 2-pt shot from 2 ft (block by R. Westbrook),,12-15,,
5:35.0,,,12-15,,Defensive rebound by A. Roberson
5:31.0,,,12-15,,E. Kanter misses 2-pt shot from 2 ft (block by J. Green)
5:29.0,,,12-15,,Offensive rebound by R. Westbrook
5:28.0,,,12-15,,R. Westbrook misses 3-pt shot from 24 ft
5:28.0,Defensive rebound by J. Green,,12-15,,
5:28.0,,,12-15,,Personal foul by E. Kanter (drawn by J. Green)
5:28.0,Personal foul by J. Green,,12-15,,
5:26.0,Turnover by J. Green (double personal),,12-15,,
5:26.0,V. Carter enters the game for T. Allen,,12-15,,
5:26.0,Jump ball: S. Adams vs. J. Green (E. Kanter gains possession),,,,Jump ball: S. Adams vs. J. Green (E. Kanter gains possession)
5:14.0,,,12-17,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
