time,Indiana,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. M. Turner (W. Chandler gains possession),,,,Jump ball: N. Jokic vs. M. Turner (W. Chandler gains possession)
11:32.0,,,0-0,,W. Chandler misses 2-pt shot from 13 ft
11:31.0,Defensive rebound by J. Teague,,0-0,,
11:16.0,P. George misses 3-pt shot from 27 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by N. Jokic
11:06.0,,,0-3,3,D. Gallinari makes 3-pt shot from 23 ft (assist by G. Harris)
10:50.0,M. Turner misses 2-pt shot from 14 ft,,0-3,,
10:49.0,,,0-3,,Defensive rebound by D. Gallinari
10:39.0,,,0-5,2,G. Harris makes 2-pt shot from 4 ft (assist by E. Mudiay)
10:20.0,M. Turner misses 2-pt shot at rim,,0-5,,
10:19.0,,,0-5,,Defensive rebound by E. Mudiay
10:14.0,,,0-5,,Turnover by E. Mudiay (bad pass; steal by P. George)
10:13.0,,,0-5,,Personal foul by W. Chandler (drawn by P. George)
10:13.0,P. George makes free throw 1 of 2,1,1-5,,
10:13.0,P. George makes free throw 2 of 2,1,2-5,,
10:00.0,,,2-5,,N. Jokic misses 2-pt shot from 4 ft
9:58.0,Defensive rebound by T. Young,,2-5,,
9:49.0,T. Young misses 3-pt shot from 27 ft,,2-5,,
9:48.0,,,2-5,,Defensive rebound by W. Chandler
9:37.0,,,2-8,3,D. Gallinari makes 3-pt shot from 24 ft (assist by W. Chandler)
9:22.0,J. Teague makes 2-pt shot from 3 ft (assist by T. Young),2,4-8,,
9:08.0,Personal foul by P. George (drawn by D. Gallinari),,4-8,,
8:54.0,,,4-11,3,D. Gallinari makes 3-pt shot from 26 ft (assist by G. Harris)
8:29.0,G. Robinson makes 2-pt shot from 16 ft (assist by J. Teague),2,6-11,,
8:11.0,,,6-14,3,E. Mudiay makes 3-pt shot from 24 ft (assist by G. Harris)
7:59.0,J. Teague makes 2-pt shot from 2 ft,2,8-14,,
7:57.0,,,8-14,,Turnover by N. Jokic (bad pass; steal by P. George)
7:48.0,P. George makes 3-pt shot from 24 ft (assist by J. Teague),3,11-14,,
7:31.0,,,11-14,,G. Harris misses 2-pt shot from 4 ft
7:30.0,,,11-14,,Offensive rebound by N. Jokic
7:19.0,,,11-14,,D. Gallinari misses 3-pt shot from 25 ft
7:18.0,Defensive rebound by M. Turner,,11-14,,
7:06.0,M. Turner misses 2-pt shot from 20 ft,,11-14,,
7:06.0,Offensive rebound by T. Young,,11-14,,
7:05.0,M. Turner makes 2-pt shot at rim (assist by T. Young),2,13-14,,
7:05.0,,,13-14,,Denver full timeout
6:52.0,,,13-16,2,W. Chandler makes 2-pt shot from 4 ft (assist by E. Mudiay)
6:31.0,G. Robinson misses 3-pt shot from 25 ft,,13-16,,
6:30.0,,,13-16,,Defensive rebound by E. Mudiay
6:29.0,,,13-16,,Turnover by E. Mudiay (traveling)
6:13.0,P. George misses 2-pt shot from 16 ft,,13-16,,
6:12.0,,,13-16,,Defensive rebound by W. Chandler
6:02.0,,,13-16,,W. Chandler misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by M. Turner,,13-16,,
5:52.0,M. Turner makes 2-pt shot from 4 ft (assist by J. Teague),2,15-16,,
5:31.0,,,15-16,,E. Mudiay misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by T. Young,,15-16,,
5:29.0,Turnover by P. George (bad pass),,15-16,,
5:15.0,,,15-18,2,D. Gallinari makes 2-pt shot from 17 ft (assist by E. Mudiay)
5:05.0,J. Teague makes 2-pt shot from 6 ft,2,17-18,,
5:05.0,Shooting foul by E. Mudiay (drawn by J. Teague),,17-18,,
5:05.0,J. Teague misses free throw 1 of 1,,17-18,,
5:02.0,,,17-18,,Defensive rebound by W. Chandler
4:46.0,,,17-20,2,G. Harris makes 2-pt shot from 2 ft (assist by D. Gallinari)
4:37.0,,,17-20,,J. Nelson enters the game for E. Mudiay
4:32.0,M. Turner misses 2-pt shot from 5 ft,,17-20,,
4:28.0,Offensive rebound by M. Turner,,17-20,,
4:28.0,M. Turner makes 2-pt shot from 3 ft,2,19-20,,
4:19.0,,,19-23,3,N. Jokic makes 3-pt shot from 27 ft
4:03.0,T. Young makes 2-pt shot from 5 ft (assist by J. Teague),2,21-23,,
3:53.0,,,21-23,,N. Jokic misses 3-pt shot from 26 ft
3:52.0,Defensive rebound by P. George,,21-23,,
3:48.0,P. George misses 2-pt shot from 4 ft (block by N. Jokic),,21-23,,
3:47.0,,,21-23,,Defensive rebound by G. Harris
3:40.0,,,21-26,3,J. Nelson makes 3-pt shot from 22 ft (assist by D. Gallinari)
3:40.0,Indiana full timeout,,21-26,,
3:40.0,A. Jefferson enters the game for M. Turner,,21-26,,
3:40.0,M. Ellis enters the game for G. Robinson,,21-26,,
3:25.0,,,21-26,,Personal foul by J. Nelson (drawn by J. Teague)
3:11.0,J. Teague misses 3-pt shot from 26 ft,,21-26,,
3:10.0,,,21-26,,Defensive rebound by D. Gallinari
2:55.0,,,21-26,,N. Jokic misses 2-pt shot from 18 ft
2:53.0,Defensive rebound by A. Jefferson,,21-26,,
2:39.0,A. Jefferson makes 2-pt shot from 12 ft (assist by J. Teague),2,23-26,,
2:24.0,,,23-26,,G. Harris misses 2-pt shot from 18 ft
2:23.0,Defensive rebound by J. Teague,,23-26,,
2:22.0,,,23-26,,Personal foul by J. Nelson (drawn by J. Teague)
2:22.0,J. Teague makes free throw 1 of 2,1,24-26,,
2:22.0,J. Teague makes free throw 2 of 2,1,25-26,,
2:22.0,,,24-26,,J. Nurkic enters the game for N. Jokic
2:22.0,,,24-26,,W. Barton enters the game for D. Gallinari
2:22.0,C. Miles enters the game for P. George,,24-26,,
2:02.0,,,25-28,2,W. Chandler makes 2-pt shot at rim (assist by J. Nelson)
1:40.0,A. Jefferson makes 2-pt shot from 1 ft (assist by J. Teague),2,27-28,,
1:30.0,,,27-28,,W. Chandler misses 3-pt shot from 26 ft
1:29.0,Defensive rebound by J. Teague,,27-28,,
1:22.0,M. Ellis misses 2-pt shot from 7 ft,,27-28,,
1:21.0,,,27-28,,Defensive rebound by W. Chandler
1:15.0,Personal foul by T. Young (drawn by W. Chandler),,27-28,,
1:15.0,,,27-28,,J. Murray enters the game for G. Harris
1:15.0,,,27-28,,K. Faried enters the game for W. Chandler
1:15.0,K. Seraphin enters the game for J. Teague,,27-28,,
1:15.0,A. Brooks enters the game for T. Young,,27-28,,
0:53.0,,,27-28,,W. Barton misses 2-pt shot from 11 ft
0:51.0,,,27-28,,Offensive rebound by W. Barton
0:51.0,,,27-30,2,W. Barton makes 2-pt shot from 11 ft
0:45.0,A. Jefferson misses 2-pt shot from 4 ft (block by J. Nurkic),,27-30,,
0:45.0,Offensive rebound by Team,,27-30,,
0:38.0,C. Miles misses 2-pt shot from 8 ft (block by K. Faried),,27-30,,
0:37.0,Offensive rebound by A. Jefferson,,27-30,,
0:37.0,A. Jefferson misses 2-pt shot from 14 ft,,27-30,,
0:36.0,Offensive rebound by C. Miles,,27-30,,
0:36.0,C. Miles misses 2-pt shot from 1 ft,,27-30,,
0:34.0,Offensive rebound by C. Miles,,27-30,,
0:33.0,C. Miles makes 2-pt shot from 1 ft,2,29-30,,
0:28.0,,,29-30,,J. Nelson misses 3-pt shot from 26 ft
0:26.0,Defensive rebound by K. Seraphin,,29-30,,
0:07.0,Turnover by A. Brooks (bad pass; steal by K. Faried),,29-30,,
0:03.0,,,29-30,,Turnover by J. Murray (bad pass; steal by A. Brooks)
0:03.0,A. Brooks misses 3-pt shot from 45 ft,,29-30,,
0:03.0,Offensive rebound by Team,,29-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,K. Seraphin makes 2-pt shot from 7 ft,2,31-30,,
11:22.0,,,31-30,,J. Murray misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by K. Seraphin,,31-30,,
11:04.0,M. Ellis misses 3-pt shot from 25 ft,,31-30,,
11:04.0,,,31-30,,Defensive rebound by K. Faried
10:55.0,,,31-33,3,W. Barton makes 3-pt shot from 25 ft (assist by J. Nelson)
10:42.0,C. Miles misses 2-pt shot from 9 ft,,31-33,,
10:41.0,,,31-33,,Defensive rebound by J. Nurkic
10:38.0,,,31-33,,Shooting foul by A. Brooks (drawn by W. Barton)
10:38.0,,,31-34,1,W. Barton makes free throw 1 of 2
10:38.0,,,31-35,1,W. Barton makes free throw 2 of 2
10:13.0,A. Jefferson misses 2-pt shot from 19 ft,,31-35,,
10:12.0,,,31-35,,Defensive rebound by W. Barton
10:06.0,,,31-37,2,J. Nelson makes 2-pt shot from 3 ft
9:54.0,A. Brooks misses 2-pt shot from 22 ft,,31-37,,
9:53.0,,,31-37,,Defensive rebound by J. Nurkic
9:37.0,,,31-37,,Turnover by J. Nurkic (bad pass; steal by M. Ellis)
9:26.0,Turnover by A. Brooks (bad pass; steal by W. Barton),,31-37,,
9:20.0,,,31-37,,W. Barton misses 2-pt shot from 1 ft
9:18.0,,,31-37,,Offensive rebound by J. Murray
9:18.0,,,31-39,2,J. Murray makes 2-pt shot from 1 ft
8:59.0,C. Miles makes 3-pt shot from 26 ft (assist by A. Brooks),3,34-39,,
8:51.0,,,34-41,2,J. Murray makes 2-pt shot from 5 ft
8:48.0,Indiana full timeout,,34-41,,
8:48.0,T. Young enters the game for A. Jefferson,,34-41,,
8:48.0,M. Turner enters the game for K. Seraphin,,34-41,,
8:30.0,C. Miles makes 3-pt shot from 25 ft (assist by A. Brooks),3,37-41,,
8:12.0,,,37-41,,Shooting foul by M. Turner (drawn by J. Nurkic)
8:12.0,,,37-41,,J. Nurkic misses free throw 1 of 2
8:12.0,,,37-41,,Offensive rebound by Team
8:12.0,,,37-42,1,J. Nurkic makes free throw 2 of 2
8:02.0,Turnover by M. Ellis (bad pass; steal by J. Nelson),,37-42,,
7:57.0,,,37-42,,J. Murray misses 3-pt shot from 26 ft
7:57.0,,,37-42,,Offensive rebound by K. Faried
7:57.0,,,37-44,2,K. Faried makes 2-pt shot from 3 ft
7:57.0,,,37-44,,Shooting foul by M. Turner (drawn by K. Faried)
7:57.0,,,37-45,1,K. Faried makes free throw 1 of 1
7:45.0,,,37-45,,Violation by K. Faried (def goaltending)
7:45.0,M. Ellis makes 2-pt shot from 3 ft,2,39-45,,
7:29.0,,,39-47,2,J. Nurkic makes 2-pt shot from 2 ft (assist by J. Murray)
7:15.0,A. Brooks makes 2-pt shot from 6 ft,2,41-47,,
7:03.0,,,41-47,,K. Faried misses 2-pt shot from 17 ft
7:02.0,Defensive rebound by M. Turner,,41-47,,
6:50.0,M. Ellis makes 2-pt shot from 8 ft,2,43-47,,
6:35.0,,,43-47,,J. Murray misses 3-pt shot from 26 ft
6:35.0,Defensive rebound by Team,,43-47,,
6:35.0,,,43-47,,Loose ball foul by K. Faried (drawn by C. Miles)
6:35.0,P. George enters the game for C. Miles,,43-47,,
6:35.0,,,43-47,,N. Jokic enters the game for J. Nurkic
6:35.0,,,43-47,,G. Harris enters the game for J. Murray
6:20.0,A. Brooks misses 3-pt shot from 25 ft,,43-47,,
6:19.0,,,43-47,,Defensive rebound by K. Faried
6:06.0,,,43-49,2,K. Faried makes 2-pt shot from 2 ft (assist by W. Barton)
5:55.0,A. Brooks makes 2-pt shot from 1 ft,2,45-49,,
5:44.0,,,45-49,,J. Nelson misses 3-pt shot from 27 ft
5:44.0,,,45-49,,Offensive rebound by N. Jokic
5:39.0,,,45-51,2,K. Faried makes 2-pt shot at rim (assist by N. Jokic)
5:21.0,P. George misses 2-pt shot from 14 ft,,45-51,,
5:19.0,,,45-51,,Defensive rebound by W. Barton
5:14.0,,,45-51,,W. Barton misses 2-pt shot from 3 ft
5:13.0,,,45-51,,Offensive rebound by Team
5:13.0,Official timeout,,45-51,,
5:13.0,J. Teague enters the game for A. Brooks,,45-51,,
5:13.0,,,45-51,,D. Gallinari enters the game for J. Nelson
5:13.0,,,45-51,,E. Mudiay enters the game for W. Barton
5:13.0,,,45-51,,W. Chandler enters the game for K. Faried
5:02.0,,,45-51,,G. Harris misses 2-pt shot from 3 ft
5:02.0,Defensive rebound by M. Turner,,45-51,,
4:49.0,,,45-51,,Personal foul by E. Mudiay (drawn by J. Teague)
4:39.0,P. George misses 3-pt shot from 25 ft,,45-51,,
4:38.0,Offensive rebound by M. Turner,,45-51,,
4:27.0,M. Turner misses 2-pt shot from 8 ft,,45-51,,
4:26.0,,,45-51,,Defensive rebound by G. Harris
4:16.0,,,45-51,,E. Mudiay misses 2-pt shot from 12 ft
4:15.0,Defensive rebound by P. George,,45-51,,
4:01.0,T. Young makes 2-pt shot from 7 ft,2,47-51,,
3:51.0,,,47-53,2,W. Chandler makes 2-pt shot from 7 ft
3:51.0,,,47-53,,Shooting foul by M. Turner (drawn by W. Chandler)
3:51.0,,,47-54,1,W. Chandler makes free throw 1 of 1
3:51.0,A. Jefferson enters the game for M. Turner,,47-53,,
3:51.0,G. Robinson enters the game for M. Ellis,,47-53,,
3:42.0,Turnover by J. Teague (bad pass; steal by W. Chandler),,47-54,,
3:38.0,,,47-54,,Turnover by D. Gallinari (lost ball; steal by P. George)
3:33.0,Turnover by J. Teague (bad pass; steal by N. Jokic),,47-54,,
3:20.0,,,47-56,2,G. Harris makes 2-pt shot from 4 ft (assist by N. Jokic)
2:59.0,G. Robinson misses 2-pt shot from 3 ft (block by E. Mudiay),,47-56,,
2:56.0,Offensive rebound by G. Robinson,,47-56,,
2:56.0,G. Robinson misses 2-pt shot from 4 ft,,47-56,,
2:55.0,,,47-56,,Defensive rebound by G. Harris
2:50.0,,,47-56,,Shooting foul by A. Jefferson (drawn by N. Jokic)
2:50.0,,,47-56,,Denver full timeout
