time,Milwaukee,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. D. Howard (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. D. Howard (G. Antetokounmpo gains possession)
11:42.0,J. Parker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,2-0,,
11:26.0,,,2-2,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
10:59.0,J. Parker misses 3-pt shot from 23 ft,,2-2,,
10:57.0,,,2-2,,Defensive rebound by D. Howard
10:52.0,,,2-2,,Turnover by D. Schroder (bad pass; steal by G. Antetokounmpo)
10:43.0,T. Snell misses 3-pt shot from 24 ft,,2-2,,
10:41.0,,,2-2,,Defensive rebound by D. Howard
10:35.0,,,2-5,3,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Schroder)
10:22.0,M. Brogdon makes 2-pt shot at rim (assist by J. Henson),2,4-5,,
10:02.0,,,4-5,,Turnover by D. Schroder (bad pass; steal by T. Snell)
9:55.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by T. Snell),2,6-5,,
9:42.0,,,6-7,2,D. Howard makes 2-pt shot at rim (assist by K. Bazemore)
9:21.0,J. Henson makes 2-pt shot from 19 ft (assist by J. Parker),2,8-7,,
9:02.0,,,8-7,,P. Millsap misses 2-pt shot at rim (block by G. Antetokounmpo)
9:02.0,,,8-7,,Offensive rebound by Team
8:53.0,,,8-7,,K. Bazemore misses 3-pt shot from 24 ft
8:51.0,Defensive rebound by G. Antetokounmpo,,8-7,,
8:43.0,T. Snell makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,11-7,,
8:25.0,,,11-9,2,D. Schroder makes 2-pt shot from 1 ft
8:05.0,G. Antetokounmpo makes 2-pt shot from 20 ft,2,13-9,,
7:45.0,,,13-9,,Turnover by K. Bazemore (bad pass; steal by G. Antetokounmpo)
7:40.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,15-9,,
7:40.0,,,15-9,,Atlanta full timeout
7:25.0,,,15-9,,Turnover by P. Millsap (traveling)
7:16.0,G. Antetokounmpo misses 2-pt shot at rim,,15-9,,
7:15.0,,,15-9,,Defensive rebound by Team
6:59.0,,,15-9,,T. Sefolosha misses 2-pt shot from 1 ft
6:57.0,Defensive rebound by J. Henson,,15-9,,
6:47.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,17-9,,
6:33.0,Personal foul by J. Henson (drawn by D. Howard),,17-9,,
6:33.0,M. Beasley enters the game for G. Antetokounmpo,,17-9,,
6:33.0,G. Monroe enters the game for J. Henson,,17-9,,
6:33.0,,,17-9,,M. Dunleavy enters the game for T. Sefolosha
6:27.0,,,17-9,,K. Bazemore misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by J. Parker,,17-9,,
