time,Detroit,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Mozgov (T. Harris gains possession),,,,Jump ball: A. Drummond vs. T. Mozgov (T. Harris gains possession)
11:49.0,Turnover by A. Drummond (bad pass),,0-0,,
11:28.0,,,0-0,,L. Deng misses 3-pt shot from 25 ft
11:27.0,Defensive rebound by A. Drummond,,0-0,,
11:18.0,T. Harris misses 2-pt shot from 16 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by L. Deng
11:02.0,,,0-0,,N. Young misses 3-pt shot from 24 ft
11:00.0,Defensive rebound by R. Jackson,,0-0,,
10:50.0,A. Drummond misses 2-pt shot from 11 ft,,0-0,,
10:47.0,,,0-0,,Defensive rebound by T. Mozgov
10:30.0,,,0-2,2,L. Deng makes 2-pt shot from 5 ft (assist by N. Young)
10:12.0,R. Jackson misses 3-pt shot from 28 ft,,0-2,,
10:11.0,,,0-2,,Defensive rebound by D. Russell
9:57.0,,,0-2,,T. Mozgov misses 2-pt shot from 4 ft
9:54.0,Defensive rebound by M. Morris,,0-2,,
9:45.0,R. Bullock misses 3-pt shot from 24 ft,,0-2,,
9:43.0,,,0-2,,Defensive rebound by D. Russell
9:36.0,,,0-4,2,D. Russell makes 2-pt shot from 1 ft
9:18.0,R. Bullock misses 2-pt shot from 7 ft,,0-4,,
9:17.0,,,0-4,,Defensive rebound by J. Randle
9:06.0,,,0-6,2,J. Randle makes 2-pt shot at rim
8:51.0,T. Harris misses 3-pt shot from 27 ft,,0-6,,
8:49.0,,,0-6,,Defensive rebound by T. Mozgov
8:43.0,Personal foul by M. Morris (drawn by J. Randle),,0-6,,
8:38.0,,,0-6,,Offensive foul by D. Russell
8:38.0,,,0-6,,Turnover by D. Russell (offensive foul)
8:24.0,R. Jackson makes 3-pt shot from 24 ft (assist by T. Harris),3,3-6,,
8:04.0,,,3-6,,D. Russell misses 3-pt shot from 26 ft
8:02.0,,,3-6,,Offensive rebound by N. Young
8:00.0,,,3-6,,Shooting foul by R. Jackson (drawn by N. Young)
8:00.0,,,3-7,1,N. Young makes free throw 1 of 3
8:00.0,,,3-8,1,N. Young makes free throw 2 of 3
8:00.0,,,3-9,1,N. Young makes free throw 3 of 3
7:49.0,M. Morris misses 3-pt shot from 25 ft,,3-9,,
7:47.0,,,3-9,,Defensive rebound by J. Randle
7:41.0,,,3-11,2,T. Mozgov makes 2-pt shot from 15 ft (assist by J. Randle)
7:34.0,Detroit full timeout,,3-11,,
7:26.0,,,3-11,,Def 3 sec tech foul by T. Mozgov
7:26.0,T. Harris makes technical free throw,1,4-11,,
7:18.0,R. Jackson misses 2-pt shot from 10 ft,,4-11,,
7:14.0,Offensive rebound by A. Drummond,,4-11,,
7:14.0,A. Drummond misses 2-pt shot from 1 ft,,4-11,,
7:11.0,,,4-11,,Defensive rebound by D. Russell
7:02.0,,,4-13,2,T. Mozgov makes 2-pt shot from 4 ft
6:44.0,A. Drummond misses 2-pt shot from 10 ft,,4-13,,
6:40.0,,,4-13,,Defensive rebound by L. Deng
6:28.0,,,4-15,2,D. Russell makes 2-pt shot from 15 ft
6:05.0,A. Drummond misses 2-pt shot from 5 ft,,4-15,,
6:02.0,,,4-15,,Defensive rebound by D. Russell
5:39.0,,,4-15,,J. Randle misses 2-pt shot from 10 ft
5:37.0,Defensive rebound by A. Drummond,,4-15,,
5:28.0,Turnover by A. Drummond (bad pass; steal by D. Russell),,4-15,,
5:22.0,,,4-18,3,N. Young makes 3-pt shot from 28 ft (assist by D. Russell)
5:02.0,M. Morris makes 2-pt shot from 20 ft (assist by R. Jackson),2,6-18,,
4:58.0,,,6-18,,LA Lakers full timeout
4:58.0,S. Johnson enters the game for R. Bullock,,6-18,,
4:58.0,A. Baynes enters the game for A. Drummond,,6-18,,
4:51.0,,,6-18,,N. Young misses 3-pt shot from 25 ft
4:51.0,Defensive rebound by Team,,6-18,,
4:32.0,T. Harris misses 2-pt shot from 15 ft,,6-18,,
4:29.0,,,6-18,,Defensive rebound by L. Deng
4:25.0,Personal foul by A. Baynes (drawn by T. Mozgov),,6-18,,
4:25.0,,,6-18,,T. Black enters the game for T. Mozgov
4:25.0,,,6-18,,B. Ingram enters the game for L. Deng
4:25.0,,,6-18,,J. Clarkson enters the game for N. Young
4:16.0,,,6-18,,D. Russell misses 2-pt shot from 12 ft
4:13.0,Defensive rebound by S. Johnson,,6-18,,
4:05.0,M. Morris makes 3-pt shot from 24 ft (assist by S. Johnson),3,9-18,,
3:43.0,,,9-18,,Turnover by J. Randle (lost ball)
3:32.0,R. Jackson makes 2-pt shot from 2 ft,2,11-18,,
3:14.0,,,11-20,2,D. Russell makes 2-pt shot from 3 ft (assist by J. Randle)
2:57.0,R. Jackson misses 2-pt shot from 3 ft,,11-20,,
2:51.0,,,11-20,,Defensive rebound by B. Ingram
2:51.0,,,11-22,2,B. Ingram makes 2-pt shot from 11 ft
2:51.0,Shooting block foul by R. Jackson (drawn by B. Ingram),,11-22,,
2:51.0,,,11-23,1,B. Ingram makes free throw 1 of 1
2:51.0,,,11-22,,L. Williams enters the game for D. Russell
2:51.0,I. Smith enters the game for M. Morris,,11-22,,
2:51.0,R. Bullock enters the game for R. Jackson,,11-22,,
2:41.0,,,11-23,,Violation by L. Williams (kicked ball)
2:33.0,A. Baynes misses 2-pt shot from 2 ft,,11-23,,
2:31.0,Offensive rebound by T. Harris,,11-23,,
2:31.0,T. Harris misses 2-pt shot from 2 ft,,11-23,,
2:31.0,Offensive rebound by T. Harris,,11-23,,
2:31.0,T. Harris makes 2-pt shot from 2 ft,2,13-23,,
2:31.0,Shooting foul by T. Black (drawn by T. Harris),,13-23,,
2:31.0,T. Harris makes free throw 1 of 1,1,14-23,,
2:15.0,,,14-25,2,J. Clarkson makes 2-pt shot from 19 ft (assist by L. Williams)
2:03.0,R. Bullock misses 3-pt shot from 24 ft,,14-25,,
2:00.0,,,14-25,,Defensive rebound by J. Randle
1:49.0,,,14-25,,J. Randle misses 2-pt shot from 3 ft (block by A. Baynes)
1:47.0,Defensive rebound by A. Baynes,,14-25,,
1:41.0,T. Harris makes 2-pt shot at rim (assist by I. Smith),2,16-25,,
1:33.0,,,16-25,,Technical foul by J. Randle
1:33.0,T. Harris makes technical free throw,1,17-25,,
1:33.0,,,17-25,,L. Deng enters the game for J. Randle
1:23.0,,,17-25,,B. Ingram misses 2-pt shot from 2 ft (block by T. Harris)
1:19.0,Defensive rebound by S. Johnson,,17-25,,
1:17.0,R. Bullock makes 2-pt shot from 1 ft (assist by S. Johnson),2,19-25,,
1:04.0,Shooting block foul by A. Baynes (drawn by J. Clarkson),,19-25,,
1:04.0,,,19-27,2,J. Clarkson makes 2-pt shot from 1 ft (assist by L. Williams)
1:04.0,,,19-28,1,J. Clarkson makes free throw 1 of 1
0:53.0,S. Johnson misses 3-pt shot from 26 ft,,19-28,,
0:51.0,,,19-28,,Defensive rebound by T. Black
0:45.0,,,19-31,3,L. Williams makes 3-pt shot from 27 ft
0:37.0,,,19-31,,Personal foul by J. Clarkson (drawn by R. Bullock)
0:21.0,S. Johnson makes 2-pt shot from 13 ft (assist by I. Smith),2,21-31,,
0:04.0,,,21-31,,Turnover by L. Williams (lost ball; steal by I. Smith)
0:01.0,T. Harris makes 2-pt shot at rim (assist by I. Smith),2,23-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Def 3 sec tech foul by M. Morris,,23-31,,
11:50.0,,,23-31,,L. Williams misses technical free throw
11:50.0,,,23-31,,Offensive rebound by Team
11:38.0,,,23-31,,B. Ingram misses 2-pt shot from 17 ft
11:33.0,,,23-31,,Offensive rebound by L. Deng
11:23.0,,,23-33,2,T. Black makes 2-pt shot from 8 ft
11:04.0,M. Morris makes 2-pt shot from 13 ft,2,25-33,,
10:46.0,,,25-35,2,T. Black makes 2-pt shot from 2 ft (assist by L. Williams)
10:46.0,,,25-35,,Shooting foul by R. Bullock (drawn by T. Black)
10:46.0,,,25-36,1,T. Black makes free throw 1 of 1
10:29.0,R. Bullock makes 2-pt shot from 1 ft (assist by M. Morris),2,27-36,,
10:17.0,,,27-38,2,L. Williams makes 2-pt shot from 10 ft (assist by B. Ingram)
10:01.0,A. Baynes makes 2-pt shot from 17 ft (assist by R. Bullock),2,29-38,,
9:38.0,,,29-38,,B. Ingram misses 2-pt shot from 4 ft
9:36.0,Defensive rebound by M. Morris,,29-38,,
9:24.0,A. Baynes makes 2-pt shot from 15 ft (assist by S. Johnson),2,31-38,,
9:10.0,Personal foul by A. Baynes,,31-38,,
9:10.0,A. Drummond enters the game for A. Baynes,,31-38,,
9:02.0,,,31-38,,L. Deng misses 3-pt shot from 24 ft
9:01.0,Defensive rebound by M. Morris,,31-38,,
8:38.0,I. Smith misses 2-pt shot from 1 ft (block by B. Ingram),,31-38,,
8:37.0,Offensive rebound by A. Drummond,,31-38,,
8:37.0,A. Drummond misses 2-pt shot from 1 ft,,31-38,,
8:36.0,,,31-38,,Defensive rebound by L. Williams
8:35.0,,,31-38,,L. Deng misses 2-pt shot from 2 ft
8:33.0,,,31-38,,Offensive rebound by B. Ingram
8:33.0,,,31-38,,B. Ingram misses 2-pt shot from 1 ft
8:32.0,Defensive rebound by R. Bullock,,31-38,,
8:27.0,Shooting foul by T. Black (drawn by A. Drummond),,31-38,,
8:27.0,Official timeout,,31-38,,
8:27.0,A. Drummond misses free throw 1 of 2,,31-38,,
8:27.0,Offensive rebound by Team,,31-38,,
8:27.0,A. Drummond makes free throw 2 of 2,1,32-38,,
8:27.0,R. Jackson enters the game for I. Smith,,31-38,,
8:11.0,,,32-38,,J. Clarkson misses 2-pt shot from 17 ft
8:07.0,Defensive rebound by A. Drummond,,32-38,,
7:54.0,M. Morris misses 2-pt shot from 16 ft,,32-38,,
7:52.0,,,32-38,,Defensive rebound by J. Clarkson
7:48.0,,,32-40,2,J. Clarkson makes 2-pt shot from 1 ft
7:28.0,A. Drummond misses 2-pt shot from 9 ft,,32-40,,
7:24.0,,,32-40,,Defensive rebound by J. Clarkson
7:20.0,,,32-40,,J. Clarkson misses 3-pt shot from 25 ft
7:19.0,Defensive rebound by S. Johnson,,32-40,,
7:08.0,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson),3,35-40,,
6:46.0,,,35-40,,Shooting foul by A. Drummond (drawn by T. Black)
6:46.0,,,35-40,,T. Black misses free throw 1 of 2
6:46.0,,,35-40,,Offensive rebound by Team
6:46.0,,,35-41,1,T. Black makes free throw 2 of 2
6:46.0,T. Harris enters the game for R. Bullock,,35-40,,
6:46.0,,,35-40,,N. Young enters the game for B. Ingram
6:34.0,R. Jackson misses 2-pt shot from 16 ft,,35-41,,
6:30.0,,,35-41,,Defensive rebound by T. Black
6:26.0,,,35-41,,T. Mozgov enters the game for T. Black
6:17.0,Personal foul by A. Drummond (drawn by T. Mozgov),,35-41,,
6:09.0,,,35-41,,Shooting foul by R. Jackson
6:09.0,,,35-42,1,L. Williams makes free throw 1 of 3
6:09.0,Technical foul by R. Jackson,,35-42,,
6:09.0,,,35-43,1,J. Clarkson makes technical free throw
6:09.0,,,35-44,1,L. Williams makes free throw 2 of 3
6:09.0,,,35-45,1,L. Williams makes free throw 3 of 3
6:09.0,I. Smith enters the game for R. Jackson,,35-44,,
5:57.0,M. Morris makes 3-pt shot from 27 ft (assist by A. Drummond),3,38-45,,
5:39.0,,,38-45,,Turnover by J. Clarkson (bad pass; steal by I. Smith)
5:35.0,,,38-45,,Personal foul by N. Young (drawn by I. Smith)
5:35.0,,,38-45,,LA Lakers full timeout
5:35.0,,,38-45,,D. Russell enters the game for L. Deng
5:35.0,,,38-45,,J. Randle enters the game for J. Clarkson
5:22.0,I. Smith misses 3-pt shot from 26 ft,,38-45,,
5:21.0,,,38-45,,Defensive rebound by N. Young
5:05.0,,,38-48,3,L. Williams makes 3-pt shot from 25 ft (assist by D. Russell)
5:05.0,,,38-48,,Shooting foul by I. Smith
5:05.0,,,38-49,1,L. Williams makes free throw 1 of 1
4:50.0,M. Morris misses 2-pt shot from 15 ft,,38-49,,
4:47.0,,,38-49,,Defensive rebound by J. Randle
4:36.0,,,38-49,,J. Randle misses 2-pt shot from 4 ft
4:35.0,Defensive rebound by T. Harris,,38-49,,
4:28.0,Offensive foul by S. Johnson,,38-49,,
4:28.0,Turnover by S. Johnson (offensive foul),,38-49,,
4:11.0,,,38-49,,N. Young misses 3-pt shot from 27 ft
4:09.0,Defensive rebound by A. Drummond,,38-49,,
4:02.0,S. Johnson makes 3-pt shot from 25 ft (assist by I. Smith),3,41-49,,
3:42.0,,,41-49,,T. Mozgov misses 2-pt shot from 12 ft
