time,Orlando,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. N. Vucevic (K. Faried gains possession),,,,Jump ball: N. Jokic vs. N. Vucevic (K. Faried gains possession)
11:47.0,,,0-0,,Shooting foul by N. Vucevic (drawn by N. Jokic)
11:47.0,,,0-1,1,N. Jokic makes free throw 1 of 2
11:47.0,,,0-2,1,N. Jokic makes free throw 2 of 2
11:29.0,Turnover by N. Vucevic (bad pass),,0-2,,
11:16.0,,,0-4,2,D. Gallinari makes 2-pt shot from 1 ft (assist by N. Jokic)
11:00.0,S. Ibaka makes 2-pt shot from 17 ft,2,2-4,,
10:48.0,,,2-6,2,E. Mudiay makes 2-pt shot from 2 ft
10:35.0,N. Vucevic misses 2-pt shot from 17 ft,,2-6,,
10:35.0,,,2-6,,Defensive rebound by E. Mudiay
10:29.0,,,2-6,,Turnover by N. Jokic (bad pass)
10:16.0,J. Meeks makes 3-pt shot from 22 ft (assist by E. Payton),3,5-6,,
9:58.0,,,5-8,2,N. Jokic makes 2-pt shot from 3 ft (assist by E. Mudiay)
9:41.0,S. Ibaka makes 3-pt shot from 25 ft (assist by J. Meeks),3,8-8,,
9:28.0,,,8-8,,G. Harris misses 2-pt shot from 4 ft (block by N. Vucevic)
9:26.0,Defensive rebound by J. Meeks,,8-8,,
9:25.0,Shooting foul by E. Mudiay (drawn by J. Meeks),,8-8,,
9:25.0,J. Meeks makes free throw 1 of 2,1,9-8,,
9:25.0,J. Meeks makes free throw 2 of 2,1,10-8,,
9:10.0,,,10-10,2,N. Jokic makes 2-pt shot at rim (assist by E. Mudiay)
9:06.0,,,10-10,,Personal take foul by K. Faried
9:06.0,,,10-10,,J. Nelson enters the game for G. Harris
8:50.0,E. Payton makes 2-pt shot from 4 ft (assist by J. Meeks),2,12-10,,
8:38.0,,,12-12,2,K. Faried makes 2-pt shot at rim (assist by E. Mudiay)
8:19.0,J. Meeks misses 3-pt shot from 24 ft,,12-12,,
8:18.0,,,12-12,,Defensive rebound by E. Mudiay
8:12.0,,,12-12,,Turnover by N. Jokic (bad pass)
7:57.0,N. Vucevic makes 2-pt shot from 6 ft (assist by E. Payton),2,14-12,,
7:37.0,,,14-14,2,N. Jokic makes 2-pt shot from 13 ft (assist by D. Gallinari)
7:18.0,A. Gordon misses 3-pt shot from 26 ft,,14-14,,
7:17.0,,,14-14,,Defensive rebound by Team
7:03.0,Shooting block foul by N. Vucevic (drawn by D. Gallinari),,14-14,,
7:03.0,,,14-15,1,D. Gallinari makes free throw 1 of 2
7:03.0,B. Biyombo enters the game for N. Vucevic,,14-15,,
7:03.0,,,14-16,1,D. Gallinari makes free throw 2 of 2
6:54.0,E. Payton makes 2-pt shot from 2 ft (assist by A. Gordon),2,16-16,,
6:51.0,,,16-16,,Denver full timeout
6:32.0,,,16-18,2,D. Gallinari makes 2-pt shot from 7 ft
6:15.0,B. Biyombo misses 2-pt shot from 16 ft,,16-18,,
6:14.0,,,16-18,,Defensive rebound by N. Jokic
6:00.0,,,16-18,,E. Mudiay misses 2-pt shot from 7 ft
5:58.0,Defensive rebound by B. Biyombo,,16-18,,
5:45.0,S. Ibaka misses 3-pt shot from 24 ft,,16-18,,
5:43.0,,,16-18,,Defensive rebound by N. Jokic
5:34.0,,,16-20,2,N. Jokic makes 2-pt shot from 2 ft (assist by K. Faried)
5:34.0,,,16-20,,Shooting foul by B. Biyombo (drawn by N. Jokic)
5:34.0,,,16-21,1,N. Jokic makes free throw 1 of 1
5:25.0,A. Gordon misses 3-pt shot from 26 ft,,16-21,,
5:24.0,,,16-21,,Defensive rebound by N. Jokic
5:16.0,,,16-21,,Shooting foul by E. Payton (drawn by E. Mudiay)
5:16.0,,,16-22,1,E. Mudiay makes free throw 1 of 2
5:16.0,,,16-23,1,E. Mudiay makes free throw 2 of 2
5:05.0,B. Biyombo makes 2-pt shot from 6 ft (assist by E. Payton),2,18-23,,
4:52.0,,,18-23,,K. Faried misses 2-pt shot from 2 ft
4:50.0,,,18-23,,Offensive rebound by N. Jokic
4:49.0,,,18-25,2,N. Jokic makes 2-pt shot from 3 ft
4:26.0,A. Gordon makes 2-pt shot from 12 ft,2,20-25,,
4:12.0,,,20-28,3,E. Mudiay makes 3-pt shot from 25 ft (assist by J. Nelson)
3:56.0,E. Payton misses 2-pt shot from 16 ft,,20-28,,
3:53.0,,,20-28,,Defensive rebound by J. Nelson
3:47.0,,,20-31,3,N. Jokic makes 3-pt shot from 24 ft (assist by J. Nelson)
3:46.0,Orlando full timeout,,20-31,,
3:46.0,J. Green enters the game for A. Gordon,,20-31,,
3:46.0,D. Augustin enters the game for S. Ibaka,,20-31,,
3:46.0,C. Watson enters the game for J. Meeks,,20-31,,
3:46.0,M. Hezonja enters the game for E. Payton,,20-31,,
3:46.0,,,20-31,,W. Chandler enters the game for K. Faried
3:46.0,,,20-31,,W. Barton enters the game for E. Mudiay
3:28.0,M. Hezonja makes 3-pt shot from 25 ft (assist by D. Augustin),3,23-31,,
3:16.0,,,23-31,,Turnover by D. Gallinari (traveling)
3:02.0,D. Augustin misses 3-pt shot from 26 ft,,23-31,,
3:01.0,Offensive rebound by B. Biyombo,,23-31,,
2:57.0,B. Biyombo makes 2-pt shot from 3 ft,2,25-31,,
2:43.0,,,25-33,2,D. Gallinari makes 2-pt shot from 2 ft (assist by W. Chandler)
2:32.0,J. Green misses 2-pt shot from 1 ft,,25-33,,
2:31.0,Offensive rebound by B. Biyombo,,25-33,,
2:20.0,D. Augustin makes 2-pt shot from 18 ft (assist by C. Watson),2,27-33,,
2:01.0,,,27-33,,N. Jokic misses 2-pt shot from 1 ft
1:59.0,,,27-33,,Offensive rebound by N. Jokic
1:59.0,,,27-33,,N. Jokic misses 2-pt shot from 2 ft
1:57.0,Defensive rebound by J. Green,,27-33,,
1:51.0,B. Biyombo makes 2-pt shot at rim (assist by J. Green),2,29-33,,
1:51.0,,,29-33,,Denver full timeout
1:51.0,,,29-33,,J. Nurkic enters the game for N. Jokic
1:36.0,,,29-35,2,W. Barton makes 2-pt shot from 23 ft
1:14.0,Turnover by M. Hezonja (lost ball; steal by D. Gallinari),,29-35,,
0:59.0,,,29-37,2,J. Nurkic makes 2-pt shot from 13 ft
0:49.0,Shooting foul by W. Barton (drawn by J. Green),,29-37,,
0:49.0,J. Green makes free throw 1 of 2,1,30-37,,
0:49.0,J. Green makes free throw 2 of 2,1,31-37,,
0:35.0,,,31-37,,W. Chandler misses 3-pt shot from 27 ft
0:33.0,Defensive rebound by C. Watson,,31-37,,
0:28.0,D. Augustin makes 3-pt shot from 24 ft (assist by C. Watson),3,34-37,,
0:09.0,,,34-39,2,J. Nelson makes 2-pt shot from 18 ft
0:05.0,Shooting foul by W. Chandler (drawn by J. Green),,34-39,,
0:05.0,J. Green makes free throw 1 of 2,1,35-39,,
0:05.0,J. Green makes free throw 2 of 2,1,36-39,,
0:00.0,,,36-39,,W. Chandler misses 3-pt shot from 26 ft
0:00.0,,,36-39,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Shooting foul by J. Nelson (drawn by D. Augustin),,36-39,,
11:47.0,D. Augustin makes free throw 1 of 2,1,37-39,,
11:47.0,D. Augustin makes free throw 2 of 2,1,38-39,,
11:22.0,,,38-39,,J. Nurkic misses 2-pt shot from 5 ft
11:21.0,Defensive rebound by M. Hezonja,,38-39,,
11:13.0,M. Hezonja misses 3-pt shot from 24 ft,,38-39,,
11:12.0,,,38-39,,Defensive rebound by W. Chandler
10:55.0,,,38-39,,J. Nelson misses 3-pt shot from 26 ft
10:54.0,,,38-39,,Offensive rebound by W. Chandler
10:50.0,,,38-39,,W. Chandler misses 2-pt shot from 5 ft
10:49.0,,,38-39,,Offensive rebound by W. Chandler
10:47.0,,,38-39,,Turnover by W. Chandler (lost ball; steal by C. Watson)
10:43.0,Shooting foul by W. Barton (drawn by B. Biyombo),,38-39,,
10:43.0,B. Biyombo misses free throw 1 of 2,,38-39,,
10:43.0,Offensive rebound by Team,,38-39,,
10:43.0,B. Biyombo makes free throw 2 of 2,1,39-39,,
10:26.0,,,39-39,,W. Barton misses 2-pt shot from 10 ft
10:25.0,,,39-39,,Offensive rebound by J. Nurkic
10:20.0,,,39-42,3,W. Chandler makes 3-pt shot from 23 ft (assist by J. Nurkic)
10:07.0,J. Green misses 2-pt shot from 17 ft,,39-42,,
10:06.0,,,39-42,,Defensive rebound by J. Nelson
9:57.0,,,39-42,,Turnover by J. Nurkic (offensive foul)
9:57.0,,,39-42,,Offensive foul by J. Nurkic
9:43.0,B. Biyombo makes 2-pt shot from 3 ft,2,41-42,,
9:19.0,,,41-44,2,W. Barton makes 2-pt shot from 20 ft (assist by W. Chandler)
8:57.0,M. Hezonja misses 2-pt shot from 15 ft,,41-44,,
8:56.0,,,41-44,,Defensive rebound by W. Chandler
8:47.0,,,41-44,,W. Chandler misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by B. Biyombo,,41-44,,
8:31.0,J. Green makes 3-pt shot from 25 ft (assist by M. Hezonja),3,44-44,,
8:18.0,,,44-46,2,J. Nelson makes 2-pt shot from 4 ft
8:02.0,D. Augustin makes 2-pt shot from 16 ft,2,46-46,,
7:43.0,,,46-46,,J. Nelson misses 3-pt shot from 26 ft
7:42.0,,,46-46,,Offensive rebound by W. Chandler
7:39.0,,,46-48,2,W. Chandler makes 2-pt shot from 2 ft
7:25.0,D. Augustin makes 2-pt shot from 17 ft,2,48-48,,
7:25.0,,,48-48,,Denver full timeout
7:25.0,,,48-48,,E. Mudiay enters the game for J. Nelson
7:25.0,,,48-48,,D. Gallinari enters the game for J. Nurkic
7:25.0,,,48-48,,N. Jokic enters the game for J. Murray
7:08.0,,,48-50,2,N. Jokic makes 2-pt shot from 2 ft (assist by E. Mudiay)
6:53.0,Turnover by B. Biyombo (lost ball; steal by W. Chandler),,48-50,,
6:47.0,,,48-52,2,E. Mudiay makes 2-pt shot at rim (assist by W. Chandler)
6:37.0,C. Watson misses 2-pt shot from 20 ft,,48-52,,
6:36.0,,,48-52,,Defensive rebound by W. Chandler
6:30.0,,,48-54,2,W. Chandler makes 2-pt shot from 18 ft
6:30.0,Orlando full timeout,,48-54,,
6:30.0,E. Payton enters the game for B. Biyombo,,48-54,,
6:30.0,N. Vucevic enters the game for D. Augustin,,48-54,,
6:30.0,J. Meeks enters the game for C. Watson,,48-54,,
6:14.0,J. Green misses 3-pt shot from 25 ft,,48-54,,
6:13.0,Offensive rebound by J. Meeks,,48-54,,
5:59.0,J. Green makes 2-pt shot from 8 ft,2,50-54,,
5:46.0,Personal foul by M. Hezonja,,50-54,,
5:46.0,A. Gordon enters the game for J. Green,,50-54,,
5:46.0,S. Ibaka enters the game for M. Hezonja,,50-54,,
5:46.0,,,50-54,,K. Faried enters the game for W. Chandler
5:37.0,,,50-54,,E. Mudiay misses 3-pt shot from 26 ft
5:36.0,Defensive rebound by A. Gordon,,50-54,,
5:27.0,N. Vucevic makes 2-pt shot from 21 ft (assist by E. Payton),2,52-54,,
5:12.0,,,52-54,,Turnover by W. Barton (lost ball; steal by N. Vucevic)
5:06.0,S. Ibaka misses 3-pt shot from 25 ft,,52-54,,
5:04.0,,,52-54,,Defensive rebound by Team
4:50.0,,,52-54,,W. Barton misses 2-pt shot from 20 ft
4:50.0,Defensive rebound by A. Gordon,,52-54,,
4:40.0,A. Gordon misses 3-pt shot from 25 ft,,52-54,,
4:39.0,,,52-54,,Defensive rebound by K. Faried
4:30.0,,,52-54,,D. Gallinari misses 2-pt shot from 22 ft
4:30.0,Defensive rebound by N. Vucevic,,52-54,,
4:26.0,,,52-54,,Personal foul by K. Faried
4:16.0,E. Payton misses 2-pt shot from 12 ft,,52-54,,
4:15.0,,,52-54,,Defensive rebound by K. Faried
4:10.0,,,52-56,2,K. Faried makes 2-pt shot from 2 ft
3:56.0,Turnover by J. Meeks (step out of bounds),,52-56,,
3:33.0,,,52-56,,N. Jokic misses 2-pt shot from 4 ft
3:32.0,Defensive rebound by S. Ibaka,,52-56,,
3:23.0,S. Ibaka makes 3-pt shot from 26 ft (assist by E. Payton),3,55-56,,
3:07.0,,,55-58,2,K. Faried makes 2-pt shot at rim (assist by N. Jokic)
2:55.0,N. Vucevic misses 2-pt shot from 20 ft,,55-58,,
2:54.0,,,55-58,,Defensive rebound by D. Gallinari
2:47.0,,,55-58,,Turnover by D. Gallinari (lost ball; steal by A. Gordon)
2:41.0,S. Ibaka makes 2-pt shot at rim (assist by J. Meeks),2,57-58,,
2:23.0,,,57-60,2,W. Barton makes 2-pt shot from 12 ft
2:02.0,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton),2,59-60,,
1:53.0,Personal foul by A. Gordon,,59-60,,
1:53.0,Official timeout,,59-60,,
1:53.0,,,59-60,,J. Nelson enters the game for W. Barton
1:44.0,,,59-60,,N. Jokic misses 2-pt shot from 17 ft
1:43.0,Defensive rebound by A. Gordon,,59-60,,
1:32.0,Turnover by E. Payton (lost ball; steal by N. Jokic),,59-60,,
1:27.0,,,59-60,,E. Mudiay misses 2-pt shot from 2 ft
1:26.0,Defensive rebound by J. Meeks,,59-60,,
1:21.0,Turnover by J. Meeks (lost ball; steal by E. Mudiay),,59-60,,
1:16.0,,,59-62,2,K. Faried makes 2-pt shot at rim (assist by E. Mudiay)
0:59.0,J. Meeks misses 2-pt shot from 16 ft,,59-62,,
0:57.0,,,59-62,,Defensive rebound by N. Jokic
0:50.0,,,59-64,2,N. Jokic makes 2-pt shot from 1 ft (assist by E. Mudiay)
0:44.0,E. Payton makes 2-pt shot from 1 ft,2,61-64,,
0:35.0,,,61-67,3,E. Mudiay makes 3-pt shot from 25 ft
0:23.0,N. Vucevic misses 2-pt shot from 20 ft,,61-67,,
0:23.0,,,61-67,,Defensive rebound by D. Gallinari
0:01.0,,,61-69,2,N. Jokic makes 2-pt shot from 9 ft (assist by E. Mudiay)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,N. Vucevic makes 2-pt shot from 5 ft (assist by E. Payton),2,63-69,,
11:22.0,,,63-71,2,J. Nelson makes 2-pt shot from 3 ft (assist by E. Mudiay)
10:58.0,E. Payton misses 2-pt shot from 17 ft,,63-71,,
10:57.0,,,63-71,,Defensive rebound by N. Jokic
10:44.0,,,63-73,2,N. Jokic makes 2-pt shot from 13 ft (assist by J. Nelson)
10:21.0,J. Meeks misses 2-pt shot from 19 ft,,63-73,,
10:20.0,,,63-73,,Defensive rebound by D. Gallinari
10:05.0,,,63-76,3,D. Gallinari makes 3-pt shot from 25 ft (assist by E. Mudiay)
9:49.0,Turnover by S. Ibaka (lost ball; steal by K. Faried),,63-76,,
9:44.0,,,63-78,2,K. Faried makes 2-pt shot from 1 ft
9:44.0,Orlando full timeout,,63-78,,
9:31.0,E. Payton misses 2-pt shot from 2 ft (block by E. Mudiay),,63-78,,
9:27.0,Offensive rebound by E. Payton,,63-78,,
9:27.0,E. Payton misses 2-pt shot from 2 ft,,63-78,,
9:26.0,,,63-78,,Defensive rebound by N. Jokic
9:22.0,,,63-80,2,E. Mudiay makes 2-pt shot from 2 ft (assist by N. Jokic)
9:11.0,S. Ibaka misses 3-pt shot from 25 ft,,63-80,,
9:10.0,Offensive rebound by Team,,63-80,,
9:07.0,J. Meeks makes 2-pt shot from 2 ft (assist by A. Gordon),2,65-80,,
8:50.0,,,65-80,,Turnover by D. Gallinari (bad pass; steal by A. Gordon)
8:45.0,Turnover by A. Gordon (bad pass; steal by E. Mudiay),,65-80,,
8:38.0,,,65-80,,E. Mudiay misses 3-pt shot from 24 ft
8:35.0,,,65-80,,Offensive rebound by K. Faried
8:32.0,,,65-82,2,K. Faried makes 2-pt shot from 1 ft
8:18.0,A. Gordon misses 3-pt shot from 26 ft,,65-82,,
8:17.0,,,65-82,,Defensive rebound by K. Faried
8:12.0,,,65-82,,Shooting foul by A. Gordon (drawn by D. Gallinari)
8:12.0,,,65-83,1,D. Gallinari makes free throw 1 of 2
8:12.0,M. Hezonja enters the game for A. Gordon,,65-83,,
8:12.0,,,65-83,,D. Gallinari misses free throw 2 of 2
8:11.0,Defensive rebound by N. Vucevic,,65-83,,
8:01.0,Turnover by E. Payton (bad pass; steal by N. Jokic),,65-83,,
7:56.0,,,65-83,,Offensive foul by E. Mudiay
7:56.0,,,65-83,,Turnover by E. Mudiay (offensive foul)
7:56.0,D. Augustin enters the game for E. Payton,,65-83,,
7:41.0,N. Vucevic misses 2-pt shot from 15 ft,,65-83,,
7:40.0,,,65-83,,Defensive rebound by Team
7:23.0,,,65-85,2,K. Faried makes 2-pt shot at rim (assist by N. Jokic)
7:10.0,J. Meeks makes 2-pt shot from 19 ft,2,67-85,,
6:48.0,,,67-85,,D. Gallinari misses 3-pt shot from 26 ft
6:47.0,Defensive rebound by Team,,67-85,,
6:33.0,J. Meeks makes 2-pt shot from 2 ft (assist by N. Vucevic),2,69-85,,
6:12.0,,,69-85,,Turnover by E. Mudiay (bad pass; steal by S. Ibaka)
6:05.0,M. Hezonja misses 2-pt shot from 12 ft,,69-85,,
6:04.0,,,69-85,,Defensive rebound by N. Jokic
5:58.0,,,69-88,3,J. Nelson makes 3-pt shot from 25 ft (assist by N. Jokic)
5:37.0,N. Vucevic makes 2-pt shot from 2 ft,2,71-88,,
5:21.0,,,71-90,2,K. Faried makes 2-pt shot at rim (assist by D. Gallinari)
5:20.0,Orlando full timeout,,71-90,,
5:20.0,,,71-90,,W. Barton enters the game for E. Mudiay
5:10.0,Turnover by J. Meeks (bad pass; steal by N. Jokic),,71-90,,
5:01.0,,,71-90,,W. Barton misses 3-pt shot from 25 ft
5:00.0,Defensive rebound by S. Ibaka,,71-90,,
4:49.0,D. Augustin misses 3-pt shot from 25 ft,,71-90,,
4:48.0,,,71-90,,Defensive rebound by Team
4:48.0,,,71-90,,W. Chandler enters the game for K. Faried
4:25.0,,,71-90,,J. Nelson misses 3-pt shot from 29 ft
4:24.0,Defensive rebound by D. Augustin,,71-90,,
4:15.0,S. Ibaka makes 3-pt shot from 26 ft (assist by D. Augustin),3,74-90,,
3:54.0,,,74-93,3,J. Nelson makes 3-pt shot from 26 ft (assist by W. Barton)
3:42.0,S. Ibaka makes 2-pt shot from 5 ft (assist by N. Vucevic),2,76-93,,
3:25.0,,,76-93,,W. Chandler misses 3-pt shot from 25 ft
3:25.0,Defensive rebound by M. Hezonja,,76-93,,
3:15.0,M. Hezonja misses 2-pt shot from 4 ft,,76-93,,
3:13.0,Offensive rebound by S. Ibaka,,76-93,,
3:12.0,S. Ibaka misses 2-pt shot from 4 ft,,76-93,,
3:12.0,Offensive rebound by Team,,76-93,,
2:55.0,Turnover by S. Ibaka (bad pass; steal by W. Barton),,76-93,,
2:50.0,,,76-95,2,W. Barton makes 2-pt shot from 2 ft
2:38.0,,,76-95,,Personal foul by W. Chandler
2:38.0,,,76-95,,Denver full timeout
2:38.0,B. Biyombo enters the game for S. Ibaka,,76-95,,
2:38.0,J. Green enters the game for N. Vucevic,,76-95,,
2:38.0,,,76-95,,E. Mudiay enters the game for N. Jokic
2:38.0,,,76-95,,K. Faried enters the game for J. Nelson
2:24.0,J. Meeks misses 3-pt shot from 25 ft,,76-95,,
2:23.0,,,76-95,,Defensive rebound by D. Gallinari
2:07.0,,,76-95,,Turnover by E. Mudiay (bad pass; steal by J. Green)
1:51.0,B. Biyombo makes 2-pt shot from 5 ft (assist by M. Hezonja),2,78-95,,
1:30.0,,,78-98,3,D. Gallinari makes 3-pt shot from 26 ft (assist by W. Barton)
1:13.0,D. Augustin makes 3-pt shot from 25 ft (assist by J. Meeks),3,81-98,,
0:45.0,,,81-98,,E. Mudiay misses 2-pt shot from 21 ft
