time,Golden State,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Harrell vs. Z. Pachulia (R. Anderson gains possession),,,,Jump ball: M. Harrell vs. Z. Pachulia (R. Anderson gains possession)
11:44.0,,,0-2,2,M. Harrell makes 2-pt shot from 1 ft (assist by J. Harden)
11:25.0,S. Curry misses 3-pt shot from 26 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by Team
11:16.0,,,0-2,,T. Ariza misses 3-pt shot from 25 ft
11:15.0,,,0-2,,Offensive rebound by P. Beverley
11:10.0,,,0-2,,M. Harrell misses 2-pt shot from 9 ft
11:09.0,Defensive rebound by Z. Pachulia,,0-2,,
11:01.0,K. Durant makes 2-pt shot from 20 ft (assist by D. Green),2,2-2,,
10:51.0,,,2-4,2,P. Beverley makes 2-pt shot from 3 ft (assist by J. Harden)
10:37.0,S. Curry makes 2-pt shot from 2 ft,2,4-4,,
10:25.0,,,4-7,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
10:13.0,K. Thompson makes 2-pt shot from 20 ft (assist by Z. Pachulia),2,6-7,,
9:52.0,,,6-7,,Offensive charge foul by J. Harden
9:52.0,,,6-7,,Turnover by J. Harden (offensive foul)
9:41.0,K. Thompson misses 3-pt shot from 25 ft,,6-7,,
9:39.0,,,6-7,,Defensive rebound by P. Beverley
9:31.0,,,6-10,3,P. Beverley makes 3-pt shot from 25 ft (assist by J. Harden)
9:16.0,K. Thompson misses 2-pt shot from 4 ft,,6-10,,
9:16.0,,,6-10,,Defensive rebound by Team
9:16.0,Loose ball foul by Z. Pachulia (drawn by R. Anderson),,6-10,,
8:56.0,,,6-10,,R. Anderson misses 3-pt shot from 23 ft
8:55.0,Defensive rebound by Z. Pachulia,,6-10,,
8:44.0,D. Green makes 3-pt shot from 25 ft (assist by K. Thompson),3,9-10,,
8:21.0,,,9-10,,T. Ariza misses 3-pt shot from 24 ft
8:20.0,Defensive rebound by Z. Pachulia,,9-10,,
8:10.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry),2,11-10,,
8:02.0,,,11-10,,Turnover by J. Harden (lost ball; steal by Z. Pachulia)
7:58.0,Shooting foul by M. Harrell (drawn by S. Curry),,11-10,,
7:58.0,S. Curry misses free throw 1 of 2,,11-10,,
7:58.0,Offensive rebound by Team,,11-10,,
7:58.0,S. Curry makes free throw 2 of 2,1,12-10,,
7:44.0,,,12-10,,Turnover by T. Ariza (bad pass)
7:30.0,Shooting foul by P. Beverley (drawn by Z. Pachulia),,12-10,,
7:30.0,Z. Pachulia misses free throw 1 of 2,,12-10,,
7:30.0,Offensive rebound by Team,,12-10,,
7:30.0,Z. Pachulia misses free throw 2 of 2,,12-10,,
7:29.0,Offensive rebound by Z. Pachulia,,12-10,,
7:26.0,Z. Pachulia misses 2-pt shot from 8 ft,,12-10,,
7:26.0,,,12-10,,Defensive rebound by J. Harden
7:16.0,,,12-13,3,T. Ariza makes 3-pt shot from 25 ft (assist by P. Beverley)
7:00.0,K. Thompson misses 2-pt shot from 4 ft (block by M. Harrell),,12-13,,
6:57.0,,,12-13,,Defensive rebound by J. Harden
6:53.0,Violation by Z. Pachulia (kicked ball),,12-13,,
6:49.0,,,12-13,,P. Beverley misses 2-pt shot from 2 ft (block by K. Durant)
6:49.0,,,12-13,,Offensive rebound by Team
6:33.0,,,12-15,2,J. Harden makes 2-pt shot from 21 ft
6:18.0,K. Durant makes 2-pt shot from 11 ft (assist by D. Green),2,14-15,,
6:09.0,,,14-15,,T. Ariza misses 2-pt shot from 4 ft
6:07.0,Defensive rebound by Z. Pachulia,,14-15,,
6:04.0,S. Curry makes 2-pt shot from 2 ft,2,16-15,,
5:54.0,,,16-15,,T. Ariza misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by S. Curry,,16-15,,
5:43.0,K. Thompson makes 2-pt shot from 3 ft (assist by D. Green),2,18-15,,
5:43.0,,,18-15,,Houston full timeout
5:43.0,,,18-15,,S. Dekker enters the game for R. Anderson
5:43.0,,,18-15,,E. Gordon enters the game for P. Beverley
5:21.0,,,18-15,,S. Dekker misses 3-pt shot from 24 ft
5:20.0,Defensive rebound by K. Durant,,18-15,,
5:13.0,K. Durant misses 3-pt shot from 25 ft,,18-15,,
5:11.0,,,18-15,,Defensive rebound by T. Ariza
5:08.0,Personal foul by S. Curry (drawn by J. Harden),,18-15,,
4:48.0,,,18-15,,S. Dekker misses 3-pt shot from 26 ft
4:47.0,Defensive rebound by Z. Pachulia,,18-15,,
4:45.0,A. Iguodala enters the game for D. Green,,18-15,,
4:31.0,K. Thompson makes 2-pt shot from 3 ft,2,20-15,,
4:16.0,,,20-15,,Turnover by J. Harden (bad pass; steal by A. Iguodala)
4:01.0,K. Durant makes 2-pt shot from 7 ft,2,22-15,,
3:55.0,,,22-17,2,J. Harden makes 2-pt shot from 2 ft
3:55.0,,,22-17,,Shooting foul by Z. Pachulia (drawn by J. Harden)
3:55.0,,,22-18,1,J. Harden makes free throw 1 of 1
3:55.0,,,22-17,,C. Capela enters the game for M. Harrell
3:55.0,J. McAdoo enters the game for Z. Pachulia,,22-17,,
3:36.0,Turnover by J. McAdoo (bad pass; steal by E. Gordon),,22-18,,
3:31.0,,,22-18,,E. Gordon misses 2-pt shot from 3 ft
3:30.0,,,22-18,,Offensive rebound by C. Capela
3:30.0,,,22-20,2,C. Capela makes 2-pt shot from 2 ft
3:21.0,Golden State full timeout,,22-20,,
3:21.0,I. Clark enters the game for K. Thompson,,22-20,,
3:14.0,J. McAdoo makes 2-pt shot at rim (assist by S. Curry),2,24-20,,
2:47.0,,,24-22,2,T. Ariza makes 2-pt shot from 16 ft
2:35.0,K. Durant makes 3-pt shot from 26 ft (assist by J. McAdoo),3,27-22,,
2:29.0,,,27-22,,Turnover by J. Harden (bad pass; steal by S. Curry)
2:20.0,S. Curry makes 3-pt shot from 25 ft,3,30-22,,
2:11.0,,,30-22,,Shooting foul by K. Durant (drawn by J. Harden)
2:11.0,,,30-23,1,J. Harden makes free throw 1 of 2
2:11.0,,,30-24,1,J. Harden makes free throw 2 of 2
2:11.0,D. Green enters the game for K. Durant,,30-23,,
1:58.0,S. Curry misses 3-pt shot from 26 ft,,30-24,,
1:57.0,,,30-24,,Defensive rebound by J. Harden
1:49.0,,,30-24,,E. Gordon misses 3-pt shot from 26 ft
1:47.0,Defensive rebound by J. McAdoo,,30-24,,
1:40.0,Turnover by D. Green (bad pass; steal by C. Capela),,30-24,,
1:32.0,,,30-24,,T. Ariza misses 3-pt shot from 23 ft
1:29.0,Defensive rebound by J. McAdoo,,30-24,,
1:22.0,I. Clark misses 3-pt shot from 24 ft,,30-24,,
1:21.0,,,30-24,,Defensive rebound by C. Capela
1:11.0,,,30-26,2,S. Dekker makes 2-pt shot from 2 ft (assist by E. Gordon)
1:11.0,,,30-26,,Shooting foul by I. Clark (drawn by S. Dekker)
1:11.0,,,30-27,1,S. Dekker makes free throw 1 of 1
1:11.0,,,30-26,,C. Brewer enters the game for T. Ariza
0:57.0,S. Curry makes 2-pt shot from 20 ft (assist by A. Iguodala),2,32-27,,
