time,Utah,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. N. Jokic (G. Hill gains possession),,,,Jump ball: R. Gobert vs. N. Jokic (G. Hill gains possession)
11:35.0,J. Ingles misses 3-pt shot from 24 ft,,0-0,,
11:35.0,Offensive rebound by G. Hayward,,0-0,,
11:29.0,R. Gobert misses 2-pt shot from 2 ft,,0-0,,
11:28.0,,,0-0,,Defensive rebound by N. Jokic
11:19.0,,,0-0,,K. Faried misses 2-pt shot from 2 ft
11:18.0,,,0-0,,Offensive rebound by K. Faried
11:17.0,,,0-0,,Shooting foul by R. Gobert (drawn by K. Faried)
11:17.0,,,0-0,,K. Faried misses free throw 1 of 2
11:17.0,,,0-0,,Offensive rebound by Team
11:17.0,,,0-1,1,K. Faried makes free throw 2 of 2
10:59.0,G. Hayward makes 3-pt shot from 25 ft,3,3-1,,
10:41.0,,,3-1,,D. Gallinari misses 2-pt shot from 15 ft
10:40.0,,,3-1,,Offensive rebound by K. Faried
10:33.0,,,3-4,3,J. Nelson makes 3-pt shot from 25 ft (assist by K. Faried)
10:14.0,G. Hayward misses 2-pt shot from 10 ft,,3-4,,
10:13.0,,,3-4,,Defensive rebound by N. Jokic
10:10.0,,,3-4,,Turnover by N. Jokic (bad pass; steal by J. Ingles)
9:56.0,Turnover by R. Gobert (lost ball; steal by N. Jokic),,3-4,,
9:45.0,,,3-4,,Turnover by D. Gallinari (bad pass; steal by D. Favors)
9:30.0,D. Favors misses 2-pt shot from 19 ft,,3-4,,
9:29.0,,,3-4,,Defensive rebound by K. Faried
9:22.0,,,3-4,,D. Gallinari misses 2-pt shot from 11 ft
9:21.0,Defensive rebound by G. Hill,,3-4,,
9:15.0,G. Hayward misses 2-pt shot from 3 ft,,3-4,,
9:14.0,,,3-4,,Defensive rebound by K. Faried
9:04.0,,,3-4,,D. Gallinari misses 2-pt shot from 20 ft
9:03.0,Defensive rebound by G. Hill,,3-4,,
8:51.0,Turnover by R. Gobert (3 sec),,3-4,,
8:40.0,,,3-4,,Turnover by D. Gallinari (traveling)
8:26.0,J. Ingles misses 3-pt shot from 23 ft,,3-4,,
8:25.0,,,3-4,,Defensive rebound by N. Jokic
8:20.0,,,3-4,,G. Harris misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by Team,,3-4,,
8:07.0,Turnover by R. Gobert (bad pass; steal by N. Jokic),,3-4,,
8:04.0,,,3-4,,Turnover by N. Jokic (bad pass; steal by G. Hill)
7:48.0,J. Ingles makes 3-pt shot from 27 ft (assist by R. Gobert),3,6-4,,
7:33.0,,,6-6,2,N. Jokic makes 2-pt shot from 3 ft
7:10.0,G. Hayward misses 2-pt shot from 17 ft,,6-6,,
7:09.0,,,6-6,,Defensive rebound by Team
7:09.0,T. Lyles enters the game for D. Favors,,6-6,,
