time,Atlanta,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. R. Lopez (D. Wade gains possession),,,,Jump ball: D. Howard vs. R. Lopez (D. Wade gains possession)
11:39.0,,,0-0,,T. Gibson misses 2-pt shot from 2 ft
11:37.0,,,0-0,,Offensive rebound by T. Gibson
11:36.0,Jump ball: T. Gibson vs. T. Sefolosha (J. Butler gains possession),,,,Jump ball: T. Gibson vs. T. Sefolosha (J. Butler gains possession)
11:24.0,,,0-3,3,J. Butler makes 3-pt shot from 24 ft (assist by R. Lopez)
11:10.0,Turnover by P. Millsap (bad pass; steal by D. Wade),,0-3,,
10:57.0,,,0-3,,T. Gibson misses 2-pt shot from 20 ft
10:55.0,Defensive rebound by D. Howard,,0-3,,
10:36.0,P. Millsap misses 2-pt shot from 17 ft,,0-3,,
10:35.0,,,0-3,,Defensive rebound by D. Wade
10:21.0,,,0-5,2,T. Gibson makes 2-pt shot from 4 ft
10:07.0,D. Schroder misses 3-pt shot from 26 ft,,0-5,,
10:06.0,,,0-5,,Defensive rebound by T. Gibson
9:50.0,,,0-5,,Turnover by D. Wade (bad pass; steal by D. Schroder)
9:48.0,Turnover by P. Millsap (bad pass),,0-5,,
9:27.0,,,0-7,2,D. Wade makes 2-pt shot from 19 ft (assist by J. Butler)
9:10.0,T. Sefolosha makes 3-pt shot from 26 ft (assist by D. Howard),3,3-7,,
8:55.0,,,3-7,,D. Wade misses 2-pt shot from 4 ft (block by K. Bazemore)
8:44.0,,,3-7,,Offensive rebound by D. Wade
8:44.0,,,3-9,2,D. Wade makes 2-pt shot from 19 ft (assist by J. Butler)
8:32.0,D. Schroder misses 2-pt shot from 4 ft,,3-9,,
8:32.0,,,3-9,,Defensive rebound by Team
8:14.0,,,3-9,,R. Lopez misses 2-pt shot from 18 ft
8:13.0,Defensive rebound by K. Bazemore,,3-9,,
8:05.0,,,3-9,,Personal foul by J. Grant (drawn by P. Millsap)
7:58.0,K. Bazemore makes 2-pt shot from 18 ft (assist by D. Schroder),2,5-9,,
7:41.0,,,5-11,2,D. Wade makes 2-pt shot from 17 ft
7:41.0,,,5-11,,Shooting foul by K. Bazemore (drawn by D. Wade)
7:41.0,,,5-12,1,D. Wade makes free throw 1 of 1
7:41.0,T. Hardaway enters the game for K. Bazemore,,5-11,,
7:29.0,,,5-12,,Def 3 sec tech foul by T. Gibson
7:29.0,D. Schroder makes technical free throw,1,6-12,,
7:24.0,D. Schroder misses 2-pt shot from 20 ft,,6-12,,
7:23.0,,,6-12,,Defensive rebound by T. Gibson
7:11.0,,,6-12,,J. Butler misses 3-pt shot from 25 ft
7:10.0,Defensive rebound by D. Howard,,6-12,,
6:59.0,Turnover by T. Sefolosha (lost ball; steal by J. Butler),,6-12,,
6:56.0,,,6-14,2,J. Butler makes 2-pt shot from 2 ft
6:56.0,,,6-14,,Shooting foul by D. Schroder (drawn by J. Butler)
6:56.0,Atlanta full timeout,,6-14,,
6:56.0,,,6-15,1,J. Butler makes free throw 1 of 1
6:43.0,D. Schroder makes 2-pt shot from 2 ft,2,8-15,,
6:24.0,,,8-15,,D. Wade misses 2-pt shot from 19 ft
6:23.0,Defensive rebound by D. Howard,,8-15,,
6:16.0,Turnover by D. Howard (bad pass; steal by D. Wade),,8-15,,
6:11.0,,,8-17,2,D. Wade makes 2-pt shot at rim
5:50.0,T. Sefolosha makes 3-pt shot from 24 ft (assist by T. Hardaway),3,11-17,,
5:29.0,,,11-17,,J. Grant misses 2-pt shot from 17 ft
5:28.0,,,11-17,,Offensive rebound by T. Gibson
5:25.0,,,11-19,2,T. Gibson makes 2-pt shot from 1 ft
5:11.0,Turnover by D. Schroder (bad pass; steal by J. Butler),,11-19,,
4:59.0,,,11-21,2,J. Grant makes 2-pt shot from 1 ft (assist by J. Butler)
4:48.0,,,11-21,,P. Zipser enters the game for D. Wade
4:48.0,K. Humphries enters the game for D. Howard,,11-21,,
4:48.0,,,11-21,,C. Felicio enters the game for R. Lopez
4:45.0,D. Schroder misses 2-pt shot from 17 ft,,11-21,,
4:44.0,Offensive rebound by Team,,11-21,,
4:34.0,T. Sefolosha makes 2-pt shot from 16 ft,2,13-21,,
4:20.0,,,13-21,,J. Grant misses 3-pt shot from 26 ft
4:19.0,,,13-21,,Offensive rebound by T. Gibson
4:06.0,,,13-21,,J. Grant misses 3-pt shot from 26 ft
4:06.0,Defensive rebound by Team,,13-21,,
3:46.0,P. Millsap makes 2-pt shot from 10 ft,2,15-21,,
3:26.0,,,15-21,,T. Gibson misses 2-pt shot from 16 ft
3:25.0,Defensive rebound by K. Humphries,,15-21,,
3:07.0,T. Hardaway makes 3-pt shot from 23 ft (assist by P. Millsap),3,18-21,,
3:07.0,,,18-21,,Chicago full timeout
3:07.0,M. Delaney enters the game for D. Schroder,,18-21,,
3:07.0,,,18-21,,N. Mirotic enters the game for T. Gibson
2:54.0,,,18-21,,P. Zipser misses 3-pt shot from 27 ft
2:53.0,Defensive rebound by Team,,18-21,,
2:42.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by M. Delaney),2,20-21,,
2:25.0,,,20-23,2,J. Butler makes 2-pt shot from 2 ft (assist by N. Mirotic)
2:07.0,M. Delaney misses 3-pt shot from 25 ft,,20-23,,
2:05.0,,,20-23,,Defensive rebound by C. Felicio
1:51.0,,,20-23,,P. Zipser misses 3-pt shot from 27 ft
1:49.0,Defensive rebound by K. Humphries,,20-23,,
1:34.0,T. Hardaway makes 2-pt shot from 2 ft (assist by P. Millsap),2,22-23,,
1:23.0,,,22-23,,Turnover by N. Mirotic (lost ball; steal by T. Sefolosha)
1:23.0,,,22-23,,Loose ball foul by N. Mirotic (drawn by T. Sefolosha)
1:23.0,,,22-23,,D. McDermott enters the game for J. Grant
1:23.0,M. Dunleavy enters the game for T. Sefolosha,,22-23,,
1:05.0,P. Millsap misses 2-pt shot from 13 ft,,22-23,,
1:04.0,,,22-23,,Defensive rebound by C. Felicio
0:55.0,,,22-23,,D. McDermott misses 3-pt shot from 23 ft
0:53.0,Defensive rebound by K. Humphries,,22-23,,
0:45.0,T. Hardaway misses 3-pt shot from 26 ft,,22-23,,
0:42.0,,,22-23,,Defensive rebound by N. Mirotic
0:32.0,Personal foul by P. Millsap (drawn by J. Butler),,22-23,,
0:28.0,,,22-26,3,N. Mirotic makes 3-pt shot from 29 ft (assist by C. Felicio)
0:06.0,T. Hardaway misses 2-pt shot from 6 ft,,22-26,,
0:06.0,,,22-26,,Defensive rebound by P. Zipser
0:02.0,,,22-29,3,J. Butler makes 3-pt shot from 26 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,K. Bazemore makes 2-pt shot from 1 ft,2,24-29,,
11:26.0,,,24-29,,Shooting foul by M. Dunleavy (drawn by P. Zipser)
11:26.0,,,24-30,1,P. Zipser makes free throw 1 of 2
11:26.0,,,24-31,1,P. Zipser makes free throw 2 of 2
11:14.0,Turnover by K. Bazemore (bad pass; steal by C. Felicio),,24-31,,
11:08.0,,,24-31,,N. Mirotic misses 2-pt shot from 2 ft (block by K. Bazemore)
11:08.0,,,24-31,,Offensive rebound by Team
11:01.0,,,24-33,2,D. McDermott makes 2-pt shot from 15 ft
10:38.0,D. Howard makes 2-pt shot at rim (assist by K. Bazemore),2,26-33,,
10:24.0,,,26-33,,N. Mirotic misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by D. Howard,,26-33,,
10:13.0,M. Dunleavy misses 2-pt shot from 2 ft (block by P. Zipser),,26-33,,
10:10.0,Offensive rebound by Team,,26-33,,
10:02.0,M. Dunleavy makes 3-pt shot from 26 ft (assist by K. Bazemore),3,29-33,,
9:39.0,,,29-36,3,D. McDermott makes 3-pt shot from 23 ft (assist by R. Rondo)
9:20.0,Turnover by M. Dunleavy (lost ball),,29-36,,
9:06.0,,,29-36,,D. McDermott misses 2-pt shot from 5 ft (block by D. Howard)
9:05.0,,,29-36,,Offensive rebound by Team
9:03.0,,,29-36,,N. Mirotic misses 2-pt shot from 3 ft
9:01.0,Defensive rebound by D. Howard,,29-36,,
8:56.0,M. Dunleavy misses 3-pt shot from 26 ft,,29-36,,
8:53.0,,,29-36,,Defensive rebound by D. McDermott
8:42.0,,,29-36,,N. Mirotic misses 2-pt shot from 10 ft
8:42.0,,,29-36,,Offensive rebound by Team
8:42.0,,,29-36,,Chicago full timeout
8:42.0,,,29-36,,D. Wade enters the game for P. Zipser
8:42.0,,,29-36,,Turnover by Team (5 sec inbounds)
8:26.0,Atlanta full timeout,,29-36,,
8:26.0,D. Schroder enters the game for M. Dunleavy,,29-36,,
8:18.0,K. Bazemore makes 2-pt shot from 2 ft (assist by M. Delaney),2,31-36,,
7:57.0,,,31-36,,Shooting foul by D. Schroder (drawn by R. Rondo)
7:57.0,,,31-36,,R. Rondo misses free throw 1 of 2
7:57.0,,,31-36,,Offensive rebound by Team
7:57.0,,,31-37,1,R. Rondo makes free throw 2 of 2
7:48.0,,,31-37,,Personal foul by N. Mirotic (drawn by D. Howard)
7:48.0,,,31-37,,J. Butler enters the game for N. Mirotic
7:48.0,T. Sefolosha enters the game for M. Delaney,,31-37,,
7:39.0,D. Howard makes 2-pt shot at rim (assist by D. Schroder),2,33-37,,
7:23.0,,,33-40,3,D. McDermott makes 3-pt shot from 27 ft (assist by R. Rondo)
7:02.0,D. Schroder makes 3-pt shot from 26 ft (assist by T. Hardaway),3,36-40,,
6:39.0,,,36-42,2,D. Wade makes 2-pt shot from 8 ft
6:28.0,T. Hardaway makes 3-pt shot from 24 ft (assist by D. Schroder),3,39-42,,
6:06.0,,,39-42,,J. Butler misses 2-pt shot from 16 ft
6:03.0,Defensive rebound by K. Bazemore,,39-42,,
5:54.0,D. Howard misses 2-pt shot from 4 ft,,39-42,,
5:54.0,Offensive rebound by Team,,39-42,,
