time,Golden State,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: R. Hibbert vs. Z. Pachulia (D. Green gains possession)
11:41.0,K. Thompson misses 3-pt shot from 25 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by N. Batum
11:26.0,,,0-0,,M. Williams misses 2-pt shot from 1 ft (block by D. Green)
11:25.0,,,0-0,,Offensive rebound by M. Kidd-Gilchrist
11:24.0,,,0-2,2,M. Kidd-Gilchrist makes 2-pt shot at rim
11:24.0,,,0-2,,Shooting foul by K. Durant (drawn by M. Kidd-Gilchrist)
11:24.0,,,0-3,1,M. Kidd-Gilchrist makes free throw 1 of 1
11:05.0,K. Durant makes 2-pt shot from 1 ft,2,2-3,,
10:39.0,,,2-3,,M. Kidd-Gilchrist misses 2-pt shot from 9 ft
10:38.0,Defensive rebound by D. Green,,2-3,,
10:28.0,,,2-3,,Personal foul by M. Williams (drawn by K. Durant)
10:18.0,S. Curry misses 2-pt shot from 6 ft,,2-3,,
10:17.0,,,2-3,,Defensive rebound by N. Batum
10:11.0,,,2-3,,Turnover by R. Hibbert (lost ball)
10:02.0,S. Curry makes 2-pt shot from 16 ft,2,4-3,,
9:51.0,,,4-3,,K. Walker misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by K. Thompson,,4-3,,
9:37.0,Turnover by K. Durant (bad pass),,4-3,,
9:29.0,,,4-3,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
9:28.0,Defensive rebound by Z. Pachulia,,4-3,,
9:16.0,K. Thompson misses 2-pt shot from 20 ft,,4-3,,
9:15.0,,,4-3,,Defensive rebound by M. Kidd-Gilchrist
8:54.0,,,4-3,,Turnover by R. Hibbert (lost ball; steal by K. Thompson)
8:44.0,K. Durant makes 2-pt shot from 1 ft (assist by D. Green),2,6-3,,
8:21.0,,,6-3,,M. Williams misses 3-pt shot from 26 ft
8:19.0,,,6-3,,Offensive rebound by M. Kidd-Gilchrist
8:14.0,,,6-3,,N. Batum misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by S. Curry,,6-3,,
8:07.0,S. Curry makes 3-pt shot from 24 ft,3,9-3,,
8:00.0,,,9-3,,Charlotte full timeout
7:53.0,,,9-3,,N. Batum misses 2-pt shot from 15 ft
7:51.0,Defensive rebound by K. Durant,,9-3,,
7:43.0,Shooting foul by R. Hibbert (drawn by Z. Pachulia),,9-3,,
7:43.0,Z. Pachulia makes free throw 1 of 2,1,10-3,,
7:43.0,Z. Pachulia makes free throw 2 of 2,1,11-3,,
7:23.0,,,11-5,2,R. Hibbert makes 2-pt shot from 6 ft (assist by N. Batum)
7:11.0,K. Durant makes 3-pt shot from 25 ft (assist by D. Green),3,14-5,,
7:00.0,,,14-7,2,M. Williams makes 2-pt shot from 2 ft (assist by K. Walker)
7:00.0,,,14-7,,Shooting foul by Z. Pachulia (drawn by M. Williams)
7:00.0,,,14-7,,M. Williams misses free throw 1 of 1
6:59.0,Defensive rebound by Z. Pachulia,,14-7,,
6:51.0,Turnover by K. Durant (bad pass),,14-7,,
6:39.0,,,14-9,2,K. Walker makes 2-pt shot from 1 ft
6:33.0,Turnover by K. Thompson (traveling),,14-9,,
6:22.0,,,14-9,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by Z. Pachulia)
6:22.0,,,14-9,,Offensive rebound by Team
6:16.0,,,14-9,,Shooting foul by K. Thompson (drawn by N. Batum)
6:16.0,,,14-10,1,N. Batum makes free throw 1 of 2
6:16.0,,,14-11,1,N. Batum makes free throw 2 of 2
5:56.0,D. Green makes 3-pt shot from 25 ft (assist by S. Curry),3,17-11,,
5:39.0,,,17-13,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker)
5:29.0,S. Curry makes 2-pt shot from 2 ft,2,19-13,,
5:13.0,,,19-16,3,M. Williams makes 3-pt shot from 23 ft (assist by N. Batum)
5:02.0,S. Curry makes 3-pt shot from 27 ft,3,22-16,,
4:43.0,,,22-18,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by K. Walker)
4:31.0,K. Durant misses 2-pt shot from 12 ft,,22-18,,
4:29.0,,,22-18,,Defensive rebound by N. Batum
4:10.0,,,22-18,,K. Walker misses 2-pt shot from 17 ft
4:09.0,Defensive rebound by Z. Pachulia,,22-18,,
