time,Orlando,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. N. Vucevic (S. Ibaka gains possession),,,,Jump ball: A. Johnson vs. N. Vucevic (S. Ibaka gains possession)
11:43.0,S. Ibaka makes 2-pt shot from 8 ft (assist by N. Vucevic),2,2-0,,
11:23.0,,,2-2,2,J. Brown makes 2-pt shot from 2 ft (assist by J. Jerebko)
11:07.0,N. Vucevic makes 2-pt shot from 20 ft (assist by S. Ibaka),2,4-2,,
10:57.0,,,4-2,,J. Jerebko misses 3-pt shot from 26 ft
10:56.0,Defensive rebound by A. Gordon,,4-2,,
10:51.0,S. Ibaka misses 2-pt shot from 1 ft (block by J. Jerebko),,4-2,,
10:50.0,,,4-2,,Defensive rebound by J. Brown
10:45.0,,,4-4,2,J. Brown makes 2-pt shot at rim (assist by I. Thomas)
10:32.0,N. Vucevic misses 2-pt shot from 8 ft,,4-4,,
10:31.0,,,4-4,,Defensive rebound by J. Jerebko
10:24.0,,,4-4,,I. Thomas misses 3-pt shot from 25 ft
10:23.0,Defensive rebound by C. Watson,,4-4,,
10:11.0,S. Ibaka misses 3-pt shot from 25 ft,,4-4,,
10:10.0,,,4-4,,Defensive rebound by J. Jerebko
10:01.0,,,4-4,,J. Crowder misses 3-pt shot from 26 ft
10:00.0,Defensive rebound by N. Vucevic,,4-4,,
9:48.0,N. Vucevic makes 2-pt shot from 10 ft (assist by C. Watson),2,6-4,,
9:32.0,,,6-4,,I. Thomas misses 2-pt shot from 1 ft
9:31.0,Defensive rebound by N. Vucevic,,6-4,,
9:23.0,S. Ibaka misses 2-pt shot from 8 ft,,6-4,,
9:22.0,,,6-4,,Defensive rebound by J. Jerebko
9:07.0,,,6-6,2,A. Johnson makes 2-pt shot at rim (assist by I. Thomas)
8:42.0,N. Vucevic makes 2-pt shot from 10 ft,2,8-6,,
8:18.0,,,8-9,3,J. Crowder makes 3-pt shot from 26 ft (assist by J. Brown)
7:53.0,C. Watson makes 3-pt shot from 26 ft,3,11-9,,
7:39.0,,,11-11,2,I. Thomas makes 2-pt shot from 1 ft
7:28.0,C. Watson misses 2-pt shot from 1 ft,,11-11,,
7:27.0,,,11-11,,Defensive rebound by J. Jerebko
7:08.0,Shooting block foul by N. Vucevic (drawn by J. Jerebko),,11-11,,
7:08.0,,,11-12,1,J. Jerebko makes free throw 1 of 2
7:08.0,,,11-13,1,J. Jerebko makes free throw 2 of 2
7:04.0,,,11-13,,Personal foul by J. Brown (drawn by C. Watson)
6:59.0,A. Gordon makes 2-pt shot from 17 ft (assist by C. Watson),2,13-13,,
6:38.0,,,13-13,,J. Brown misses 2-pt shot from 8 ft
6:37.0,,,13-13,,Offensive rebound by J. Crowder
6:36.0,,,13-15,2,J. Crowder makes 2-pt shot from 2 ft
6:26.0,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton),2,15-15,,
6:25.0,,,15-15,,Boston full timeout
6:09.0,,,15-17,2,J. Crowder makes 2-pt shot from 16 ft
5:52.0,Turnover by N. Vucevic (bad pass; steal by I. Thomas),,15-17,,
5:49.0,,,15-19,2,I. Thomas makes 2-pt shot from 1 ft
5:27.0,Turnover by A. Gordon (lost ball; steal by J. Crowder),,15-19,,
5:24.0,,,15-19,,Shooting foul by C. Watson (drawn by J. Brown)
5:24.0,,,15-20,1,J. Brown makes free throw 1 of 2
5:24.0,,,15-21,1,J. Brown makes free throw 2 of 2
5:24.0,,,15-20,,T. Zeller enters the game for A. Johnson
5:14.0,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton),2,17-21,,
4:58.0,,,17-23,2,T. Zeller makes 2-pt shot from 2 ft (assist by I. Thomas)
4:45.0,A. Gordon makes 3-pt shot from 25 ft (assist by E. Payton),3,20-23,,
4:35.0,,,20-23,,Turnover by I. Thomas (bad pass; steal by C. Watson)
4:30.0,Turnover by C. Watson (bad pass; steal by J. Jerebko),,20-23,,
4:15.0,,,20-26,3,J. Brown makes 3-pt shot from 24 ft (assist by J. Crowder)
4:14.0,Orlando full timeout,,20-26,,
4:03.0,N. Vucevic misses 2-pt shot from 11 ft,,20-26,,
4:02.0,,,20-26,,Defensive rebound by J. Crowder
3:49.0,,,20-26,,Turnover by J. Jerebko (bad pass)
3:49.0,D. Augustin enters the game for C. Watson,,20-26,,
3:34.0,S. Ibaka misses 3-pt shot from 26 ft,,20-26,,
3:33.0,Offensive rebound by A. Gordon,,20-26,,
3:31.0,Shooting foul by J. Jerebko (drawn by A. Gordon),,20-26,,
3:31.0,A. Gordon makes free throw 1 of 2,1,21-26,,
3:31.0,A. Gordon makes free throw 2 of 2,1,22-26,,
3:31.0,,,21-26,,M. Smart enters the game for I. Thomas
3:31.0,,,21-26,,K. Olynyk enters the game for J. Jerebko
3:20.0,,,22-26,,Shooting foul by E. Payton (drawn by J. Brown)
3:20.0,,,22-27,1,J. Brown makes free throw 1 of 2
3:20.0,,,22-28,1,J. Brown makes free throw 2 of 2
3:20.0,J. Green enters the game for S. Ibaka,,22-27,,
3:11.0,Turnover by E. Payton (lost ball; steal by T. Zeller),,22-28,,
2:54.0,,,22-28,,Turnover by K. Olynyk (traveling)
2:43.0,E. Payton misses 2-pt shot from 12 ft,,22-28,,
2:42.0,,,22-28,,Defensive rebound by J. Brown
2:28.0,,,22-28,,J. Brown misses 3-pt shot from 26 ft
2:27.0,Defensive rebound by N. Vucevic,,22-28,,
2:17.0,A. Gordon misses 2-pt shot from 2 ft,,22-28,,
2:16.0,Offensive rebound by A. Gordon,,22-28,,
2:15.0,A. Gordon makes 2-pt shot from 1 ft,2,24-28,,
2:09.0,,,24-31,3,K. Olynyk makes 3-pt shot from 25 ft (assist by M. Smart)
1:55.0,A. Gordon misses 3-pt shot from 27 ft,,24-31,,
1:55.0,,,24-31,,Defensive rebound by J. Brown
1:46.0,,,24-33,2,T. Zeller makes 2-pt shot from 21 ft (assist by J. Crowder)
1:40.0,Orlando full timeout,,24-33,,
1:40.0,,,24-33,,T. Rozier enters the game for J. Crowder
1:40.0,M. Hezonja enters the game for N. Vucevic,,24-33,,
1:40.0,B. Biyombo enters the game for E. Payton,,24-33,,
1:25.0,J. Green misses 3-pt shot from 26 ft,,24-33,,
1:24.0,,,24-33,,Defensive rebound by T. Rozier
1:10.0,,,24-35,2,K. Olynyk makes 2-pt shot from 1 ft (assist by T. Zeller)
0:52.0,D. Augustin misses 2-pt shot from 2 ft,,24-35,,
0:52.0,Offensive rebound by Team,,24-35,,
0:52.0,D. Rudez enters the game for A. Gordon,,24-35,,
0:52.0,Jump ball: B. Biyombo vs. K. Olynyk (D. Augustin gains possession),,,,Jump ball: B. Biyombo vs. K. Olynyk (D. Augustin gains possession)
0:45.0,M. Hezonja misses 3-pt shot from 23 ft,,24-35,,
0:43.0,,,24-35,,Defensive rebound by J. Brown
0:39.0,,,24-37,2,T. Zeller makes 2-pt shot from 1 ft (assist by M. Smart)
0:22.0,J. Green misses 2-pt shot from 20 ft,,24-37,,
0:20.0,,,24-37,,Defensive rebound by K. Olynyk
0:05.0,Personal foul by D. Augustin (drawn by T. Rozier),,24-37,,
0:00.0,,,24-39,2,T. Zeller makes 2-pt shot from 7 ft (assist by M. Smart)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,24-41,2,T. Zeller makes 2-pt shot from 1 ft (assist by T. Rozier)
11:18.0,B. Biyombo misses 2-pt shot from 2 ft,,24-41,,
11:17.0,,,24-41,,Defensive rebound by K. Olynyk
11:04.0,,,24-41,,G. Green misses 2-pt shot from 20 ft
11:02.0,Defensive rebound by B. Biyombo,,24-41,,
10:58.0,B. Biyombo misses 2-pt shot from 4 ft,,24-41,,
10:57.0,Offensive rebound by J. Green,,24-41,,
10:57.0,,,24-41,,Personal foul by G. Green (drawn by J. Green)
