time,LA Clippers,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. Z. Pachulia (S. Curry gains possession),,,,Jump ball: D. Jordan vs. Z. Pachulia (S. Curry gains possession)
11:45.0,,,0-0,,Turnover by Z. Pachulia (lost ball; steal by B. Griffin)
11:39.0,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin),3,3-0,,
11:31.0,Personal foul by L. Mbah a Moute (drawn by S. Curry),,3-0,,
11:22.0,,,3-2,2,S. Curry makes 2-pt shot from 2 ft (assist by Z. Pachulia)
11:09.0,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers),2,5-2,,
10:59.0,Personal foul by B. Griffin (drawn by D. Green),,5-2,,
10:59.0,,,5-3,1,D. Green makes free throw 1 of 2
10:59.0,,,5-4,1,D. Green makes free throw 2 of 2
10:37.0,A. Rivers misses 3-pt shot from 25 ft,,5-4,,
10:36.0,,,5-4,,Defensive rebound by K. Thompson
10:21.0,,,5-6,2,K. Durant makes 2-pt shot from 13 ft (assist by Z. Pachulia)
10:07.0,J. Redick misses 3-pt shot from 26 ft,,5-6,,
10:06.0,,,5-6,,Defensive rebound by D. Green
9:57.0,,,5-6,,Turnover by K. Thompson (bad pass; steal by L. Mbah a Moute)
9:53.0,Offensive foul by B. Griffin,,5-6,,
9:53.0,Turnover by B. Griffin (offensive foul),,5-6,,
9:36.0,,,5-8,2,K. Thompson makes 2-pt shot from 14 ft
9:17.0,B. Griffin makes 2-pt shot from 21 ft,2,7-8,,
9:03.0,,,7-8,,Turnover by K. Thompson (lost ball; steal by J. Redick)
8:42.0,B. Griffin misses 2-pt shot from 22 ft,,7-8,,
8:40.0,,,7-8,,Defensive rebound by Z. Pachulia
8:36.0,,,7-11,3,S. Curry makes 3-pt shot from 29 ft
8:19.0,A. Rivers misses 2-pt shot from 1 ft (block by K. Durant),,7-11,,
8:17.0,,,7-11,,Defensive rebound by S. Curry
8:11.0,,,7-11,,D. Green misses 2-pt shot from 2 ft
8:10.0,Defensive rebound by D. Jordan,,7-11,,
8:00.0,L. Mbah a Moute misses 2-pt shot from 19 ft,,7-11,,
7:59.0,,,7-11,,Defensive rebound by D. Green
7:40.0,,,7-11,,K. Thompson misses 2-pt shot from 2 ft
