time,Orlando,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. N. Vucevic (C. Watson gains possession),,,,Jump ball: K. Towns vs. N. Vucevic (C. Watson gains possession)
11:42.0,Turnover by S. Ibaka (bad pass),,0-0,,
11:29.0,,,0-0,,K. Towns misses 2-pt shot from 16 ft
11:27.0,Defensive rebound by E. Payton,,0-0,,
11:22.0,S. Ibaka misses 3-pt shot from 25 ft,,0-0,,
11:21.0,Offensive rebound by A. Gordon,,0-0,,
11:19.0,A. Gordon misses 2-pt shot from 9 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by G. Dieng
10:58.0,,,0-0,,K. Towns misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by N. Vucevic,,0-0,,
10:50.0,E. Payton makes 2-pt shot from 6 ft,2,2-0,,
10:32.0,,,2-0,,A. Wiggins misses 2-pt shot from 2 ft
10:31.0,,,2-0,,Offensive rebound by K. Towns
10:31.0,,,2-2,2,K. Towns makes 2-pt shot from 1 ft
10:19.0,A. Gordon makes 3-pt shot from 24 ft,3,5-2,,
9:59.0,,,5-4,2,A. Wiggins makes 2-pt shot from 1 ft
9:46.0,C. Watson makes 2-pt shot from 1 ft (assist by E. Payton),2,7-4,,
9:26.0,,,7-4,,Turnover by K. Towns (bad pass; steal by E. Payton)
9:05.0,A. Gordon misses 3-pt shot from 25 ft,,7-4,,
9:04.0,,,7-4,,Defensive rebound by G. Dieng
8:54.0,,,7-7,3,K. Towns makes 3-pt shot from 24 ft (assist by R. Rubio)
8:27.0,N. Vucevic misses 2-pt shot from 20 ft,,7-7,,
8:26.0,,,7-7,,Defensive rebound by K. Towns
8:19.0,,,7-7,,G. Dieng misses 2-pt shot from 4 ft (block by N. Vucevic)
8:18.0,Jump ball: G. Dieng vs. N. Vucevic (A. Gordon gains possession),,,,Jump ball: G. Dieng vs. N. Vucevic (A. Gordon gains possession)
8:18.0,Defensive rebound by Team,,7-7,,
8:09.0,C. Watson misses 3-pt shot from 25 ft,,7-7,,
8:08.0,,,7-7,,Defensive rebound by K. Towns
8:04.0,,,7-9,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
7:54.0,Turnover by E. Payton (lost ball),,7-9,,
7:41.0,,,7-9,,Z. LaVine misses 3-pt shot from 23 ft
7:41.0,,,7-9,,Offensive rebound by Team
7:41.0,Loose ball foul by A. Gordon (drawn by K. Towns),,7-9,,
7:31.0,,,7-11,2,A. Wiggins makes 2-pt shot from 9 ft
7:31.0,Orlando full timeout,,7-11,,
7:20.0,N. Vucevic misses 2-pt shot from 11 ft,,7-11,,
7:19.0,,,7-11,,Defensive rebound by R. Rubio
7:05.0,,,7-13,2,K. Towns makes 2-pt shot from 21 ft (assist by A. Wiggins)
6:47.0,S. Ibaka misses 2-pt shot from 19 ft,,7-13,,
6:46.0,,,7-13,,Defensive rebound by G. Dieng
6:36.0,,,7-13,,R. Rubio misses 2-pt shot from 21 ft
6:35.0,Defensive rebound by N. Vucevic,,7-13,,
6:19.0,E. Payton makes 2-pt shot from 9 ft,2,9-13,,
5:58.0,,,9-16,3,Z. LaVine makes 3-pt shot from 23 ft (assist by G. Dieng)
5:48.0,,,9-16,,Personal foul by G. Dieng (drawn by N. Vucevic)
5:41.0,C. Watson makes 2-pt shot from 20 ft (assist by N. Vucevic),2,11-16,,
5:24.0,,,11-18,2,Z. LaVine makes 2-pt shot from 2 ft (assist by K. Towns)
5:20.0,E. Payton makes 2-pt shot from 1 ft,2,13-18,,
5:05.0,,,13-18,,R. Rubio misses 2-pt shot from 18 ft
5:04.0,Defensive rebound by A. Gordon,,13-18,,
4:51.0,A. Gordon misses 3-pt shot from 23 ft,,13-18,,
4:49.0,,,13-18,,Defensive rebound by G. Dieng
4:40.0,,,13-18,,A. Wiggins misses 2-pt shot from 20 ft
4:39.0,,,13-18,,Offensive rebound by A. Wiggins
4:39.0,,,13-18,,A. Wiggins misses 2-pt shot from 19 ft
4:38.0,Defensive rebound by S. Ibaka,,13-18,,
4:32.0,E. Payton misses 2-pt shot from 1 ft (block by K. Towns),,13-18,,
4:31.0,,,13-18,,Defensive rebound by R. Rubio
4:31.0,,,13-18,,S. Muhammad enters the game for Z. LaVine
4:31.0,E. Fournier enters the game for C. Watson,,13-18,,
4:19.0,Personal foul by S. Ibaka (drawn by K. Towns),,13-18,,
4:05.0,,,13-18,,Turnover by Team (shot clock)
4:05.0,D. Augustin enters the game for E. Payton,,13-18,,
