time,Milwaukee,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Henson (G. Antetokounmpo gains possession),,,,Jump ball: T. Chandler vs. J. Henson (G. Antetokounmpo gains possession)
11:42.0,T. Snell misses 2-pt shot from 2 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by T. Chandler
11:25.0,,,0-3,3,E. Bledsoe makes 3-pt shot from 26 ft (assist by D. Booker)
11:08.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,2-3,,
10:56.0,,,2-6,3,M. Chriss makes 3-pt shot from 23 ft (assist by E. Bledsoe)
10:33.0,J. Henson misses 2-pt shot from 20 ft,,2-6,,
10:32.0,,,2-6,,Defensive rebound by T. Chandler
10:21.0,,,2-6,,M. Chriss misses 3-pt shot from 25 ft
10:20.0,Defensive rebound by G. Antetokounmpo,,2-6,,
10:13.0,J. Henson makes 2-pt shot from 1 ft,2,4-6,,
9:55.0,,,4-6,,D. Booker misses 3-pt shot from 24 ft
9:54.0,Jump ball: G. Antetokounmpo vs. T. Chandler (T. Snell gains possession),,,,Jump ball: G. Antetokounmpo vs. T. Chandler (T. Snell gains possession)
9:54.0,Defensive rebound by Team,,4-6,,
9:40.0,J. Parker misses 2-pt shot from 1 ft (block by M. Chriss),,4-6,,
9:40.0,Offensive rebound by J. Parker,,4-6,,
9:40.0,J. Parker makes 2-pt shot from 1 ft,2,6-6,,
9:40.0,Shooting foul by M. Chriss (drawn by J. Parker),,6-6,,
9:40.0,J. Parker makes free throw 1 of 1,1,7-6,,
9:24.0,,,7-6,,T. Warren misses 2-pt shot from 9 ft
9:23.0,Defensive rebound by J. Henson,,7-6,,
9:10.0,J. Henson makes 2-pt shot from 7 ft (assist by G. Antetokounmpo),2,9-6,,
8:59.0,,,9-6,,Shooting foul by J. Henson (drawn by T. Chandler)
8:59.0,,,9-7,1,T. Chandler makes free throw 1 of 2
8:59.0,,,9-7,,T. Chandler misses free throw 2 of 2
8:58.0,Defensive rebound by J. Henson,,9-7,,
8:47.0,G. Antetokounmpo makes 2-pt shot at rim,2,11-7,,
8:43.0,,,11-7,,Phoenix full timeout
8:33.0,,,11-7,,D. Booker misses 3-pt shot from 26 ft
8:32.0,Defensive rebound by J. Parker,,11-7,,
8:21.0,T. Snell misses 3-pt shot from 24 ft,,11-7,,
8:21.0,,,11-7,,Defensive rebound by T. Chandler
8:04.0,,,11-9,2,M. Chriss makes 2-pt shot at rim (assist by T. Warren)
7:49.0,G. Antetokounmpo makes 2-pt shot from 21 ft,2,13-9,,
7:29.0,,,13-9,,T. Warren misses 3-pt shot from 24 ft
7:28.0,,,13-9,,Offensive rebound by M. Chriss
7:16.0,,,13-11,2,T. Warren makes 2-pt shot from 18 ft (assist by D. Booker)
7:02.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,15-11,,
7:02.0,Shooting foul by M. Chriss (drawn by G. Antetokounmpo),,15-11,,
7:02.0,G. Antetokounmpo misses free throw 1 of 1,,15-11,,
7:02.0,,,15-11,,P. Tucker enters the game for M. Chriss
7:01.0,,,15-11,,Defensive rebound by T. Chandler
6:48.0,Personal foul by J. Henson (drawn by E. Bledsoe),,15-11,,
6:48.0,G. Monroe enters the game for J. Henson,,15-11,,
6:39.0,,,15-11,,T. Warren misses 2-pt shot from 11 ft
6:39.0,,,15-11,,Offensive rebound by T. Warren
