time,Miami,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. H. Whiteside (S. Dinwiddie gains possession),,,,Jump ball: B. Lopez vs. H. Whiteside (S. Dinwiddie gains possession)
11:49.0,,,0-0,,B. Bogdanovic misses 2-pt shot from 2 ft (block by H. Whiteside)
11:47.0,Defensive rebound by R. McGruder,,0-0,,
11:42.0,G. Dragic makes 2-pt shot from 14 ft,2,2-0,,
11:27.0,,,2-2,2,B. Lopez makes 2-pt shot from 8 ft
11:10.0,W. Ellington makes 3-pt shot from 25 ft (assist by R. McGruder),3,5-2,,
10:47.0,,,5-2,,B. Bogdanovic misses 2-pt shot from 2 ft (block by H. Whiteside)
10:45.0,Defensive rebound by W. Ellington,,5-2,,
10:40.0,R. McGruder makes 3-pt shot from 26 ft (assist by G. Dragic),3,8-2,,
10:22.0,,,8-5,3,B. Lopez makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
9:57.0,R. McGruder misses 2-pt shot from 2 ft (block by B. Lopez),,8-5,,
9:55.0,,,8-5,,Defensive rebound by R. Hollis-Jefferson
9:50.0,,,8-5,,R. Hollis-Jefferson misses 2-pt shot from 3 ft
9:48.0,Defensive rebound by W. Ellington,,8-5,,
9:39.0,L. Babbitt makes 3-pt shot from 25 ft (assist by W. Ellington),3,11-5,,
9:26.0,,,11-5,,Shooting foul by H. Whiteside (drawn by B. Lopez)
9:26.0,,,11-6,1,B. Lopez makes free throw 1 of 2
9:26.0,,,11-7,1,B. Lopez makes free throw 2 of 2
9:14.0,Turnover by G. Dragic (bad pass; steal by R. Hollis-Jefferson),,11-7,,
9:11.0,,,11-7,,Shooting foul by W. Ellington (drawn by R. Hollis-Jefferson)
9:11.0,,,11-8,1,R. Hollis-Jefferson makes free throw 1 of 2
9:11.0,,,11-9,1,R. Hollis-Jefferson makes free throw 2 of 2
8:58.0,W. Ellington misses 3-pt shot from 24 ft,,11-9,,
8:57.0,,,11-9,,Defensive rebound by R. Hollis-Jefferson
8:47.0,,,11-9,,B. Lopez misses 3-pt shot from 26 ft
8:46.0,Defensive rebound by W. Ellington,,11-9,,
8:41.0,G. Dragic misses 2-pt shot from 18 ft,,11-9,,
8:40.0,,,11-9,,Defensive rebound by R. Hollis-Jefferson
8:33.0,,,11-9,,S. Dinwiddie misses 2-pt shot from 3 ft
8:31.0,Defensive rebound by H. Whiteside,,11-9,,
8:17.0,Turnover by G. Dragic (bad pass; steal by S. Dinwiddie),,11-9,,
8:07.0,,,11-11,2,B. Lopez makes 2-pt shot from 14 ft (assist by S. Dinwiddie)
7:47.0,G. Dragic misses 2-pt shot from 20 ft,,11-11,,
7:46.0,,,11-11,,Defensive rebound by B. Bogdanovic
7:38.0,,,11-13,2,B. Lopez makes 2-pt shot at rim (assist by S. Dinwiddie)
7:17.0,H. Whiteside misses 2-pt shot from 17 ft,,11-13,,
7:16.0,,,11-13,,Defensive rebound by B. Bogdanovic
7:13.0,,,11-13,,B. Bogdanovic misses 2-pt shot from 2 ft
7:11.0,Defensive rebound by Team,,11-13,,
7:11.0,,,11-13,,Loose ball foul by R. Hollis-Jefferson (drawn by W. Ellington)
