time,Phoenix,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. A. Len (P. Beverley gains possession),,,,Jump ball: C. Capela vs. A. Len (P. Beverley gains possession)
11:44.0,,,0-0,,Shooting foul by M. Chriss (drawn by J. Harden)
11:44.0,,,0-1,1,J. Harden makes free throw 1 of 2
11:44.0,,,0-1,,J. Harden misses free throw 2 of 2
11:43.0,,,0-1,,Offensive rebound by J. Harden
11:39.0,,,0-1,,R. Anderson misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by D. Booker,,0-1,,
11:20.0,A. Len misses 2-pt shot from 9 ft,,0-1,,
11:19.0,,,0-1,,Defensive rebound by C. Capela
11:15.0,,,0-1,,Offensive charge foul by J. Harden
11:15.0,,,0-1,,Turnover by J. Harden (offensive foul)
11:01.0,Turnover by D. Booker (bad pass; steal by T. Ariza),,0-1,,
10:52.0,,,0-4,3,P. Beverley makes 3-pt shot from 24 ft (assist by T. Ariza)
10:29.0,M. Chriss misses 3-pt shot from 25 ft,,0-4,,
10:28.0,,,0-4,,Defensive rebound by P. Beverley
10:08.0,,,0-6,2,P. Beverley makes 2-pt shot from 2 ft
10:08.0,,,0-6,,Shooting foul by T. Warren (drawn by P. Beverley)
10:08.0,,,0-7,1,P. Beverley makes free throw 1 of 1
10:08.0,Phoenix full timeout,,0-7,,
9:48.0,D. Booker misses 3-pt shot from 26 ft,,0-7,,
9:47.0,,,0-7,,Defensive rebound by P. Beverley
9:42.0,,,0-7,,Turnover by J. Harden (bad pass)
9:27.0,M. Chriss misses 2-pt shot from 14 ft,,0-7,,
9:26.0,,,0-7,,Defensive rebound by P. Beverley
9:19.0,,,0-10,3,J. Harden makes 3-pt shot from 26 ft
9:05.0,B. Knight misses 2-pt shot from 20 ft,,0-10,,
9:04.0,,,0-10,,Defensive rebound by T. Ariza
8:58.0,,,0-13,3,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden)
8:46.0,D. Booker makes 2-pt shot from 1 ft,2,2-13,,
