time,New Orleans,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Gasol (J. Holiday gains possession),,,,Jump ball: A. Davis vs. M. Gasol (J. Holiday gains possession)
11:42.0,S. Hill misses 3-pt shot from 23 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by J. Green
11:21.0,,,0-0,,J. Green misses 2-pt shot at rim
11:19.0,,,0-0,,Offensive rebound by M. Gasol
11:15.0,,,0-3,3,M. Conley makes 3-pt shot from 29 ft (assist by M. Gasol)
10:57.0,A. Davis makes 2-pt shot from 17 ft (assist by J. Holiday),2,2-3,,
10:35.0,,,2-3,,Turnover by T. Allen (bad pass; steal by A. Ajinca)
10:27.0,A. Davis misses 2-pt shot from 16 ft,,2-3,,
10:27.0,,,2-3,,Defensive rebound by M. Conley
10:09.0,,,2-3,,C. Parsons misses 3-pt shot from 25 ft
10:08.0,,,2-3,,Offensive rebound by Team
10:01.0,,,2-5,2,M. Conley makes 2-pt shot from 19 ft
9:42.0,J. Holiday misses 2-pt shot from 17 ft,,2-5,,
9:39.0,,,2-5,,Defensive rebound by J. Green
9:26.0,,,2-5,,M. Conley misses 3-pt shot from 24 ft
9:26.0,,,2-5,,Offensive rebound by J. Green
9:07.0,,,2-8,3,C. Parsons makes 3-pt shot from 26 ft (assist by M. Gasol)
8:44.0,J. Holiday misses 2-pt shot from 1 ft,,2-8,,
8:42.0,Offensive rebound by A. Ajinca,,2-8,,
8:41.0,Turnover by A. Ajinca (bad pass; steal by C. Parsons),,2-8,,
8:41.0,Personal foul by B. Hield (drawn by C. Parsons),,2-8,,
8:24.0,,,2-10,2,M. Gasol makes 2-pt shot from 10 ft
8:11.0,A. Davis misses 2-pt shot from 12 ft,,2-10,,
8:11.0,Offensive rebound by J. Holiday,,2-10,,
8:05.0,Shooting foul by C. Parsons (drawn by A. Ajinca),,2-10,,
8:05.0,A. Ajinca misses free throw 1 of 2,,2-10,,
8:05.0,Offensive rebound by Team,,2-10,,
8:05.0,A. Ajinca makes free throw 2 of 2,1,3-10,,
7:53.0,,,3-10,,Turnover by M. Gasol (traveling)
7:37.0,A. Davis misses 2-pt shot from 7 ft,,3-10,,
7:37.0,,,3-10,,Defensive rebound by M. Gasol
7:28.0,,,3-10,,T. Allen misses 2-pt shot from 7 ft (block by A. Davis)
7:26.0,Defensive rebound by A. Ajinca,,3-10,,
7:16.0,B. Hield misses 3-pt shot from 23 ft,,3-10,,
7:16.0,,,3-10,,Defensive rebound by T. Allen
7:05.0,Personal foul by J. Holiday (drawn by M. Conley),,3-10,,
6:56.0,,,3-10,,M. Conley misses 2-pt shot from 21 ft
6:54.0,,,3-10,,Offensive rebound by J. Green
6:54.0,,,3-12,2,J. Green makes 2-pt shot from 3 ft
6:54.0,,,3-12,,Shooting foul by A. Ajinca (drawn by J. Green)
6:54.0,,,3-12,,J. Green misses free throw 1 of 1
6:53.0,Defensive rebound by A. Ajinca,,3-12,,
6:48.0,New Orleans full timeout,,3-12,,
6:38.0,Turnover by A. Davis (lost ball),,3-12,,
6:26.0,,,3-12,,M. Gasol misses 3-pt shot from 26 ft
6:26.0,Defensive rebound by B. Hield,,3-12,,
6:03.0,S. Hill makes 2-pt shot from 6 ft,2,5-12,,
5:45.0,,,5-14,2,C. Parsons makes 2-pt shot from 2 ft (assist by J. Green)
5:31.0,B. Hield makes 3-pt shot from 26 ft,3,8-14,,
5:17.0,,,8-14,,Turnover by M. Gasol (bad pass; steal by S. Hill)
5:11.0,J. Holiday makes 2-pt shot from 1 ft,2,10-14,,
4:42.0,,,10-14,,T. Allen misses 2-pt shot from 12 ft
4:40.0,Defensive rebound by A. Davis,,10-14,,
4:33.0,S. Hill makes 2-pt shot from 1 ft,2,12-14,,
4:22.0,,,12-14,,Memphis full timeout
4:22.0,,,12-14,,V. Carter enters the game for C. Parsons
4:22.0,,,12-14,,T. Douglas enters the game for J. Green
4:22.0,,,12-14,,J. Ennis enters the game for T. Allen
4:22.0,,,12-14,,Z. Randolph enters the game for M. Conley
4:22.0,D. Motiejunas enters the game for A. Ajinca,,12-14,,
4:12.0,,,12-16,2,J. Ennis makes 2-pt shot at rim (assist by M. Gasol)
3:58.0,A. Davis makes 2-pt shot from 2 ft,2,14-16,,
3:43.0,,,14-16,,V. Carter misses 2-pt shot from 21 ft
3:42.0,Defensive rebound by S. Hill,,14-16,,
3:34.0,S. Hill makes 2-pt shot at rim,2,16-16,,
3:18.0,,,16-18,2,M. Gasol makes 2-pt shot from 22 ft
3:10.0,,,16-18,,Personal foul by V. Carter (drawn by D. Motiejunas)
3:10.0,,,16-18,,B. Wright enters the game for M. Gasol
3:04.0,B. Hield makes 2-pt shot from 1 ft (assist by S. Hill),2,18-18,,
2:47.0,,,18-18,,T. Douglas misses 3-pt shot from 26 ft
2:46.0,Defensive rebound by A. Davis,,18-18,,
2:37.0,J. Holiday makes 2-pt shot from 1 ft (assist by A. Davis),2,20-18,,
2:28.0,Violation by B. Hield (kicked ball),,20-18,,
2:28.0,E. Moore enters the game for B. Hield,,20-18,,
2:17.0,,,20-18,,J. Ennis misses 3-pt shot from 23 ft
2:17.0,Defensive rebound by A. Davis,,20-18,,
2:10.0,E. Moore misses 2-pt shot from 9 ft,,20-18,,
