time,Boston,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:45.0,J. Crowder misses 3-pt shot from 24 ft,,0-0,,
12:00.0,Jump ball: A. Johnson vs. R. Lopez (A. Horford gains possession),,,,Jump ball: A. Johnson vs. R. Lopez (A. Horford gains possession)
11:43.0,,,0-0,,Defensive rebound by T. Gibson
11:30.0,,,0-0,,R. Lopez misses 2-pt shot from 2 ft
11:29.0,Defensive rebound by J. Crowder,,0-0,,
11:17.0,I. Thomas misses 3-pt shot from 26 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by M. Carter-Williams
11:10.0,,,0-2,2,M. Carter-Williams makes 2-pt shot from 10 ft (assist by J. Butler)
10:52.0,A. Horford makes 2-pt shot from 1 ft,2,2-2,,
10:28.0,,,2-2,,J. Grant misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by Team,,2-2,,
10:27.0,,,2-2,,Loose ball foul by R. Lopez (drawn by A. Johnson)
10:13.0,M. Smart misses 2-pt shot from 21 ft,,2-2,,
10:12.0,,,2-2,,Defensive rebound by M. Carter-Williams
10:05.0,,,2-2,,M. Carter-Williams misses 2-pt shot from 3 ft (block by A. Johnson)
10:03.0,Defensive rebound by A. Johnson,,2-2,,
9:52.0,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas),2,4-2,,
9:33.0,,,4-2,,J. Butler misses 2-pt shot from 2 ft (block by A. Johnson)
9:33.0,,,4-2,,Offensive rebound by Team
9:29.0,,,4-4,2,T. Gibson makes 2-pt shot from 10 ft (assist by J. Butler)
9:16.0,A. Horford makes 2-pt shot from 20 ft (assist by I. Thomas),2,6-4,,
8:59.0,,,6-4,,Turnover by R. Lopez (lost ball)
8:56.0,A. Johnson makes 2-pt shot at rim (assist by M. Smart),2,8-4,,
8:56.0,,,8-4,,Chicago full timeout
8:39.0,Def 3 sec tech foul by A. Horford,,8-4,,
8:39.0,,,8-5,1,J. Butler makes technical free throw
8:26.0,,,8-7,2,T. Gibson makes 2-pt shot from 7 ft (assist by J. Butler)
8:05.0,A. Johnson makes 2-pt shot at rim (assist by I. Thomas),2,10-7,,
7:42.0,,,10-7,,J. Butler misses 2-pt shot from 18 ft
7:41.0,Defensive rebound by I. Thomas,,10-7,,
