time,Houston,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. N. Hilario (D. Cousins gains possession),,,,Jump ball: A. Davis vs. N. Hilario (D. Cousins gains possession)
11:36.0,,,0-0,,S. Hill misses 3-pt shot from 22 ft
11:36.0,,,0-0,,Offensive rebound by D. Cousins
11:36.0,Loose ball foul by N. Hilario (drawn by D. Cousins),,0-0,,
11:28.0,,,0-2,2,D. Cousins makes 2-pt shot from 20 ft (assist by J. Holiday)
11:09.0,Turnover by J. Harden (bad pass),,0-2,,
10:49.0,,,0-2,,Turnover by S. Hill (lost ball; steal by P. Beverley)
10:37.0,Turnover by P. Beverley (lost ball),,0-2,,
10:37.0,,,0-2,,A. Davis misses 2-pt shot at rim
10:37.0,Defensive rebound by P. Beverley,,0-2,,
10:37.0,,,0-2,,Loose ball foul by E. Moore (drawn by P. Beverley)
10:27.0,Shooting foul by S. Hill (drawn by N. Hilario),,0-2,,
10:27.0,N. Hilario misses free throw 1 of 2,,0-2,,
10:27.0,Offensive rebound by Team,,0-2,,
10:27.0,N. Hilario misses free throw 2 of 2,,0-2,,
10:24.0,,,0-2,,Defensive rebound by D. Cousins
10:11.0,,,0-5,3,S. Hill makes 3-pt shot from 23 ft (assist by E. Moore)
10:00.0,T. Ariza misses 3-pt shot from 24 ft,,0-5,,
9:59.0,Offensive rebound by P. Beverley,,0-5,,
9:49.0,P. Beverley makes 2-pt shot from 6 ft,2,2-5,,
9:37.0,,,2-5,,E. Moore misses 3-pt shot from 25 ft
9:37.0,Defensive rebound by P. Beverley,,2-5,,
9:27.0,Shooting foul by D. Cousins (drawn by R. Anderson),,2-5,,
9:27.0,R. Anderson makes free throw 1 of 2,1,3-5,,
9:27.0,R. Anderson makes free throw 2 of 2,1,4-5,,
9:04.0,,,4-7,2,D. Cousins makes 2-pt shot from 22 ft
8:52.0,J. Harden misses 3-pt shot from 26 ft,,4-7,,
8:51.0,Offensive rebound by R. Anderson,,4-7,,
8:38.0,J. Harden makes 2-pt shot from 3 ft,2,6-7,,
8:17.0,,,6-7,,Turnover by J. Holiday (lost ball; steal by T. Ariza)
8:09.0,J. Harden misses 3-pt shot from 25 ft,,6-7,,
8:08.0,,,6-7,,Defensive rebound by J. Holiday
8:02.0,,,6-7,,Turnover by J. Holiday (lost ball)
7:37.0,T. Ariza misses 2-pt shot from 2 ft (block by A. Davis),,6-7,,
7:36.0,Offensive rebound by R. Anderson,,6-7,,
7:33.0,R. Anderson makes 2-pt shot from 3 ft,2,8-7,,
7:25.0,,,8-7,,Shooting foul by T. Ariza (drawn by A. Davis)
7:25.0,,,8-7,,A. Davis misses free throw 1 of 2
7:25.0,,,8-7,,Offensive rebound by Team
7:25.0,,,8-8,1,A. Davis makes free throw 2 of 2
7:16.0,T. Ariza misses 3-pt shot from 25 ft,,8-8,,
7:14.0,,,8-8,,Defensive rebound by E. Moore
7:06.0,,,8-8,,A. Davis misses 2-pt shot from 1 ft (block by N. Hilario)
